Log Point,Engine Speed,MF_IA,MF_FUEL,Torque,BMEP,BSFC,IMEP,p_0,p_11,p_21,p_2_1,P_IM,p_31,p_41,p_4_1,T_0,T_11,T_21,T_2_1,T_IM,T_31,T_41,T_4_1,T_OIL,T_Water,Humidity rel,Turbine Speed,q_MI,phi_MI,Delivery Ratio,Rail Pressure,Duration_Main,FMEP,NOx_EO,SOC,MFB50,PFP,P_SOI,EGR_Rate,EGR_Temperature,ECU_VTG_Pos,ECU_EGR_Pos,ECU_Exh_Flap_Pos
1,2150.0,1279.841,57.8741859,1234.79,1202.70777,208.1623243,1317.673,1.013657,0.99547974,2.23649,2.192692,2.166907,2.7572435,1.5666109,1.1741678,25.72267,25.59966,125.4424,30.6889,54.76374,563.2525,457.5438,417.9385,113.3204,88.789,54.6,79487.33,149.5457,-12.34871872,0.873412529,2499.13,1199.027,1.282892,425.2529,-6.60829,13.89589,126.6125,85.1267,23.52221971,125.2217,49.28408,46.09363,50.9
2,2150.0,1167.084,51.8602833,1091.981,1063.609224,210.9260114,1224.555,1.013567,0.99850772,2.101104,2.061756,2.037575,2.622821,1.5507852,1.1596907,25.54151,25.73628,116.8013,29.12236,55.9003,544.9484,444.8187,408.8698,113.0525,89.2449,54.0,75442.47,134.0059,-12.08040258,0.870901514,2499.64,1077.556,1.416936,367.3962,-6.997116,13.1014,122.6422,80.84335,25.36181183,126.0563,46.26289,48.0044,48.30629
3,2150.0,1070.782,46.6658145,970.028,944.8247985,213.6608329,1111.489,1.013542,1.00098024,1.974902,1.939095,1.916461,2.4762385,1.5184931,1.1471957,25.07978,25.26232,107.8178,27.75875,56.5599,523.3502,430.2137,404.8295,112.461,88.6623,56.0,71488.68,120.5835,-11.81390272,0.875459725,2498.81,982.1379,1.452626,316.354,-5.939667,13.10116,113.2217,78.26534,27.42680822,125.54,44.72546,51.34534,46.46584
4,2150.0,949.722,41.5951083,849.045,826.9851706,217.5814606,982.5328,1.013561,1.00373543,1.7963083,1.7649481,1.744349,2.2564965,1.4834315,1.1263008,25.23183,25.29782,95.7141,26.1948,56.71877,509.6293,424.5332,402.837,111.651,88.434,55.8,65759.81,107.4809,-11.38060339,0.872991192,2490.74,876.1345,1.348068,271.8331,-4.717167,13.20606,102.5782,74.48176,29.04650574,123.2081,45.38662,55.3242,44.29363
5,2150.0,841.488,36.4100436,727.9525,709.0388877,222.1408833,876.5755,1.013554,1.005952676,1.5830204,1.5546758,1.5369349,2.000295,1.4401411,1.1024776,25.08834,25.73773,81.02181,24.74746,54.40833,498.57805,424.67,382.4907,111.0416,88.3161,54.4,58466.01,94.0828,-10.79475404,0.867552399,2468.554,761.2187,1.378658,272.7503,-3.216992,12.66438,93.865,71.35233,28.7040732,116.999,50.72739,54.03439,42.5
6,2150.0,768.2768,31.2608538,606.978,591.2075389,228.7379488,741.1901,1.013536,1.0072749,1.4393838,1.4127826,1.3970039,1.83934975,1.3990472,1.08350345,25.02555,25.77608,70.01709,23.85465,52.40492,470.2931,407.4825,363.9012,110.2058,88.0057,54.0,52612.39,80.7774,-10.42860536,0.870320895,2455.51,639.6798,1.220794,273.5777,-1.85366,11.51918,88.81606,69.29795,29.0513258,111.4347,54.24013,51.97771,41.34395
7,2150.001,684.5612,26.37212727,485.0204,472.418633,241.4878543,638.1705,1.013568,1.008730088,1.2754088,1.2512551,1.2372938,1.69358985,1.3883558,1.06645575,25.20861,25.55967,56.94966,23.37509,50.35957,446.6013,394.8628,333.4339,109.3079,87.8328,56.0,44464.15,68.145,-9.78300798,0.868946023,2409.127,513.325,1.275136,269.5936,0.05561267,10.60226,83.23808,66.78535,28.95837195,105.4332,62.47834,46.29809,38.62548
8,2150.0,628.1783,21.8466144,364.0174,354.5595247,266.5461029,530.259,1.013583,1.009647907,1.1656842,1.1424488,1.1300264,1.64860465,1.4315941,1.05465137,25.1303,25.42901,47.69133,23.34968,48.90061,417.0451,374.3654,314.0702,108.5962,86.6346,55.7,34252.51,56.4512,-9.02603333,0.871129989,2337.599,392.5023,1.268503,264.0707,2.211004,9.872334,79.42919,64.74974,29.12144862,99.9976,72.32484,39.9828,34.59045
9,2150.0,577.0759,17.4292416,242.9689,236.6560986,318.5944014,402.5411,1.013566,1.010319772,1.1214475,1.100322,1.08840346,1.6553149,1.4771906,1.04686954,25.10185,25.42987,43.201,23.32077,50.28118,378.62175,345.126,285.3343,108.2589,86.0525,55.8,30490.39,45.0368,-8.349175368,0.851392313,2295.918,267.4178,1.210547,253.6721,4.066094,9.350106,77.9401,63.68207,30.53364436,97.8128,68.18038,39.02089,30.7
10,2149.999,574.5848,12.94688548,121.1605,118.0125161,474.5858537,286.563,1.013544,1.010309167,1.1729454,1.1528283,1.1403215,1.68122045,1.4381128,1.05123741,25.46492,25.54598,46.55554,23.33121,52.27304,316.49365,286.8149,245.2279,108.3044,85.9134,55.6,33360.98,33.4545,-8.155790653,0.841166443,2269.365,134.9289,1.26781,242.0906,5.085567,8.152603,78.50152,62.33992,32.76851369,96.6644,46.62516,43.11509,29.9283
