sample_index,healthy_sensor,faulty_sensor,healthy_ground_truth,healthy_prediction,faulty_prediction,prediction_error,residual,fault_type,severity,repetition
0,20.885355728086072,30.021269263999997,1435.291,1404.028171850333,1352.212323508254,83.07867649174591,-51.81584834207888,bias,0.4,1
1,21.515760697411853,30.021269263999997,1435.291,1401.893998933886,1352.212323508254,83.07867649174591,-49.681675425631965,bias,0.4,1
2,21.046139670028126,30.021269263999997,1435.291,1403.4359434240819,1352.212323508254,83.07867649174591,-51.22361991582784,bias,0.4,1
3,21.504625163414428,30.021269263999997,1435.291,1401.9305611282757,1352.212323508254,83.07867649174591,-49.71823762002168,bias,0.4,1
4,21.73640174004493,30.021269263999997,1435.291,1401.169550452747,1352.212323508254,83.07867649174591,-48.95722694449296,bias,0.4,1
5,21.409859848788724,30.021269263999997,1435.291,1402.241711707633,1352.212323508254,83.07867649174591,-50.0293881993789,bias,0.4,1
6,20.81434946580527,30.021269263999997,1435.291,1404.2935712429376,1352.212323508254,83.07867649174591,-52.08124773468353,bias,0.4,1
7,21.372742915351374,30.021269263999997,1435.291,1402.3635807204528,1352.212323508254,83.07867649174591,-50.15125721219874,bias,0.4,1
8,22.061567592530704,30.021269263999997,1435.291,1400.1019072566287,1352.212323508254,83.07867649174591,-47.88958374837466,bias,0.4,1
9,20.921178798456324,30.021269263999997,1435.291,1403.8944482006452,1352.212323508254,83.07867649174591,-51.6821246923912,bias,0.4,1
10,21.392907323671967,30.021269263999997,1435.291,1402.2973732968176,1352.212323508254,83.07867649174591,-50.08504978856354,bias,0.4,1
11,22.10074617254735,30.021269263999997,1435.291,1399.9732690737796,1352.212323508254,83.07867649174591,-47.76094556552562,bias,0.4,1
12,21.612378201063052,30.021269263999997,1435.291,1401.5767669133324,1352.212323508254,83.07867649174591,-49.36444340507842,bias,0.4,1
13,21.64863767660637,30.021269263999997,1435.291,1401.4577132609802,1352.212323508254,83.07867649174591,-49.24538975272617,bias,0.4,1
14,20.799124019047746,30.021269263999997,1435.291,1404.3505728435202,1352.212323508254,83.07867649174591,-52.13824933526621,bias,0.4,1
15,21.19448389495751,30.021269263999997,1435.291,1402.9488728992449,1352.212323508254,83.07867649174591,-50.73654939099083,bias,0.4,1
16,21.58786656007713,30.021269263999997,1435.291,1401.6572479556198,1352.212323508254,83.07867649174591,-49.44492444736579,bias,0.4,1
17,21.3956157300989,30.021269263999997,1435.291,1402.2884805681626,1352.212323508254,83.07867649174591,-50.07615705990861,bias,0.4,1
18,21.758463612361815,30.021269263999997,1435.291,1401.097112932962,1352.212323508254,83.07867649174591,-48.88478942470806,bias,0.4,1
19,21.549340302916985,30.021269263999997,1435.291,1401.7837443143687,1352.212323508254,83.07867649174591,-49.5714208061147,bias,0.4,1
20,22.150849400590996,30.021269263999997,1435.291,1399.8087611154087,1352.212323508254,83.07867649174591,-47.59643760715471,bias,0.4,1
