sample_index,healthy_sensor,faulty_sensor,healthy_ground_truth,healthy_prediction,faulty_prediction,prediction_error,residual,fault_type,severity,repetition
0,2.8792515310179634,3.025849125,1435.291,1406.0211187528798,1422.8704665872435,12.420533412756413,16.849347834363698,bias,0.0625,1
1,2.8198330660011517,3.025849125,1435.291,1398.6709117642417,1422.8704665872435,12.420533412756413,24.19955482300179,bias,0.0625,1
2,2.813477388514745,3.025849125,1435.291,1397.9286886110508,1422.8704665872435,12.420533412756413,24.941777976192725,bias,0.0625,1
3,2.863030844682465,3.025849125,1435.291,1404.01082389709,1422.8704665872435,12.420533412756413,18.859642690153578,bias,0.0625,1
4,2.8181742555160887,3.025849125,1435.291,1398.4771940132387,1422.8704665872435,12.420533412756413,24.393272574004868,bias,0.0625,1
5,2.8067957841120186,3.025849125,1435.291,1397.1484033466122,1422.8704665872435,12.420533412756413,25.722063240631314,bias,0.0625,1
6,2.8344742437345767,3.025849125,1435.291,1400.4716895597992,1422.8704665872435,12.420533412756413,22.39877702744434,bias,0.0625,1
7,2.8379080590378605,3.025849125,1435.291,1400.8972560923826,1422.8704665872435,12.420533412756413,21.97321049486095,bias,0.0625,1
8,2.767719310452967,3.025849125,1435.291,1392.49909165821,1422.8704665872435,12.420533412756413,30.371374929033436,bias,0.0625,1
9,2.818872504246305,3.025849125,1435.291,1398.558736283966,1422.8704665872435,12.420533412756413,24.3117303032775,bias,0.0625,1
10,2.9502859085317312,3.025849125,1435.291,1414.283184039,1422.8704665872435,12.420533412756413,8.587282548243593,bias,0.0625,1
11,2.73545792434288,3.025849125,1435.291,1388.429653436348,1422.8704665872435,12.420533412756413,34.440813150895565,bias,0.0625,1
12,2.8481928201983617,3.025849125,1435.291,1402.171887882083,1422.8704665872435,12.420533412756413,20.69857870516057,bias,0.0625,1
13,2.868712807312087,3.025849125,1435.291,1404.7150123641413,1422.8704665872435,12.420533412756413,18.155454223102197,bias,0.0625,1
14,2.8067929072161624,3.025849125,1435.291,1397.1480673794836,1422.8704665872435,12.420533412756413,25.722399207759963,bias,0.0625,1
15,2.8506618742061605,3.025849125,1435.291,1402.4778876695077,1422.8704665872435,12.420533412756413,20.39257891773582,bias,0.0625,1
16,2.92232300102724,3.025849125,1435.291,1411.1123762722455,1422.8704665872435,12.420533412756413,11.758090314998071,bias,0.0625,1
17,2.8391134362744244,3.025849125,1435.291,1401.0466433382633,1422.8704665872435,12.420533412756413,21.82382324898026,bias,0.0625,1
18,2.880894886753745,3.025849125,1435.291,1406.224786434601,1422.8704665872435,12.420533412756413,16.645680152642626,bias,0.0625,1
19,2.880958517865231,3.025849125,1435.291,1406.2326724940094,1422.8704665872435,12.420533412756413,16.637794093234106,bias,0.0625,1
20,2.8524207110921678,3.025849125,1435.291,1402.6958673943468,1422.8704665872435,12.420533412756413,20.17459919289672,bias,0.0625,1
21,2.815569530150503,3.025849125,1435.291,1398.1730112603884,1422.8704665872435,12.420533412756413,24.697455326855106,bias,0.0625,1
22,2.885467870438916,3.025849125,1435.291,1406.7915346835816,1422.8704665872435,12.420533412756413,16.078931903661896,bias,0.0625,1
23,2.7861057665955156,3.025849125,1435.291,1394.732199869717,1422.8704665872435,12.420533412756413,28.13826671752645,bias,0.0625,1
24,2.9936011477269213,3.025849125,1435.291,1419.2055243553546,1422.8704665872435,12.420533412756413,3.664942231888972,bias,0.0625,1
25,2.795796229541826,3.025849125,1435.291,1395.8638630133041,1422.8704665872435,12.420533412756413,27.0066035739394,bias,0.0625,1
26,2.8529897906972463,3.025849125,1435.291,1402.7663957171912,1422.8704665872435,12.420533412756413,20.104070870052283,bias,0.0625,1
27,2.859310178242666,3.025849125,1435.291,1403.5497067501742,1422.8704665872435,12.420533412756413,19.320759837069318,bias,0.0625,1
28,2.8180987972878206,3.025849125,1435.291,1398.4683819166148,1422.8704665872435,12.420533412756413,24.40208467062871,bias,0.0625,1
29,2.7871735461858975,3.025849125,1435.291,1394.8568963692142,1422.8704665872435,12.420533412756413,28.013570218029372,bias,0.0625,1
30,2.8062216648370564,3.025849125,1435.291,1397.081357053045,1422.8704665872435,12.420533412756413,25.789109534198587,bias,0.0625,1
31,2.794074695706999,3.025849125,1435.291,1395.6628203590876,1422.8704665872435,12.420533412756413,27.20764622815591,bias,0.0625,1
32,2.8288514850659534,3.025849125,1435.291,1399.7748384776014,1422.8704665872435,12.420533412756413,23.09562810964212,bias,0.0625,1
33,2.831178877679443,3.025849125,1435.291,1400.0632815990284,1422.8704665872435,12.420533412756413,22.807184988215113,bias,0.0625,1
34,2.883784822186883,3.025849125,1435.291,1406.5829477487796,1422.8704665872435,12.420533412756413,16.28751883846394,bias,0.0625,1
35,2.8516154222077756,3.025849125,1435.291,1402.596064706086,1422.8704665872435,12.420533412756413,20.274401881157473,bias,0.0625,1
36,2.828421036245884,3.025849125,1435.291,1399.721491225163,1422.8704665872435,12.420533412756413,23.14897536208059,bias,0.0625,1
37,2.952559885038316,3.025849125,1435.291,1414.5412362481102,1422.8704665872435,12.420533412756413,8.329230339133346,bias,0.0625,1
38,2.8162687797490835,3.025849125,1435.291,1398.254670413647,1422.8704665872435,12.420533412756413,24.615796173596436,bias,0.0625,1
39,2.903812619221399,3.025849125,1435.291,1408.9591355277876,1422.8704665872435,12.420533412756413,13.91133105945596,bias,0.0625,1
40,2.954043988525365,3.025849125,1435.291,1414.709902750822,1422.8704665872435,12.420533412756413,8.160563836421488,bias,0.0625,1
41,2.8303429486141543,3.025849125,1435.291,1399.9596815499926,1422.8704665872435,12.420533412756413,22.91078503725089,bias,0.0625,1
42,2.980452073425662,3.025849125,1435.291,1417.7111485280323,1422.8704665872435,12.420533412756413,5.159318059211273,bias,0.0625,1
43,2.924807861636933,3.025849125,1435.291,1411.3941429418683,1422.8704665872435,12.420533412756413,11.47632364537526,bias,0.0625,1
44,2.881979878569344,3.025849125,1435.291,1406.3592538313783,1422.8704665872435,12.420533412756413,16.511212755865245,bias,0.0625,1
45,2.747782325048479,3.025849125,1435.291,1389.9842483667012,1422.8704665872435,12.420533412756413,32.88621822054233,bias,0.0625,1
46,2.8807966883372136,3.025849125,1435.291,1406.2126163101368,1422.8704665872435,12.420533412756413,16.657850277106718,bias,0.0625,1
47,2.9201370873001484,3.025849125,1435.291,1410.8645081912096,1422.8704665872435,12.420533412756413,12.005958396033975,bias,0.0625,1
48,2.7602163340081636,3.025849125,1435.291,1391.5526692379822,1422.8704665872435,12.420533412756413,31.317797349261355,bias,0.0625,1
49,2.8370955694685045,3.025849125,1435.291,1400.7965609942912,1422.8704665872435,12.420533412756413,22.073905592952315,bias,0.0625,1
50,2.718923029653298,3.025849125,1435.291,1386.3439484943892,1422.8704665872435,12.420533412756413,36.5265180928543,bias,0.0625,1
51,2.9355812061052697,3.025849125,1435.291,1412.6157685653352,1422.8704665872435,12.420533412756413,10.254698021908325,bias,0.0625,1
52,2.797483754663963,3.025849125,1435.291,1396.0609340918666,1422.8704665872435,12.420533412756413,26.80953249537697,bias,0.0625,1
53,2.911488060838104,3.025849125,1435.291,1409.8627918364984,1422.8704665872435,12.420533412756413,13.007674750745082,bias,0.0625,1
54,2.8895584874603624,3.025849125,1435.291,1407.280947257419,1422.8704665872435,12.420533412756413,15.589519329824498,bias,0.0625,1
55,2.8003628349614105,3.025849125,1435.291,1396.3971563217128,1422.8704665872435,12.420533412756413,26.4733102655307,bias,0.0625,1
56,2.8340039112800017,3.025849125,1435.291,1400.413399368226,1422.8704665872435,12.420533412756413,22.457067219017517,bias,0.0625,1
57,2.8972300189763835,3.025849125,1435.291,1408.184143216442,1422.8704665872435,12.420533412756413,14.686323370801574,bias,0.0625,1
58,2.892989297248626,3.025849125,1435.291,1407.684868368929,1422.8704665872435,12.420533412756413,15.185598218314453,bias,0.0625,1
59,2.8429027085916116,3.025849125,1435.291,1401.5162630873215,1422.8704665872435,12.420533412756413,21.35420349992205,bias,0.0625,1
60,2.8215171007848365,3.025849125,1435.291,1398.867575237161,1422.8704665872435,12.420533412756413,24.002891350082564,bias,0.0625,1
61,2.838259048975141,3.025849125,1435.291,1400.9407556860963,1422.8704665872435,12.420533412756413,21.929710901147246,bias,0.0625,1
62,2.792877712680566,3.025849125,1435.291,1395.5230353372554,1422.8704665872435,12.420533412756413,27.347431249988176,bias,0.0625,1
63,2.825736445666636,3.025849125,1435.291,1399.3887791241,1422.8704665872435,12.420533412756413,23.481687463143544,bias,0.0625,1
64,2.8501208541949627,3.025849125,1435.291,1402.4108368849174,1422.8704665872435,12.420533412756413,20.459629702326083,bias,0.0625,1
65,2.849518128050002,3.025849125,1435.291,1402.3361386111449,1422.8704665872435,12.420533412756413,20.534327976098666,bias,0.0625,1
66,2.775422746622276,3.025849125,1435.291,1393.4561923051306,1422.8704665872435,12.420533412756413,29.414274282112956,bias,0.0625,1
67,2.7596249437356457,3.025849125,1435.291,1391.4780715077172,1422.8704665872435,12.420533412756413,31.392395079526295,bias,0.0625,1
68,2.8212760990144488,3.025849125,1435.291,1398.8394307798117,1422.8704665872435,12.420533412756413,24.031035807431863,bias,0.0625,1
69,2.8571761023000177,3.025849125,1435.291,1403.2852221407911,1422.8704665872435,12.420533412756413,19.585244446452407,bias,0.0625,1
70,2.8575087936432584,3.025849125,1435.291,1403.326453916195,1422.8704665872435,12.420533412756413,19.54401267104845,bias,0.0625,1
71,2.9146061569361654,3.025849125,1435.291,1410.229896082858,1422.8704665872435,12.420533412756413,12.64057050438555,bias,0.0625,1
72,2.954913602902886,3.025849125,1435.291,1414.8087333357807,1422.8704665872435,12.420533412756413,8.061733251462783,bias,0.0625,1
73,2.7740794210667934,3.025849125,1435.291,1393.2898911696448,1422.8704665872435,12.420533412756413,29.580575417598766,bias,0.0625,1
74,2.850765789054391,3.025849125,1435.291,1402.4907662543296,1422.8704665872435,12.420533412756413,20.3797003329139,bias,0.0625,1
75,2.9092306093548874,3.025849125,1435.291,1409.5970142596125,1422.8704665872435,12.420533412756413,13.273452327631048,bias,0.0625,1
76,2.862525345800384,3.025849125,1435.291,1403.9481753888065,1422.8704665872435,12.420533412756413,18.92229119843705,bias,0.0625,1
77,2.8520415798696583,3.025849125,1435.291,1402.6488801380424,1422.8704665872435,12.420533412756413,20.22158644920114,bias,0.0625,1
78,2.9089754554621345,3.025849125,1435.291,1409.566974108649,1422.8704665872435,12.420533412756413,13.303492478594535,bias,0.0625,1
79,2.968601545765183,3.025849125,1435.291,1416.3643509002222,1422.8704665872435,12.420533412756413,6.506115687021293,bias,0.0625,1
80,2.793022316034388,3.025849125,1435.291,1395.5399222792796,1422.8704665872435,12.420533412756413,27.33054430796392,bias,0.0625,1
81,2.8610952327382972,3.025849125,1435.291,1403.7709357287545,1422.8704665872435,12.420533412756413,19.09953085848906,bias,0.0625,1
82,2.733319711263121,3.025849125,1435.291,1388.1599401015405,1422.8704665872435,12.420533412756413,34.710526485702985,bias,0.0625,1
83,2.737296557449999,3.025849125,1435.291,1388.6615778743294,1422.8704665872435,12.420533412756413,34.20888871291413,bias,0.0625,1
84,2.8383552764621682,3.025849125,1435.291,1400.952681545345,1422.8704665872435,12.420533412756413,21.91778504189847,bias,0.0625,1
85,2.8403230640207813,3.025849125,1435.291,1401.1965573669072,1422.8704665872435,12.420533412756413,21.673909220336327,bias,0.0625,1
86,2.890142420458029,3.025849125,1435.291,1407.3496957104144,1422.8704665872435,12.420533412756413,15.520770876829147,bias,0.0625,1
87,2.830862052510631,3.025849125,1435.291,1400.024016182395,1422.8704665872435,12.420533412756413,22.84645040484861,bias,0.0625,1
88,2.866728794637335,3.025849125,1435.291,1404.4691256987205,1422.8704665872435,12.420533412756413,18.40134088852301,bias,0.0625,1
89,2.756021351338127,3.025849125,1435.291,1391.0235158172568,1422.8704665872435,12.420533412756413,31.846950769986734,bias,0.0625,1
90,2.8220659171191267,3.025849125,1435.291,1398.9338757677026,1422.8704665872435,12.420533412756413,23.936590819540925,bias,0.0625,1
91,2.8547315880604005,3.025849125,1435.291,1402.9822636654735,1422.8704665872435,12.420533412756413,19.888202921770016,bias,0.0625,1
92,2.894640614072151,3.025849125,1435.291,1407.879283614302,1422.8704665872435,12.420533412756413,14.991182972941488,bias,0.0625,1
93,2.8689266544609193,3.025849125,1435.291,1404.7415153008442,1422.8704665872435,12.420533412756413,18.128951286399342,bias,0.0625,1
94,2.906147006744924,3.025849125,1435.291,1409.2339710509996,1422.8704665872435,12.420533412756413,13.636495536243956,bias,0.0625,1
95,2.8410144569691442,3.025849125,1435.291,1401.2822444740168,1422.8704665872435,12.420533412756413,21.58822211322672,bias,0.0625,1
96,2.845844049605847,3.025849125,1435.291,1401.8807953017877,1422.8704665872435,12.420533412756413,20.98967128545587,bias,0.0625,1
97,2.900433613872884,3.025849125,1435.291,1408.5613135322808,1422.8704665872435,12.420533412756413,14.309153054962735,bias,0.0625,1
98,2.8048165590316034,3.025849125,1435.291,1396.9172672193931,1422.8704665872435,12.420533412756413,25.953199367850402,bias,0.0625,1
99,2.8334885021833176,3.025849125,1435.291,1400.3495226472128,1422.8704665872435,12.420533412756413,22.520943940030747,bias,0.0625,1
100,2.890372279138059,3.025849125,1435.291,1407.3767577684293,1422.8704665872435,12.420533412756413,15.493708818814184,bias,0.0625,1
101,2.776918288762385,3.025849125,1435.291,1393.6413375627726,1422.8704665872435,12.420533412756413,29.22912902447092,bias,0.0625,1
102,2.822986369355823,3.025849125,1435.291,1399.0479511131077,1422.8704665872435,12.420533412756413,23.8225154741358,bias,0.0625,1
103,2.8847167487302285,3.025849125,1435.291,1406.6984451511282,1422.8704665872435,12.420533412756413,16.1720214361153,bias,0.0625,1
104,2.8562204760238017,3.025849125,1435.291,1403.166787535288,1422.8704665872435,12.420533412756413,19.703679051955532,bias,0.0625,1
105,2.898809577083416,3.025849125,1435.291,1408.3701100597423,1422.8704665872435,12.420533412756413,14.500356527501253,bias,0.0625,1
106,2.830500302728572,3.025849125,1435.291,1399.979183077869,1422.8704665872435,12.420533412756413,22.89128350937449,bias,0.0625,1
107,2.8495566611342396,3.025849125,1435.291,1402.3409141711563,1422.8704665872435,12.420533412756413,20.5295524160872,bias,0.0625,1
108,2.8740273988274723,3.025849125,1435.291,1405.3736710523763,1422.8704665872435,12.420533412756413,17.49679553486726,bias,0.0625,1
109,2.8783645585036814,3.025849125,1435.291,1405.9111926840435,1422.8704665872435,12.420533412756413,16.959273903200028,bias,0.0625,1
110,2.768305694108644,3.025849125,1435.291,1392.5730578558478,1422.8704665872435,12.420533412756413,30.297408731395763,bias,0.0625,1
111,2.760720232849711,3.025849125,1435.291,1391.61623083446,1422.8704665872435,12.420533412756413,31.254235752783416,bias,0.0625,1
112,2.9498315469416756,3.025849125,1435.291,1414.2316624560447,1422.8704665872435,12.420533412756413,8.638804131198867,bias,0.0625,1
113,2.7717483659491102,3.025849125,1435.291,1393.0013110027835,1422.8704665872435,12.420533412756413,29.86915558446003,bias,0.0625,1
114,2.8281398701148026,3.025849125,1435.291,1399.686645176405,1422.8704665872435,12.420533412756413,23.18382141083862,bias,0.0625,1
115,2.726414833320988,3.025849125,1435.291,1387.2889615850218,1422.8704665872435,12.420533412756413,35.581505002221775,bias,0.0625,1
116,2.9070140339236525,3.025849125,1435.291,1409.3360491618114,1422.8704665872435,12.420533412756413,13.534417425432139,bias,0.0625,1
117,2.9350650889207164,3.025849125,1435.291,1412.5572443086187,1422.8704665872435,12.420533412756413,10.313222278624835,bias,0.0625,1
118,2.8901075476649787,3.025849125,1435.291,1407.3455900157824,1422.8704665872435,12.420533412756413,15.524876571461164,bias,0.0625,1
119,2.8133413591959506,3.025849125,1435.291,1397.9128029544643,1422.8704665872435,12.420533412756413,24.95766363277926,bias,0.0625,1
120,2.8509779402055573,3.025849125,1435.291,1402.5170589992242,1422.8704665872435,12.420533412756413,20.35340758801931,bias,0.0625,1
121,2.9128696451033536,3.025849125,1435.291,1410.0254505341543,1422.8704665872435,12.420533412756413,12.845016053089239,bias,0.0625,1
122,2.8770463325336197,3.025849125,1435.291,1405.747819641031,1422.8704665872435,12.420533412756413,17.122646946212626,bias,0.0625,1
123,2.81477618800157,3.025849125,1435.291,1398.0803638734496,1422.8704665872435,12.420533412756413,24.790102713793885,bias,0.0625,1
124,2.890346097118022,3.025849125,1435.291,1407.3736752685857,1422.8704665872435,12.420533412756413,15.49679131865787,bias,0.0625,1
125,2.7633975784498666,3.025849125,1435.291,1391.9539501277736,1422.8704665872435,12.420533412756413,30.916516459469904,bias,0.0625,1
126,2.849470049301321,3.025849125,1435.291,1402.330180018571,1422.8704665872435,12.420533412756413,20.540286568672627,bias,0.0625,1
127,2.8751647046324904,3.025849125,1435.291,1405.5146219321355,1422.8704665872435,12.420533412756413,17.355844655108058,bias,0.0625,1
128,2.774911845063767,3.025849125,1435.291,1393.3929436689718,1422.8704665872435,12.420533412756413,29.47752291827169,bias,0.0625,1
129,2.8487830196571475,3.025849125,1435.291,1402.2450336732875,1422.8704665872435,12.420533412756413,20.625432913956047,bias,0.0625,1
130,2.8606305538740333,3.025849125,1435.291,1403.713346209353,1422.8704665872435,12.420533412756413,19.15712037789058,bias,0.0625,1
131,2.9282858766997375,3.025849125,1435.291,1411.7885267223196,1422.8704665872435,12.420533412756413,11.081939864923925,bias,0.0625,1
132,2.85363794949979,3.025849125,1435.291,1402.8467246428318,1422.8704665872435,12.420533412756413,20.023741944411768,bias,0.0625,1
133,2.851329218223462,3.025849125,1435.291,1402.5605942959276,1422.8704665872435,12.420533412756413,20.30987229131597,bias,0.0625,1
134,2.8055617254402976,3.025849125,1435.291,1397.0042885892935,1422.8704665872435,12.420533412756413,25.86617799794999,bias,0.0625,1
135,2.8869433845774255,3.025849125,1435.291,1406.9730621432973,1422.8704665872435,12.420533412756413,15.897404443946243,bias,0.0625,1
136,2.9229775520394936,3.025849125,1435.291,1411.1865980044831,1422.8704665872435,12.420533412756413,11.683868582760397,bias,0.0625,1
137,2.768653530194164,3.025849125,1435.291,1392.616933759274,1422.8704665872435,12.420533412756413,30.253532827969593,bias,0.0625,1
138,2.9103715339223046,3.025849125,1435.291,1409.7313392580418,1422.8704665872435,12.420533412756413,13.139127329201756,bias,0.0625,1
139,2.8317414322791565,3.025849125,1435.291,1400.133001251731,1422.8704665872435,12.420533412756413,22.737465335512525,bias,0.0625,1
140,2.851493112592249,3.025849125,1435.291,1402.5809063838165,1422.8704665872435,12.420533412756413,20.289560203427072,bias,0.0625,1
141,2.859831388776036,3.025849125,1435.291,1403.6143024665544,1422.8704665872435,12.420533412756413,19.256164120689164,bias,0.0625,1
142,2.805666138580658,3.025849125,1435.291,1397.016482073063,1422.8704665872435,12.420533412756413,25.853984514180638,bias,0.0625,1
143,2.811831325012992,3.025849125,1435.291,1397.7364594670707,1422.8704665872435,12.420533412756413,25.134007120172782,bias,0.0625,1
144,2.918689160203289,3.025849125,1435.291,1410.7003228866706,1422.8704665872435,12.420533412756413,12.170143700572908,bias,0.0625,1
145,2.810327728400522,3.025849125,1435.291,1397.5608677663872,1422.8704665872435,12.420533412756413,25.30959882085631,bias,0.0625,1
146,2.873655135492036,3.025849125,1435.291,1405.3275349609216,1422.8704665872435,12.420533412756413,17.542931626321888,bias,0.0625,1
147,2.9411147587662683,3.025849125,1435.291,1413.2432366407643,1422.8704665872435,12.420533412756413,9.627229946479247,bias,0.0625,1
148,2.886902496988716,3.025849125,1435.291,1406.9682483059532,1422.8704665872435,12.420533412756413,15.902218281290288,bias,0.0625,1
149,2.867553481274967,3.025849125,1435.291,1404.5713324285086,1422.8704665872435,12.420533412756413,18.299134158734887,bias,0.0625,1
150,2.846401300556768,3.025849125,1435.291,1401.9498576519773,1422.8704665872435,12.420533412756413,20.920608935266273,bias,0.0625,1
151,2.7030211851608317,3.025849125,1435.291,1384.3380962487686,1422.8704665872435,12.420533412756413,38.53237033847495,bias,0.0625,1
152,2.8041780610160805,3.025849125,1435.291,1396.8427027042171,1422.8704665872435,12.420533412756413,26.02776388302641,bias,0.0625,1
153,2.9082302835921734,3.025849125,1435.291,1409.4792424451184,1422.8704665872435,12.420533412756413,13.391224142125111,bias,0.0625,1
154,2.914088205172733,3.025849125,1435.291,1410.1689158289514,1422.8704665872435,12.420533412756413,12.701550758292115,bias,0.0625,1
155,2.907338522137923,3.025849125,1435.291,1409.3742522824357,1422.8704665872435,12.420533412756413,13.496214304807836,bias,0.0625,1
156,2.9062034804577226,3.025849125,1435.291,1409.240619896681,1422.8704665872435,12.420533412756413,13.629846690562545,bias,0.0625,1
157,2.820249899054579,3.025849125,1435.291,1398.7195899962526,1422.8704665872435,12.420533412756413,24.150876590990947,bias,0.0625,1
158,2.7122641481252945,3.025849125,1435.291,1385.5039998662537,1422.8704665872435,12.420533412756413,37.36646672098982,bias,0.0625,1
159,2.7947538397334974,3.025849125,1435.291,1395.7421315610636,1422.8704665872435,12.420533412756413,27.12833502617991,bias,0.0625,1
