sample_index,healthy_sensor,faulty_sensor,healthy_ground_truth,healthy_prediction,faulty_prediction,prediction_error,residual,fault_type,severity,repetition
0,11.110316825897119,14.9307918975,221.6221,227.47113959414975,235.33686716050505,-13.714767160505062,7.865727566355304,bias,0.35,1
1,11.12928181026638,14.9307918975,221.6221,227.51559014952028,235.33686716050505,-13.714767160505062,7.8212770109847725,bias,0.35,1
2,10.985095259521088,14.9307918975,221.6221,227.1776424806592,235.33686716050505,-13.714767160505062,8.159224679845863,bias,0.35,1
3,11.135333165524106,14.9307918975,221.6221,227.52977345158433,235.33686716050505,-13.714767160505062,7.807093708920718,bias,0.35,1
4,11.190904760362518,14.9307918975,221.6221,227.6600234009275,235.33686716050505,-13.714767160505062,7.676843759577537,bias,0.35,1
5,11.074113016063718,14.9307918975,221.6221,227.38628429333397,235.33686716050505,-13.714767160505062,7.950582867171079,bias,0.35,1
6,11.496103212370075,14.9307918975,221.6221,228.37535437224784,235.33686716050505,-13.714767160505062,6.96151278825721,bias,0.35,1
7,11.267880994506891,14.9307918975,221.6221,227.8404420235545,235.33686716050505,-13.714767160505062,7.496425136950563,bias,0.35,1
8,10.910855977918297,14.9307918975,221.6221,227.00363878873475,235.33686716050505,-13.714767160505062,8.333228371770304,bias,0.35,1
9,10.971056055429061,14.9307918975,221.6221,227.1447370794894,235.33686716050505,-13.714767160505062,8.192130081015648,bias,0.35,1
10,10.66215690130911,14.9307918975,221.6221,226.42073231962553,235.33686716050505,-13.714767160505062,8.916134840879522,bias,0.35,1
11,10.926132840349858,14.9307918975,221.6221,227.03944504125667,235.33686716050505,-13.714767160505062,8.297422119248381,bias,0.35,1
12,10.970861776677756,14.9307918975,221.6221,227.1442817245985,235.33686716050505,-13.714767160505062,8.192585435906551,bias,0.35,1
13,11.030176636768187,14.9307918975,221.6221,227.28330522292572,235.33686716050505,-13.714767160505062,8.053561937579332,bias,0.35,1
14,11.231926654263276,14.9307918975,221.6221,227.75617143515376,235.33686716050505,-13.714767160505062,7.5806957253512905,bias,0.35,1
15,11.473908093855169,14.9307918975,221.6221,228.32333295607924,235.33686716050505,-13.714767160505062,7.0135342044258095,bias,0.35,1
16,11.218611584871972,14.9307918975,221.6221,227.72496327712344,235.33686716050505,-13.714767160505062,7.611903883381615,bias,0.35,1
17,11.070043533283945,14.9307918975,221.6221,227.37674614839761,235.33686716050505,-13.714767160505062,7.960121012107436,bias,0.35,1
18,11.137318742313282,14.9307918975,221.6221,227.5344272909598,235.33686716050505,-13.714767160505062,7.802439869545253,bias,0.35,1
19,10.944426289840708,14.9307918975,221.6221,227.08232163812966,235.33686716050505,-13.714767160505062,8.254545522375395,bias,0.35,1
20,11.092533910132177,14.9307918975,221.6221,227.42945959766433,235.33686716050505,-13.714767160505062,7.907407562840717,bias,0.35,1
21,10.980136675491021,14.9307918975,221.6221,227.16602044028775,235.33686716050505,-13.714767160505062,8.170846720217298,bias,0.35,1
22,10.686167166372105,14.9307918975,221.6221,226.4770081169508,235.33686716050505,-13.714767160505062,8.859859043554252,bias,0.35,1
23,10.926127711704275,14.9307918975,221.6221,227.03943302062214,235.33686716050505,-13.714767160505062,8.29743413988291,bias,0.35,1
24,11.324944431288987,14.9307918975,221.6221,227.97418858547712,235.33686716050505,-13.714767160505062,7.362678575027928,bias,0.35,1
25,11.42013765962077,14.9307918975,221.6221,228.19730460732382,235.33686716050505,-13.714767160505062,7.139562553181236,bias,0.35,1
26,10.840981879573857,14.9307918975,221.6221,226.8398663111546,235.33686716050505,-13.714767160505062,8.497000849350457,bias,0.35,1
27,11.419095700998984,14.9307918975,221.6221,228.1948624413559,235.33686716050505,-13.714767160505062,7.142004719149156,bias,0.35,1
28,11.028999618851186,14.9307918975,221.6221,227.28054650195503,235.33686716050505,-13.714767160505062,8.056320658550021,bias,0.35,1
29,10.842398118212076,14.9307918975,221.6221,226.84318572301282,235.33686716050505,-13.714767160505062,8.493681437492228,bias,0.35,1
