sample_index,healthy_sensor,faulty_sensor,healthy_ground_truth,healthy_prediction,faulty_prediction,prediction_error,residual,fault_type,severity,repetition
0,1.18304232882155,1.2069323250000001,221.6221,227.79020067551602,229.03223905018592,-7.410139050185933,1.242038374669903,bias,0.0275,1
1,1.1711679168092446,1.2069323250000001,221.6221,227.17285125085516,229.03223905018592,-7.410139050185933,1.8593877993307615,bias,0.0275,1
2,1.1886226945279996,1.2069323250000001,221.6221,228.08032329840512,229.03223905018592,-7.410139050185933,0.9519157517808026,bias,0.0275,1
3,1.1802364809590418,1.2069323250000001,221.6221,227.64432494189577,229.03223905018592,-7.410139050185933,1.387914108290147,bias,0.0275,1
4,1.1511021865223683,1.2069323250000001,221.6221,226.12963605542723,229.03223905018592,-7.410139050185933,2.902602994758695,bias,0.0275,1
5,1.192656656078785,1.2069323250000001,221.6221,228.29004853279173,229.03223905018592,-7.410139050185933,0.7421905173941923,bias,0.0275,1
6,1.1664141474872887,1.2069323250000001,221.6221,226.9257032865733,229.03223905018592,-7.410139050185933,2.1065357636126123,bias,0.0275,1
7,1.196134858657671,1.2069323250000001,221.6221,228.47087991700715,229.03223905018592,-7.410139050185933,0.5613591331787688,bias,0.0275,1
8,1.1434389393795241,1.2069323250000001,221.6221,225.73122464694904,229.03223905018592,-7.410139050185933,3.301014403236877,bias,0.0275,1
9,1.1967458266575124,1.2069323250000001,221.6221,228.5026440787018,229.03223905018592,-7.410139050185933,0.5295949714841299,bias,0.0275,1
10,1.1586931842760642,1.2069323250000001,221.6221,226.52429122580457,229.03223905018592,-7.410139050185933,2.507947824381347,bias,0.0275,1
11,1.1696154989577585,1.2069323250000001,221.6221,227.0921412109426,229.03223905018592,-7.410139050185933,1.9400978392433217,bias,0.0275,1
12,1.1888221121236293,1.2069323250000001,221.6221,228.09069099811109,229.03223905018592,-7.410139050185933,0.941548052074836,bias,0.0275,1
13,1.1921382463511536,1.2069323250000001,221.6221,228.26309646588004,229.03223905018592,-7.410139050185933,0.7691425843058823,bias,0.0275,1
14,1.1793786203631351,1.2069323250000001,221.6221,227.59972486024338,229.03223905018592,-7.410139050185933,1.4325141899425375,bias,0.0275,1
15,1.1936335663481774,1.2069323250000001,221.6221,228.34083799437764,229.03223905018592,-7.410139050185933,0.691401055808285,bias,0.0275,1
16,1.173532244831801,1.2069323250000001,221.6221,227.29577241469212,229.03223905018592,-7.410139050185933,1.736466635493798,bias,0.0275,1
17,1.1660689692549133,1.2069323250000001,221.6221,226.90775750677892,229.03223905018592,-7.410139050185933,2.1244815434070006,bias,0.0275,1
