window_start,window_end,mean,standard_deviation,rms,maximum_error,slope,skewness,kurtosis,autocorrelation_lag1,dominant_frequency_energy,wavelet_detail_energy,dropout_ratio,spike_count
0,30,2.1756009891552517,1.3522619744952622,2.5616112335167363,5.370399906141017,-0.05100970226736588,0.6448662011015371,2.7454029235092876,0.3119603715617486,120.55757934634275,11.503824843730216,0.0,1
10,40,2.0445791278314855,1.0686263931134978,2.3070037230188696,4.5319496167766715,0.013183869340596455,0.27579887544697507,2.7959952530245884,0.11333883677147467,161.29211948121178,7.711387178031378,0.0,1
20,50,2.1458070298515017,1.0582113360622925,2.3925507395102126,4.780176332238909,0.013467481650681788,0.35717441927661897,2.6713170716001438,0.34317282052588155,119.20269606495913,5.8562524350423395,0.0,1
30,60,2.300408313387241,1.015241184589339,2.51447669927313,4.780176332238909,0.02692319845502084,0.16599352799227762,2.797326677191909,0.3050674061246135,83.59488251879925,6.337507238673274,0.0,1
40,70,2.383241370517637,1.2835562123801394,2.706908934649711,4.780176332238909,0.032830007067225934,-0.2053705173029001,3.1091861482946137,0.2824816834840821,201.3873054485959,12.270052780947001,0.0,0
50,80,2.367114368367616,1.2523047794753752,2.6779652151641713,4.61275207182598,-0.015826155390421523,-0.301891374406593,3.1126982020620346,-0.1640122462580925,129.7713657966333,22.467153444513574,0.0,0
60,90,2.1992276676775324,1.2794987777504212,2.5443504979745186,4.61275207182598,-0.02105683167435117,-0.15084987764491978,2.8275596782521477,-0.03764211665793207,182.22677339983062,22.36538098621266,0.0,0
70,100,1.9444113983982239,1.0524952714607954,2.210991176524291,4.167276576026552,-0.019024759614466705,-0.006916818158877913,2.2379246614634165,-0.3373362214315801,162.92256542387074,21.055534736262924,0.0,1
80,110,1.8931464049104592,1.0829650350770381,2.181012741279795,3.7105249321389806,-0.003819655595354843,-0.6251205737465912,2.8925319038811756,-0.33828760158710625,176.04455649463046,21.46749753479741,0.0,0
90,120,2.219058626583736,1.159000317656654,2.5034981375155683,4.070463562912323,0.0559974987057163,-0.8009147400034877,3.280954981856653,-0.12731282157065188,222.31361502569322,21.961330659132877,0.0,0
100,130,2.3240760565024328,1.1169244409548802,2.578536352896788,4.070463562912323,0.005973471944341086,-0.998531516069209,3.8258963497676888,-0.1272967406388052,127.92116191851281,24.102487717001793,0.0,0
110,140,2.5214762817982868,0.9997685433115012,2.7124490372846664,4.070463562912323,-0.025548969300104137,-0.7794238304296927,2.9918348180691434,-0.05613141958704527,105.4819298581089,20.689543159937706,0.0,0
120,150,2.1425968016096117,0.9290394869145002,2.3353448187610537,3.869922096604398,-0.011919747614769872,-0.20965930448536246,2.526316289010545,-0.10612636908983689,92.73937241070365,18.835791864536066,0.0,0
130,160,1.9730300309131943,1.004895915882343,2.2141958595938016,4.310997913919266,-0.05174251513635472,0.4507924134384992,2.685743603681753,0.1764747350564011,87.76274545216783,16.151280391909296,0.0,1
140,170,1.899602240491483,0.9341299644648894,2.116857922155249,4.310997913919266,0.008931174875650632,0.6476724839781345,3.0779441502523683,0.052032662673780164,72.09514563066519,13.227611857993647,0.0,2
150,180,1.9981658330183203,1.1710107644142316,2.316016603268595,4.310997913919266,0.01668922949972819,0.08098180075240659,2.0809570201304957,-0.10303340591202483,109.5867782605558,23.534520051067748,0.0,0
160,190,2.1874206920340025,1.1001412196243825,2.4484934116830166,3.889580983088365,-0.01787411770420997,-0.5450743451948585,2.3504667312022747,-0.18897036942299522,116.13419431917252,22.48486792710329,0.0,0
170,200,1.9441031080501905,1.0506377966966094,2.2098363456550167,3.6251075807605275,-0.03598111433266398,-0.22246768382807564,2.128360125169811,-0.03043429774242707,73.72836065338923,18.22019651586603,0.0,0
180,210,1.9378748009395812,1.0095898854623113,2.185092785431416,3.7593574797484735,-0.015203644090824541,-0.041442929539712424,1.9963735020035578,0.17890222865117664,91.22167966942217,15.75541061592729,0.0,0
190,220,1.960302052167348,0.9848620288287556,2.1937951936222784,4.062580342065701,0.017408995090347778,0.19276197479237642,2.4225193024778866,0.21889369683939539,90.66159062637028,17.22259526758951,0.0,1
200,230,2.3464761746615523,1.0208074918059458,2.558905698454216,4.183254138097595,0.024894721957108977,-0.3225090389005364,2.5428293902014505,0.17386105844356325,56.58869332775018,18.293825640332575,0.0,0
210,240,2.5187899755294554,0.9198492807103439,2.681496902860604,4.3253958066454175,0.016579554168863,-0.021269253028204375,2.667813666537598,0.19393390097846638,85.00121583718155,13.300000781928313,0.0,0
220,250,2.442133476848515,1.104308367078129,2.6802076203799916,4.3253958066454175,-0.03099460141916527,-0.4235607467192839,2.558377522867201,0.12938239712309457,102.75027246273471,13.318923652493774,0.0,0
230,260,1.9978543043777848,1.1835202530072078,2.322098622108692,4.3253958066454175,-0.056346156946863124,0.032977405975962874,2.2777984116479226,0.01626679759623012,124.65494031409993,15.539473227349129,0.0,0
240,270,1.8924634858330516,1.205739867627089,2.2439310759461337,4.009918609349938,0.019417289493802357,0.0920789948289186,1.9895801065383625,-0.13109609054202168,143.6876074797606,21.99983704447305,0.0,0
250,280,2.0382142593035097,1.0952693599553904,2.313856594019008,4.009918609349938,0.03652952323589911,-0.04298729108071799,2.1070735847471593,0.04039044877427809,189.6616771741158,20.41795374328059,0.0,0
260,290,2.1959465898894357,1.1949869608745662,2.5000350522157233,4.658337925609999,-0.025963898891668,-0.028606834694939742,2.150157893042879,-0.055588985207581154,137.80770461293938,32.12683818239308,0.0,0
