sample_index,healthy_sensor,faulty_sensor,healthy_ground_truth,healthy_prediction,faulty_prediction,prediction_error,residual,fault_type,severity,repetition
0,21.007641029766184,0.0,1435.291,1403.5716940366,1404.0039997175452,31.287000282454756,0.4323056809450918,dropout,0.275,1
1,21.31949786142921,0.0,1435.291,1402.5384044884236,1404.0039997175452,31.287000282454756,1.465595229121618,dropout,0.275,1
2,22.21170249521746,0.0,1435.291,1399.608957255489,1404.0039997175452,31.287000282454756,4.3950424620561535,dropout,0.275,1
3,21.52021656719717,0.0,1435.291,1401.8793686182403,1404.0039997175452,31.287000282454756,2.1246310993049065,dropout,0.275,1
4,21.155790833088943,0.0,1435.291,1403.0759169413088,1404.0039997175452,31.287000282454756,0.9280827762363515,dropout,0.275,1
5,21.64477810741681,0.0,1435.291,1401.4703856949202,1404.0039997175452,31.287000282454756,2.533614022624988,dropout,0.275,1
6,21.220499338687862,0.0,1435.291,1402.8634543004582,1404.0039997175452,31.287000282454756,1.1405454170869689,dropout,0.275,1
7,21.244759141042323,0.0,1435.291,1402.7838001402047,1404.0039997175452,31.287000282454756,1.2201995773405088,dropout,0.275,1
8,21.62533394198464,0.0,1435.291,1401.5342282871518,1404.0039997175452,31.287000282454756,2.4697714303933935,dropout,0.275,1
9,22.021692621069604,0.0,1435.291,1400.2328319575172,1404.0039997175452,31.287000282454756,3.7711677600279927,dropout,0.275,1
10,21.590487101962292,0.0,1435.291,1401.6486437196816,1404.0039997175452,31.287000282454756,2.355355997863626,dropout,0.275,1
11,21.859835784139676,0.0,1435.291,1400.7642695281365,1404.0039997175452,31.287000282454756,3.2397301894086468,dropout,0.275,1
12,21.466013455749973,0.0,1435.291,1402.057338053538,1404.0039997175452,31.287000282454756,1.9466616640072516,dropout,0.275,1
13,21.105886485936725,0.0,1435.291,1403.2397718980533,1404.0039997175452,31.287000282454756,0.7642278194919072,dropout,0.275,1
14,22.54756095251356,0.0,1435.291,1398.3048490318238,1404.0039997175452,31.287000282454756,5.699150685721406,dropout,0.275,1
15,21.351704276456672,0.0,1435.291,1402.4326585756453,1404.0039997175452,31.287000282454756,1.571341141899893,dropout,0.275,1
16,20.20237558700929,0.0,1435.291,1406.3707970976538,1404.0039997175452,31.287000282454756,-2.3667973801086646,dropout,0.275,1
17,21.777829625492142,0.0,1435.291,1401.033526944469,1404.0039997175452,31.287000282454756,2.9704727730761533,dropout,0.275,1
18,22.041721624161827,0.0,1435.291,1400.1670691207587,1404.0039997175452,31.287000282454756,3.8369305967864875,dropout,0.275,1
19,21.088028328013973,0.0,1435.291,1403.2984070242685,1404.0039997175452,31.287000282454756,0.7055926932766852,dropout,0.275,1
20,21.974647265625123,0.0,1435.291,1400.3872997568428,1404.0039997175452,31.287000282454756,3.6166999607023627,dropout,0.275,1
21,21.181376973254025,0.0,1435.291,1402.9919079094461,1404.0039997175452,31.287000282454756,1.0120918080990577,dropout,0.275,1
22,20.79909673656983,0.0,1435.291,1404.3506749846879,1404.0039997175452,31.287000282454756,-0.34667526714270025,dropout,0.275,1
23,21.62839120266505,0.0,1435.291,1401.5241901372683,1404.0039997175452,31.287000282454756,2.4798095802768785,dropout,0.275,1
24,21.7099572730154,0.0,1435.291,1401.2563776982379,1404.0039997175452,31.287000282454756,2.7476220193073004,dropout,0.275,1
25,21.032683790207987,0.0,1435.291,1403.4801241965338,1404.0039997175452,31.287000282454756,0.523875521011405,dropout,0.275,1
26,21.862477009173816,0.0,1435.291,1400.755597381552,1404.0039997175452,31.287000282454756,3.2484023359932053,dropout,0.275,1
27,22.133579803056637,0.0,1435.291,1399.8654637739637,1404.0039997175452,31.287000282454756,4.1385359435814735,dropout,0.275,1
28,21.2406653875407,0.0,1435.291,1402.7972414903313,1404.0039997175452,31.287000282454756,1.206758227213868,dropout,0.275,1
29,20.72099519057698,0.0,1435.291,1404.6430744919378,1404.0039997175452,31.287000282454756,-0.6390747743926113,dropout,0.275,1
30,21.51293486869417,0.0,1435.291,1401.9032772045925,1404.0039997175452,31.287000282454756,2.1007225129526432,dropout,0.275,1
31,21.39720463390098,0.0,1435.291,1402.283263592516,1404.0039997175452,31.287000282454756,1.7207361250291342,dropout,0.275,1
32,21.610189802390973,0.0,1435.291,1401.5839522587025,1404.0039997175452,31.287000282454756,2.420047458842646,dropout,0.275,1
33,22.24063427751267,0.0,1435.291,1399.513963207735,1404.0039997175452,31.287000282454756,4.490036509810125,dropout,0.275,1
34,21.30868003463517,0.0,1435.291,1402.5739235291994,1404.0039997175452,31.287000282454756,1.4300761883457653,dropout,0.275,1
35,21.37016219819045,0.0,1435.291,1402.372054196671,1404.0039997175452,31.287000282454756,1.6319455208742966,dropout,0.275,1
