sample_index,healthy_sensor,faulty_sensor,healthy_ground_truth,healthy_prediction,faulty_prediction,prediction_error,residual,fault_type,severity,repetition
0,2.8541542380071974,0.0,1435.291,1402.9107103527506,1030.0460304609621,405.2449695390378,-372.86467989178846,dropout,0.4,1
1,2.840985548315742,0.0,1435.291,1401.2786617084034,1030.0460304609621,405.2449695390378,-371.2326312474413,dropout,0.4,1
2,2.8603973916747574,0.0,1435.291,1403.6844494808129,1030.0460304609621,405.2449695390378,-373.63841901985074,dropout,0.4,1
3,2.822048751746805,0.0,1435.291,1398.9317483941154,1030.0460304609621,405.2449695390378,-368.8857179331533,dropout,0.4,1
4,2.7085282444946452,0.0,1435.291,1385.032754490253,1030.0460304609621,405.2449695390378,-354.9867240292908,dropout,0.4,1
5,2.924570702424921,0.0,1435.291,1411.3672506642579,1030.0460304609621,405.2449695390378,-381.32122020329575,dropout,0.4,1
6,2.8514077964410474,0.0,1435.291,1402.570332810274,1030.0460304609621,405.2449695390378,-372.52430234931194,dropout,0.4,1
7,2.7917488671409907,0.0,1435.291,1395.3912074876453,1030.0460304609621,405.2449695390378,-365.34517702668313,dropout,0.4,1
8,2.8231452878469874,0.0,1435.291,1399.0676465204824,1030.0460304609621,405.2449695390378,-369.0216160595203,dropout,0.4,1
9,2.8516122439979465,0.0,1435.291,1402.5956708177673,1030.0460304609621,405.2449695390378,-372.5496403568052,dropout,0.4,1
10,2.843098942516867,0.0,1435.291,1401.540583146431,1030.0460304609621,405.2449695390378,-371.49455268546876,dropout,0.4,1
11,2.818629257044226,0.0,1435.291,1398.5303296025827,1030.0460304609621,405.2449695390378,-368.48429914162057,dropout,0.4,1
12,2.8581432334930033,0.0,1435.291,1403.405082596873,1030.0460304609621,405.2449695390378,-373.3590521359108,dropout,0.4,1
13,2.8297037005526193,0.0,1435.291,1399.880456968301,1030.0460304609621,405.2449695390378,-369.8344265073388,dropout,0.4,1
14,2.874362333925092,0.0,1435.291,1405.4151809052792,1030.0460304609621,405.2449695390378,-375.36915044431703,dropout,0.4,1
15,2.760508438628181,0.0,1435.291,1391.5895151968457,1030.0460304609621,405.2449695390378,-361.54348473588357,dropout,0.4,1
16,2.871645435338599,0.0,1435.291,1405.0784647430178,1030.0460304609621,405.2449695390378,-375.03243428205565,dropout,0.4,1
17,2.804674033241838,0.0,1435.291,1396.9006228976323,1030.0460304609621,405.2449695390378,-366.85459243667015,dropout,0.4,1
18,2.7087504066374537,0.0,1435.291,1385.0607779332727,1030.0460304609621,405.2449695390378,-355.01474747231055,dropout,0.4,1
19,2.828705893632621,0.0,1435.291,1399.756794746071,1030.0460304609621,405.2449695390378,-369.7107642851088,dropout,0.4,1
20,2.830754226344729,0.0,1435.291,1400.0106528522529,1030.0460304609621,405.2449695390378,-369.96462239129073,dropout,0.4,1
21,2.853972562667827,0.0,1435.291,1402.8881945977078,1030.0460304609621,405.2449695390378,-372.8421641367456,dropout,0.4,1
22,2.8072946606760962,0.0,1435.291,1397.2066627119175,1030.0460304609621,405.2449695390378,-367.16063225095536,dropout,0.4,1
23,2.9125444435310506,0.0,1435.291,1409.9871634274198,1030.0460304609621,405.2449695390378,-379.94113296645764,dropout,0.4,1
24,2.7753363981502566,0.0,1435.291,1393.4455025293828,1030.0460304609621,405.2449695390378,-363.39947206842066,dropout,0.4,1
25,2.8631099140141,0.0,1435.291,1404.0206232771748,1030.0460304609621,405.2449695390378,-373.97459281621263,dropout,0.4,1
26,2.85861296279524,0.0,1435.291,1403.4632980373524,1030.0460304609621,405.2449695390378,-373.41726757639026,dropout,0.4,1
27,2.881718581141276,0.0,1435.291,1406.326870190846,1030.0460304609621,405.2449695390378,-376.28083972988384,dropout,0.4,1
28,2.893109825709607,0.0,1435.291,1407.699058601828,1030.0460304609621,405.2449695390378,-377.6530281408659,dropout,0.4,1
29,2.956632951476688,0.0,1435.291,1415.0041351479967,1030.0460304609621,405.2449695390378,-384.9581046870346,dropout,0.4,1
30,2.89366275012068,0.0,1435.291,1407.7641563065931,1030.0460304609621,405.2449695390378,-377.718125845631,dropout,0.4,1
31,2.850681319757574,0.0,1435.291,1402.4802976348547,1030.0460304609621,405.2449695390378,-372.4342671738925,dropout,0.4,1
32,2.8331368840960574,0.0,1435.291,1400.3059452043476,1030.0460304609621,405.2449695390378,-370.2599147433855,dropout,0.4,1
33,2.7378561256481224,0.0,1435.291,1388.7321615809756,1030.0460304609621,405.2449695390378,-358.68613112001344,dropout,0.4,1
34,2.9017657796694074,0.0,1435.291,1408.7181540225606,1030.0460304609621,405.2449695390378,-378.6721235615985,dropout,0.4,1
35,2.777371500015079,0.0,1435.291,1393.6974442493686,1030.0460304609621,405.2449695390378,-363.65141378840644,dropout,0.4,1
36,2.9370797329959246,0.0,1435.291,1412.7856915500183,1030.0460304609621,405.2449695390378,-382.7396610890562,dropout,0.4,1
37,2.7989956699372414,0.0,1435.291,1396.2374972551,1030.0460304609621,405.2449695390378,-366.1914667941378,dropout,0.4,1
38,2.8989551806621647,0.0,1435.291,1408.387252473049,1030.0460304609621,405.2449695390378,-378.341222012087,dropout,0.4,1
39,2.8718319113188464,0.0,1435.291,1405.1015754607806,1030.0460304609621,405.2449695390378,-375.0555449998185,dropout,0.4,1
40,2.7985351317354206,0.0,1435.291,1396.1837150867864,1030.0460304609621,405.2449695390378,-366.13768462582425,dropout,0.4,1
41,2.7551734722785253,0.0,1435.291,1390.9165646949186,1030.0460304609621,405.2449695390378,-360.8705342339565,dropout,0.4,1
42,2.892976910672365,0.0,1435.291,1407.6834100544318,1030.0460304609621,405.2449695390378,-377.63737959346963,dropout,0.4,1
43,2.8136739225161325,0.0,1435.291,1397.9516400724065,1030.0460304609621,405.2449695390378,-367.90560961144433,dropout,0.4,1
44,2.852509676086149,0.0,1435.291,1402.7068931836413,1030.0460304609621,405.2449695390378,-372.6608627226792,dropout,0.4,1
45,2.847764817861618,0.0,1435.291,1402.1188438321565,1030.0460304609621,405.2449695390378,-372.07281337119434,dropout,0.4,1
46,2.855738035563005,0.0,1435.291,1403.1069967498365,1030.0460304609621,405.2449695390378,-373.0609662888744,dropout,0.4,1
47,2.695811863798555,0.0,1435.291,1383.428715362119,1030.0460304609621,405.2449695390378,-353.38268490115684,dropout,0.4,1
48,2.913823930257686,0.0,1435.291,1410.1378018284622,1030.0460304609621,405.2449695390378,-380.0917713675001,dropout,0.4,1
49,2.767182680806315,0.0,1435.291,1392.4314014111878,1030.0460304609621,405.2449695390378,-362.3853709502257,dropout,0.4,1
50,2.8260225214630625,0.0,1435.291,1399.424233647418,1030.0460304609621,405.2449695390378,-369.37820318645595,dropout,0.4,1
51,2.86921027143612,0.0,1435.291,1404.776665092565,1030.0460304609621,405.2449695390378,-374.7306346316029,dropout,0.4,1
52,2.751875557549559,0.0,1435.291,1390.5005670621852,1030.0460304609621,405.2449695390378,-360.454536601223,dropout,0.4,1
53,2.794138325464489,0.0,1435.291,1395.6702511136127,1030.0460304609621,405.2449695390378,-365.6242206526506,dropout,0.4,1
54,2.7732356815957986,0.0,1435.291,1393.1854378362677,1030.0460304609621,405.2449695390378,-363.1394073753056,dropout,0.4,1
55,2.822077815618648,0.0,1435.291,1398.9353503965735,1030.0460304609621,405.2449695390378,-368.8893199356114,dropout,0.4,1
56,2.7880825317484588,0.0,1435.291,1394.9630487238437,1030.0460304609621,405.2449695390378,-364.9170182628816,dropout,0.4,1
57,2.8031624895741163,0.0,1435.291,1396.7241031309131,1030.0460304609621,405.2449695390378,-366.678072669951,dropout,0.4,1
58,2.858935184993646,0.0,1435.291,1403.5032323295568,1030.0460304609621,405.2449695390378,-373.45720186859467,dropout,0.4,1
59,2.8904222923422354,0.0,1435.291,1407.3826459960687,1030.0460304609621,405.2449695390378,-377.3366155351066,dropout,0.4,1
60,2.887646894101836,0.0,1435.291,1407.055888754679,1030.0460304609621,405.2449695390378,-377.0098582937169,dropout,0.4,1
61,2.8228376253398424,0.0,1435.291,1399.0295166693381,1030.0460304609621,405.2449695390378,-368.983486208376,dropout,0.4,1
62,2.9073659936863994,0.0,1435.291,1409.3774866029257,1030.0460304609621,405.2449695390378,-379.3314561419636,dropout,0.4,1
63,2.872444530442594,0.0,1435.291,1405.1774998111787,1030.0460304609621,405.2449695390378,-375.13146935021655,dropout,0.4,1
64,2.8376136927317615,0.0,1435.291,1400.8607740928774,1030.0460304609621,405.2449695390378,-370.81474363191523,dropout,0.4,1
65,2.9206809066970845,0.0,1435.291,1410.9261736945996,1030.0460304609621,405.2449695390378,-380.88014323363745,dropout,0.4,1
66,2.748546439182644,0.0,1435.291,1390.0806334151557,1030.0460304609621,405.2449695390378,-360.0346029541936,dropout,0.4,1
67,2.7698586771078464,0.0,1435.291,1392.7673711371012,1030.0460304609621,405.2449695390378,-362.7213406761391,dropout,0.4,1
68,2.8101394468334235,0.0,1435.291,1397.5388800335736,1030.0460304609621,405.2449695390378,-367.4928495726115,dropout,0.4,1
69,2.7824723907770514,0.0,1435.291,1394.3078901619829,1030.0460304609621,405.2449695390378,-364.26185970102074,dropout,0.4,1
