sample_index,healthy_sensor,faulty_sensor,healthy_ground_truth,healthy_prediction,faulty_prediction,prediction_error,residual,fault_type,severity,repetition
0,1.1899849000289542,0.0,221.6221,228.1511442183305,163.11070635078534,58.511393649214654,-65.04043786754517,dropout,0.0875,1
1,1.1276328640232829,0.0,221.6221,224.90946846085632,163.11070635078534,58.511393649214654,-61.79876211007098,dropout,0.0875,1
2,1.173091874934499,0.0,221.6221,227.2728776303059,163.11070635078534,58.511393649214654,-64.16217127952058,dropout,0.0875,1
3,1.2103958112006938,0.0,221.6221,229.21230533145564,163.11070635078534,58.511393649214654,-66.1015989806703,dropout,0.0875,1
4,1.1628367396156714,0.0,221.6221,226.739714229681,163.11070635078534,58.511393649214654,-63.62900787889566,dropout,0.0875,1
5,1.1579801462719685,0.0,221.6221,226.48722045538386,163.11070635078534,58.511393649214654,-63.37651410459853,dropout,0.0875,1
6,1.1420582053982509,0.0,221.6221,225.65944043329142,163.11070635078534,58.511393649214654,-62.54873408250609,dropout,0.0875,1
7,1.1895899427365346,0.0,221.6221,228.13061043046895,163.11070635078534,58.511393649214654,-65.01990407968361,dropout,0.0875,1
8,1.1653289577124093,0.0,221.6221,226.86928438494903,163.11070635078534,58.511393649214654,-63.75857803416369,dropout,0.0875,1
9,1.1931027372018883,0.0,221.6221,228.3132402432035,163.11070635078534,58.511393649214654,-65.20253389241816,dropout,0.0875,1
10,1.1820594335569325,0.0,221.6221,227.7391000546612,163.11070635078534,58.511393649214654,-64.62839370387587,dropout,0.0875,1
11,1.1849581986729216,0.0,221.6221,227.88980654646326,163.11070635078534,58.511393649214654,-64.77910019567793,dropout,0.0875,1
12,1.154233912560277,0.0,221.6221,226.29245416092095,163.11070635078534,58.511393649214654,-63.18174781013562,dropout,0.0875,1
13,1.1619100798521451,0.0,221.6221,226.69153728658046,163.11070635078534,58.511393649214654,-63.58083093579512,dropout,0.0875,1
14,1.116581576814547,0.0,221.6221,224.33491320767774,163.11070635078534,58.511393649214654,-61.22420685689241,dropout,0.0875,1
15,1.1506984441067452,0.0,221.6221,226.10864552993928,163.11070635078534,58.511393649214654,-62.997939179153946,dropout,0.0875,1
16,1.1898750652837586,0.0,221.6221,228.14543392154417,163.11070635078534,58.511393649214654,-65.03472757075883,dropout,0.0875,1
17,1.1819136338079572,0.0,221.6221,227.7315199411322,163.11070635078534,58.511393649214654,-64.62081359034687,dropout,0.0875,1
18,1.189147607393628,0.0,221.6221,228.1076134627735,163.11070635078534,58.511393649214654,-64.99690711198815,dropout,0.0875,1
19,1.153029312586681,0.0,221.6221,226.22982713569462,163.11070635078534,58.511393649214654,-63.119120784909285,dropout,0.0875,1
20,1.191717957349611,0.0,221.6221,228.2412456851403,163.11070635078534,58.511393649214654,-65.13053933435498,dropout,0.0875,1
21,1.153880679962205,0.0,221.6221,226.27408963550585,163.11070635078534,58.511393649214654,-63.16338328472051,dropout,0.0875,1
22,1.1702234316032027,0.0,221.6221,227.12374756488327,163.11070635078534,58.511393649214654,-64.01304121409794,dropout,0.0875,1
23,1.215300744263493,0.0,221.6221,229.46731228263616,163.11070635078534,58.511393649214654,-66.35660593185082,dropout,0.0875,1
24,1.173449144228929,0.0,221.6221,227.29145202313794,163.11070635078534,58.511393649214654,-64.1807456723526,dropout,0.0875,1
25,1.1910628577087596,0.0,221.6221,228.20718712409695,163.11070635078534,58.511393649214654,-65.09648077331161,dropout,0.0875,1
26,1.1794758784315897,0.0,221.6221,227.60478129693615,163.11070635078534,58.511393649214654,-64.49407494615082,dropout,0.0875,1
27,1.1825919288123339,0.0,221.6221,227.76678442667202,163.11070635078534,58.511393649214654,-64.65607807588668,dropout,0.0875,1
28,1.1614472670861034,0.0,221.6221,226.6674756998218,163.11070635078534,58.511393649214654,-63.55676934903647,dropout,0.0875,1
29,1.1758458089202934,0.0,221.6221,227.41605436696636,163.11070635078534,58.511393649214654,-64.30534801618103,dropout,0.0875,1
30,1.161526549267746,0.0,221.6221,226.67159757206042,163.11070635078534,58.511393649214654,-63.560891221275085,dropout,0.0875,1
31,1.1874663813787996,0.0,221.6221,228.02020670007187,163.11070635078534,58.511393649214654,-64.90950034928653,dropout,0.0875,1
32,1.2061290454253992,0.0,221.6221,228.99047663005854,163.11070635078534,58.511393649214654,-65.8797702792732,dropout,0.0875,1
33,1.2224362766310883,0.0,221.6221,229.83828785576083,163.11070635078534,58.511393649214654,-66.72758150497549,dropout,0.0875,1
34,1.1474020754719672,0.0,221.6221,225.937267673247,163.11070635078534,58.511393649214654,-62.82656132246166,dropout,0.0875,1
35,1.16623853638107,0.0,221.6221,226.916573283734,163.11070635078534,58.511393649214654,-63.805866932948675,dropout,0.0875,1
36,1.1621413071055076,0.0,221.6221,226.7035587670278,163.11070635078534,58.511393649214654,-63.592852416242465,dropout,0.0875,1
37,1.1702500041764323,0.0,221.6221,227.12512907015525,163.11070635078534,58.511393649214654,-64.01442271936992,dropout,0.0875,1
38,1.1767358579307912,0.0,221.6221,227.46232792088898,163.11070635078534,58.511393649214654,-64.35162157010365,dropout,0.0875,1
39,1.1903592926045716,0.0,221.6221,228.17060884874059,163.11070635078534,58.511393649214654,-65.05990249795525,dropout,0.0875,1
40,1.1415879106961528,0.0,221.6221,225.63498986146868,163.11070635078534,58.511393649214654,-62.52428351068335,dropout,0.0875,1
41,1.1880835743865839,0.0,221.6221,228.05229449927123,163.11070635078534,58.511393649214654,-64.94158814848589,dropout,0.0875,1
42,1.1847880801182697,0.0,221.6221,227.8809621007988,163.11070635078534,58.511393649214654,-64.77025575001346,dropout,0.0875,1
43,1.1335607077035388,0.0,221.6221,225.2176564268537,163.11070635078534,58.511393649214654,-62.10695007606836,dropout,0.0875,1
44,1.1756626906220033,0.0,221.6221,227.40653406600507,163.11070635078534,58.511393649214654,-64.29582771521973,dropout,0.0875,1
45,1.169897939824025,0.0,221.6221,227.10682528170838,163.11070635078534,58.511393649214654,-63.996118930923046,dropout,0.0875,1
46,1.2111949549533485,0.0,221.6221,229.25385273063716,163.11070635078534,58.511393649214654,-66.14314637985183,dropout,0.0875,1
47,1.1614613165899554,0.0,221.6221,226.6682061320413,163.11070635078534,58.511393649214654,-63.557499781255956,dropout,0.0875,1
48,1.1978745676989417,0.0,221.6221,228.56132720606803,163.11070635078534,58.511393649214654,-65.4506208552827,dropout,0.0875,1
49,1.1502118623418875,0.0,221.6221,226.08334819544626,163.11070635078534,58.511393649214654,-62.97264184466093,dropout,0.0875,1
50,1.1843873084397774,0.0,221.6221,227.86012602362024,163.11070635078534,58.511393649214654,-64.7494196728349,dropout,0.0875,1
51,1.1802726943612685,0.0,221.6221,227.64620767284742,163.11070635078534,58.511393649214654,-64.53550132206209,dropout,0.0875,1
52,1.141304755830983,0.0,221.6221,225.62026866997536,163.11070635078534,58.511393649214654,-62.509562319190024,dropout,0.0875,1
53,1.1242947114816269,0.0,221.6221,224.7359182632643,163.11070635078534,58.511393649214654,-61.62521191247896,dropout,0.0875,1
54,1.1865910480990947,0.0,221.6221,227.97469821543683,163.11070635078534,58.511393649214654,-64.8639918646515,dropout,0.0875,1
55,1.1997950000411077,0.0,221.6221,228.66117028042913,163.11070635078534,58.511393649214654,-65.5504639296438,dropout,0.0875,1
56,1.1685987938235036,0.0,221.6221,227.0392828185412,163.11070635078534,58.511393649214654,-63.928576467755875,dropout,0.0875,1
57,1.1688145614600445,0.0,221.6221,227.05050055514505,163.11070635078534,58.511393649214654,-63.939794204359714,dropout,0.0875,1
58,1.1537234004033952,0.0,221.6221,226.2659126878774,163.11070635078534,58.511393649214654,-63.15520633709207,dropout,0.0875,1
59,1.149632193121433,0.0,221.6221,226.05321125398143,163.11070635078534,58.511393649214654,-62.942504903196095,dropout,0.0875,1
60,1.2494306990301254,0.0,221.6221,231.24172502130938,163.11070635078534,58.511393649214654,-68.13101867052404,dropout,0.0875,1
