window_start,window_end,mean,standard_deviation,rms,maximum_error,slope,skewness,kurtosis,autocorrelation_lag1,dominant_frequency_energy,wavelet_detail_energy,dropout_ratio,spike_count
0,30,-2.2085195829278974,1.714907857318307,2.7961523040185203,6.282723961851843,-0.12400135088897549,-0.05254395553680306,3.3328985526581922,0.24444430875221468,325.8700032642612,29.827529744729073,0.0,2
10,40,-3.6723670112572715,1.6565271875775138,4.028692317434298,6.30418490170905,-0.13794603212068052,0.12725888918818135,2.264607476637472,0.40865330355130275,399.7897805491792,15.264996769654578,0.0,0
20,50,-5.114977466857689,1.7072393594029265,5.392370602690102,8.356442426676722,-0.15120860273260106,0.1411455146753851,1.962051014331969,0.5649494530520082,574.5527765885953,15.190491749311775,0.0,0
30,60,-6.628228234637906,1.7249352027521159,6.849000728876046,10.316364859656233,-0.15190227617311283,-0.314941064242084,2.6332881834484,0.6128655098088241,384.72121890887036,24.10911151773382,0.0,1
40,70,-8.057050928551742,1.9279568691346065,8.284508878293257,11.087049390629318,-0.15657252999774285,0.15688586659414883,2.299798156004916,0.5592483078746325,462.5619810747518,26.012933042786905,0.0,0
50,80,-9.382454712478594,1.8307315849367771,9.559395094240896,12.684745271183601,-0.1383478802096746,0.5500195017095918,2.4016795041573316,0.42374421545111707,435.46364293852776,32.469199060085465,0.0,0
60,90,-10.94901677934206,1.9301305427823725,11.117840273474672,14.851395697162161,-0.16143577351170896,0.4341302115192734,3.281264147635111,0.4967834061738917,509.6810815790656,25.01243477190199,0.0,1
70,100,-12.209635474267436,1.6942993333502963,12.326631682884058,14.851395697162161,-0.12931343455546881,0.35598916079258675,2.5367740000996073,0.24617568304693807,255.15122979282586,30.61808323497145,0.0,0
80,110,-13.73320592118166,1.69405792110248,13.837296597010164,17.95990438752642,-0.10925194758139507,-0.39062419750656996,2.7461817913971776,0.12357629788305055,450.80763666615155,36.04624244794032,0.0,1
90,120,-14.879365588108369,1.9890364598324815,15.011721631549342,20.178208853568776,-0.15176287693376245,-0.4630032491753431,3.713375706332647,0.29158071084824894,305.3557796434364,28.508004077385625,0.0,1
100,130,-15.685977181302382,1.608362367978405,15.768218340670835,20.178208853568776,-0.03621991554539608,-0.7467246969860274,4.004521082924172,0.043998322867824506,256.4374294873296,27.4116719534727,0.0,1
110,140,-16.578097332899883,1.592542883452852,16.654413949903446,20.178208853568776,-0.08054113792984362,-0.38907272623241396,2.121909907657484,0.3519061054352487,361.3878949386989,12.28596652111507,0.0,1
120,150,-17.289946748584885,1.6636738458881022,17.36980337350982,20.701163863539932,-0.10657703415006167,0.03799156248195753,2.448073895104081,0.2529862668964866,473.58756259853385,27.08670656896125,0.0,1
130,160,-18.630886020204418,1.6165205381199805,18.70088373708612,22.509810606784413,-0.08135655025669151,-0.5792511008455522,2.9347863302971198,-0.026823524195895173,368.3754923234418,43.17289139657383,0.0,1
140,170,-19.38332733031194,1.8003483970016372,19.46675711937158,22.996799550135847,-0.0626653600473631,-0.0005585317496665576,2.3076479740265676,0.10209013466989245,478.6562676614828,48.15967700016846,0.0,1
150,180,-20.084304357593837,1.59992675753043,20.147929103456878,22.996799550135847,-0.030196322278657324,0.12395598276244844,2.351281042099442,-0.015578387787282391,252.70747561832167,41.15587840801386,0.0,0
160,190,-20.49815681789803,1.4593901386899215,20.55004264005418,23.45039532648957,-0.037972853770971,0.12729664753414546,2.7949759992968626,-0.06511270462438021,145.8467856063533,30.781577857848756,0.0,1
170,200,-20.86340323741205,1.4480018991026566,20.913591373713423,23.938566313599722,-0.04647509546962759,-0.3387046574943993,2.1332647431759035,-0.30963252164442695,244.37859990193232,44.56403497813299,0.0,1
180,210,-21.194019564611963,1.3460332277739624,21.236719868082883,23.938566313599722,-0.03174631248121305,-0.0962829460589555,2.0564741054111146,-0.42404463070269194,432.3501200553512,42.50478800441239,0.0,1
190,220,-21.713384982059065,1.3757590504772834,21.756925342154357,24.387805179822863,-0.05877723603943839,0.22528572074798855,2.320038270708551,-0.1855903700296463,281.08261973892166,36.86876359577645,0.0,0
200,230,-21.9017815999003,1.25352267949578,21.93762421862818,24.387805179822863,-0.021733799776794776,0.7203008095195881,4.2015023194850745,-0.02401990813969252,126.06462522126236,23.930285641674374,0.0,0
210,240,-22.42602953129891,1.2284435340795092,22.459649909451226,24.51353725535182,-0.037516935488941985,1.170623671337,5.876986284731358,0.16499708613034744,221.8388030074803,17.76408123798039,0.0,0
220,250,-22.748992241019117,1.46800364751911,22.796308532108384,26.369389857266242,-0.09740703048101383,0.31729485280100966,5.411447333295076,0.4051340875379916,223.18255273720015,20.516748890799878,0.0,2
230,260,-23.140200320929093,1.5116696023796812,23.18952383899863,27.65293852793775,-0.004654665950100148,-0.8572779980767478,4.7292132808963565,-0.10424324716398921,219.9581903324202,37.34257581039983,0.0,2
240,270,-23.35583230141943,1.698940038529783,23.41754256420914,27.65293852793775,-0.013359301828471105,-0.5239804441846712,3.240628233155252,-0.22124264567373986,263.3538787434882,51.311359738606484,0.0,1
250,280,-23.39221061477993,1.6785527917501835,23.45235717195428,27.65293852793775,-0.04378634551946959,-0.4254858833331941,3.2683194001664786,-0.21975983373008012,285.2836687432768,53.81305307067397,0.0,1
260,290,-23.789605182644316,1.5030143788381798,23.83703771379933,26.56120787090572,-0.03908486984234452,-0.186319291266682,2.0821172845663147,-0.1477611361535253,144.37848643344566,43.169011318765406,0.0,0
270,300,-23.95179839471317,1.4529580804038233,23.9958274190409,26.56120787090572,-0.04375531231721632,-0.05135448741406042,1.8509089950526278,-0.05235704187701628,174.15628032131565,42.98891714607004,0.0,0
