sample_index,healthy_sensor,faulty_sensor,healthy_ground_truth,healthy_prediction,faulty_prediction,prediction_error,residual,fault_type,severity,repetition
0,22.38973399328747,21.44376376,1435.291,1398.9882822890459,1402.1303922691072,33.16060773089271,3.1421099800613774,exp_drift,0.3,1
1,21.296408751714218,21.507896568614708,1435.291,1402.6142148193767,1401.919819860467,33.37118013953295,-0.6943949589096974,exp_drift,0.3,1
2,21.176356482032283,21.571390027846096,1435.291,1403.0083920920658,1401.711346679079,33.5796533209209,-1.2970454129867903,exp_drift,0.3,1
3,21.20647538770195,21.634250511462014,1435.291,1402.9095002666577,1401.504951797439,33.786048202561005,-1.4045484692187529,exp_drift,0.3,1
4,21.443995260976102,21.696484329689298,1435.291,1402.129632163333,1401.3006144966712,33.99038550332875,-0.8290176666619118,exp_drift,0.3,1
5,20.431614750031986,21.758097729847186,1435.291,1405.6496054739328,1401.0983142644498,34.192685735550185,-4.551291209482997,exp_drift,0.3,1
6,21.166280589463582,21.819096896974493,1435.291,1403.041475080527,1400.8980307929398,34.392969207060105,-2.143444287587272,exp_drift,0.3,1
7,21.28247847265444,21.87948795445046,1435.291,1402.6599532250075,1400.6997439767576,34.591256023242295,-1.9602092482498392,exp_drift,0.3,1
8,21.304289309339122,21.939276964609476,1435.291,1402.5883399507043,1400.503433910953,34.787566089047004,-2.0849060397513313,exp_drift,0.3,1
9,21.05752448769029,21.998469929349614,1435.291,1403.3985627365862,1400.309080889011,34.98191911098888,-3.0894818475751435,exp_drift,0.3,1
10,21.19881087502989,22.05707279073515,1435.291,1402.93466577756,1400.1166654008748,35.17433459912513,-2.818000376685177,exp_drift,0.3,1
11,22.031165306473365,22.115091431593047,1435.291,1400.2017295276557,1399.926168130985,35.364831869015006,-0.2755613966708097,exp_drift,0.3,1
12,21.50287080861634,22.172531676103507,1435.291,1401.9363213424845,1399.7375699563422,35.55343004365773,-2.1987513861422485,exp_drift,0.3,1
13,20.836096615636706,22.229399290384624,1435.291,1404.2121534449418,1399.5508519445873,35.74014805541265,-4.6613015003545115,exp_drift,0.3,1
14,21.233046332398835,22.28569998307121,1435.291,1402.8222577468691,1399.3617490020374,35.92925099796253,-3.4605087448317136,exp_drift,0.3,1
15,21.271484034879418,22.341439405887865,1435.291,1402.6960521468218,1399.1682097329312,36.122790267068694,-3.5278424138905393,exp_drift,0.3,1
16,21.791606747748606,22.396623154216304,1435.291,1400.988291410889,1398.961234027854,36.32976597214588,-2.027057383034844,exp_drift,0.3,1
17,22.263669011080037,22.45125676765708,1435.291,1399.4382452770508,1398.737984198834,36.553015801165884,-0.7002610782167267,exp_drift,0.3,1
18,21.937945486637595,22.50534573058563,1435.291,1400.5078056596672,1398.4947151028298,36.79628489717015,-2.013090556837369,exp_drift,0.3,1
19,21.659549165150487,22.558895472702876,1435.291,1401.4218866930469,1398.2538711921538,37.0371288078461,-3.168015500893034,exp_drift,0.3,1
