window_start,window_end,mean,standard_deviation,rms,maximum_error,slope,skewness,kurtosis,autocorrelation_lag1,dominant_frequency_energy,wavelet_detail_energy,dropout_ratio,spike_count
0,30,0.8012009345501383,0.6196561954855881,1.0128656071403,2.2904751153077996,0.03827341712572715,0.15542140024903608,3.175747568599444,0.24557607476368384,32.65197702672172,3.1434474674784947,0.0,2
10,40,1.2366889163201507,0.7519377829200563,1.447345813940759,2.5045298080892735,0.039299301431254624,0.19870304644318146,1.944691633797354,0.009662757495184504,69.04911725730389,7.726305466928991,0.0,0
20,50,1.617893779744882,0.7739565718107362,1.7934851707182324,2.9342494852124332,0.02805268785536581,-0.5046172267877208,2.3221498438172796,0.060743497649962445,85.11619670080796,7.2464140494974085,0.0,0
30,60,1.9542941551174977,0.6899443655528525,2.07250787025877,2.9342494852124332,0.018848649185302494,-0.8745571803804391,2.9602343112888514,-0.2970698364035137,37.34091383896055,8.236985008917806,0.0,0
40,70,2.1691555858553935,0.5579756225353524,2.239770691609159,2.9342494852124332,0.017342192997090423,-0.700086410092957,3.2779224550094748,-0.21864504999605372,39.46040298736072,4.756183562846609,0.0,0
50,80,2.4094111416013977,0.556118167889002,2.4727574620106134,4.147786035404522,0.025572794169788932,0.45881558684275203,4.9368450625573495,-0.2636062189271456,24.870186581925747,6.4662443967345204,0.0,0
60,90,2.6120712335708163,0.6042077235037889,2.6810414212372393,4.147786035404522,0.03020792314263488,0.7145905559604484,2.870392443088263,-0.0649813695470002,36.849595781014955,6.112558877705833,0.0,1
70,100,2.725896640947453,0.5670421588342391,2.784250223493571,4.147786035404522,0.013606676366567962,0.6243046895287551,2.666736086616898,0.019747365713716315,20.34725987737923,4.865205650735562,0.0,1
80,110,2.948901313231757,0.5538835801027442,3.0004676261355354,3.848334253755638,0.029472411725215506,-0.2521925225634492,1.9782572181526303,0.374566467459632,23.559943277931037,3.3211673523144443,0.0,0
90,120,3.160784870053633,0.5295319872194817,3.2048346478794465,4.200856212604094,0.035361272565012,-0.13865781913376998,2.2130857712153285,0.2708740100947616,29.363636173230674,3.1533424728850985,0.0,0
100,130,3.380335569726545,0.43965706359731715,3.4088072543823156,4.200856212604094,-0.0005660871662677423,-0.16260057683373857,2.1343166103940074,-0.16594739645770884,26.121423620416902,3.867537765641191,0.0,0
110,140,3.401610033161232,0.5731558888675234,3.4495591733795026,4.580752031264922,-0.0007218798106310453,-0.277173688821502,2.253325303704234,-0.22014067001120677,39.59585564309241,7.224516967255679,0.0,1
120,150,3.451579045114751,0.5495970515126191,3.4950614906903463,4.580752031264922,0.007573584955941324,-0.2914177183717276,2.5540996973738004,-0.08509798914756171,38.46221233400387,6.415369402508647,0.0,1
130,160,3.5986833512834098,0.5943684323564231,3.647436866648445,5.118056005355243,0.02064421321936521,-0.07330494013921587,3.6018589325486796,-0.13392276745687154,37.822433158685946,6.433461179082242,0.0,1
140,170,3.8471012523968566,0.5102564681736165,3.880792407422288,5.118056005355243,0.025049046705516765,0.6446232662638955,3.242462084565752,0.21607405647459482,35.00820400278908,3.3372771955492415,0.0,2
150,180,4.069025419891206,0.5308307434281457,4.103504495658472,5.118056005355243,0.025642524415826227,0.3655018991948247,2.121827008634077,0.08153530188735533,29.330037693483604,5.004412935261267,0.0,0
160,190,4.072643527541385,0.4570716076795534,4.098211775515207,4.99104549320532,-0.0112146738424895,0.4678405206642388,2.3824100418408323,0.006599096888423492,18.453295086704244,4.499697366608668,0.0,1
170,200,3.9915662436183954,0.5276372771527421,4.026288883504887,5.265946643651432,-0.01705933049741975,0.41717216290845394,2.8187182667309583,-0.2052270901308888,50.975726991176245,6.709424664004228,0.0,1
180,210,4.067721160372421,0.5361841779751102,4.102907372979849,5.265946643651432,0.027133133202259015,0.2390368560360646,2.9196689769192035,-0.052401040661114326,23.805199630354984,5.09823425110801,0.0,1
190,220,4.211030258523768,0.5221913484636522,4.243284063389233,5.265946643651432,0.012713087669982888,-0.14945304861312103,2.8994742494832044,-0.1576205931063322,20.264431058821405,5.486066793345144,0.0,1
200,230,4.32025441776351,0.39743499813445726,4.338496607345368,5.101128119703276,-0.014825310132524808,-0.09203010702867408,2.5775397213291145,-0.0720755418947175,20.710281890023765,2.6504063610113775,0.0,0
210,240,4.247215394848854,0.3803139661214992,4.264208874230738,5.084648902157767,0.0018199755194721673,-0.02930924952127076,2.709232048780388,-0.040449015186496684,31.561294071861116,2.2868198510453817,0.0,1
220,250,4.270478903869832,0.43593326818259437,4.292671415646164,5.084648902157767,0.004714888080319529,-0.10741095818345123,2.5363822328801313,0.04689851891605108,36.757413134100304,3.3531769104412894,0.0,0
230,260,4.303168905983197,0.501841545077525,4.332332809213348,5.314214879332837,0.0017662532620268852,-0.1304535490432187,2.991714184826715,-0.24751789004823194,28.30077938216793,5.516856924078783,0.0,1
240,270,4.389181837009253,0.5776246818610179,4.427026933668572,5.5061914108181895,0.015634232568584774,-0.23276340557522576,2.626150887129926,-0.029731181579919903,22.332089074880415,5.897276880855192,0.0,0
250,280,4.496547138746718,0.5845484780534627,4.534383430430857,5.5061914108181895,0.02098909231858006,-0.31066379484138534,2.6969141670292562,0.04893267861004312,30.7266233116678,5.1339666251427065,0.0,0
260,290,4.528788239457501,0.5600784565253739,4.563289470909382,5.5061914108181895,0.004181828356657928,-0.1009032778185808,2.099223704020332,0.0022388315865545854,17.3769612419256,4.974227457463135,0.0,0
270,300,4.52579896201532,0.5250076511688432,4.556148513642282,5.439663822330317,-0.002695429593371462,0.15365524961245836,1.9340647829748578,-0.0723421592895721,22.98332479401264,4.107684852086896,0.0,0
