sample_index,healthy_sensor,faulty_sensor,healthy_ground_truth,healthy_prediction,faulty_prediction,prediction_error,residual,fault_type,severity,repetition
0,10.543853318724642,11.05984585,221.6221,226.19140215010867,227.35284458978634,-5.7307445897863545,1.1614424396776712,exp_drift,0.4,1
1,10.81169493551514,11.103948740714195,221.6221,226.77122291534857,227.45621393338917,-5.834113933389176,0.6849910180405914,exp_drift,0.4,1
2,11.213839739073702,11.14761196323687,221.6221,227.7137789180042,227.5585527728316,-5.936452772831615,-0.15522614517260536,exp_drift,0.4,1
3,11.116707441370417,11.190839900684765,221.6221,227.4861180619099,227.6598713813612,-6.03777138136121,0.17375331945129346,exp_drift,0.4,1
4,10.767688703324767,11.233636892478687,221.6221,226.66808012216006,227.76017992980934,-6.138079929809351,1.0920998076492765,exp_drift,0.4,1
5,10.891336474098795,11.27600723477912,221.6221,226.9578885382498,227.8594884876136,-6.2373884876136,0.9015999493637992,exp_drift,0.4,1
6,11.368176037687938,11.317955180917496,221.6221,228.07551579337667,227.95780702382729,-6.335707023827297,-0.11770876954938103,exp_drift,0.4,1
7,11.223644134053178,11.359484941823158,221.6221,227.73675867867388,228.0551454081209,-6.433045408120904,0.3183867294470133,exp_drift,0.4,1
8,11.320567000431335,11.400600686446078,221.6221,227.96392866493483,228.15151341177307,-6.529413411773078,0.18758474683824033,exp_drift,0.4,1
9,11.472617629310685,11.44130654217535,221.6221,228.32030833636043,228.24692070865052,-6.624820708650532,-0.0733876277099057,exp_drift,0.4,1
10,10.833624393913787,11.481606595253528,221.6221,226.8226216713831,228.34137687618045,-6.719276876180459,1.518755204797344,exp_drift,0.4,1
11,11.23577646102965,11.521504891186808,221.6221,227.7651946985269,228.43489139631055,-6.812791396310558,0.6696966977836496,exp_drift,0.4,1
12,11.388223897724075,11.561005435151143,221.6221,228.12250441700223,228.52747365646218,-6.905373656462189,0.4049692394599447,exp_drift,0.4,1
13,10.842513945329177,11.600112192394299,221.6221,226.84345720120564,228.61913295047214,-6.997032950472146,1.7756757492664974,exp_drift,0.4,1
