window_start,window_end,mean,standard_deviation,rms,maximum_error,slope,skewness,kurtosis,autocorrelation_lag1,dominant_frequency_energy,wavelet_detail_energy,dropout_ratio,spike_count
0,30,-0.005458681724725996,1.0464084190909801,1.046422656841229,2.5585491752561893,0.0135640319528369,0.3743089692288154,3.0853874166065673,-0.3607993061438655,90.08292036375849,20.933103101135075,0.0,1
10,40,0.018685203083011477,1.0114933497294483,1.0116659198377462,2.2620942550261702,0.02693205262805481,0.09335330441370285,2.9320898898305425,-0.3250402600109648,107.31824205829919,17.66806834598715,0.0,3
20,50,0.23279738937890404,1.2193501339902382,1.2413739862602424,2.7564686225569517,0.012047216004649725,0.1374151082432892,2.7716631617572762,-0.5432552583025104,226.4080135631142,33.32022228660894,0.0,1
30,60,0.24996930264041453,1.2969568404241516,1.320826142300921,2.7564686225569517,0.007728221470669808,0.045614769991811674,2.511441152222772,-0.33904336458789974,156.40280436277632,36.45058501967703,0.0,1
40,70,0.469454717255104,1.4664186962365495,1.5397309908633945,2.9816738871579105,0.035748140201631085,-0.1640945393944774,2.0441525866004153,-0.3172446958702213,244.5609771608415,48.222848420475614,0.0,0
50,80,0.6564970997641429,1.4469661116099353,1.5889302596861536,3.031669298054908,0.033003470222725415,-0.2777514750939025,2.1950844838829147,-0.2690362521399565,165.9548726692283,37.28110156055887,0.0,0
60,90,0.7739665512974057,1.4276062489678731,1.6239100420341395,3.031669298054908,0.0042955840142021,-0.3293829675807298,2.3313079095253633,-0.2014389113948935,163.26151779462342,32.974950088913815,0.0,1
70,100,0.6501080261666459,1.2738172832406094,1.430122692907423,3.031669298054908,-0.01184537965284942,0.015658167831125062,2.6873407547574413,-0.116039918781111,149.12915914968238,20.544369116777982,0.0,1
80,110,0.6629479505231889,1.1699293506361743,1.344706165146452,3.681447993134043,0.016076282892427976,0.359086909106532,3.4604374086897636,-0.06837294882182958,158.212756222133,23.654770104535555,0.0,2
90,120,0.8872280067433583,1.0707464324234264,1.3905651579474039,3.681447993134043,0.03947366461329206,0.5341383425413277,2.8345625373945533,-0.1501607106919006,119.55427354019497,23.746079227895322,0.0,1
100,130,0.8871811621392036,1.249677244830954,1.5325741844044458,3.681447993134043,-0.019951114053183058,-0.004219067960986996,2.6126209102898583,0.009082674112318914,109.11831645725245,26.633531277287602,0.0,2
110,140,1.0361342072038933,1.234883282260429,1.6119897072079372,3.508162746365599,-0.003874754533738639,-0.23316259731188893,2.5260570760798706,-0.018299958727497057,109.49335159332482,23.006454919762124,0.0,2
120,150,1.0515187622403972,1.27148587093263,1.6499600077956085,3.508162746365599,0.033292347511854906,-0.12669426723166433,2.3923327298690267,-0.013838034267469325,127.86545044988476,24.696047008546646,0.0,1
130,160,1.2865796376501313,0.962863312799593,1.6069825522236858,3.508162746365599,-0.008098349212970079,0.37391195759987056,2.2988962856088455,-0.33451278024350667,88.92912518101751,21.409808402569524,0.0,1
140,170,1.1753648119460272,1.0766551196909917,1.593947517303422,3.256531545590917,-0.017791390567467105,0.00714878016206469,2.217651305087899,-0.41116290619800155,166.94666809064861,23.010220726110965,0.0,0
150,180,1.1681730707221505,1.2701491083082774,1.7256613458314267,4.030273955340306,0.0031690953155498144,0.1699029775002678,2.600949141392727,-0.2259961020405684,145.68946024194614,22.74727952099309,0.0,1
160,190,1.122731725836356,1.2901111311984104,1.7102377785096212,4.030273955340306,0.0024794785774584784,0.20690480256566363,2.5355629071223205,-0.185698652806159,171.9384197523122,21.83725179848856,0.0,1
170,200,0.9517052802979568,1.1538258715632501,1.4956794718239956,4.030273955340306,-0.029620419760508623,0.5993120176741252,3.392074854146961,-0.14091026362913028,127.09160971039827,15.023189547327794,0.0,1
180,210,0.8064675729631631,0.9074715526319552,1.2140405944931767,2.8947337636683415,-0.009952511509363387,0.1787513388180884,2.7416223728010496,-0.10086118619603475,97.96479198730785,11.840194764962451,0.0,1
190,220,0.813561207937956,0.9748414658637758,1.2697234827429558,2.8947337636683415,0.01784434181218193,0.10574719622074556,2.6420699616481245,0.07378214600557026,84.66629405039262,16.15995771342765,0.0,1
