target,representative_id,sensor,fault_type,severity,random_seed,repetition,healthy_noise,n_samples,mae,rmse,r2,residual_mean,residual_standard_deviation,residual_rms,residual_maximum,residual_minimum,residual_skewness,residual_kurtosis
MF_IA,MF_IA_High,P_IM,exp_drift,0.0125,42,1,0.02,300,30.150915557550082,30.172406023541374,-1.760919579465748e+28,3.4306666691286614,6.831680854753106,7.644693394497288,23.162415909818492,-13.433800164964396,0.18145227211182324,2.8579229361913905
MF_IA,MF_IA_High,P_IM,exp_drift,0.02,43,1,0.02,300,28.382799146823793,28.439297998514572,-1.5644344819002217e+28,4.608534334811266,6.812680021116722,8.225034819698775,20.29497065647297,-13.019518604801988,0.021585657154300057,2.549431677989158
MF_IA,MF_IA_High,P_IM,exp_drift,0.0275,44,1,0.02,300,26.658923714028074,26.768858810845487,-1.3860514449405922e+28,6.21732437273807,6.963446142841166,9.335132807844372,27.525021402006587,-13.712998906954908,0.017439315017937294,3.1416137551383763
MF_IA,MF_IA_High,P_IM,exp_drift,0.035,45,1,0.02,300,24.977670880365878,25.16104361940277,-1.2245511684584445e+28,9.06283685444386,7.775113754319275,11.940996848792427,29.998280368169162,-12.347697339817842,-0.009565220422077705,2.6877723164249985
MF_IA,MF_IA_High,P_IM,exp_drift,0.0425,46,1,0.02,300,23.310234751504353,23.59302361190804,-1.0766804825060944e+28,10.091106304680956,7.9252049064552095,12.831184639840291,36.25556853763078,-14.55350405739,-0.0721743134594262,3.1780950216410515
MF_IA,MF_IA_High,P_IM,exp_drift,0.05,47,1,0.02,300,21.646620890108856,22.06109837939735,-9.413993593555085e+27,11.811443078605462,8.121940677349029,14.33443783221071,33.16082039603293,-8.430431925053654,-0.26758208057660793,2.668891435115887
MF_IA,MF_IA_High,P_IM,exp_drift,0.0625,48,1,0.02,300,18.87849602982521,19.604575490485544,-7.434204802763224e+27,13.941485753200114,8.66788972098069,16.416374058292057,39.777305870979944,-12.360340635205375,-0.08539788383815146,2.9542001734317545
MF_IA,MF_IA_High,P_IM,exp_drift,0.075,49,1,0.02,300,16.11338977554549,17.308534955926746,-5.794824061862696e+27,17.217910392618087,9.459276075801725,19.645211685458133,37.46621437987028,-12.893679740783227,-0.4859930049956019,3.218993010978103
MF_IA,MF_IA_High,P_IM,exp_drift,0.0875,50,1,0.02,300,13.349897820547715,15.242847336674357,-4.494194209161608e+27,19.98721865899321,10.14379937844433,22.413959390356133,42.03477089121225,-23.698006506227102,-0.48526041421247573,3.506807751333306
MF_IA,MF_IA_High,P_IM,exp_drift,0.1,51,1,0.02,300,10.597267776713837,13.514078997386335,-3.5325843643056253e+27,23.219628153002564,11.077390404848336,25.726634248287034,45.94609936127745,-10.793298166533077,-0.3466504693221512,2.912561355778964
