sample_index,healthy_sensor,faulty_sensor,healthy_ground_truth,healthy_prediction,faulty_prediction,prediction_error,residual,fault_type,severity,repetition
0,11.120686359253469,11.230811247640627,221.6221,227.49544393881195,227.75355712011515,-6.131457120115158,0.2581131813032016,gaussian,0.0275,1
1,11.48540417991222,11.230228463237838,221.6221,228.35027774020733,227.7521911769718,-6.130091176971803,-0.5980865632355403,gaussian,0.0275,1
2,10.778998983705764,10.87052827565076,221.6221,226.69458941078074,226.90911781641523,-5.2870178164152435,0.21452840563449627,gaussian,0.0275,1
3,10.878108443785413,11.056860645833801,221.6221,226.9268843843608,227.34584780136316,-5.723747801363174,0.4189634170023737,gaussian,0.0275,1
4,10.993855611458375,11.060009459675658,221.6221,227.19817518984962,227.3532280618108,-5.731128061810807,0.1550528719611748,gaussian,0.0275,1
5,11.200242407277715,11.07731216100252,221.6221,227.6819091870242,227.3937825209345,-5.771682520934519,-0.2881266660896813,gaussian,0.0275,1
6,10.746840333233186,11.723715543145955,221.6221,226.619215245127,228.88840842787664,-7.266308427876652,2.269193182749632,gaussian,0.0275,1
7,11.123146459972164,10.973515114398815,221.6221,227.50120997800724,227.1505006770103,-5.528400677010325,-0.3507093009969253,gaussian,0.0275,1
8,10.867240129111897,10.971083501986413,221.6221,226.90141098486987,227.14480140934563,-5.522701409345643,0.24339042447576276,gaussian,0.0275,1
9,11.145641280402002,10.92052069706876,221.6221,227.5539338422402,227.02629117406576,-5.404191174065772,-0.527642668174451,gaussian,0.0275,1
10,10.965437038716818,11.374943427021154,221.6221,227.13156710219704,228.09137735215296,-6.469277352152972,0.9598102499559218,gaussian,0.0275,1
11,11.056255475816949,10.934277689597915,221.6221,227.34442939031572,227.05853512145046,-5.436435121450472,-0.28589426886526326,gaussian,0.0275,1
12,10.892568151429366,11.033008451864099,221.6221,226.96077537117912,227.2899424946088,-5.667842494608806,0.32916712342967,gaussian,0.0275,1
13,11.237594397896535,11.327666661267333,221.6221,227.76945561969558,227.98056900910575,-6.358469009105761,0.21111338941017266,gaussian,0.0275,1
14,11.050713293057841,11.29142397192382,221.6221,227.33143949816457,227.89562258162272,-6.2735225816227285,0.5641830834581469,gaussian,0.0275,1
15,11.073762113556784,10.763445246557664,221.6221,227.38546184017446,226.65813421309326,-5.036034213093274,-0.7273276270811948,gaussian,0.0275,1
16,10.743861094719952,11.61185210191894,221.6221,226.61223243913474,228.64664921350771,-7.024549213507726,2.0344167743729713,gaussian,0.0275,1
17,11.346198599793345,11.144236342794258,221.6221,228.02400458192426,227.55064091799062,-5.928540917990631,-0.4733636639336396,gaussian,0.0275,1
18,11.024574524605256,11.34903731945442,221.6221,227.27017486689482,228.0306580366817,-6.408558036681711,0.7604831697868804,gaussian,0.0275,1
19,11.26900157051619,11.160516311144455,221.6221,227.84306845471713,227.58879827264423,-5.966698272644237,-0.25427018207290075,gaussian,0.0275,1
20,10.987783256477,11.581692813187043,221.6221,227.18394266816256,228.57596119670757,-6.953861196707578,1.3920185285450088,gaussian,0.0275,1
