sample_index,healthy_sensor,faulty_sensor,healthy_ground_truth,healthy_prediction,faulty_prediction,prediction_error,residual,fault_type,severity,repetition
0,1.1344863599049606,1.2000043993409726,221.6221,225.26578098690698,228.67205692788252,-7.049956927882533,3.406275940975547,gaussian,0.0125,1
1,1.247819607910746,1.1897089621813066,221.6221,231.1579645644049,228.13679823881495,-6.514698238814958,-3.0211663255899452,gaussian,0.0125,1
2,1.2110413400869138,1.1909045851244255,221.6221,229.24586630997777,228.1989585491766,-6.57685854917662,-1.0469077608011617,gaussian,0.0125,1
3,1.1725153424716541,1.1603701159122375,221.6221,227.24290376853747,226.6114747242139,-4.989374724213917,-0.6314290443235677,gaussian,0.0125,1
4,1.1606937948035172,1.165763066275573,221.6221,226.62830275553864,226.89185364323572,-5.269753643235731,0.2635508876970789,gaussian,0.0125,1
5,1.1831680874663317,1.1634809109342752,221.6221,227.79673885415798,226.77320462840663,-5.151104628406642,-1.023534225751348,gaussian,0.0125,1
6,1.1565245418882137,1.1495683108450403,221.6221,226.41154373741966,226.04989002118828,-4.427790021188287,-0.36165371623138753,gaussian,0.0125,1
7,1.1814113585205033,1.1685430383094921,221.6221,227.70540670205884,227.0363840952645,-5.41428409526452,-0.6690226067943286,gaussian,0.0125,1
8,1.177491342586339,1.1873306863794562,221.6221,227.50160548822953,228.0131519314075,-6.391051931407503,0.5115464431779628,gaussian,0.0125,1
9,1.1728711792110487,1.1774313358557085,221.6221,227.26140368298474,227.49848574465045,-5.876385744650463,0.237082061665717,gaussian,0.0125,1
10,1.1617752984667957,1.1714139867903548,221.6221,226.6845300166109,227.18564440314816,-5.563544403148171,0.5011143865372674,gaussian,0.0125,1
11,1.127710001945896,1.1519645769744318,221.6221,224.91347885329475,226.17447164382196,-4.552371643821971,1.2609927905272116,gaussian,0.0125,1
12,1.173308682846212,1.2016869182673626,221.6221,227.2841494507058,228.7595309089195,-7.137430908919498,1.4753814582136897,gaussian,0.0125,1
13,1.1804059823383704,1.1529484915895511,221.6221,227.65313730068027,226.2256252606017,-4.603525260601714,-1.4275120400785681,gaussian,0.0125,1
14,1.1636194335598908,1.1912577365840031,221.6221,226.78040640506197,228.21731885621006,-6.595218856210067,1.436912451148089,gaussian,0.0125,1
15,1.2077310311492697,1.1626317699116988,221.6221,229.07376369841387,226.72905787644942,-5.106957876449428,-2.344705821964453,gaussian,0.0125,1
16,1.2260816495441524,1.1770178446898016,221.6221,230.02781040797015,227.4769883826666,-5.854888382666616,-2.550822025303546,gaussian,0.0125,1
17,1.170800299494602,1.1761250616410537,221.6221,227.15373886554653,227.43057268638438,-5.808472686384391,0.2768338208378509,gaussian,0.0125,1
18,1.184974578977452,1.1621899334815,221.6221,227.89065815676327,226.70608684717286,-5.083986847172866,-1.1845713095904102,gaussian,0.0125,1
19,1.1830370176661602,1.1645761234022862,221.6221,227.78992454910906,226.83014460878684,-5.2080446087868495,-0.9597799403222211,gaussian,0.0125,1
20,1.1751210660281648,1.1514352781089976,221.6221,227.37837506065472,226.14695345178757,-4.524853451787578,-1.2314216088671515,gaussian,0.0125,1
21,1.1823451343746345,1.1597640154071516,221.6221,227.75395360995742,226.57996362305676,-4.957863623056767,-1.173989986900665,gaussian,0.0125,1
22,1.177854219996858,1.1729659134611894,221.6221,227.5204714464238,227.26632890663035,-5.64422890663036,-0.25414253979346313,gaussian,0.0125,1
23,1.1657017551654423,1.1750610847757292,221.6221,226.88866608510443,227.37525664168436,-5.75315664168437,0.48659055657992667,gaussian,0.0125,1
24,1.154862407721616,1.1845777988063384,221.6221,226.32512955788837,227.8700295976313,-6.247929597631298,1.5449000397429131,gaussian,0.0125,1
