target,representative_id,sensor,fault_type,severity,random_seed,repetition,healthy_noise,n_samples,mae,rmse,r2,residual_mean,residual_standard_deviation,residual_rms,residual_maximum,residual_minimum,residual_skewness,residual_kurtosis
MF_IA,MF_IA_High,P_IM,gaussian,0.0125,42,1,0.02,300,33.32947053726821,33.57065037146042,-2.1799129220584107e+28,0.25211168941052925,7.97891756183461,7.982899583640659,24.61372445659663,-21.844903667874405,0.1980086419358377,3.1828157721947754
MF_IA,MF_IA_High,P_IM,gaussian,0.02,43,1,0.02,300,33.23215114825689,33.951267300843774,-2.2296239226896992e+28,-0.24081766662183177,9.314050944434936,9.317163631926109,25.482854729830933,-24.847682965612876,0.05750730350373106,2.7478667829341603
MF_IA,MF_IA_High,P_IM,gaussian,0.0275,44,1,0.02,300,32.690313375772824,34.14771373928752,-2.25550035564079e+28,0.18593471099332723,12.099734114413884,12.101162644814892,44.18464328888467,-29.98909016388029,0.0950578719443358,3.133088964833294
MF_IA,MF_IA_High,P_IM,gaussian,0.035,45,1,0.02,300,33.49370163251387,35.6178222677334,-2.453885874680397e+28,0.5468061022958667,13.669089611662175,13.680022212158825,41.4827117752036,-41.2152111675764,-0.11132920812171117,3.0772176888031586
MF_IA,MF_IA_High,P_IM,gaussian,0.0425,46,1,0.02,300,33.076296891163004,36.23984865309212,-2.540343156922972e+28,0.399425709725878,16.22997976701056,16.234894029070905,43.596716717986055,-53.3341642248613,-0.063876067868521,3.072677985831729
MF_IA,MF_IA_High,P_IM,gaussian,0.05,47,1,0.02,300,33.945267270221485,37.87823103028307,-2.775230200921125e+28,-0.42833791190481557,18.692051466472076,18.696958613422023,46.54991896065371,-72.99001997607502,-0.38505080645325696,3.301123649470132
MF_IA,MF_IA_High,P_IM,gaussian,0.0625,48,1,0.02,300,35.274089389493305,40.96217533696213,-3.24553024163818e+28,-1.75984557335768,23.162631144497094,23.229389530895844,53.3255189136421,-73.32032906330619,-0.30165675892227506,3.1205187167601918
MF_IA,MF_IA_High,P_IM,gaussian,0.075,49,1,0.02,300,33.80867798821741,41.2400811163169,-3.2897178965182656e+28,1.619469423023103,27.788097554555087,27.835248281874136,70.58502438572668,-90.34027141694764,-0.33581128329086857,3.0444847649966658
MF_IA,MF_IA_High,P_IM,gaussian,0.0875,50,1,0.02,300,36.66514349335813,44.99560082147675,-3.9161538605928363e+28,-0.4486262645648867,30.244734481413794,30.248061580479472,65.71322922945001,-117.97010881832875,-0.372001079113746,3.3140840397007967
MF_IA,MF_IA_High,P_IM,gaussian,0.1,51,1,0.02,300,41.30893727911007,52.22115850306682,-5.274880680746334e+28,-2.2928018195636217,38.40024388771153,38.468632297230435,80.40625462172761,-148.89358792205803,-0.6127223129517193,3.394841502713526
