sample_index,healthy_sensor,faulty_sensor,healthy_ground_truth,healthy_prediction,faulty_prediction,prediction_error,residual,fault_type,severity,repetition
0,2.8076835666695747,2.847858,1435.291,1397.2520795905098,1402.1303922691072,33.16060773089271,4.878312678597467,lag,0.02,1
1,2.8829588687090766,2.847858,1435.291,1406.4805840143968,1402.1303922691072,33.16060773089271,-4.350191745289521,lag,0.02,1
2,2.8624132840816086,2.847858,1435.291,1403.934287129572,1402.1303922691072,33.16060773089271,-1.8038948604648795,lag,0.02,1
3,2.8198417647698766,2.847858,1435.291,1398.6719276162207,1402.1303922691072,33.16060773089271,3.458464652886505,lag,0.02,1
4,2.9402481506050138,2.847858,1435.291,1413.1449690379409,1402.1303922691072,33.16060773089271,-11.01457676883365,lag,0.02,1
5,2.9272584375652912,2.847858,1435.291,1411.6720219566098,1402.1303922691072,33.16060773089271,-9.541629687502564,lag,0.02,1
6,2.810995726590364,2.847858,1435.291,1397.6388773450435,1402.1303922691072,33.16060773089271,4.491514924063722,lag,0.02,1
7,2.8982520721498517,2.847858,1435.291,1408.3044730742095,1402.1303922691072,33.16060773089271,-6.174080805102221,lag,0.02,1
8,2.868724984552205,2.847858,1435.291,1404.7165215384553,1402.1303922691072,33.16060773089271,-2.586129269348021,lag,0.02,1
9,2.8768239225112104,2.847858,1435.291,1405.7202554729884,1402.1303922691072,33.16060773089271,-3.589863203881123,lag,0.02,1
10,2.817396923478069,2.847858,1435.291,1398.386416305029,1402.1303922691072,33.16060773089271,3.743975964078345,lag,0.02,1
11,2.9571375180340533,2.847858,1435.291,1415.061478505356,1402.1303922691072,33.16060773089271,-12.931086236248802,lag,0.02,1
12,2.8427013994173755,2.847858,1435.291,1401.491314032206,1402.1303922691072,33.16060773089271,0.6390782369012413,lag,0.02,1
13,2.8038574721412055,2.847858,1435.291,1396.8052639754435,1402.1303922691072,33.16060773089271,5.325128293663738,lag,0.02,1
14,2.823155688271216,2.847858,1435.291,1399.0689354868612,1402.1303922691072,33.16060773089271,3.0614567822460685,lag,0.02,1
15,2.8499304908408436,2.847858,1435.291,1402.3872443892856,1402.1303922691072,33.16060773089271,-0.2568521201783369,lag,0.02,1
16,2.807789634395157,2.847858,1435.291,1397.264466298599,1402.1303922691072,33.16060773089271,4.865925970508215,lag,0.02,1
17,2.8353898342416506,2.847858,1435.291,1400.5851623715107,1402.1303922691072,33.16060773089271,1.5452298975965277,lag,0.02,1
18,2.8451375471230267,2.847858,1435.291,1401.7932356093404,1402.1303922691072,33.16060773089271,0.3371566597668334,lag,0.02,1
19,2.778318800325615,2.847858,1435.291,1393.8147182166845,1402.1303922691072,33.16060773089271,8.315674052422764,lag,0.02,1
20,2.804191905745037,2.847858,1435.291,1396.84431950721,1402.1303922691072,33.16060773089271,5.2860727618972305,lag,0.02,1
21,2.7334361155363522,2.847858,1435.291,1388.1746232895803,1402.1303922691072,33.16060773089271,13.955768979526965,lag,0.02,1
22,2.75685927719978,2.847858,1435.291,1391.1292114472233,1402.1303922691072,33.16060773089271,11.001180821883963,lag,0.02,1
23,2.8242525702630874,2.847858,1435.291,1399.2048764809756,1402.1303922691072,33.16060773089271,2.9255157881316336,lag,0.02,1
24,2.8669316622952876,2.847858,1435.291,1404.4942679029868,1402.1303922691072,33.16060773089271,-2.3638756338796156,lag,0.02,1
25,2.7961590022526672,2.847858,1435.291,1395.9062280178073,1402.1303922691072,33.16060773089271,6.224164251299953,lag,0.02,1
26,2.83659373063792,2.847858,1435.291,1400.7343660909014,1402.1303922691072,33.16060773089271,1.3960261782058296,lag,0.02,1
27,2.959727704302753,2.847858,1435.291,1415.3558499310188,1402.1303922691072,33.16060773089271,-13.225457661911605,lag,0.02,1
