window_start,window_end,mean,standard_deviation,rms,maximum_error,slope,skewness,kurtosis,autocorrelation_lag1,dominant_frequency_energy,wavelet_detail_energy,dropout_ratio,spike_count
0,30,-0.0361332029519834,0.47769639598733243,0.47906101395840545,1.0516262658182427,-0.004850466594325046,0.3071487798299931,2.4102902706744365,0.07094716830924418,20.37333302111779,2.187024394482691,0.0,1
10,40,-0.018680664239589837,0.5116688103282908,0.5120097056494152,1.0516262658182427,0.0011521985506051568,0.32155695367745885,2.1718723188218756,-0.017929595351892945,27.89664717908659,2.7764601398917708,0.0,1
20,50,-0.029168074449491616,0.45294732104159724,0.4538855056133108,0.9499633130760117,0.01633350392077353,0.2846286664324707,2.583444097539173,-0.055134248316086924,13.586036422416248,2.597967054299492,0.0,2
30,60,0.010255354471684085,0.47585011247594916,0.4759606095452788,0.9499633130760117,-0.0019190478585152724,0.07919184553692962,2.3478064779727816,-0.21872870711329742,34.1293977816478,3.900541633731315,0.0,0
40,70,-0.009401425919501586,0.4937787617815577,0.4938682540879178,0.9995258286376725,-0.0062267975381768625,0.03188886412200583,2.3722651295138726,-0.279381005299806,20.842143370061507,3.6879364339976064,0.0,1
50,80,-0.05380502009489116,0.5369914727992279,0.5396802961443893,1.421833988317303,0.0010321345161357508,-0.4482849801193091,2.820354750527499,-0.35582282884344046,27.273774123574107,5.40799467682168,0.0,1
60,90,0.0662087242817222,0.5400272629577476,0.5440708041318238,1.421833988317303,0.013355373730208262,-0.4288826503191612,3.365678435818183,-0.2620421658662523,33.14012220750654,5.624509965473719,0.0,1
70,100,0.08126060335287283,0.5141579685725106,0.520539818173292,1.421833988317303,0.0019045871325131085,-0.7691731700657295,3.893008625682897,-0.2390903090922791,32.66845022747486,5.665694366200967,0.0,1
80,110,0.09994463358849544,0.49632402377178264,0.5062869407323792,1.0579005638297758,-0.011670607500616902,-0.09118207741786286,2.288839829467628,-0.2199185821651068,27.97284814053515,5.044176649906012,0.0,0
90,120,-0.006814797233869285,0.5208728461950595,0.5209174247082553,0.9706638861633223,-0.0019662228472788,0.07848423928574863,2.0009756547439577,-0.33051042834869887,28.211046692485937,5.099255442517718,0.0,0
100,130,-0.00864920930001934,0.5196873241970278,0.5197592940511812,1.1798140367563406,-0.0011041587232712424,0.6339532716490707,2.592156764405508,-0.25743666595974757,29.221697451535622,5.010662079919525,0.0,1
110,140,-0.05452594951643353,0.49098741298721976,0.49400578830875186,1.1798140367563406,-0.005495939026623872,0.5683503377065533,3.2485653867808293,-0.17389644635930865,52.44719921960448,4.29265784777869,0.0,2
120,150,-6.210935993067324e-06,0.535973885245013,0.5359738852809995,1.1935946750326707,0.003490786510896015,0.36638781880712695,3.6623829633910847,0.011273364003803231,38.78325486648306,5.189770630963646,0.0,3
130,160,-0.07611299045237843,0.5805057228735724,0.5854742364994148,1.1935946750326707,-0.005432461603646003,0.21888759423522477,2.9411459551388592,-0.015026864731798479,25.169371182390652,6.395637508299976,0.0,1
140,170,-0.024266860153297407,0.5658069185506279,0.5663270694408459,1.1935946750326707,-0.007794347378708966,0.06871105671312926,3.0148943242930213,-0.01073246545526847,31.290748507137785,6.049219242004898,0.0,2
150,180,-0.19855201456798,0.4940096862163164,0.5324175734933501,1.2407299812393262,-0.0034420161753829152,-0.12120963468766907,2.8016947222095197,-0.0195734547807875,19.151836696398565,3.5555198955489766,0.0,1
160,190,-0.11819012588359404,0.4791558526297308,0.4935172104047681,1.2407299812393262,0.0018509019762997523,-0.15075543050607842,3.2149298330217246,0.14531766637642748,17.26024184357959,2.457453953521475,0.0,2
170,200,-0.16278690830856135,0.48331260897738015,0.5099908386561292,1.2407299812393262,0.017183316766619626,0.01013944427462084,3.188284533246283,0.1211925506823793,20.689098780526972,2.8249216896390887,0.0,1
180,210,0.029257231876927865,0.4183988184576265,0.41942050129176833,1.055598988224574,0.0073673682076525835,-0.011615550409876366,3.0273918636128,-0.05566401517550577,18.58957025118897,2.647809896452677,0.0,2
190,220,0.05872636464738245,0.454549656410351,0.45832758595513917,1.0720373528037044,0.004635171385196138,0.02464252284975498,2.7825989910836304,-0.05290720297423446,18.283968545635947,1.790622842032592,0.0,2
200,230,0.1682535439946643,0.4593465519065234,0.48919169025564696,1.0720373528037044,-0.003949258200315114,0.10081247575346654,2.36225235398935,-0.14858531771850825,19.81544540375827,2.2885847833332873,0.0,1
210,240,0.0821662808708235,0.5693966368033542,0.5752945573487671,1.1607234567439377,-0.01208791975375044,0.09405766368437612,2.2721509920434455,0.011460399741151433,31.250007933240518,3.4302481718308844,0.0,0
220,250,0.09947648494206571,0.4841544280263885,0.49426822802400355,1.1607234567439377,-0.005264923008556653,-0.14517638442213757,3.0790567886532028,0.01163608439165907,16.21714840624594,3.227833973003163,0.0,2
230,260,0.049776115540686304,0.5137164366718411,0.5161223101021051,1.3624206314932508,0.006884058526691894,0.3193870373124673,3.4425544230781293,0.30432018223702745,40.897466574125815,3.296391811032586,0.0,3
240,270,0.116691740254682,0.43285210931993917,0.44830559977139117,1.3624206314932508,0.0010089727876939577,0.8840804463153499,3.8504102802264604,0.12322287280767578,16.620915197492895,2.701735245365158,0.0,2
250,280,0.09606569094300425,0.49295028102180144,0.5022236519080218,1.3624206314932508,0.004481785425184531,0.7244996647763842,2.8644940615804138,0.060518002301571804,24.30746985936657,3.1918325008569677,0.0,1
260,290,0.038046035782834525,0.5100361101488077,0.5114531596290274,1.0063702732560955,-0.009415944269876136,0.48551646137412957,2.164236655889003,0.054868751312928635,24.40389743811436,4.509211558030502,0.0,0
