sample_index,healthy_sensor,faulty_sensor,healthy_ground_truth,healthy_prediction,faulty_prediction,prediction_error,residual,fault_type,severity,repetition
0,1.1753135788575266,1.17463,221.6221,227.38838378229258,227.35284458978634,-5.7307445897863545,-0.03553919250623494,lag,0.02,1
1,1.1744430701695439,1.17463,221.6221,227.3431261276708,227.35284458978634,-5.7307445897863545,0.009718462115529292,lag,0.02,1
2,1.185052268806949,1.17463,221.6221,227.89469724278217,227.35284458978634,-5.7307445897863545,-0.5418526529958285,lag,0.02,1
3,1.181778902402347,1.17463,221.6221,227.72451526960396,227.35284458978634,-5.7307445897863545,-0.3716706798176119,lag,0.02,1
4,1.150614867846457,1.17463,221.6221,226.10430040900616,227.35284458978634,-5.7307445897863545,1.2485441807801863,lag,0.02,1
5,1.2051178712538382,1.17463,221.6221,228.93790579182274,227.35284458978634,-5.7307445897863545,-1.5850612020363997,lag,0.02,1
6,1.1891637158956863,1.17463,221.6221,228.1084509420918,227.35284458978634,-5.7307445897863545,-0.755606352305449,lag,0.02,1
7,1.1636826825553133,1.17463,221.6221,226.78369471364454,227.35284458978634,-5.7307445897863545,0.5691498761418075,lag,0.02,1
8,1.1826142858405941,1.17463,221.6221,227.76794676620688,227.35284458978634,-5.7307445897863545,-0.4151021764205325,lag,0.02,1
9,1.127443251753513,1.17463,221.6221,224.8996105390048,227.35284458978634,-5.7307445897863545,2.453234050781532,lag,0.02,1
10,1.1930114327813524,1.17463,221.6221,228.30849333603618,227.35284458978634,-5.7307445897863545,-0.9556487462498353,lag,0.02,1
11,1.169156441247101,1.17463,221.6221,227.06827484911634,227.35284458978634,-5.7307445897863545,0.2845697406700083,lag,0.02,1
12,1.1864690084940621,1.17463,221.6221,227.96835338927832,227.35284458978634,-5.7307445897863545,-0.6155087994919768,lag,0.02,1
13,1.2171468978170072,1.17463,221.6221,229.56329361063104,227.35284458978634,-5.7307445897863545,-2.210449020844692,lag,0.02,1
14,1.171966195155899,1.17463,221.6221,227.2143536576703,227.35284458978634,-5.7307445897863545,0.13849093211604213,lag,0.02,1
15,1.1831877627187013,1.17463,221.6221,227.79776176844757,227.35284458978634,-5.7307445897863545,-0.44491717866122826,lag,0.02,1
16,1.15620952015636,1.17463,221.6221,226.39516579089786,227.35284458978634,-5.7307445897863545,0.9576787988884803,lag,0.02,1
17,1.1913311493736811,1.17463,221.6221,228.22113557938133,227.35284458978634,-5.7307445897863545,-0.868290989594982,lag,0.02,1
18,1.179508436225514,1.17463,221.6221,227.60647397319883,227.35284458978634,-5.7307445897863545,-0.25362938341248764,lag,0.02,1
19,1.1972325693928108,1.17463,221.6221,228.52794978203121,227.35284458978634,-5.7307445897863545,-1.175105192244871,lag,0.02,1
20,1.1767639063791036,1.17463,221.6221,227.46378615675036,227.35284458978634,-5.7307445897863545,-0.11094156696401569,lag,0.02,1
21,1.179473064097027,1.17463,221.6221,227.6046349799799,227.35284458978634,-5.7307445897863545,-0.2517903901935483,lag,0.02,1
22,1.1709267997350075,1.17463,221.6221,227.16031559966632,227.35284458978634,-5.7307445897863545,0.19252899012002445,lag,0.02,1
23,1.1583578854671848,1.17463,221.6221,226.50685907619265,227.35284458978634,-5.7307445897863545,0.8459855135936891,lag,0.02,1
24,1.2111025223939225,1.17463,221.6221,229.24904717164867,227.35284458978634,-5.7307445897863545,-1.896202581862326,lag,0.02,1
25,1.186619113397986,1.17463,221.6221,227.97615732735784,227.35284458978634,-5.7307445897863545,-0.6233127375714957,lag,0.02,1
26,1.1631108837688546,1.17463,221.6221,226.75396695521107,227.35284458978634,-5.7307445897863545,0.598877634575274,lag,0.02,1
27,1.1624006140888432,1.17463,221.6221,226.71704010966653,227.35284458978634,-5.7307445897863545,0.6358044801198162,lag,0.02,1
28,1.2077211813484972,1.17463,221.6221,229.0732516083134,227.35284458978634,-5.7307445897863545,-1.7204070185270552,lag,0.02,1
29,1.138134388496032,1.17463,221.6221,225.45544160753502,227.35284458978634,-5.7307445897863545,1.8974029822513216,lag,0.02,1
30,1.1768531406719989,1.17463,221.6221,227.46842543820026,227.35284458978634,-5.7307445897863545,-0.11558084841391292,lag,0.02,1
31,1.1790417282383574,1.17463,221.6221,227.58220987430633,227.35284458978634,-5.7307445897863545,-0.22936528451998583,lag,0.02,1
32,1.1748452676242196,1.17463,221.6221,227.3640363308025,227.35284458978634,-5.7307445897863545,-0.011191741016148171,lag,0.02,1
33,1.209433570493788,1.17463,221.6221,229.1622785388717,227.35284458978634,-5.7307445897863545,-1.80943394908536,lag,0.02,1
34,1.1379018919887258,1.17463,221.6221,225.4433541387093,227.35284458978634,-5.7307445897863545,1.9094904510770334,lag,0.02,1
35,1.1783388749175487,1.17463,221.6221,227.54566860449262,227.35284458978634,-5.7307445897863545,-0.1928240147062752,lag,0.02,1
36,1.1696930627687472,1.17463,221.6221,227.09617374527255,227.35284458978634,-5.7307445897863545,0.25667084451379196,lag,0.02,1
37,1.180241203063746,1.17463,221.6221,227.6445704436199,227.35284458978634,-5.7307445897863545,-0.29172585383355454,lag,0.02,1
38,1.204950733382912,1.17463,221.6221,228.92921631159004,227.35284458978634,-5.7307445897863545,-1.576371721803696,lag,0.02,1
39,1.1683172188325404,1.17463,221.6221,227.02464376454094,227.35284458978634,-5.7307445897863545,0.3282008252454034,lag,0.02,1
40,1.1805262421893283,1.17463,221.6221,227.65938959761263,227.35284458978634,-5.7307445897863545,-0.306545007826287,lag,0.02,1
41,1.1735080928798267,1.17463,221.6221,227.29451675726352,227.35284458978634,-5.7307445897863545,0.0583278325228207,lag,0.02,1
42,1.1943962050034438,1.17463,221.6221,228.380487497407,227.35284458978634,-5.7307445897863545,-1.0276429076206455,lag,0.02,1
43,1.1740426830649322,1.17463,221.6221,227.32231004444776,227.35284458978634,-5.7307445897863545,0.030534545338582575,lag,0.02,1
44,1.2280932107373048,1.17463,221.6221,230.13239126165593,227.35284458978634,-5.7307445897863545,-2.779546671869582,lag,0.02,1
45,1.1576732883132088,1.17463,221.6221,226.4712669425616,227.35284458978634,-5.7307445897863545,0.8815776472247308,lag,0.02,1
46,1.1973330782057383,1.17463,221.6221,228.53317522458525,227.35284458978634,-5.7307445897863545,-1.1803306347989064,lag,0.02,1
47,1.1345682301300644,1.17463,221.6221,225.27003741125156,227.35284458978634,-5.7307445897863545,2.082807178534779,lag,0.02,1
48,1.2035671824663607,1.17463,221.6221,228.85728564576533,227.35284458978634,-5.7307445897863545,-1.5044410559789867,lag,0.02,1
49,1.1307246110531557,1.17463,221.6221,225.07020806195084,227.35284458978634,-5.7307445897863545,2.282636527835507,lag,0.02,1
50,1.1537272855181935,1.17463,221.6221,226.26611467458503,227.35284458978634,-5.7307445897863545,1.0867299152013175,lag,0.02,1
51,1.209878022622775,1.17463,221.6221,229.18538555805185,227.35284458978634,-5.7307445897863545,-1.832540968265505,lag,0.02,1
52,1.1661478218608823,1.17463,221.6221,226.9118570454237,227.35284458978634,-5.7307445897863545,0.4409875443626561,lag,0.02,1
53,1.2093368453114204,1.17463,221.6221,229.1572498068703,227.35284458978634,-5.7307445897863545,-1.8044052170839677,lag,0.02,1
54,1.1640892570404238,1.17463,221.6221,226.8048324781255,227.35284458978634,-5.7307445897863545,0.548012111660853,lag,0.02,1
