sample_index,healthy_sensor,faulty_sensor,healthy_ground_truth,healthy_prediction,faulty_prediction,prediction_error,residual,fault_type,severity,repetition
0,2.9305365157346714,2.847858,1435.291,1412.0437342228624,1402.1303922691072,33.16060773089271,-9.913341953755207,linear_drift,0.035,1
1,2.8432151067478224,2.8481913613043477,1435.291,1401.554979846489,1402.171707075484,33.119292924516,0.6167272289949324,linear_drift,0.035,1
2,2.728856073097838,2.848524722608696,1435.291,1387.5968985850857,1402.2130218818606,33.0779781181393,14.616123296774958,linear_drift,0.035,1
3,2.861436307852029,2.8488580839130435,1435.291,1403.8132065385334,1402.2543366882373,33.036663311762595,-1.5588698502961051,linear_drift,0.035,1
4,2.8936213116156577,2.849191445217391,1435.291,1407.759277607965,1402.2956514946143,32.995348505385664,-5.463626113350756,linear_drift,0.035,1
5,2.8584481946711175,2.8495248065217393,1435.291,1403.4428776614527,1402.3369663009912,32.95403369900873,-1.105911360461505,linear_drift,0.035,1
6,2.9358383025894224,2.849858167826087,1435.291,1412.6449215970301,1402.378281107368,32.91271889263203,-10.266640489662223,linear_drift,0.035,1
7,2.8698232093707667,2.8501915291304347,1435.291,1404.8526289544789,1402.4195959137446,32.871404086255325,-2.4330330407342444,linear_drift,0.035,1
8,2.8738322599334776,2.8505248904347824,1435.291,1405.3494867048926,1402.4609107201215,32.83008927987839,-2.8885759847710233,linear_drift,0.035,1
9,2.8766693059673014,2.8508582517391305,1435.291,1405.7010932232279,1402.5022255264985,32.78877447350146,-3.198867696729394,linear_drift,0.035,1
10,2.748882226979028,2.8511916130434782,1435.291,1390.1229895522533,1402.5435403328752,32.74745966712476,12.420550780621852,linear_drift,0.035,1
11,2.8949086880836643,2.851524974347826,1435.291,1407.910844895568,1402.5848551392519,32.706144860748054,-5.325989756316176,linear_drift,0.035,1
12,2.8479958045606697,2.851858335652174,1435.291,1402.147470942209,1402.6261699456286,32.66483005437135,0.4786990034194787,linear_drift,0.035,1
13,2.681445055883528,2.8521916969565217,1435.291,1381.4003891335142,1402.6674847520055,32.62351524799442,21.26709561849134,linear_drift,0.035,1
14,2.8386583304454036,2.8525250582608694,1435.291,1400.9902402435976,1402.7087995583822,32.582200441617715,1.7185593147846703,linear_drift,0.035,1
15,2.726764535608925,2.8528584195652176,1435.291,1387.3330728904673,1402.7501143647592,32.540885635240784,15.417041474291864,linear_drift,0.035,1
16,2.8765402256654813,2.8531917808695653,1435.291,1405.6850957825914,1402.7914291711356,32.49957082886431,-2.8936666114557283,linear_drift,0.035,1
17,2.7589774830771643,2.853525142173913,1435.291,1391.3964010815987,1402.8327439775126,32.458256022487376,11.436342895913867,linear_drift,0.035,1
18,2.7588447358670307,2.853858503478261,1435.291,1391.379656402095,1402.8740587838893,32.41694121611067,11.494402381794316,linear_drift,0.035,1
19,2.8216909371660948,2.854191864782609,1435.291,1398.8878760449525,1402.9153735902662,32.37562640973374,4.027497545313736,linear_drift,0.035,1
20,2.8495397008996513,2.8545252260869565,1435.291,1402.3388122211127,1402.956688396643,32.33431160335704,0.6178761755302276,linear_drift,0.035,1
21,2.907525697603718,2.854858587391304,1435.291,1409.3962890978985,1402.9980032030198,32.292996796980106,-6.398285894878654,linear_drift,0.035,1
22,2.725521282651299,2.8551919486956523,1435.291,1387.176249464222,1403.0393180093968,32.251681990603174,15.863068545174656,linear_drift,0.035,1
23,2.8856013118402943,2.85552531,1435.291,1406.8080726128155,1403.0806328157735,32.21036718422647,-3.7274397970420523,linear_drift,0.035,1
24,2.808557274213582,2.8558586713043477,1435.291,1397.354112138522,1403.1219476221502,32.169052377849766,5.767835483628232,linear_drift,0.035,1
25,2.837017388842677,2.856192032608696,1435.291,1400.7868717550896,1403.163262428527,32.127737571472835,2.376390673437527,linear_drift,0.035,1
26,2.863673018771963,2.8565253939130435,1435.291,1404.090411113188,1403.2045772349038,32.08642276509613,-0.885833878284302,linear_drift,0.035,1
27,2.8146135517209943,2.856858755217391,1435.291,1398.0613710259918,1403.2458920412805,32.04510795871943,5.1845210152887375,linear_drift,0.035,1
28,2.849683914775456,2.8571921165217393,1435.291,1402.356685226402,1403.2872068476572,32.00379315234272,0.9305216212551386,linear_drift,0.035,1
29,2.8599750071512657,2.857525477826087,1435.291,1403.632101669063,1403.3285216540344,31.962478345965565,-0.30358001502872867,linear_drift,0.035,1
30,2.783261200922848,2.8578588391304347,1435.291,1394.4000082965067,1403.369836460411,31.92116353958886,8.969828163904367,linear_drift,0.035,1
31,2.9115027615736917,2.8581922004347824,1435.291,1409.864522604983,1403.4111512667878,31.879848733212157,-6.453371338195211,linear_drift,0.035,1
32,2.823255055877187,2.8585255617391305,1435.291,1399.0812505136723,1403.4524660731647,31.838533926835225,4.371215559492384,linear_drift,0.035,1
33,2.786805991602796,2.858858923043478,1435.291,1394.8139729322988,1403.4937808795414,31.79721912045852,8.67980794724258,linear_drift,0.035,1
34,2.9254900557028582,2.859192284347826,1435.291,1411.4714992125753,1403.5350956859181,31.755904314081818,-7.936403526657159,linear_drift,0.035,1
35,2.7795457477999204,2.859525645652174,1435.291,1393.9661135089987,1403.576410492295,31.714589507704886,9.610296983296394,linear_drift,0.035,1
36,2.7721461150508926,2.8598590069565217,1435.291,1393.0505515811337,1403.6177252986718,31.673274701328182,10.567173717538026,linear_drift,0.035,1
37,2.8330762346357603,2.8601923682608694,1435.291,1400.2984286729557,1403.6590401050487,31.63195989495125,3.3606114320930374,linear_drift,0.035,1
38,2.881259109999067,2.8605257295652176,1435.291,1406.2699260853708,1403.7003549114254,31.590645088574547,-2.5695711739454055,linear_drift,0.035,1
39,2.8012790421744493,2.8608590908695652,1435.291,1396.504152028794,1403.7416697178023,31.549330282197616,7.237517689008428,linear_drift,0.035,1
40,2.851829078017886,2.861192452173913,1435.291,1402.622543929412,1403.782984524179,31.508015475820912,1.160440594767124,linear_drift,0.035,1
41,2.852245655398722,2.861525813478261,1435.291,1402.6741720386306,1403.8242993305557,31.466700669444208,1.1501272919251733,linear_drift,0.035,1
