sample_index,healthy_sensor,faulty_sensor,healthy_ground_truth,healthy_prediction,faulty_prediction,prediction_error,residual,fault_type,severity,repetition
0,1.195321691886436,1.17463,221.6221,228.42860346257254,227.35284458978634,-5.7307445897863545,-1.0757588727861958,linear_drift,0.125,1
1,1.172230561967444,1.1751210660535119,221.6221,227.22809806024253,227.37837506197252,-5.756275061972531,0.15027700172998948,linear_drift,0.125,1
2,1.140717518805158,1.1756121321070234,221.6221,225.58973827910995,227.4039055341584,-5.781805534158423,1.81416725504846,linear_drift,0.125,1
3,1.1622881161604381,1.1761031981605352,221.6221,226.71119135426676,227.42943600634453,-5.807336006344542,0.7182446520777717,linear_drift,0.125,1
4,1.1499285050207844,1.1765942642140468,221.6221,226.06861647829044,227.45496647853054,-5.832866478530548,1.3863500002400997,linear_drift,0.125,1
5,1.1574790838957676,1.1770853302675586,221.6221,226.46117027543846,227.48049695071683,-5.858396950716838,1.0193266752783643,linear_drift,0.125,1
6,1.188205612535717,1.1775763963210704,221.6221,228.0586392497376,227.5060274229029,-5.8839274229029,-0.5526118268347204,linear_drift,0.125,1
7,1.2044050360905718,1.178067462374582,221.6221,228.90084556707512,227.53155789508872,-5.909457895088735,-1.369287671986399,linear_drift,0.125,1
8,1.1606685916737445,1.1785585284280937,221.6221,226.62699244748745,227.55708836727484,-5.934988367274855,0.9300959197873908,linear_drift,0.125,1
9,1.186016371352191,1.1790495944816055,221.6221,227.94482083214422,227.58261883946085,-5.96051883946086,-0.3622019926833673,linear_drift,0.125,1
10,1.1485483502044396,1.179540660535117,221.6221,225.9968623753564,227.60814931164708,-5.986049311647093,1.6112869362906963,linear_drift,0.125,1
11,1.1840280637311076,1.1800317265886289,221.6221,227.8414489292109,227.6336797838332,-6.011579783833213,-0.20776914537771063,linear_drift,0.125,1
12,1.1688166421212614,1.1805227926421404,221.6221,227.0506087285017,227.6592102560192,-6.0371102560192185,0.6086015275175214,linear_drift,0.125,1
13,1.151341543300916,1.1810138586956522,221.6221,226.142080189029,227.68474072820538,-6.062640728205395,1.5426605391763815,linear_drift,0.125,1
14,1.1793548826925127,1.181504924749164,221.6221,227.5984907412581,227.71027120039122,-6.08817120039123,0.11178045913311507,linear_drift,0.125,1
15,1.1727064825437634,1.1819959908026756,221.6221,227.2528411206713,227.73580167257722,-6.1137016725772355,0.4829605519059328,linear_drift,0.125,1
16,1.2121779746376797,1.1824870568561874,221.6221,229.30495982005965,227.76133214476334,-6.139232144763355,-1.5436276752963067,linear_drift,0.125,1
17,1.1886957403396543,1.1829781229096992,221.6221,228.08412094242772,227.78686261694952,-6.164762616949531,-0.29725832547819664,linear_drift,0.125,1
18,1.1571977341382707,1.1834691889632107,221.6221,226.44654293130202,227.81239308913575,-6.190293089135764,1.3658501578337336,linear_drift,0.125,1
19,1.1881884349196958,1.1839602550167225,221.6221,228.0577461872976,227.8379235613216,-6.215823561321599,-0.21982262597600766,linear_drift,0.125,1
20,1.157590084747282,1.184451321070234,221.6221,226.46694119796905,227.8634540335077,-6.241354033507719,1.3965128355386582,linear_drift,0.125,1
21,1.1982470359404567,1.1849423871237459,221.6221,228.5806917905516,227.8889845056937,-6.266884505693724,-0.6917072848578982,linear_drift,0.125,1
22,1.153100081336385,1.1854334531772577,221.6221,226.2335063955071,227.91451497787978,-6.292414977879787,1.6810085823726695,linear_drift,0.125,1
23,1.1520361557692884,1.1859245192307692,221.6221,226.17819301779627,227.9400454500659,-6.317945450065906,1.7618524322696203,linear_drift,0.125,1
24,1.1936161766438118,1.186415585284281,221.6221,228.33993390548687,227.96557592225201,-6.343475922252026,-0.3743579832348587,linear_drift,0.125,1
25,1.1918559731537373,1.1869066513377926,221.6221,228.24842111220016,227.99110639443796,-6.3690063944379744,-0.25731471776219905,linear_drift,0.125,1
26,1.1428023932323574,1.1873977173913044,221.6221,225.6981306800801,228.01663686662414,-6.394536866624151,2.3185061865440275,linear_drift,0.125,1
27,1.1969610254174505,1.1878887834448162,221.6221,228.51383223947113,228.0421673388102,-6.420067338810213,-0.4716649006609259,linear_drift,0.125,1
28,1.1986947950789013,1.1883798494983278,221.6221,228.60397074080345,228.06769781099638,-6.445597810996389,-0.536272929807069,linear_drift,0.125,1
29,1.1418327628778018,1.1888709155518395,221.6221,225.6477197004965,228.09322828318238,-6.471128283182395,2.445508582685875,linear_drift,0.125,1
30,1.1457958549661957,1.1893619816053513,221.6221,225.85376043902858,228.11875875536833,-6.496658755368344,2.2649983163397565,linear_drift,0.125,1
31,1.1929223135598543,1.189853047658863,221.6221,228.30386003713608,228.1442892275544,-6.522189227554406,-0.15957080958168035,linear_drift,0.125,1
32,1.1829768194203685,1.1903441137123747,221.6221,227.78679484867695,228.1698196997404,-6.547719699740412,0.3830248510634533,linear_drift,0.125,1
33,1.2008488196072444,1.1908351797658863,221.6221,228.71595824821867,228.19535017192652,-6.5732501719265315,-0.5206080762921488,linear_drift,0.125,1
34,1.1412898726713632,1.191326245819398,221.6221,225.61949489608094,228.22088064411258,-6.598780644112594,2.601385748031646,linear_drift,0.125,1
35,1.1390967939136067,1.1918173118729098,221.6221,225.50547696340897,228.24641111629865,-6.6243111162986565,2.740934152889679,linear_drift,0.125,1
36,1.1509822390171074,1.1923083779264214,221.6221,226.1233999973145,228.27194158848476,-6.649841588484776,2.1485415911702717,linear_drift,0.125,1
37,1.1954032598698736,1.1927994439799332,221.6221,228.43284417340465,228.29747206067088,-6.675372060670895,-0.13537211273376215,linear_drift,0.125,1
38,1.163440674690922,1.1932905100334448,221.6221,226.7711127503701,228.32300253285695,-6.700902532856958,1.5518897824868532,linear_drift,0.125,1
39,1.1498131003242786,1.1937815760869566,221.6221,226.06261660032447,228.34853300504295,-6.7264330050429635,2.2859164047184777,linear_drift,0.125,1
40,1.199061248950074,1.1942726421404684,221.6221,228.6230226388089,228.37406347722907,-6.751963477229083,-0.248959161579819,linear_drift,0.125,1
41,1.1190961898342433,1.19476370819398,221.6221,224.46564767262186,228.39959394941496,-6.777493949414975,3.933946276793108,linear_drift,0.125,1
42,1.1807944784819089,1.1952547742474917,221.6221,227.67333517409463,228.42512442160114,-6.803024421601151,0.7517892475065082,linear_drift,0.125,1
43,1.1834507392770786,1.1957458403010035,221.6221,227.81143389190476,228.45065489378715,-6.828554893787157,0.6392210018823903,linear_drift,0.125,1
44,1.1857382191860244,1.196236906354515,221.6221,227.93035973044306,228.47618536597338,-6.85408536597339,0.5458256355303206,linear_drift,0.125,1
45,1.2077586657815291,1.1967279724080269,221.6221,229.07520042002233,228.50171583815938,-6.8796158381593955,-0.5734845818629424,linear_drift,0.125,1
46,1.1241259524577807,1.1972190384615384,221.6221,224.7271444994629,228.52724631034533,-6.905146310345344,3.8001018108824383,linear_drift,0.125,1
47,1.1837020303396841,1.1977101045150502,221.6221,227.82449848767277,228.55277678253145,-6.930676782531464,0.7282782948586828,linear_drift,0.125,1
48,1.2257588587025823,1.198201170568562,221.6221,230.01102854625583,228.57830725471763,-6.95620725471764,-1.4327212915382006,linear_drift,0.125,1
49,1.2185727147480132,1.1986922366220736,221.6221,229.63742168207716,228.60383772690352,-6.981737726903532,-1.0335839551736399,linear_drift,0.125,1
50,1.1242666143115798,1.1991833026755854,221.6221,224.73445749436547,228.6293681990897,-7.007268199089708,3.894910704724225,linear_drift,0.125,1
51,1.1761262248137336,1.1996743687290972,221.6221,227.430633159609,228.65489867127565,-7.032798671275657,1.2242655116666583,linear_drift,0.125,1
52,1.1652495216775836,1.2001654347826087,221.6221,226.86515451389977,228.68042914346188,-7.05832914346189,1.8152746295621114,linear_drift,0.125,1
53,1.138731334013424,1.2006565008361205,221.6221,225.4864767418502,228.705959615648,-7.083859615648009,3.2194828737978014,linear_drift,0.125,1
54,1.1626324377796078,1.201147566889632,221.6221,226.72909259883141,228.731490087834,-7.109390087834015,2.0023974890025897,linear_drift,0.125,1
55,1.185774398762556,1.2016386329431439,221.6221,227.93224070280053,228.75702056002,-7.134920560020021,0.8247798572194824,linear_drift,0.125,1
56,1.2131917907947973,1.2021296989966557,221.6221,229.35766801484522,228.78255103220624,-7.160451032206254,-0.5751169826389742,linear_drift,0.125,1
57,1.197130512863537,1.2026207650501672,221.6221,228.52264387386782,228.8080815043922,-7.185981504392203,0.28543763052437043,linear_drift,0.125,1
58,1.1695086423460093,1.203111831103679,221.6221,227.08658574699916,228.8336119765783,-7.211511976578322,1.7470262295791485,linear_drift,0.125,1
59,1.1597793829593424,1.2036028971571906,221.6221,226.5807625804698,228.85914244876432,-7.237042448764328,2.2783798682945076,linear_drift,0.125,1
60,1.1931023976776198,1.2040939632107024,221.6221,228.31322259137266,228.88467292095055,-7.262572920950561,0.5714503295778854,linear_drift,0.125,1
61,1.2260618858875318,1.2045850292642142,221.6221,230.02678289755272,228.91020339313638,-7.288103393136396,-1.116579504416336,linear_drift,0.125,1
62,1.1991012847202482,1.2050760953177257,221.6221,228.62510409426602,228.9357338653225,-7.313633865322515,0.31062977105648315,linear_drift,0.125,1
63,1.1868660152232116,1.2055671613712375,221.6221,227.98899372713873,228.96126433750862,-7.339164337508635,0.9722706103698897,linear_drift,0.125,1
