sample_index,healthy_sensor,faulty_sensor,healthy_ground_truth,healthy_prediction,faulty_prediction,prediction_error,residual,fault_type,severity,repetition
0,20.966402413627605,21.44376376,1435.291,1403.7256333332912,1402.1303922691072,33.16060773089271,-1.5952410641839379,oscillation,0.02,1
1,20.769436881077432,21.48874281425189,1435.291,1404.4617166679327,1401.9827089226774,33.308291077322565,-2.4790077452553305,oscillation,0.02,1
2,22.059393749883526,21.533225769778227,1435.291,1400.1090448090313,1401.8366544570936,33.45434554290637,1.7276096480622982,oscillation,0.02,1
3,21.293972346901523,21.576721999599133,1435.291,1402.6222144632547,1401.6938397873791,33.59716021262079,-0.9283746758756024,oscillation,0.02,1
4,21.305048275983907,21.618751759875177,1435.291,1402.5858479744768,1401.5558400950677,33.73515990493229,-1.0300078794091405,oscillation,0.02,1
5,21.129122769135506,21.658851481266034,1435.291,1403.1634783405639,1401.4241774546585,33.86682254534139,-1.7393008859053225,oscillation,0.02,1
6,21.550045196378882,21.69657888189166,1435.291,1401.7814298809717,1401.3003040458202,33.99069595417973,-0.481125835151488,oscillation,0.02,1
7,21.853683286329193,21.73151784550239,1435.291,1400.784470519035,1401.1855861365034,34.10541386349655,0.40111561746834923,oscillation,0.02,1
8,21.40717884866006,21.76328301105389,1435.291,1402.2505144509846,1401.0812890136185,34.209710986381424,-1.1692254373660944,oscillation,0.02,1
9,21.625697569309654,21.79152402306606,1435.291,1401.5330343603093,1400.9885630274925,34.302436972507394,-0.5444713328167836,oscillation,0.02,1
10,20.453626759544395,21.815929395886286,1435.291,1405.5803551910742,1400.9084309040209,34.38256909597908,-4.6719242870533435,oscillation,0.02,1
11,22.637486476621728,21.836229949236014,1435.291,1397.9004023615041,1400.8417764644612,34.44922353553875,2.94137410295707,oscillation,0.02,1
12,21.821167711400218,21.852201777148064,1435.291,1400.8912315213831,1400.789334877285,34.50166512271494,-0.10189664409813304,oscillation,0.02,1
13,21.721770527737384,21.8636687175487,1435.291,1401.2175902888848,1400.751684549597,34.53931545040291,-0.4659057392877912,oscillation,0.02,1
14,21.445577656969572,21.870504295245997,1435.291,1402.1244365552975,1400.729240747567,34.56175925243292,-1.395195807730488,oscillation,0.02,1
15,21.99212808182725,21.87263311689432,1435.291,1400.3299035870477,1400.722251016231,34.568748983768955,0.3923474291832463,oscillation,0.02,1
