sample_index,healthy_sensor,faulty_sensor,healthy_ground_truth,healthy_prediction,faulty_prediction,prediction_error,residual,fault_type,severity,repetition
0,2.8561433956272566,2.847858,1435.291,1403.1572346519233,1402.1303922691072,33.16060773089271,-1.0268423828160849,oscillation,0.05,1
1,2.8449267469572472,2.8627917076407523,1435.291,1401.7671102974948,1403.981186682311,31.30981331768885,2.2140763848162806,oscillation,0.05,1
2,2.825067054192715,2.8775607032071497,1435.291,1399.3058187481515,1405.8115676660884,29.479432333911518,6.505748917936899,oscillation,0.05,1
3,2.887116644913712,2.892002091324888,1435.291,1406.9934606823977,1407.5686411984893,27.72235880151061,0.5751805160916774,oscillation,0.05,1
4,2.8276818610101118,2.9059565899823823,1435.291,1399.629882267116,1409.2115526264515,26.07944737354842,9.581670359335476,oscillation,0.05,1
5,2.8169577950436087,2.91927028733967,1435.291,1398.3351343933869,1410.7662188396298,24.52478116037014,12.431084446242949,oscillation,0.05,1
6,2.8150683565536054,2.931796339306735,1435.291,1398.1144836450112,1412.1865898385167,23.1044101614832,14.072106193505533,oscillation,0.05,1
7,2.92452814238238,2.943396589167737,1435.291,1411.3624246384443,1413.5019810348595,21.789018965140485,2.1395563964151734,oscillation,0.05,1
8,2.8790225201223785,2.953943091387407,1435.291,1405.9927365120925,1414.6984359174498,20.592564082550098,8.705699405357336,oscillation,0.05,1
9,2.8143081984459823,2.963319522792721,1435.291,1398.0257115276768,1415.764055604252,19.526944395747933,17.73834407657523,oscillation,0.05,1
10,2.793853310624076,2.971422465565145,1435.291,1395.6369667605268,1416.6849449027577,18.606055097242233,21.04797814223093,oscillation,0.05,1
11,2.835787192716793,2.9781625478926332,1435.291,1400.6344086044974,1417.4509468184515,17.840053181548456,16.816538213954118,oscillation,0.05,1
12,2.825522686372054,2.98346542970049,1435.291,1399.3622870755278,1418.0536126949419,17.237387305058064,18.6913256194141,oscillation,0.05,1
13,2.924754808525029,2.9872726225889403,1435.291,1411.3881270717643,1418.4862953988422,16.80470460115771,7.0981683270779286,oscillation,0.05,1
14,2.750461699349578,2.9895421349338527,1435.291,1390.3222235595326,1418.7442226346568,16.546777365343132,28.421999075124177,oscillation,0.05,1
15,2.837633563079544,2.9902489350354577,1435.291,1400.8632367049458,1418.8245495810552,16.46645041894476,17.961312876109332,oscillation,0.05,1
