sample_index,healthy_sensor,faulty_sensor,healthy_ground_truth,healthy_prediction,faulty_prediction,prediction_error,residual,fault_type,severity,repetition
0,10.856257230474219,11.05984585,221.6221,226.87566902091584,227.35284458978634,-5.7307445897863545,0.47717556887050705,oscillation,0.0875,1
1,10.836354706575339,11.16133893105687,221.6221,226.82902103938557,227.59072634762992,-5.968626347629936,0.761705308244359,oscillation,0.0875,1
2,11.347446820493357,11.261712589106693,221.6221,228.02693018957353,227.82598437674324,-6.203884376743247,-0.2009458128302981,oscillation,0.0875,1
3,10.83567823582358,11.359859747874392,221.6221,226.8274355120779,228.05602388694314,-6.433923886943148,1.2285883748652395,oscillation,0.0875,1
4,10.80381640684881,11.454697888369937,221.6221,226.75275704330238,228.27830764596183,-6.6562076459618424,1.5255506026594503,oscillation,0.0875,1
5,11.206619721385149,11.545180988585612,221.6221,227.69685647874496,228.49038396397583,-6.868283963975841,0.793527485230868,oscillation,0.0875,1
6,11.04322226671373,11.630311060648001,221.6221,227.31388186274518,228.68991373464257,-7.067813734642584,1.3760318718973963,oscillation,0.0875,1
7,11.016327839951407,11.709149158175087,221.6221,227.2508461025949,228.8621199308687,-7.240019930868698,1.611273828273795,oscillation,0.0875,1
8,10.715048312001922,11.78082573243227,221.6221,226.54470039330516,228.9914773116925,-7.369377311692517,2.446776918387343,oscillation,0.0875,1
9,11.385425594489414,11.84455022306357,221.6221,228.11594569117074,229.10648327128013,-7.484383271280137,0.9905375801093896,oscillation,0.0875,1
10,11.602315964100171,11.899619777616559,221.6221,228.624298199983,229.20586934565586,-7.583769345655867,0.5815711456728536,oscillation,0.0875,1
11,10.93856546861834,11.945427003688602,221.6221,227.06858491400783,229.2885393511478,-7.666439351147801,2.219954437139961,oscillation,0.0875,1
12,11.222756553150404,11.981466668191684,221.6221,227.7346783466631,229.35358147480122,-7.731481474801228,1.618903128138129,oscillation,0.0875,1
13,10.902636775808153,12.007341269846009,221.6221,226.98437443863634,229.4002783312647,-7.778178331264712,2.4159038926283642,oscillation,0.0875,1
14,10.88851270466776,12.022765423440202,221.6221,226.95127012417657,229.4281148752268,-7.806014875226822,2.476844751050237,oscillation,0.0875,1
15,11.224019436806413,12.02756900750177,221.6221,227.73763832167742,229.43678408213594,-7.814684082135955,1.6991457604585207,oscillation,0.0875,1
16,11.228931691416035,12.021699040660367,221.6221,227.74915177411526,229.42619033454122,-7.804090334541229,1.677038560425956,oscillation,0.0875,1
17,11.114164922388174,12.005220266008475,221.6221,227.48015884894158,229.39645047671127,-7.774350476711277,1.9162916277696809,oscillation,0.0875,1
18,11.293422433400877,11.978314437014223,221.6221,227.90030662041823,229.34789252589303,-7.725792525893041,1.4475859054747957,oscillation,0.0875,1
