sample_index,healthy_sensor,faulty_sensor,healthy_ground_truth,healthy_prediction,faulty_prediction,prediction_error,residual,fault_type,severity,repetition
0,1.174764235101967,1.17463,221.6221,227.3598234585407,227.35284458978634,-5.7307445897863545,-0.006978868754345058,oscillation,0.1,1
1,1.1669686412880313,1.186949140214194,221.6221,226.9545313606298,227.99331538662864,-6.3712153866286485,1.0387840259988366,oscillation,0.1,1
2,1.1902076053227248,1.1991324058560604,221.6221,228.16272264300005,228.62672207882542,-7.0046220788254345,0.4639994358253716,oscillation,0.1,1
3,1.1745668790794654,1.211045420988654,221.6221,227.34956293980355,229.24607847562766,-7.623978475627666,1.8965155358241077,oscillation,0.1,1
4,1.190663381641134,1.2225567904165207,221.6221,228.18641840559025,229.84455335472,-8.222453354720017,1.6581349491297601,oscillation,0.1,1
5,1.1714046913747211,1.2335395489155683,221.6221,227.1851611354723,230.4155458075296,-8.793445807529622,3.230384672057312,oscillation,0.1,1
6,1.125932171202004,1.2438725616023483,221.6221,224.8210496209465,230.95275804427786,-9.330658044277868,6.131708423331361,oscillation,0.1,1
7,1.1667224292166753,1.2534418599973025,221.6221,226.94173082107972,231.45026485576557,-9.828164855765579,4.508534034685852,oscillation,0.1,1
8,1.1594900792617358,1.2621418990458022,221.6221,226.5657217118286,231.9025789657657,-10.280478965765724,5.336857253937126,oscillation,0.1,1
9,1.1902167727740462,1.2698767212325992,221.6221,228.1631992578246,232.30471155320885,-10.682611553208858,4.141512295384246,oscillation,0.1,1
10,1.1819152766685783,1.2765610149500337,221.6221,227.7316053532822,232.65222727663553,-11.03012727663554,4.9206219233533375,oscillation,0.1,1
11,1.1763981569306234,1.2821210554466718,221.6221,227.4447708816062,232.9412931940164,-11.319193194016407,5.496522312410207,oscillation,0.1,1
12,1.179217920469282,1.2864955179781343,221.6221,227.59137008975767,233.1687210383762,-11.546621038376202,5.577350948618516,oscillation,0.1,1
13,1.1597910700424734,1.2896361541914287,221.6221,226.58137019068562,233.33200238294626,-11.709902382946268,6.750632192260639,oscillation,0.1,1
14,1.1871297069315856,1.291508324282567,221.6221,228.00270303116844,233.42933630798046,-11.807236307980475,5.4266332768120265,oscillation,0.1,1
15,1.1708981178222673,1.2920913790580149,221.6221,227.1588244300563,233.45964926409107,-11.83754926409108,6.300824834034756,oscillation,0.1,1
16,1.193474248324207,1.291378887686003,221.6221,228.33255506716125,233.42260691301465,-11.800506913014658,5.090051845853395,oscillation,0.1,1
17,1.140483289375959,1.2893787086257082,221.6221,225.57756071585845,233.31861781521224,-11.696517815212246,7.741057099353782,oscillation,0.1,1
18,1.1534438343169144,1.2861129029519835,221.6221,226.25137807660877,233.14882892363272,-11.526728923632731,6.897450847023947,oscillation,0.1,1
19,1.2082600070518885,1.281617491031633,221.6221,229.1012650996455,232.9151129333364,-11.2930129333364,3.813847833690886,oscillation,0.1,1
20,1.1759995048645204,1.2759420552349752,221.6221,227.42404500285141,232.62004762651208,-10.997947626512087,5.196002623660661,oscillation,0.1,1
21,1.2083050830665338,1.2691491930646155,221.6221,229.10360859687955,232.2668874407001,-10.6447874407001,3.1632788438205353,oscillation,0.1,1
22,1.21792543990185,1.2613138267331614,221.6221,229.60376993128187,231.85952757380994,-10.237427573809953,2.255757642528067,oscillation,0.1,1
23,1.180985780659673,1.2525223768049385,221.6221,227.6832809540843,231.40246102184074,-9.780361021840747,3.71918006775644,oscillation,0.1,1
24,1.1884692909194408,1.2428718090160593,221.6221,228.07234786102026,230.90072902315796,-9.278629023157976,2.8283811621377026,oscillation,0.1,1
25,1.1972606642044303,1.2324685647859919,221.6221,228.52941042831583,230.35986545590202,-8.737765455902036,1.830455027586197,oscillation,0.1,1
26,1.172067771729827,1.221427387216609,221.6221,227.21963461300578,229.78583580180418,-8.163735801804194,2.566201188798402,oscillation,0.1,1
27,1.1491051496607882,1.2098700555274138,221.6221,226.02581032020362,229.18497134960649,-7.562871349606496,3.159161029402867,oscillation,0.1,1
28,1.1923680215709613,1.1979240418855552,221.6221,228.27504245525637,228.56389936379776,-6.94179936379777,0.28885690854139057,oscillation,0.1,1
29,1.2118896709062104,1.185721105445194,221.6221,229.28997093955206,227.92946998886742,-6.3073699888674355,-1.3605009506846386,oscillation,0.1,1
30,1.184634532200319,1.1733958391033292,221.6221,227.8729791607841,227.28868069529545,-5.666580695295465,-0.5842984654886436,oscillation,0.1,1
31,1.1598238784235113,1.1610841850007203,221.6221,226.5830758949461,226.64859910060295,-5.026499100602962,0.06552320565685932,oscillation,0.1,1
32,1.1845133242084507,1.1489219351412527,221.6221,227.86667757010594,226.01628501671007,-4.394185016710082,-1.8503925533958636,oscillation,0.1,1
33,1.165116360103175,1.1370432336672502,221.6221,226.8582314577297,225.398712583389,-3.77661258338901,-1.459518874340688,oscillation,0.1,1
34,1.1854604721270028,1.1255790973099555,221.6221,227.91591969021948,224.80269334664052,-3.180593346640535,-3.113226343578958,oscillation,0.1,1
35,1.1814855808475944,1.1146559703339494,221.6221,227.70926551299442,224.23480113040705,-2.6127011304070606,-3.474464382587371,oscillation,0.1,1
36,1.2219800164672543,1.104394329913819,221.6221,229.8145669380982,223.70129953025344,-2.0791995302534474,-6.1132674078447735,oscillation,0.1,1
37,1.1702329703482193,1.0949073573251418,221.6221,227.12424348322781,223.20807282872687,-1.5859728287268808,-3.916170654500945,oscillation,0.1,1
38,1.1758175192478535,1.0862996896059545,221.6221,227.41458358988797,222.76056109436843,-1.138461094368438,-4.654022495519541,oscillation,0.1,1
39,1.1715907766851064,1.0786662654573145,221.6221,227.1948356910787,222.36370018020494,-0.741600180204955,-4.831135510873764,oscillation,0.1,1
40,1.188237688054359,1.0720912781121552,221.6221,228.0603068525595,222.02186728351256,-0.39976728351257407,-6.038439569046943,oscillation,0.1,1
41,1.1703734042263836,1.0666472467218175,221.6221,227.13154462570105,221.7388326672991,-0.11673266729911802,-5.3927119584019465,oscillation,0.1,1
42,1.2134438621233916,1.062394216502448,221.6221,229.37077317655945,221.53745722991738,0.08464277008260979,-7.833315946642074,oscillation,0.1,1
43,1.1628086026233844,1.0593790964632877,221.6221,226.73825139042782,221.39763211965027,0.22446788034972087,-5.340619270777552,oscillation,0.1,1
44,1.1515452465820666,1.0576351420214125,221.6221,226.1526707010721,221.31675685797956,0.30534314202043333,-4.8359138430925555,oscillation,0.1,1
45,1.197136257174384,1.0571815882094489,221.6221,228.52294251998137,221.29572346264342,0.32637653735656613,-7.227219057337948,oscillation,0.1,1
46,1.174553258664535,1.0580234375218203,221.6221,227.3488548158718,221.33476392252618,0.2873360774738103,-6.01409089334561,oscillation,0.1,1
47,1.1678060987590153,1.0601514047394864,221.6221,226.9980706859754,221.4334476389256,0.18865236107438932,-5.564623047049793,oscillation,0.1,1
48,1.1284413495968908,1.0635420193417287,221.6221,224.95150154032132,221.5906861748624,0.03141382513757662,-3.3608153654589046,oscillation,0.1,1
49,1.1576328613889324,1.0681578843754325,221.6221,226.46916515104408,221.81737055914272,-0.1952705591427275,-4.651794591901364,oscillation,0.1,1
50,1.1587818436968012,1.073948088926648,221.6221,226.5289006197121,222.1184026813783,-0.49630268137832445,-4.410497938333776,oscillation,0.1,1
51,1.1190266804437823,1.08084876964506,221.6221,224.4620338867632,222.47716834210036,-0.8550683421003669,-1.9848655446628527,oscillation,0.1,1
52,1.1426560844192521,1.0887838151279987,221.6221,225.69052410036073,222.88971051753413,-1.2676105175341377,-2.8008135828266063,oscillation,0.1,1
53,1.1767797388463572,1.0976657053949588,221.6221,227.4646092850483,223.35147905314903,-1.7293790531490458,-4.113130231899277,oscillation,0.1,1
