target,representative_id,sensor,fault_type,severity,random_seed,repetition,healthy_noise,n_samples,mae,rmse,r2,residual_mean,residual_standard_deviation,residual_rms,residual_maximum,residual_minimum,residual_skewness,residual_kurtosis
MF_IA,MF_IA_High,P_IM,oscillation,0.0125,42,1,0.02,300,33.149965939320175,33.29461792549808,-2.144211923697782e+28,0.4316162873585616,7.601924141532208,7.614167273781382,22.749267967812102,-20.15979807863755,0.058347643201799665,2.9780498579690478
MF_IA,MF_IA_High,P_IM,oscillation,0.02,43,1,0.02,300,33.129791002147556,33.48944262191613,-2.1693792143702396e+28,-0.13845752051249974,8.025505451619336,8.026699710276832,19.876543917689787,-26.091391804340446,-0.030708334754274466,2.881435685972946
MF_IA,MF_IA_High,P_IM,oscillation,0.0275,44,1,0.02,300,33.13134915467684,33.79664402767882,-2.2093615448907347e+28,-0.2551010679106897,9.30237935667683,9.305876543903665,24.484599543790864,-22.866137198244814,0.10595078502237106,2.6187682049723575
MF_IA,MF_IA_High,P_IM,oscillation,0.035,45,1,0.02,300,33.17801041066788,34.24152953968009,-2.2679106882798133e+28,0.8624973241418555,10.705987078676678,10.740673208088209,32.334234988050184,-24.56029826654094,0.052325664727272944,2.589512154136345
MF_IA,MF_IA_High,P_IM,oscillation,0.0425,46,1,0.02,300,33.24094989496055,34.79130293280205,-2.3413213344565004e+28,0.1603911612247513,12.575178695971482,12.576201515569558,24.70999145951305,-33.01833926992822,-0.08864158161214375,2.107736875670871
MF_IA,MF_IA_High,P_IM,oscillation,0.05,47,1,0.02,300,33.31089636836856,35.4320317925082,-2.4283526144463754e+28,0.14716760034575826,14.331354385697354,14.332109992287888,32.31273483419113,-35.36648498444947,-0.04048833165286101,2.135618713569253
MF_IA,MF_IA_High,P_IM,oscillation,0.0625,48,1,0.02,300,33.48504695291146,36.755325610517914,-2.6131249987894787e+28,-0.6650651698861452,16.716549677736857,16.729774200760748,32.92642770723751,-36.85357978762454,-0.12820842185673115,2.01926412595167
MF_IA,MF_IA_High,P_IM,oscillation,0.075,49,1,0.02,300,33.774180985915976,38.45388003153869,-2.8602234956471256e+28,-0.4428808177524032,19.209765506387132,19.214870133027542,32.01411883457513,-47.234903990153725,-0.17480293373288788,1.8986028142686784
MF_IA,MF_IA_High,P_IM,oscillation,0.0875,50,1,0.02,300,34.11756101990746,40.41954123364366,-3.1601114218493355e+28,-0.7804445403665348,22.38994098298175,22.403538803099693,43.09929132149705,-44.338068538123025,-0.07919513424801061,1.7414267110813466
MF_IA,MF_IA_High,P_IM,oscillation,0.1,51,1,0.02,300,34.49892381967658,42.589800393239514,-3.508575650848591e+28,-0.6820278899601795,25.8698049464352,25.878793828331464,43.44197821108105,-51.9459514432765,-0.0865554675269542,1.681545422592289
