sample_index,healthy_sensor,faulty_sensor,healthy_ground_truth,healthy_prediction,faulty_prediction,prediction_error,residual,fault_type,severity,repetition
0,20.885355728086072,12.866258256,1435.291,1404.028171850333,1412.4263326947312,22.864667305268767,8.398160844398262,saturation,0.4,1
1,21.515760697411853,12.866258256,1435.291,1401.893998933886,1412.4263326947312,22.864667305268767,10.532333760845177,saturation,0.4,1
2,21.046139670028126,12.866258256,1435.291,1403.4359434240819,1412.4263326947312,22.864667305268767,8.990389270649302,saturation,0.4,1
3,21.504625163414428,12.866258256,1435.291,1401.9305611282757,1412.4263326947312,22.864667305268767,10.49577156645546,saturation,0.4,1
4,21.73640174004493,12.866258256,1435.291,1401.169550452747,1412.4263326947312,22.864667305268767,11.256782241984183,saturation,0.4,1
5,21.409859848788724,12.866258256,1435.291,1402.241711707633,1412.4263326947312,22.864667305268767,10.184620987098242,saturation,0.4,1
6,20.81434946580527,12.866258256,1435.291,1404.2935712429376,1412.4263326947312,22.864667305268767,8.132761451793613,saturation,0.4,1
7,21.372742915351374,12.866258256,1435.291,1402.3635807204528,1412.4263326947312,22.864667305268767,10.062751974278399,saturation,0.4,1
8,22.061567592530704,12.866258256,1435.291,1400.1019072566287,1412.4263326947312,22.864667305268767,12.32442543810248,saturation,0.4,1
9,20.921178798456324,12.866258256,1435.291,1403.8944482006452,1412.4263326947312,22.864667305268767,8.531884494085944,saturation,0.4,1
10,21.392907323671967,12.866258256,1435.291,1402.2973732968176,1412.4263326947312,22.864667305268767,10.128959397913604,saturation,0.4,1
11,22.10074617254735,12.866258256,1435.291,1399.9732690737796,1412.4263326947312,22.864667305268767,12.453063620951525,saturation,0.4,1
12,21.612378201063052,12.866258256,1435.291,1401.5767669133324,1412.4263326947312,22.864667305268767,10.849565781398724,saturation,0.4,1
13,21.64863767660637,12.866258256,1435.291,1401.4577132609802,1412.4263326947312,22.864667305268767,10.968619433750973,saturation,0.4,1
14,20.799124019047746,12.866258256,1435.291,1404.3505728435202,1412.4263326947312,22.864667305268767,8.075759851210933,saturation,0.4,1
15,21.19448389495751,12.866258256,1435.291,1402.9488728992449,1412.4263326947312,22.864667305268767,9.477459795486311,saturation,0.4,1
16,21.58786656007713,12.866258256,1435.291,1401.6572479556198,1412.4263326947312,22.864667305268767,10.76908473911135,saturation,0.4,1
17,21.3956157300989,12.866258256,1435.291,1402.2884805681626,1412.4263326947312,22.864667305268767,10.137852126568532,saturation,0.4,1
18,21.758463612361815,12.866258256,1435.291,1401.097112932962,1412.4263326947312,22.864667305268767,11.329219761769082,saturation,0.4,1
19,21.549340302916985,12.866258256,1435.291,1401.7837443143687,1412.4263326947312,22.864667305268767,10.64258838036244,saturation,0.4,1
20,22.150849400590996,12.866258256,1435.291,1399.8087611154087,1412.4263326947312,22.864667305268767,12.61757157932243,saturation,0.4,1
21,21.544000506834035,12.866258256,1435.291,1401.8012768963204,1412.4263326947312,22.864667305268767,10.625055798410813,saturation,0.4,1
22,21.499307746712503,12.866258256,1435.291,1401.9480202302059,1412.4263326947312,22.864667305268767,10.478312464525288,saturation,0.4,1
23,21.347626833263213,12.866258256,1435.291,1402.4460463728255,1412.4263326947312,22.864667305268767,9.980286321905623,saturation,0.4,1
24,21.419596658504116,12.866258256,1435.291,1402.2097420571763,1412.4263326947312,22.864667305268767,10.216590637554873,saturation,0.4,1
25,21.65718451619454,12.866258256,1435.291,1401.4296507351494,1412.4263326947312,22.864667305268767,10.996681959581792,saturation,0.4,1
26,21.90528339012592,12.866258256,1435.291,1400.6150477481124,1412.4263326947312,22.864667305268767,11.811284946618798,saturation,0.4,1
27,21.79431453545829,12.866258256,1435.291,1400.979400713718,1412.4263326947312,22.864667305268767,11.446931981013222,saturation,0.4,1
28,21.424047742303326,12.866258256,1435.291,1402.1951274557434,1412.4263326947312,22.864667305268767,10.23120523898774,saturation,0.4,1
29,22.02029159013243,12.866258256,1435.291,1400.237432075076,1412.4263326947312,22.864667305268767,12.188900619655215,saturation,0.4,1
30,21.62013966350266,12.866258256,1435.291,1401.5512830794605,1412.4263326947312,22.864667305268767,10.875049615270655,saturation,0.4,1
31,22.096266833026043,12.866258256,1435.291,1399.987976449497,1412.4263326947312,22.864667305268767,12.438356245234218,saturation,0.4,1
32,21.646328117706993,12.866258256,1435.291,1401.465296421469,1412.4263326947312,22.864667305268767,10.961036273262152,saturation,0.4,1
33,21.45832274687722,12.866258256,1435.291,1402.0825895765333,1412.4263326947312,22.864667305268767,10.343743118197835,saturation,0.4,1
34,22.04967179633018,12.866258256,1435.291,1400.1409656810565,1412.4263326947312,22.864667305268767,12.285367013674659,saturation,0.4,1
35,20.621629094974363,12.866258256,1435.291,1405.0150850203108,1412.4263326947312,22.864667305268767,7.411247674420338,saturation,0.4,1
36,22.061944939866528,12.866258256,1435.291,1400.1006682817715,1412.4263326947312,22.864667305268767,12.325664412959668,saturation,0.4,1
37,21.901681234040645,12.866258256,1435.291,1400.6268749969036,1412.4263326947312,22.864667305268767,11.79945769782762,saturation,0.4,1
