window_start,window_end,mean,standard_deviation,rms,maximum_error,slope,skewness,kurtosis,autocorrelation_lag1,dominant_frequency_energy,wavelet_detail_energy,dropout_ratio,spike_count
0,30,-3.137921810184048,0.5112742502097457,3.179300968099162,4.1420419974849665,-0.02103863244994248,-0.040791143506994594,2.5198172508320558,-0.027772608301243538,22.0212187372234,3.9651752061822085,0.0,0
10,40,-3.1603117684946977,0.5648036626977309,3.2103852808475892,4.163600689276905,-0.009345366664488262,0.007757749835922493,2.1486245247817277,-0.0366397224263685,32.79828573406049,6.713040650695337,0.0,0
20,50,-3.2078056818756524,0.5177560947555192,3.2493212624069976,4.163600689276905,0.00598670124367118,0.19365458638798866,2.363081900408976,-0.09400727849903634,28.70877682798884,5.37896447730256,0.0,0
30,60,-3.201017696114631,0.5352693801906343,3.2454626172872008,4.490964224397658,-0.013060473608983103,-0.10218077958185076,2.812300607279502,-0.021190375011484727,27.71093703599899,4.886003032160126,0.0,1
40,70,-3.2651945620694147,0.521860872600064,3.306634890416324,4.497266214317108,-0.005135206551940174,-0.39558959204102745,3.2044473723821687,-0.07294402561381574,32.19459223625852,3.4820206335851385,0.0,2
50,80,-3.2524294651089707,0.556257737528943,3.2996545419285703,4.497266214317108,0.011731459044464711,-0.5161782510299628,3.3571022965216337,-0.11623093624696762,44.5292142568735,4.062563653246429,0.0,3
60,90,-3.1129408587390457,0.5704760930892007,3.164781787547651,4.497266214317108,0.01945779749970576,-0.3504370608407686,3.281027266150935,-0.08144784706516714,25.870072084252133,4.98865017064053,0.0,2
70,100,-3.0547461114538144,0.4836791063748783,3.092801203340719,4.390768261944402,-0.0015220011618464742,-0.12426734204319148,3.624433582738638,-0.1064038400904504,31.219646373383863,3.233556809741453,0.0,1
80,110,-3.047014848547419,0.41997995052878273,3.0758222715421333,3.6359335599712495,-0.011113474406519377,0.4975335662881405,2.480605865724704,-0.06880096694656197,23.742797888864633,3.0769724228691073,0.0,0
90,120,-3.1758566568875852,0.42001770553032003,3.2035106333608674,3.9140142051232374,-0.01173965663003937,0.29679108028834345,2.022425020736647,-0.2695944424135596,16.2403383068006,3.1294310157748417,0.0,0
