sample_index,healthy_sensor,faulty_sensor,healthy_ground_truth,healthy_prediction,faulty_prediction,prediction_error,residual,fault_type,severity,repetition
0,11.110316825897119,7.188899802500001,221.6221,227.47113959414975,221.6434451659406,-0.021345165940601873,-5.827694428209156,saturation,0.35,1
1,11.12928181026638,7.188899802500001,221.6221,227.51559014952028,221.6434451659406,-0.021345165940601873,-5.8721449835796875,saturation,0.35,1
2,10.985095259521088,7.188899802500001,221.6221,227.1776424806592,221.6434451659406,-0.021345165940601873,-5.534197314718597,saturation,0.35,1
3,11.135333165524106,7.188899802500001,221.6221,227.52977345158433,221.6434451659406,-0.021345165940601873,-5.886328285643742,saturation,0.35,1
4,11.190904760362518,7.188899802500001,221.6221,227.6600234009275,221.6434451659406,-0.021345165940601873,-6.016578234986923,saturation,0.35,1
5,11.074113016063718,7.188899802500001,221.6221,227.38628429333397,221.6434451659406,-0.021345165940601873,-5.742839127393381,saturation,0.35,1
6,11.496103212370075,7.188899802500001,221.6221,228.37535437224784,221.6434451659406,-0.021345165940601873,-6.73190920630725,saturation,0.35,1
7,11.267880994506891,7.188899802500001,221.6221,227.8404420235545,221.6434451659406,-0.021345165940601873,-6.196996857613897,saturation,0.35,1
8,10.910855977918297,7.188899802500001,221.6221,227.00363878873475,221.6434451659406,-0.021345165940601873,-5.3601936227941565,saturation,0.35,1
9,10.971056055429061,7.188899802500001,221.6221,227.1447370794894,221.6434451659406,-0.021345165940601873,-5.501291913548812,saturation,0.35,1
10,10.66215690130911,7.188899802500001,221.6221,226.42073231962553,221.6434451659406,-0.021345165940601873,-4.777287153684938,saturation,0.35,1
11,10.926132840349858,7.188899802500001,221.6221,227.03944504125667,221.6434451659406,-0.021345165940601873,-5.395999875316079,saturation,0.35,1
12,10.970861776677756,7.188899802500001,221.6221,227.1442817245985,221.6434451659406,-0.021345165940601873,-5.500836558657909,saturation,0.35,1
13,11.030176636768187,7.188899802500001,221.6221,227.28330522292572,221.6434451659406,-0.021345165940601873,-5.639860056985128,saturation,0.35,1
14,11.231926654263276,7.188899802500001,221.6221,227.75617143515376,221.6434451659406,-0.021345165940601873,-6.112726269213169,saturation,0.35,1
15,11.473908093855169,7.188899802500001,221.6221,228.32333295607924,221.6434451659406,-0.021345165940601873,-6.67988779013865,saturation,0.35,1
16,11.218611584871972,7.188899802500001,221.6221,227.72496327712344,221.6434451659406,-0.021345165940601873,-6.081518111182845,saturation,0.35,1
17,11.070043533283945,7.188899802500001,221.6221,227.37674614839761,221.6434451659406,-0.021345165940601873,-5.733300982457024,saturation,0.35,1
18,11.137318742313282,7.188899802500001,221.6221,227.5344272909598,221.6434451659406,-0.021345165940601873,-5.890982125019207,saturation,0.35,1
19,10.944426289840708,7.188899802500001,221.6221,227.08232163812966,221.6434451659406,-0.021345165940601873,-5.438876472189065,saturation,0.35,1
20,11.092533910132177,7.188899802500001,221.6221,227.42945959766433,221.6434451659406,-0.021345165940601873,-5.786014431723743,saturation,0.35,1
21,10.980136675491021,7.188899802500001,221.6221,227.16602044028775,221.6434451659406,-0.021345165940601873,-5.522575274347162,saturation,0.35,1
22,10.686167166372105,7.188899802500001,221.6221,226.4770081169508,221.6434451659406,-0.021345165940601873,-4.833562951010208,saturation,0.35,1
23,10.926127711704275,7.188899802500001,221.6221,227.03943302062214,221.6434451659406,-0.021345165940601873,-5.39598785468155,saturation,0.35,1
24,11.324944431288987,7.188899802500001,221.6221,227.97418858547712,221.6434451659406,-0.021345165940601873,-6.330743419536532,saturation,0.35,1
25,11.42013765962077,7.188899802500001,221.6221,228.19730460732382,221.6434451659406,-0.021345165940601873,-6.553859441383224,saturation,0.35,1
26,10.840981879573857,7.188899802500001,221.6221,226.8398663111546,221.6434451659406,-0.021345165940601873,-5.1964211452140034,saturation,0.35,1
27,11.419095700998984,7.188899802500001,221.6221,228.1948624413559,221.6434451659406,-0.021345165940601873,-6.551417275415304,saturation,0.35,1
28,11.028999618851186,7.188899802500001,221.6221,227.28054650195503,221.6434451659406,-0.021345165940601873,-5.637101336014439,saturation,0.35,1
29,10.842398118212076,7.188899802500001,221.6221,226.84318572301282,221.6434451659406,-0.021345165940601873,-5.199740557072232,saturation,0.35,1
30,11.368983725994035,7.188899802500001,221.6221,228.0774088713285,221.6434451659406,-0.021345165940601873,-6.433963705387896,saturation,0.35,1
31,11.13422277973606,7.188899802500001,221.6221,227.52717090449062,221.6434451659406,-0.021345165940601873,-5.883725738550027,saturation,0.35,1
32,11.106889087394336,7.188899802500001,221.6221,227.46310558383135,221.6434451659406,-0.021345165940601873,-5.819660417890759,saturation,0.35,1
33,11.08574382870891,7.188899802500001,221.6221,227.41354485265862,221.6434451659406,-0.021345165940601873,-5.7700996867180265,saturation,0.35,1
34,11.099247495172236,7.188899802500001,221.6221,227.44519504873267,221.6434451659406,-0.021345165940601873,-5.80174988279208,saturation,0.35,1
35,11.167937603570433,7.188899802500001,221.6221,227.60619246414353,221.6434451659406,-0.021345165940601873,-5.962747298202942,saturation,0.35,1
36,11.064822408874873,7.188899802500001,221.6221,227.36450876000202,221.6434451659406,-0.021345165940601873,-5.721063594061434,saturation,0.35,1
37,11.114044137805204,7.188899802500001,221.6221,227.47987575132908,221.6434451659406,-0.021345165940601873,-5.836430585388484,saturation,0.35,1
38,11.033209488332089,7.188899802500001,221.6221,227.2904136883875,221.6434451659406,-0.021345165940601873,-5.646968522446912,saturation,0.35,1
39,10.871594295611466,7.188899802500001,221.6221,226.9116163778885,221.6434451659406,-0.021345165940601873,-5.268171211947902,saturation,0.35,1
40,11.217421198659922,7.188899802500001,221.6221,227.72217322324292,221.6434451659406,-0.021345165940601873,-6.078728057302328,saturation,0.35,1
41,11.126217037776058,7.188899802500001,221.6221,227.50840686707585,221.6434451659406,-0.021345165940601873,-5.8649617011352575,saturation,0.35,1
42,10.852690437021261,7.188899802500001,221.6221,226.8673090904888,221.6434451659406,-0.021345165940601873,-5.223863924548198,saturation,0.35,1
43,10.972848371038472,7.188899802500001,221.6221,227.1489379489807,221.6434451659406,-0.021345165940601873,-5.505492783040097,saturation,0.35,1
44,10.619223957381724,7.188899802500001,221.6221,226.32010512352025,221.6434451659406,-0.021345165940601873,-4.676659957579659,saturation,0.35,1
45,11.426079782371456,7.188899802500001,221.6221,228.21123188779006,221.6434451659406,-0.021345165940601873,-6.5677867218494725,saturation,0.35,1
46,10.666406990181365,7.188899802500001,221.6221,226.43069377316897,221.6434451659406,-0.021345165940601873,-4.787248607228378,saturation,0.35,1
47,10.844421016835447,7.188899802500001,221.6221,226.84792703813946,221.6434451659406,-0.021345165940601873,-5.204481872198869,saturation,0.35,1
48,10.890687923565906,7.188899802500001,221.6221,226.9563684509767,221.6434451659406,-0.021345165940601873,-5.312923285036106,saturation,0.35,1
49,11.251315876527961,7.188899802500001,221.6221,227.80161632881067,221.6434451659406,-0.021345165940601873,-6.158171162870076,saturation,0.35,1
50,11.111672715841651,7.188899802500001,221.6221,227.47431755938737,221.6434451659406,-0.021345165940601873,-5.830872393446782,saturation,0.35,1
51,11.19039475800883,7.188899802500001,221.6221,227.65882804598175,221.6434451659406,-0.021345165940601873,-6.015382880041159,saturation,0.35,1
52,10.759613879183037,7.188899802500001,221.6221,226.6491541683797,221.6434451659406,-0.021345165940601873,-5.005709002439119,saturation,0.35,1
53,10.997100968962295,7.188899802500001,221.6221,227.20578173149585,221.6434451659406,-0.021345165940601873,-5.562336565555256,saturation,0.35,1
54,11.241574639953924,7.188899802500001,221.6221,227.7787846002272,221.6434451659406,-0.021345165940601873,-6.135339434286607,saturation,0.35,1
55,11.056761658602838,7.188899802500001,221.6221,227.3456157928731,221.6434451659406,-0.021345165940601873,-5.702170626932514,saturation,0.35,1
56,11.028636660740188,7.188899802500001,221.6221,227.27969579260053,221.6434451659406,-0.021345165940601873,-5.636250626659944,saturation,0.35,1
57,11.391864275852614,7.188899802500001,221.6221,228.13103681684083,221.6434451659406,-0.021345165940601873,-6.487591650900242,saturation,0.35,1
58,10.861376132346104,7.188899802500001,221.6221,226.8876668178379,221.6434451659406,-0.021345165940601873,-5.2442216518973055,saturation,0.35,1
59,11.102922388607631,7.188899802500001,221.6221,227.45380834632113,221.6434451659406,-0.021345165940601873,-5.810363180380534,saturation,0.35,1
60,10.885852342345151,7.188899802500001,221.6221,226.9450347073461,221.6434451659406,-0.021345165940601873,-5.301589541405519,saturation,0.35,1
61,10.814587318597859,7.188899802500001,221.6221,226.77800214763624,221.6434451659406,-0.021345165940601873,-5.134556981695653,saturation,0.35,1
62,10.885736307038915,7.188899802500001,221.6221,226.944762741195,221.6434451659406,-0.021345165940601873,-5.301317575254416,saturation,0.35,1
63,11.11677159695091,7.188899802500001,221.6221,227.48626843119723,221.6434451659406,-0.021345165940601873,-5.842823265256641,saturation,0.35,1
64,10.867351788442896,7.188899802500001,221.6221,226.90167269451206,221.6434451659406,-0.021345165940601873,-5.258227528571467,saturation,0.35,1
65,11.382944260139984,7.188899802500001,221.6221,228.11012988411568,221.6434451659406,-0.021345165940601873,-6.466684718175088,saturation,0.35,1
66,11.241819336722575,7.188899802500001,221.6221,227.77935812599708,221.6434451659406,-0.021345165940601873,-6.135912960056487,saturation,0.35,1
67,11.545646102362602,7.188899802500001,221.6221,228.49147410806944,221.6434451659406,-0.021345165940601873,-6.848028942128849,saturation,0.35,1
68,10.84752384997066,7.188899802500001,221.6221,226.85519952797625,221.6434451659406,-0.021345165940601873,-5.211754362035663,saturation,0.35,1
69,10.99709080090121,7.188899802500001,221.6221,227.20575789936646,221.6434451659406,-0.021345165940601873,-5.56231273342587,saturation,0.35,1
70,10.473917057991644,7.188899802500001,221.6221,226.08862563458052,221.6434451659406,-0.021345165940601873,-4.445180468639933,saturation,0.35,1
71,10.918703227266041,7.188899802500001,221.6221,227.02203134761282,221.6434451659406,-0.021345165940601873,-5.378586181672233,saturation,0.35,1
72,10.834788658053162,7.188899802500001,221.6221,226.8253504997641,221.6434451659406,-0.021345165940601873,-5.181905333823522,saturation,0.35,1
73,11.235327640456298,7.188899802500001,221.6221,227.7641427428091,221.6434451659406,-0.021345165940601873,-6.120697576868508,saturation,0.35,1
74,11.076464805731483,7.188899802500001,221.6221,227.391796470661,221.6434451659406,-0.021345165940601873,-5.7483513047204156,saturation,0.35,1
75,11.14185385269801,7.188899802500001,221.6221,227.54505678431133,221.6434451659406,-0.021345165940601873,-5.901611618370737,saturation,0.35,1
76,10.739677380573191,7.188899802500001,221.6221,226.60242655616048,221.6434451659406,-0.021345165940601873,-4.95898139021989,saturation,0.35,1
77,10.969716619399934,7.188899802500001,221.6221,227.1415976793076,221.6434451659406,-0.021345165940601873,-5.4981525133670175,saturation,0.35,1
78,10.948776190880185,7.188899802500001,221.6221,227.09251703366755,221.6434451659406,-0.021345165940601873,-5.449071867726957,saturation,0.35,1
79,11.253010638543794,7.188899802500001,221.6221,227.80558855000305,221.6434451659406,-0.021345165940601873,-6.16214338406246,saturation,0.35,1
80,10.802651842602117,7.188899802500001,221.6221,226.750027511523,221.6434451659406,-0.021345165940601873,-5.10658234558241,saturation,0.35,1
81,10.78244152240572,7.188899802500001,221.6221,226.70265811013286,221.6434451659406,-0.021345165940601873,-5.059212944192268,saturation,0.35,1
82,10.792231712473244,7.188899802500001,221.6221,226.7256045770116,221.6434451659406,-0.021345165940601873,-5.082159411071018,saturation,0.35,1
83,10.946090546737164,7.188899802500001,221.6221,227.08622236073978,221.6434451659406,-0.021345165940601873,-5.442777194799191,saturation,0.35,1
84,10.935565869074335,7.188899802500001,221.6221,227.06155438537536,221.6434451659406,-0.021345165940601873,-5.418109219434768,saturation,0.35,1
85,10.92776735979458,7.188899802500001,221.6221,227.04327606456064,221.6434451659406,-0.021345165940601873,-5.399830898620053,saturation,0.35,1
86,11.157794039319898,7.188899802500001,221.6221,227.58241775093575,221.6434451659406,-0.021345165940601873,-5.938972584995156,saturation,0.35,1
