sample_index,healthy_sensor,faulty_sensor,healthy_ground_truth,healthy_prediction,faulty_prediction,prediction_error,residual,fault_type,severity,repetition
0,1.1587623889326109,0.9984355000000003,221.6221,226.52788916857924,218.511343860765,3.1107561392349794,-8.016545307814226,saturation,0.15,1
1,1.1782540732772877,0.9984355000000003,221.6221,227.5412597761843,218.511343860765,3.1107561392349794,-9.02991591541928,saturation,0.15,1
2,1.1730578275510253,0.9984355000000003,221.6221,227.27110751043983,218.511343860765,3.1107561392349794,-8.759763649674824,saturation,0.15,1
3,1.1929592083505707,0.9984355000000003,221.6221,228.3057781934035,218.511343860765,3.1107561392349794,-9.794434332638502,saturation,0.15,1
4,1.1982016907776873,0.9984355000000003,221.6221,228.57833430033486,218.511343860765,3.1107561392349794,-10.06699043956985,saturation,0.15,1
5,1.170630203437704,0.9984355000000003,221.6221,227.144895589538,218.511343860765,3.1107561392349794,-8.633551728773,saturation,0.15,1
6,1.1829935819751876,0.9984355000000003,221.6221,227.78766633212928,218.511343860765,3.1107561392349794,-9.276322471364267,saturation,0.15,1
7,1.1952581599896448,0.9984355000000003,221.6221,228.4253004459776,218.511343860765,3.1107561392349794,-9.913956585212588,saturation,0.15,1
8,1.1785484857236508,0.9984355000000003,221.6221,227.55656624813292,218.511343860765,3.1107561392349794,-9.045222387367915,saturation,0.15,1
9,1.161799095771212,0.9984355000000003,221.6221,226.68576723595055,218.511343860765,3.1107561392349794,-8.17442337518554,saturation,0.15,1
10,1.2175666640064413,0.9984355000000003,221.6221,229.58511721042436,218.511343860765,3.1107561392349794,-11.073773349659348,saturation,0.15,1
11,1.1400692700436135,0.9984355000000003,221.6221,225.55603589455723,218.511343860765,3.1107561392349794,-7.0446920337922165,saturation,0.15,1
12,1.1616451642796866,0.9984355000000003,221.6221,226.67776435398628,218.511343860765,3.1107561392349794,-8.166420493221267,saturation,0.15,1
13,1.1595407331634102,0.9984355000000003,221.6221,226.56835520281942,218.511343860765,3.1107561392349794,-8.057011342054409,saturation,0.15,1
14,1.178838277812668,0.9984355000000003,221.6221,227.57163250819218,218.511343860765,3.1107561392349794,-9.060288647427171,saturation,0.15,1
15,1.1485351254995273,0.9984355000000003,221.6221,225.99617482434644,218.511343860765,3.1107561392349794,-7.48483096358143,saturation,0.15,1
16,1.1541858204142967,0.9984355000000003,221.6221,226.28995385533784,218.511343860765,3.1107561392349794,-7.778609994572832,saturation,0.15,1
17,1.194863196000465,0.9984355000000003,221.6221,228.40476630995227,218.511343860765,3.1107561392349794,-9.893422449187256,saturation,0.15,1
18,1.2008267749517665,0.9984355000000003,221.6221,228.71481214891185,218.511343860765,3.1107561392349794,-10.203468288146837,saturation,0.15,1
19,1.159756379842086,0.9984355000000003,221.6221,226.57956665083668,218.511343860765,3.1107561392349794,-8.068222790071673,saturation,0.15,1
20,1.2115600931645536,0.9984355000000003,221.6221,229.27283622762002,218.511343860765,3.1107561392349794,-10.761492366855009,saturation,0.15,1
21,1.191156229249667,0.9984355000000003,221.6221,228.21204150063357,218.511343860765,3.1107561392349794,-9.700697639868565,saturation,0.15,1
22,1.157249347034259,0.9984355000000003,221.6221,226.44922628030588,218.511343860765,3.1107561392349794,-7.93788241954087,saturation,0.15,1
23,1.1378969208678782,0.9984355000000003,221.6221,225.44309569066218,218.511343860765,3.1107561392349794,-6.931751829897166,saturation,0.15,1
24,1.1376485878634897,0.9984355000000003,221.6221,225.43018488402805,218.511343860765,3.1107561392349794,-6.918841023263042,saturation,0.15,1
25,1.1897053619406923,0.9984355000000003,221.6221,228.13661106268614,218.511343860765,3.1107561392349794,-9.625267201921133,saturation,0.15,1
26,1.1970962726307477,0.9984355000000003,221.6221,228.52086372778643,218.511343860765,3.1107561392349794,-10.009519867021424,saturation,0.15,1
27,1.1537862364923237,0.9984355000000003,221.6221,226.26917952949526,218.511343860765,3.1107561392349794,-7.757835668730252,saturation,0.15,1
28,1.2292716844689648,0.9984355000000003,221.6221,230.1936599863273,218.511343860765,3.1107561392349794,-11.682316125562295,saturation,0.15,1
29,1.1064169773916561,0.9984355000000003,221.6221,223.80645675870755,218.511343860765,3.1107561392349794,-5.295112897942545,saturation,0.15,1
30,1.1606022480159162,0.9984355000000003,221.6221,226.62354324773338,218.511343860765,3.1107561392349794,-8.11219938696837,saturation,0.15,1
31,1.2146350899123948,0.9984355000000003,221.6221,229.4327049833234,218.511343860765,3.1107561392349794,-10.92136112255838,saturation,0.15,1
32,1.1747333608345216,0.9984355000000003,221.6221,227.35821830864154,218.511343860765,3.1107561392349794,-8.84687444787653,saturation,0.15,1
33,1.196105687677224,0.9984355000000003,221.6221,228.4693633208189,218.511343860765,3.1107561392349794,-9.95801946005389,saturation,0.15,1
34,1.1478627963513761,0.9984355000000003,221.6221,225.9612205030407,218.511343860765,3.1107561392349794,-7.449876642275683,saturation,0.15,1
35,1.2389794103665497,0.9984355000000003,221.6221,230.69836362903675,218.511343860765,3.1107561392349794,-12.187019768271739,saturation,0.15,1
36,1.1923024016337411,0.9984355000000003,221.6221,228.27163088166037,218.511343860765,3.1107561392349794,-9.760287020895362,saturation,0.15,1
37,1.1718656906578646,0.9984355000000003,221.6221,227.209128439447,218.511343860765,3.1107561392349794,-8.69778457868199,saturation,0.15,1
38,1.1524130976959415,0.9984355000000003,221.6221,226.197790188697,218.511343860765,3.1107561392349794,-7.686446327932003,saturation,0.15,1
39,1.1812785012068385,0.9984355000000003,221.6221,227.6984994643728,218.511343860765,3.1107561392349794,-9.187155603607778,saturation,0.15,1
40,1.1494331784639946,0.9984355000000003,221.6221,226.04286450298946,218.511343860765,3.1107561392349794,-7.53152064222445,saturation,0.15,1
41,1.2187454463133913,0.9984355000000003,221.6221,229.64640197789254,218.511343860765,3.1107561392349794,-11.135058117127528,saturation,0.15,1
42,1.2085852710924927,0.9984355000000003,221.6221,229.11817554271613,218.511343860765,3.1107561392349794,-10.606831681951121,saturation,0.15,1
43,1.1970527726938893,0.9984355000000003,221.6221,228.51860217066974,218.511343860765,3.1107561392349794,-10.007258309904728,saturation,0.15,1
44,1.162072769414803,0.9984355000000003,221.6221,226.69999549973676,218.511343860765,3.1107561392349794,-8.188651638971749,saturation,0.15,1
45,1.1924411307013312,0.9984355000000003,221.6221,228.2788433912121,218.511343860765,3.1107561392349794,-9.767499530447083,saturation,0.15,1
46,1.1606303832676748,0.9984355000000003,221.6221,226.62500599649667,218.511343860765,3.1107561392349794,-8.113662135731659,saturation,0.15,1
47,1.1585575687846776,0.9984355000000003,221.6221,226.5172405907502,218.511343860765,3.1107561392349794,-8.005896729985182,saturation,0.15,1
48,1.1854286255510593,0.9984355000000003,221.6221,227.91426399010436,218.511343860765,3.1107561392349794,-9.40292012933935,saturation,0.15,1
49,1.1915119602877224,0.9984355000000003,221.6221,228.23053591967937,218.511343860765,3.1107561392349794,-9.71919205891436,saturation,0.15,1
50,1.1609250522307977,0.9984355000000003,221.6221,226.64032580472485,218.511343860765,3.1107561392349794,-8.128981943959843,saturation,0.15,1
51,1.1978334248619324,0.9984355000000003,221.6221,228.55918819432327,218.511343860765,3.1107561392349794,-10.04784433355826,saturation,0.15,1
52,1.2003918802066769,0.9984355000000003,221.6221,228.69220201710982,218.511343860765,3.1107561392349794,-10.180858156344812,saturation,0.15,1
53,1.2061941941206427,0.9984355000000003,221.6221,228.99386370383417,218.511343860765,3.1107561392349794,-10.482519843069156,saturation,0.15,1
54,1.1952093398136447,0.9984355000000003,221.6221,228.42276229019058,218.511343860765,3.1107561392349794,-9.911418429425567,saturation,0.15,1
55,1.1798099588803372,0.9984355000000003,221.6221,227.62215010413365,218.511343860765,3.1107561392349794,-9.110806243368643,saturation,0.15,1
56,1.1688258039373929,0.9984355000000003,221.6221,227.05108505035344,218.511343860765,3.1107561392349794,-8.539741189588426,saturation,0.15,1
57,1.1757228585305457,0.9984355000000003,221.6221,227.4096621892067,218.511343860765,3.1107561392349794,-8.89831832844169,saturation,0.15,1
58,1.1819050533681634,0.9984355000000003,221.6221,227.73107384497484,218.511343860765,3.1107561392349794,-9.219729984209835,saturation,0.15,1
59,1.1436772057987528,0.9984355000000003,221.6221,225.74361209288537,218.511343860765,3.1107561392349794,-7.2322682321203615,saturation,0.15,1
60,1.1505917283549563,0.9984355000000003,221.6221,226.10309738929027,218.511343860765,3.1107561392349794,-7.59175352852526,saturation,0.15,1
61,1.1690986052507462,0.9984355000000003,221.6221,227.06526796178258,218.511343860765,3.1107561392349794,-8.553924101017572,saturation,0.15,1
62,1.1711212510127003,0.9984355000000003,221.6221,227.17042510102806,218.511343860765,3.1107561392349794,-8.659081240263049,saturation,0.15,1
63,1.2118998769097566,0.9984355000000003,221.6221,229.29050154859698,218.511343860765,3.1107561392349794,-10.779157687831969,saturation,0.15,1
64,1.1816516848893817,0.9984355000000003,221.6221,227.71790124455964,218.511343860765,3.1107561392349794,-9.206557383794632,saturation,0.15,1
65,1.1829668525124017,0.9984355000000003,221.6221,227.78627667018594,218.511343860765,3.1107561392349794,-9.274932809420932,saturation,0.15,1
66,1.186612717527206,0.9984355000000003,221.6221,227.9758248067127,218.511343860765,3.1107561392349794,-9.464480945947685,saturation,0.15,1
67,1.1707170545688392,0.9984355000000003,221.6221,227.1494109706603,218.511343860765,3.1107561392349794,-8.638067109895303,saturation,0.15,1
68,1.18846321862217,0.9984355000000003,221.6221,228.07203216292754,218.511343860765,3.1107561392349794,-9.560688302162532,saturation,0.15,1
69,1.1971000903044624,0.9984355000000003,221.6221,228.52106220823913,218.511343860765,3.1107561392349794,-10.00971834747412,saturation,0.15,1
70,1.1939630190028658,0.9984355000000003,221.6221,228.35796620305132,218.511343860765,3.1107561392349794,-9.84662234228631,saturation,0.15,1
71,1.1943298410663035,0.9984355000000003,221.6221,228.37703724333363,218.511343860765,3.1107561392349794,-9.865693382568622,saturation,0.15,1
72,1.1686355574783465,0.9984355000000003,221.6221,227.04119415706833,218.511343860765,3.1107561392349794,-8.529850296303323,saturation,0.15,1
73,1.2000170850294485,0.9984355000000003,221.6221,228.67271645548487,218.511343860765,3.1107561392349794,-10.161372594719865,saturation,0.15,1
74,1.1862046409842921,0.9984355000000003,221.6221,227.95460895040537,218.511343860765,3.1107561392349794,-9.443265089640363,saturation,0.15,1
75,1.171491257616798,0.9984355000000003,221.6221,227.1896617052427,218.511343860765,3.1107561392349794,-8.678317844477704,saturation,0.15,1
