target,representative_id,sensor,fault_type,severity,random_seed,repetition,healthy_noise,n_samples,mae,rmse,r2,residual_mean,residual_standard_deviation,residual_rms,residual_maximum,residual_minimum,residual_skewness,residual_kurtosis
MF_IA,MF_IA_High,P_IM,saturation,0.0125,42,1,0.02,300,37.504505662371,37.504505662371,-2.7207367747897206e+28,-3.9229234356922613,6.734236637771744,7.7935403621082795,16.179460273991253,-20.503376617970844,0.1140034079355437,2.841803307546808
MF_IA,MF_IA_High,P_IM,saturation,0.02,43,1,0.02,300,39.998826074067665,39.998826074067665,-3.094668444639739e+28,-7.007492592432604,6.645811775688539,9.65773092350777,8.410435125913864,-26.093686385334195,0.04290958799763557,2.507001063111926
MF_IA,MF_IA_High,P_IM,saturation,0.0275,44,1,0.02,300,42.56284464421856,42.56284464421855,-3.5041357918030237e+28,-9.686596557452411,6.703824792015406,11.78012817030822,15.251890760934657,-28.698432672216768,0.1571538391017456,3.272899307001262
MF_IA,MF_IA_High,P_IM,saturation,0.035,45,1,0.02,300,45.2562144408314,45.2562144408314,-3.961649805486888e+28,-11.215706706021662,7.20798557063357,13.332184100962643,9.943560961616186,-31.310462584466677,0.07816993148679541,3.06109642949376
MF_IA,MF_IA_High,P_IM,saturation,0.0425,46,1,0.02,300,47.95042188035882,47.95042188035882,-4.4473826849649425e+28,-14.54908082417351,6.8624331929543105,16.086290503285536,9.580122653440867,-35.199450169253396,0.14191348502959175,3.169751946369296
MF_IA,MF_IA_High,P_IM,saturation,0.05,47,1,0.02,300,50.64462931988669,50.64462931988669,-4.961196507800021e+28,-17.186565351172373,6.598775086065135,18.409830558877847,0.1904373583031429,-35.54687246711865,-0.15666435816641203,2.753706489021223
MF_IA,MF_IA_High,P_IM,saturation,0.0625,48,1,0.02,300,55.6090077640099,55.6090077640099,-5.9814975304189165e+28,-22.789025980984583,7.116611107135673,23.87437661620083,-1.6737612087913476,-43.35082337598146,0.005419879206849358,2.942413860986112
MF_IA,MF_IA_High,P_IM,saturation,0.075,49,1,0.02,300,60.99264059919529,60.99264059919528,-7.195724175944217e+28,-27.661340431031707,7.164759310225459,28.574175935884693,-7.243301600798532,-49.81025962357671,-0.2387895775206248,3.066156564883227
MF_IA,MF_IA_High,P_IM,saturation,0.0875,50,1,0.02,300,66.38664348758742,66.38664348758743,-8.524738354194452e+28,-33.04952700804651,6.718673072933681,33.72553636810777,-15.310636864663138,-56.92404226292183,-0.14377312255427926,3.0846705345153267
MF_IA,MF_IA_High,P_IM,saturation,0.1,51,1,0.02,300,71.8611816219525,71.86118162195248,-9.988685606476916e+28,-38.04428569223608,6.835185840464093,38.653427264683266,-20.266937122947866,-54.53114927637489,0.08076593532514771,2.656186606786334
MF_IA,MF_IA_High,P_IM,saturation,0.125,52,1,0.02,300,83.289214834512,83.289214834512,-1.3418289940502743e+29,-50.03225725203124,6.921405467366603,50.50873804973874,-31.483088370486485,-71.31863578659977,-0.028225127521734117,3.0262800173878652
MF_IA,MF_IA_High,P_IM,saturation,0.15,53,1,0.02,300,94.58549749649751,94.58549749649751,-1.7304885923856516e+29,-61.232280836750384,7.0354012939054735,61.63512868354339,-39.989965424812,-81.55643887586666,-0.00947376318370937,3.0724616281224115
