sample_index,healthy_sensor,faulty_sensor,healthy_ground_truth,healthy_prediction,faulty_prediction,prediction_error,residual,fault_type,severity,repetition
0,21.29790622241979,21.44376376,1435.291,1402.6092980533695,1402.1303922691072,33.16060773089271,-0.4789057842622242,spike,0.05,1
1,21.852398348092386,21.44376376,1435.291,1400.7886894600936,1402.1303922691072,33.16060773089271,1.3417028090136682,spike,0.05,1
2,21.210494207496144,21.44376376,1435.291,1402.896304952399,1402.1303922691072,33.16060773089271,-0.7659126832918446,spike,0.05,1
3,22.15733066674467,21.44376376,1435.291,1399.7874806529667,1402.1303922691072,33.16060773089271,2.3429116161405545,spike,0.05,1
4,21.57406682057052,21.44376376,1435.291,1401.7025577502363,1402.1303922691072,33.16060773089271,0.4278345188708954,spike,0.05,1
5,21.75702532104101,21.44376376,1435.291,1401.1018353905356,1402.1303922691072,33.16060773089271,1.028556878571635,spike,0.05,1
6,21.18220260691795,21.44376376,1435.291,1402.9891970400326,1402.1303922691072,33.16060773089271,-0.858804770925417,spike,0.05,1
7,21.334513909630974,21.44376376,1435.291,1402.4891010896422,1402.1303922691072,33.16060773089271,-0.35870882053495734,spike,0.05,1
8,21.39496179036623,21.44376376,1435.291,1402.2906277010825,1402.1303922691072,33.16060773089271,-0.16023543197525214,spike,0.05,1
9,21.5885903215323,21.44376376,1435.291,1401.6548715714225,1402.1303922691072,33.16060773089271,0.47552069768471483,spike,0.05,1
10,21.572620559323447,21.44376376,1435.291,1401.7073063761095,1402.1303922691072,33.16060773089271,0.423085892997733,spike,0.05,1
11,21.48008069920985,21.44376376,1435.291,1402.0111499416766,1402.1303922691072,33.16060773089271,0.11924232743058383,spike,0.05,1
12,21.4589859841545,21.44376376,1435.291,1402.0804119162376,1402.1303922691072,33.16060773089271,0.04998035286962477,spike,0.05,1
13,22.26876023852906,21.44376376,1435.291,1399.4205674399016,1402.1303922691072,33.16060773089271,2.7098248292056724,spike,0.05,1
14,21.55077022689147,21.44376376,1435.291,1401.7790493299763,1402.1303922691072,33.16060773089271,0.3513429391309728,spike,0.05,1
15,21.448131494445402,21.44376376,1435.291,1402.1160513353116,1402.1303922691072,33.16060773089271,0.014340933795665478,spike,0.05,1
16,21.227088524361715,21.44376376,1435.291,1402.841819497176,1402.1303922691072,33.16060773089271,-0.7114272280687146,spike,0.05,1
17,20.861448694588347,21.44376376,1435.291,1404.1174142223429,1402.1303922691072,33.16060773089271,-1.987021953235626,spike,0.05,1
18,20.870632765552703,21.44376376,1435.291,1404.0831310781105,1402.1303922691072,33.16060773089271,-1.9527388090032218,spike,0.05,1
19,21.08933307306271,21.44376376,1435.291,1403.2941230499111,1402.1303922691072,33.16060773089271,-1.1637307808039168,spike,0.05,1
20,21.456746338538373,21.44376376,1435.291,1402.0877655248205,1402.1303922691072,33.16060773089271,0.04262674428673563,spike,0.05,1
21,20.668035243870552,21.44376376,1435.291,1404.8413479335718,1402.1303922691072,33.16060773089271,-2.7109556644645636,spike,0.05,1
22,21.454757251327965,21.44376376,1435.291,1402.0942964548385,1402.1303922691072,33.16060773089271,0.03609581426871955,spike,0.05,1
23,21.40588026778243,21.44376376,1435.291,1402.2547781860235,1402.1303922691072,33.16060773089271,-0.12438591691625334,spike,0.05,1
24,21.863762728569252,21.44376376,1435.291,1400.7513758756522,1402.1303922691072,33.16060773089271,1.3790163934550037,spike,0.05,1
25,20.822746235728676,21.44376376,1435.291,1404.2621350996847,1402.1303922691072,33.16060773089271,-2.131742830577423,spike,0.05,1
26,21.68187791419116,21.44376376,1435.291,1401.3485729154504,1402.1303922691072,33.16060773089271,0.7818193536568288,spike,0.05,1
27,21.544767311284,21.44376376,1435.291,1401.7987591855967,1402.1303922691072,33.16060773089271,0.33163308351049636,spike,0.05,1
28,21.730362994062524,21.44376376,1435.291,1401.1893779531192,1402.1303922691072,33.16060773089271,0.9410143159880135,spike,0.05,1
29,22.399997212206827,21.44376376,1435.291,1398.9479867829796,1402.1303922691072,33.16060773089271,3.1824054861276636,spike,0.05,1
30,21.828580080643473,21.44376376,1435.291,1400.86689389328,1402.1303922691072,33.16060773089271,1.2634983758273393,spike,0.05,1
31,21.684799989708004,21.44376376,1435.291,1401.3389786298876,1402.1303922691072,33.16060773089271,0.7914136392196269,spike,0.05,1
32,21.485447938385608,21.44376376,1435.291,1401.9935272536113,1402.1303922691072,33.16060773089271,0.13686501549591412,spike,0.05,1
33,20.952615928298737,21.44376376,1435.291,1403.7770967928855,1402.1303922691072,33.16060773089271,-1.6467045237782258,spike,0.05,1
34,21.494239535567207,21.44376376,1435.291,1401.9646610954887,1402.1303922691072,33.16060773089271,0.16573117361849654,spike,0.05,1
35,21.460041870230977,21.44376376,1435.291,1402.0769450405594,1402.1303922691072,33.16060773089271,0.05344722854783868,spike,0.05,1
36,21.96157069403923,21.44376376,1435.291,1400.4302351160616,1402.1303922691072,33.16060773089271,1.7001571530456658,spike,0.05,1
37,21.58561048754268,18.227199196,1435.291,1401.6646555000248,1411.1804113005048,24.11058869949511,9.515755800480065,spike,0.05,1
38,21.096932609250192,21.44376376,1435.291,1403.2691708815264,1402.1303922691072,33.16060773089271,-1.1387786124191734,spike,0.05,1
39,21.910985493012742,21.44376376,1435.291,1400.5963255750917,1402.1303922691072,33.16060773089271,1.5340666940155643,spike,0.05,1
40,21.721909063611257,21.44376376,1435.291,1401.217135422908,1402.1303922691072,33.16060773089271,0.9132568461991468,spike,0.05,1
41,20.793615265049603,21.44376376,1435.291,1404.371196724061,1402.1303922691072,33.16060773089271,-2.2408044549538317,spike,0.05,1
42,21.625421536020053,21.44376376,1435.291,1401.5339406826101,1402.1303922691072,33.16060773089271,0.5964515864970963,spike,0.05,1
43,21.74013507746389,21.44376376,1435.291,1401.157292485732,1402.1303922691072,33.16060773089271,0.9730997833753463,spike,0.05,1
44,22.07421540205258,21.44376376,1435.291,1400.0603796863793,1402.1303922691072,33.16060773089271,2.0700125827279408,spike,0.05,1
45,21.752237971958905,21.44376376,1435.291,1401.117554078817,1402.1303922691072,33.16060773089271,1.0128381902902674,spike,0.05,1
46,21.530702626572182,21.44376376,1435.291,1401.8449388961146,1402.1303922691072,33.16060773089271,0.2854533729926061,spike,0.05,1
47,21.857125012999685,21.44376376,1435.291,1400.7731700210443,1402.1303922691072,33.16060773089271,1.3572222480629534,spike,0.05,1
48,21.50122102618362,21.44376376,1435.291,1401.941738205836,1402.1303922691072,33.16060773089271,0.18865406327131495,spike,0.05,1
49,21.279151843371523,21.44376376,1435.291,1402.6708758144882,1402.1303922691072,33.16060773089271,-0.5404835453809937,spike,0.05,1
50,20.831665385764047,21.44376376,1435.291,1404.2287432501093,1402.1303922691072,33.16060773089271,-2.0983509810021133,spike,0.05,1
51,21.352418917904764,21.44376376,1435.291,1402.4303121359012,1402.1303922691072,33.16060773089271,-0.29991986679397087,spike,0.05,1
52,22.228007750746748,21.44376376,1435.291,1399.5554208986,1402.1303922691072,33.16060773089271,2.574971370507228,spike,0.05,1
53,20.839366260950907,21.44376376,1435.291,1404.1999124237611,1402.1303922691072,33.16060773089271,-2.069520154653901,spike,0.05,1
54,21.139775983112628,21.44376376,1435.291,1403.128499786289,1402.1303922691072,33.16060773089271,-0.9981075171817793,spike,0.05,1
55,21.50966726970409,21.44376376,1435.291,1401.9140059751649,1402.1303922691072,33.16060773089271,0.21638629394237796,spike,0.05,1
56,21.597143625040133,21.44376376,1435.291,1401.6267878220847,1402.1303922691072,33.16060773089271,0.5036044470225534,spike,0.05,1
57,21.288056513893032,21.44376376,1435.291,1402.6416383935743,1402.1303922691072,33.16060773089271,-0.5112461244671067,spike,0.05,1
58,21.210417833031887,21.44376376,1435.291,1402.8965557188203,1402.1303922691072,33.16060773089271,-0.7661634497130763,spike,0.05,1
59,21.646190621851463,21.44376376,1435.291,1401.4657478726704,1402.1303922691072,33.16060773089271,0.66464439643687,spike,0.05,1
60,20.996777672371895,21.44376376,1435.291,1403.6122457755664,1402.1303922691072,33.16060773089271,-1.4818535064591742,spike,0.05,1
61,21.809212671330734,21.44376376,1435.291,1400.930484465971,1402.1303922691072,33.16060773089271,1.1999078031362842,spike,0.05,1
62,20.75430658771381,21.44376376,1435.291,1404.5183620296582,1402.1303922691072,33.16060773089271,-2.387969760550959,spike,0.05,1
63,21.293956264136913,21.44376376,1435.291,1402.6222672690897,1402.1303922691072,33.16060773089271,-0.49187499998242856,spike,0.05,1
64,22.319697209419896,21.44376376,1435.291,1399.243703317194,1402.1303922691072,33.16060773089271,2.886688951913129,spike,0.05,1
65,20.163339123006033,21.44376376,1435.291,1406.4936067017704,1402.1303922691072,33.16060773089271,-4.363214432663199,spike,0.05,1
66,20.819818333318697,21.44376376,1435.291,1404.2730966909194,1402.1303922691072,33.16060773089271,-2.142704421812141,spike,0.05,1
67,21.754090004953937,21.44376376,1435.291,1401.1114731499279,1402.1303922691072,33.16060773089271,1.0189191191793725,spike,0.05,1
68,20.515620996149874,21.44376376,1435.291,1405.3853199118953,1402.1303922691072,33.16060773089271,-3.2549276427880613,spike,0.05,1
69,21.182177066585552,21.44376376,1435.291,1402.9892808986604,1402.1303922691072,33.16060773089271,-0.8588886295531211,spike,0.05,1
70,21.478841360654553,21.44376376,1435.291,1402.015219161634,1402.1303922691072,33.16060773089271,0.11517310747331067,spike,0.05,1
71,22.16911013247075,21.44376376,1435.291,1399.7488041857418,1402.1303922691072,33.16060773089271,2.3815880833653864,spike,0.05,1
72,21.81622217192701,21.44376376,1435.291,1400.9074696088983,1402.1303922691072,33.16060773089271,1.2229226602089511,spike,0.05,1
73,20.8630532784778,21.44376376,1435.291,1404.1114244841178,1402.1303922691072,33.16060773089271,-1.9810322150106003,spike,0.05,1
74,21.113677547633607,21.44376376,1435.291,1403.2141908785593,1402.1303922691072,33.16060773089271,-1.0837986094520602,spike,0.05,1
75,21.36581709087955,21.44376376,1435.291,1402.386320836976,1402.1303922691072,33.16060773089271,-0.2559285678687502,spike,0.05,1
76,21.744529844448163,21.44376376,1435.291,1401.1428627938271,1402.1303922691072,33.16060773089271,0.9875294752800983,spike,0.05,1
