sample_index,healthy_sensor,faulty_sensor,healthy_ground_truth,healthy_prediction,faulty_prediction,prediction_error,residual,fault_type,severity,repetition
0,2.819919193886956,2.847858,1435.291,1398.6809698754528,1402.1303922691072,33.16060773089271,3.4494223936544586,spike,0.15,1
1,2.9114530046353972,2.847858,1435.291,1409.858664548413,1402.1303922691072,33.16060773089271,-7.728272279305656,spike,0.15,1
2,2.8948950892547605,2.847858,1435.291,1407.9092438583712,1402.1303922691072,33.16060773089271,-5.7788515892639225,spike,0.15,1
3,2.7246192896722796,1.5663219000000002,1435.291,1387.0624724339311,1197.8086255167013,237.4823744832986,-189.2538469172298,spike,0.15,1
4,2.9068069192719554,2.847858,1435.291,1409.3116648369767,1402.1303922691072,33.16060773089271,-7.181272567869428,spike,0.15,1
5,2.877447631507792,2.847858,1435.291,1405.797554235901,1402.1303922691072,33.16060773089271,-3.6671619667938558,spike,0.15,1
6,2.806985600055107,2.847858,1435.291,1397.1705702655763,1402.1303922691072,33.16060773089271,4.959822003530917,spike,0.15,1
7,2.874911837233576,2.847858,1435.291,1405.4832830590003,1402.1303922691072,33.16060773089271,-3.352890789893081,spike,0.15,1
8,2.888455299700457,2.847858,1435.291,1407.1510651439569,1402.1303922691072,33.16060773089271,-5.020672874849652,spike,0.15,1
9,2.8794443687167095,2.847858,1435.291,1406.045017903987,1402.1303922691072,33.16060773089271,-3.9146256348797124,spike,0.15,1
10,2.8747894437296337,2.847858,1435.291,1405.4681143401021,1402.1303922691072,33.16060773089271,-3.3377220709949142,spike,0.15,1
11,2.8353731901665284,2.847858,1435.291,1400.5830996043808,1402.1303922691072,33.16060773089271,1.5472926647264558,spike,0.15,1
12,2.7690067290216054,2.847858,1435.291,1392.6614861168014,1402.1303922691072,33.16060773089271,9.468906152305863,spike,0.15,1
13,2.863154005500858,2.847858,1435.291,1404.0260877123521,1402.1303922691072,33.16060773089271,-1.8956954432449038,spike,0.15,1
14,2.836115673268412,2.847858,1435.291,1400.6751185195708,1402.1303922691072,33.16060773089271,1.4552737495364454,spike,0.15,1
15,2.7691271151566808,2.847858,1435.291,1392.676671575287,1402.1303922691072,33.16060773089271,9.453720693820287,spike,0.15,1
16,2.795933740524725,2.847858,1435.291,1395.879921700288,1402.1303922691072,33.16060773089271,6.25047056881931,spike,0.15,1
17,2.9006816261425588,2.847858,1435.291,1408.59051287524,1402.1303922691072,33.16060773089271,-6.460120606132705,spike,0.15,1
18,2.9569045236577063,2.847858,1435.291,1415.0349989862707,1402.1303922691072,33.16060773089271,-12.90460671716346,spike,0.15,1
19,2.879108516971162,2.847858,1435.291,1406.003394447222,1402.1303922691072,33.16060773089271,-3.8730021781148025,spike,0.15,1
20,2.8501229805262485,2.847858,1435.291,1402.4111004097003,1402.1303922691072,33.16060773089271,-0.2807081405931058,spike,0.15,1
21,2.8551710439327893,2.847858,1435.291,1403.0367271981095,1402.1303922691072,33.16060773089271,-0.9063349290022416,spike,0.15,1
22,2.8530152065214454,2.847858,1435.291,1402.7695456024417,1402.1303922691072,33.16060773089271,-0.6391533333344341,spike,0.15,1
23,2.8393864598329137,2.847858,1435.291,1401.0804802452712,1402.1303922691072,33.16060773089271,1.0499120238359865,spike,0.15,1
24,2.853267633950505,2.847858,1435.291,1402.8008299483442,1402.1303922691072,33.16060773089271,-0.6704376792370113,spike,0.15,1
25,2.861768797411406,2.847858,1435.291,1403.8544133060523,1402.1303922691072,33.16060773089271,-1.7240210369450324,spike,0.15,1
26,2.837937312753406,2.847858,1435.291,1400.900881622934,1402.1303922691072,33.16060773089271,1.2295106461731393,spike,0.15,1
27,2.903162151215636,2.847858,1435.291,1408.8825536779896,1402.1303922691072,33.16060773089271,-6.75216140888233,spike,0.15,1
28,2.8383635790316877,2.847858,1435.291,1400.9537105161571,1402.1303922691072,33.16060773089271,1.1766817529501168,spike,0.15,1
29,2.846068737446508,2.847858,1435.291,1401.908641769002,1402.1303922691072,33.16060773089271,0.22175050010514497,spike,0.15,1
30,2.8487587798060443,2.847858,1435.291,1402.2420295311092,1402.1303922691072,33.16060773089271,-0.11163726200197743,spike,0.15,1
31,2.8413771751911034,2.847858,1435.291,1401.3271976011915,1402.1303922691072,33.16060773089271,0.8031946679157045,spike,0.15,1
32,2.7779817893992553,2.847858,1435.291,1393.772996908327,1402.1303922691072,33.16060773089271,8.357395360780174,spike,0.15,1
33,2.7732836300447032,2.847858,1435.291,1393.1913737625705,1402.1303922691072,33.16060773089271,8.93901850653674,spike,0.15,1
34,2.9133245796038842,2.847858,1435.291,1410.0790115475766,1402.1303922691072,33.16060773089271,-7.948619278469323,spike,0.15,1
35,2.7964411760078396,2.847858,1435.291,1395.9391805857688,1402.1303922691072,33.16060773089271,6.191211683338452,spike,0.15,1
36,2.870226372157698,2.847858,1435.291,1404.9025945391559,1402.1303922691072,33.16060773089271,-2.7722022700486377,spike,0.15,1
37,2.9334492216092807,2.847858,1435.291,1412.374015700495,1402.1303922691072,33.16060773089271,-10.243623431387732,spike,0.15,1
38,2.7987428224014175,2.847858,1435.291,1396.2079694359622,1402.1303922691072,33.16060773089271,5.922422833144992,spike,0.15,1
39,2.883278644132284,2.847858,1435.291,1406.520215067916,1402.1303922691072,33.16060773089271,-4.3898227988088365,spike,0.15,1
40,2.8376725866206414,2.847858,1435.291,1400.868073049247,1402.1303922691072,33.16060773089271,1.2623192198602737,spike,0.15,1
41,2.7502583456362957,2.847858,1435.291,1390.2965726042216,1402.1303922691072,33.16060773089271,11.833819664885596,spike,0.15,1
42,2.812378645893063,2.847858,1435.291,1397.8003762139924,1402.1303922691072,33.16060773089271,4.330016055114811,spike,0.15,1
