target,representative_id,sensor,fault_type,severity,random_seed,repetition,healthy_noise,n_samples,mae,rmse,r2,residual_mean,residual_standard_deviation,residual_rms,residual_maximum,residual_minimum,residual_skewness,residual_kurtosis
MF_IA,MF_IA_High,P_IM,spike,0.0125,42,1,0.02,300,32.907633992147126,32.95524487654989,-2.1007226685768006e+28,0.6739482345316112,7.125475243094872,7.157276274029543,31.480755276858417,-16.159478686492548,0.35037134063664127,3.5642226833783686
MF_IA,MF_IA_High,P_IM,spike,0.02,43,1,0.02,300,33.3129578256312,33.44367865155143,-2.163454268196423e+28,-0.32162434399614087,7.390378583971356,7.397373711870544,25.25606387371431,-30.846873005910993,-0.28338383633588304,4.2178046551556685
MF_IA,MF_IA_High,P_IM,spike,0.0275,44,1,0.02,300,33.58820898006292,33.86107345561886,-2.2177933634648636e+28,-0.7119608932967784,8.055807126016862,8.087206981719216,24.654127674260508,-39.85873449391147,-0.9006562966483969,6.824074154751118
MF_IA,MF_IA_High,P_IM,spike,0.035,45,1,0.02,300,32.76221542809052,33.10494214585489,-2.1198508337333983e+28,1.3141778075005102,8.801685100628102,8.899254121573648,45.70718710050505,-41.6704501574884,0.6156341729066408,7.777827113053612
MF_IA,MF_IA_High,P_IM,spike,0.0425,46,1,0.02,300,33.14963592218448,33.552129859061914,-2.177508323566394e+28,0.43057955991421293,9.237390490018324,9.247420279326388,46.109487836380595,-54.35579140887421,-0.1614512754732171,12.350273407702547
MF_IA,MF_IA_High,P_IM,spike,0.05,47,1,0.02,300,33.8390850182463,34.610578886127776,-2.3170604390945272e+28,-0.2199220988290199,10.193684614834723,10.196056676787919,52.76268842043851,-64.13482049479308,-1.9686805408063401,18.94255789175611
MF_IA,MF_IA_High,P_IM,spike,0.0625,48,1,0.02,300,33.22077274913395,33.562653017382154,-2.178874428090837e+28,0.30312321823980104,10.938982412380021,10.94318143429028,66.49298768752396,-73.32771323412135,1.1449004325005026,19.199765820774584
MF_IA,MF_IA_High,P_IM,spike,0.075,49,1,0.02,300,34.417141553646594,36.13384640978174,-2.5255037877851535e+28,-0.6879302414755906,13.931872950473629,13.948846974760151,62.13164007122532,-98.93352360442304,-3.415642486081953,30.04793365096284
MF_IA,MF_IA_High,P_IM,spike,0.0875,50,1,0.02,300,33.99428941576287,35.24204492712453,-2.402380736293369e+28,0.37412426597933063,14.538745321049372,14.54355817799515,87.45319072061875,-120.37873244679349,-1.1925688244323405,37.079849327560105
MF_IA,MF_IA_High,P_IM,spike,0.1,51,1,0.02,300,35.01784897940425,38.16280227577024,-2.817086291313278e+28,-0.5631420082187196,18.51528730939931,18.523849304910243,91.94271817208937,-137.56458927244785,-4.300539407446695,40.914115134864296
MF_IA,MF_IA_High,P_IM,spike,0.125,52,1,0.02,300,35.6406653005948,40.67115950297163,-3.1995783077377067e+28,-1.4992737959553293,21.84624018313455,21.897626173958702,99.5145338032753,-175.10940552237207,-5.0625224889341025,46.28156179308839
