window_start,window_end,mean,standard_deviation,rms,maximum_error,slope,skewness,kurtosis,autocorrelation_lag1,dominant_frequency_energy,wavelet_detail_energy,dropout_ratio,spike_count
0,30,-3.9131154638095493,1.0129471046746215,4.042095306889006,5.87218327742039,-0.004400373410277194,-0.04255661703051857,1.878166821372563,-0.10183420595454018,79.47856929176022,15.661801013297673,0.0,0
10,40,-3.841894884935391,1.1758033599277928,4.0177941520329545,5.87218327742039,-0.007729217198439141,0.24911313273197072,2.570702203382835,-0.17900783595371503,82.72639490174369,27.951972945736863,0.0,0
20,50,-3.7800521921693115,1.211558573985353,3.969467061674834,5.574961285929021,0.030334426334260676,0.46522226024197255,2.4878014007318154,-0.07302308867726907,146.98398421033278,22.51957312605522,0.0,0
30,60,-3.778607016659809,1.2410905509383452,3.9772071535160434,5.537129578083523,-0.009411228149107628,0.4830667479870629,2.2627245285015,-0.09003614559979979,152.46694629163676,23.090105648434257,0.0,0
40,70,-3.768978393323285,1.1742753412815723,3.947672821610185,6.505946709878117,-0.009095828805453976,-0.08792666292966016,2.2406135762769432,0.1586717036614326,130.48942380573283,15.396855539922832,0.0,1
50,80,-3.7370668624095513,1.2831644078597926,3.9512250798603894,6.505946709878117,0.052863962137094184,0.27633649636648716,2.8550959230063255,-0.06874682274115633,188.68452151158277,27.273748793690995,0.0,1
60,90,-3.6911065395936022,1.2519646211811442,3.8976509463162428,6.505946709878117,0.008714134463576145,0.32173456007304185,3.104668256997445,-0.10753321960638326,206.75646349600012,25.34252112704959,0.0,1
70,100,-3.3837496367395943,1.59607118821282,3.7412838494263463,7.927502502751395,0.03789984829252283,-0.19384565619473684,3.696615128191762,-0.08861764086600377,203.18256971840873,42.04150778296448,0.0,1
80,110,-3.4987846401833393,1.5184429667797923,3.8140743309151537,7.927502502751395,0.023859657391023237,-0.31138142241325384,3.9868992702394865,0.09423819632386442,178.04903265013755,33.31722907696012,0.0,1
90,120,-3.3836869708569566,1.5859909862631858,3.736937907599643,7.927502502751395,-0.027039782733000305,-0.8145411876837088,4.349127395911466,-0.005863079220329617,220.8501077057304,39.98717895437858,0.0,2
100,130,-3.549862048702001,1.1691662410796564,3.737441673671323,7.088019523572257,0.003791965054097194,-0.7715061504517713,3.9555484068880493,-0.05307326052960173,125.74254835723224,20.859627223743253,0.0,1
110,140,-4.035532493382311,1.5978720209004815,4.340359144163193,7.644638968935851,-0.06546727103261668,-0.8690830232889162,2.9566753237896455,0.04416345650074127,250.7642824983803,35.10500096763385,0.0,1
120,150,-4.056576030420789,1.5779753399988883,4.3526790904257,7.644638968935851,-0.015984594074165047,-0.5888007652212828,3.026450226622059,0.1526967268661977,215.22524620394088,29.284039490208652,0.0,1
130,160,-4.103651320077506,1.6809662158403837,4.434591477866997,7.644638968935851,0.06720943211660424,-0.5674005731440077,2.545540509860158,0.12145556765532203,242.28064546984533,35.701977375648895,0.0,0
140,170,-3.740170702898998,1.4420640116671748,4.008544062445816,6.925867085974687,-0.021278877203579405,-0.3840311692248641,2.9194609900449313,0.008470906534334407,226.53126219989352,33.740409586854874,0.0,2
150,180,-3.7617700341695657,1.4251303697550364,4.022674528317475,6.925867085974687,-0.015201976689683353,-0.3012093807225862,2.63500905201188,0.01778957204262468,275.46065050213565,35.96623466498062,0.0,2
160,190,-3.9264793998422722,1.3678652894549657,4.157919663423218,6.925867085974687,-0.0019448781687732598,-0.13486182340426642,2.5645031699436913,-0.11050560158125404,145.10713811989996,39.38193367924867,0.0,1
170,200,-3.7011172791194666,1.281622084692519,3.916736432512186,6.487349823900786,0.005571554323946468,-0.18428475001690944,2.238097046774064,0.10006907183859183,122.4461487880041,25.920611570336497,0.0,1
180,210,-3.8131570845316975,1.3389397056784365,4.041401549803798,6.487349823900786,-0.013087727763348421,-0.22814657749488976,2.1629529195328585,-0.06628315021098205,156.87462941226553,28.00809940820921,0.0,0
190,220,-3.762706447165048,1.2168074103291762,3.954564461653067,6.020819523405407,-0.02744188710494841,0.22765079110102202,2.3809679008325415,-0.1639679520126131,155.05967832371326,21.564562103452573,0.0,0
200,230,-3.900619456104232,1.1911796940881292,4.078448382037801,6.020819523405407,0.007066918712262731,0.4467383369894512,2.644963342240801,-0.3839960182962266,166.78436768822718,30.59285999780648,0.0,0
210,240,-3.7832565236134315,1.3216751609713822,4.007474910039028,6.260589621547524,0.005209658342014822,0.39192404429256056,2.5264191882548817,-0.08656361732120192,229.45487663133432,22.18921777778575,0.0,0
