sample_index,healthy_sensor,faulty_sensor,healthy_ground_truth,healthy_prediction,faulty_prediction,residual,prediction_error,fault_type,severity
0,21.272990100500028,22.515951947999998,1435.291,1402.6911071604388,1398.4470128585508,-4.244094301888026,36.843987141449134,bias,0.05
1,21.22319440852711,22.515951947999998,1435.291,1402.854605360894,1398.4470128585508,-4.407592502343277,36.843987141449134,bias,0.05
2,21.304430332856672,22.515951947999998,1435.291,1402.5878769168469,1398.4470128585508,-4.140864058296074,36.843987141449134,bias,0.05
3,21.86667013684852,22.515951947999998,1435.291,1400.7418297482097,1398.4470128585508,-2.2948168896589323,36.843987141449134,bias,0.05
4,20.982300902979578,22.515951947999998,1435.291,1403.6662859909588,1398.4470128585508,-5.219273132408034,36.843987141449134,bias,0.05
5,20.965072898018906,22.515951947999998,1435.291,1403.7305962713551,1398.4470128585508,-5.283583412804319,36.843987141449134,bias,0.05
6,21.705767577998287,22.515951947999998,1435.291,1401.270134060859,1398.4470128585508,-2.82312120230813,36.843987141449134,bias,0.05
7,21.711221236465914,22.515951947999998,1435.291,1401.252227625382,1398.4470128585508,-2.8052147668311136,36.843987141449134,bias,0.05
8,21.09937710416923,22.515951947999998,1435.291,1403.2611446747514,1398.4470128585508,-4.814131816200643,36.843987141449134,bias,0.05
9,21.251539892928538,22.515951947999998,1435.291,1402.7615363521697,1398.4470128585508,-4.314523493618935,36.843987141449134,bias,0.05
10,21.721841506014396,22.515951947999998,1435.291,1401.2173572401994,1398.4470128585508,-2.770344381648556,36.843987141449134,bias,0.05
11,21.54743995810429,22.515951947999998,1435.291,1401.7899838693343,1398.4470128585508,-3.342971010783458,36.843987141449134,bias,0.05
12,21.16379439461293,22.515951947999998,1435.291,1403.0496382040415,1398.4470128585508,-4.602625345490651,36.843987141449134,bias,0.05
13,21.886691505999035,22.515951947999998,1435.291,1400.6760919765861,1398.4470128585508,-2.2290791180353153,36.843987141449134,bias,0.05
14,21.11660010723278,22.515951947999998,1435.291,1403.2045950035695,1398.4470128585508,-4.7575821450186595,36.843987141449134,bias,0.05
15,21.70982148204184,22.515951947999998,1435.291,1401.2568235516628,1398.4470128585508,-2.809810693112013,36.843987141449134,bias,0.05
16,21.75568849849938,22.515951947999998,1435.291,1401.1062246875053,1398.4470128585508,-2.6592118289545397,36.843987141449134,bias,0.05
17,21.490547204798478,22.515951947999998,1435.291,1401.9767844220708,1398.4470128585508,-3.529771563519944,36.843987141449134,bias,0.05
18,21.50143387716826,22.515951947999998,1435.291,1401.9410393350786,1398.4470128585508,-3.494026476527779,36.843987141449134,bias,0.05
19,20.8075049133618,22.515951947999998,1435.291,1404.3191961359712,1398.4470128585508,-5.87218327742039,36.843987141449134,bias,0.05
20,21.226354567751883,22.515951947999998,1435.291,1402.844229355944,1398.4470128585508,-4.397216497393174,36.843987141449134,bias,0.05
21,21.486126156300543,22.515951947999998,1435.291,1401.991300406183,1398.4470128585508,-3.544287547632166,36.843987141449134,bias,0.05
22,21.534986723307387,22.515951947999998,1435.291,1401.8308725767397,1398.4470128585508,-3.383859718188887,36.843987141449134,bias,0.05
23,20.887016024177544,22.515951947999998,1435.291,1404.0219741444798,1398.4470128585508,-5.574961285929021,36.843987141449134,bias,0.05
24,21.208591615320685,22.515951947999998,1435.291,1402.9025518863118,1398.4470128585508,-4.455539027761006,36.843987141449134,bias,0.05
25,21.02091441354337,22.515951947999998,1435.291,1403.5221459296386,1398.4470128585508,-5.075133071087748,36.843987141449134,bias,0.05
26,21.160807516860856,22.515951947999998,1435.291,1403.0594452599958,1398.4470128585508,-4.6124324014449485,36.843987141449134,bias,0.05
27,21.694122191798723,22.515951947999998,1435.291,1401.3083702939912,1398.4470128585508,-2.861357435440368,36.843987141449134,bias,0.05
28,21.248196081415934,22.515951947999998,1435.291,1402.772515357447,1398.4470128585508,-4.325502498896185,36.843987141449134,bias,0.05
29,21.72853928852303,22.515951947999998,1435.291,1401.195365872195,1398.4470128585508,-2.7483530136441914,36.843987141449134,bias,0.05
30,21.43459415450213,22.515951947999998,1435.291,1402.1604995723374,1398.4470128585508,-3.7134867137865513,36.843987141449134,bias,0.05
31,21.518823568273284,22.515951947999998,1435.291,1401.883942363644,1398.4470128585508,-3.4369295050933033,36.843987141449134,bias,0.05
32,21.591786649150514,22.515951947999998,1435.291,1401.6443768118777,1398.4470128585508,-3.197363953326885,36.843987141449134,bias,0.05
33,20.962008657920165,22.515951947999998,1435.291,1403.7420347484394,1398.4470128585508,-5.2950218898886305,36.843987141449134,bias,0.05
34,20.919679177157963,22.515951947999998,1435.291,1403.9000461248625,1398.4470128585508,-5.45303326631165,36.843987141449134,bias,0.05
35,21.177352492205454,22.515951947999998,1435.291,1403.0051218117565,1398.4470128585508,-4.558108953205647,36.843987141449134,bias,0.05
36,21.308943865595438,22.515951947999998,1435.291,1402.573057271788,1398.4470128585508,-4.126044413237196,36.843987141449134,bias,0.05
37,22.27912925706864,22.515951947999998,1435.291,1399.3845639764982,1398.4470128585508,-0.9375511179473506,36.843987141449134,bias,0.05
38,20.897150715651605,22.515951947999998,1435.291,1403.9841424366343,1398.4470128585508,-5.537129578083523,36.843987141449134,bias,0.05
39,21.96988329711765,22.515951947999998,1435.291,1400.4029416778028,1398.4470128585508,-1.9559288192519944,36.843987141449134,bias,0.05
40,21.511352656546972,22.515951947999998,1435.291,1401.9084722089906,1398.4470128585508,-3.4614593504397817,36.843987141449134,bias,0.05
41,21.79342411411835,22.515951947999998,1435.291,1400.9823243057187,1398.4470128585508,-2.535311447167942,36.843987141449134,bias,0.05
42,21.748457539698276,22.515951947999998,1435.291,1401.1299666761133,1398.4470128585508,-2.6829538175625203,36.843987141449134,bias,0.05
43,22.126109080204774,22.515951947999998,1435.291,1399.8899929991635,1398.4470128585508,-1.4429801406126899,36.843987141449134,bias,0.05
44,21.105480519652318,22.515951947999998,1435.291,1403.2411048398062,1398.4470128585508,-4.794091981255406,36.843987141449134,bias,0.05
45,21.33819657871575,22.515951947999998,1435.291,1402.4770094860437,1398.4470128585508,-4.029996627492892,36.843987141449134,bias,0.05
46,21.485760979635433,22.515951947999998,1435.291,1401.9924994200983,1398.4470128585508,-3.5454865615474773,36.843987141449134,bias,0.05
47,21.91745596706383,22.515951947999998,1435.291,1400.575080547228,1398.4470128585508,-2.12806768867722,36.843987141449134,bias,0.05
48,21.0204060651263,22.515951947999998,1435.291,1403.524043539334,1398.4470128585508,-5.077030680783082,36.843987141449134,bias,0.05
49,21.19049814868768,22.515951947999998,1435.291,1402.9619596205407,1398.4470128585508,-4.514946761989904,36.843987141449134,bias,0.05
50,21.047231811967478,22.515951947999998,1435.291,1403.4323575066128,1398.4470128585508,-4.985344648061982,36.843987141449134,bias,0.05
51,20.95777848155478,22.515951947999998,1435.291,1403.7578255395847,1398.4470128585508,-5.3108126810338945,36.843987141449134,bias,0.05
52,21.081562727670935,22.515951947999998,1435.291,1403.3196360498946,1398.4470128585508,-4.872623191343791,36.843987141449134,bias,0.05
53,21.65702813315967,22.515951947999998,1435.291,1401.4301642001456,1398.4470128585508,-2.9831513415947484,36.843987141449134,bias,0.05
54,21.383707087666952,22.515951947999998,1435.291,1402.3275811716553,1398.4470128585508,-3.8805683131045043,36.843987141449134,bias,0.05
55,21.09846595860798,22.515951947999998,1435.291,1403.2641363122548,1398.4470128585508,-4.817123453703971,36.843987141449134,bias,0.05
56,21.783746193273796,22.515951947999998,1435.291,1401.0141006016102,1398.4470128585508,-2.5670877430593464,36.843987141449134,bias,0.05
57,21.24047831934705,22.515951947999998,1435.291,1402.7978557063773,1398.4470128585508,-4.3508428478264705,36.843987141449134,bias,0.05
58,21.810201137629516,22.515951947999998,1435.291,1400.927238955071,1398.4470128585508,-2.480226096520255,36.843987141449134,bias,0.05
59,21.137942510483946,22.515951947999998,1435.291,1403.1345197744345,1398.4470128585508,-4.6875069158836595,36.843987141449134,bias,0.05
60,21.100015537292055,22.515951947999998,1435.291,1403.2590484559307,1398.4470128585508,-4.812035597379918,36.843987141449134,bias,0.05
61,21.17206346003648,22.515951947999998,1435.291,1403.0224877164667,1398.4470128585508,-4.575474857915879,36.843987141449134,bias,0.05
62,21.779539976676443,22.515951947999998,1435.291,1401.0279112108642,1398.4470128585508,-2.5808983523133975,36.843987141449134,bias,0.05
63,21.134965400861834,22.515951947999998,1435.291,1403.1442947579017,1398.4470128585508,-4.697281899350855,36.843987141449134,bias,0.05
64,20.63822315111048,22.515951947999998,1435.291,1404.952959568429,1398.4470128585508,-6.505946709878117,36.843987141449134,bias,0.05
65,21.429473613367335,22.515951947999998,1435.291,1402.1773122568834,1398.4470128585508,-3.7302993983325905,36.843987141449134,bias,0.05
66,21.743121583052396,22.515951947999998,1435.291,1401.1474866517326,1398.4470128585508,-2.7004737931818,36.843987141449134,bias,0.05
67,21.725286907178138,22.515951947999998,1435.291,1401.2060446774494,1398.4470128585508,-2.7590318188986203,36.843987141449134,bias,0.05
68,21.840666234737178,22.515951947999998,1435.291,1400.8272104514708,1398.4470128585508,-2.3801975929200125,36.843987141449134,bias,0.05
69,21.59704478595071,22.515951947999998,1435.291,1401.6271123484166,1398.4470128585508,-3.1800994898658246,36.843987141449134,bias,0.05
70,21.23690766060264,22.515951947999998,1435.291,1402.809579537416,1398.4470128585508,-4.362566678865278,36.843987141449134,bias,0.05
71,21.45915629757433,22.515951947999998,1435.291,1402.0798527124882,1398.4470128585508,-3.632839853937412,36.843987141449134,bias,0.05
72,20.940860242878617,22.515951947999998,1435.291,1403.820979495923,1398.4470128585508,-5.3739666373721775,36.843987141449134,bias,0.05
73,21.875492667011297,22.515951947999998,1435.291,1400.7128620253422,1398.4470128585508,-2.2658491667914404,36.843987141449134,bias,0.05
74,21.56782691403492,22.515951947999998,1435.291,1401.7230457372316,1398.4470128585508,-3.2760328786807804,36.843987141449134,bias,0.05
75,22.414150470604362,22.515951947999998,1435.291,1398.8924181827092,1398.4470128585508,-0.4454053241584006,36.843987141449134,bias,0.05
76,21.09578593620859,22.515951947999998,1435.291,1403.2729358453494,1398.4470128585508,-4.82592298679856,36.843987141449134,bias,0.05
77,22.026625564938215,22.515951947999998,1435.291,1400.2166352261634,1398.4470128585508,-1.7696223676125555,36.843987141449134,bias,0.05
78,21.26628076814566,22.515951947999998,1435.291,1402.7131364509805,1398.4470128585508,-4.266123592429722,36.843987141449134,bias,0.05
79,21.640734467823464,22.515951947999998,1435.291,1401.4836625020214,1398.4470128585508,-3.0366496434705823,36.843987141449134,bias,0.05
80,21.26633649700215,22.515951947999998,1435.291,1402.7129534719438,1398.4470128585508,-4.265940613393013,36.843987141449134,bias,0.05
