sample_index,healthy_sensor,faulty_sensor,healthy_ground_truth,healthy_prediction,faulty_prediction,residual,prediction_error,fault_type,severity
0,2.825178253205575,2.9902509,1435.291,1399.3196000887742,1418.824772896815,19.505172808040697,16.46622710318502,bias,0.05
1,2.8185650923193717,2.9902509,1435.291,1398.522836373968,1418.824772896815,20.301936522846972,16.46622710318502,bias,0.05
2,2.829353701053296,2.9902509,1435.291,1399.8370801235446,1418.824772896815,18.987692773270282,16.46622710318502,bias,0.05
3,2.904022455178603,2.9902509,1435.291,1408.983840241339,1418.824772896815,9.840932655475854,16.46622710318502,bias,0.05
4,2.786573017392615,2.9902509,1435.291,1394.7867659424442,1418.824772896815,24.038006954370758,16.46622710318502,bias,0.05
5,2.7842850369662124,2.9902509,1435.291,1394.5195730192418,1418.824772896815,24.30519987757316,16.46622710318502,bias,0.05
6,2.882653648630899,2.9902509,1435.291,1406.4427568632914,1418.824772896815,12.382016033523541,16.46622710318502,bias,0.05
7,2.8833779265641075,2.9902509,1435.291,1406.5325195387527,1418.824772896815,12.292253358062226,16.46622710318502,bias,0.05
8,2.80212142577368,2.9902509,1435.291,1396.6025265313633,1418.824772896815,22.22224636545161,16.46622710318502,bias,0.05
9,2.8223295394294943,2.9902509,1435.291,1398.966547540243,1418.824772896815,19.858225356571893,16.46622710318502,bias,0.05
10,2.8847883608486065,2.9902509,1435.291,1406.7073203288,1418.824772896815,12.117452568014869,16.46622710318502,bias,0.05
11,2.861626809127232,2.9902509,1435.291,1403.83681612728,1418.824772896815,14.987956769535003,16.46622710318502,bias,0.05
12,2.810676420968629,2.9902509,1435.291,1397.6015884760122,1418.824772896815,21.22318442080268,16.46622710318502,bias,0.05
13,2.906681410805255,2.9902509,1435.291,1409.296888290767,1418.824772896815,9.52788460604802,16.46622710318502,bias,0.05
14,2.804408741918715,2.9902509,1435.291,1396.8696418790419,1418.824772896815,21.955131017773056,16.46622710318502,bias,0.05
15,2.8831920309405943,2.9902509,1435.291,1406.5094807469327,1418.824772896815,12.315292149882225,16.46622710318502,bias,0.05
16,2.8892834406024743,2.9902509,1435.291,1407.2485650388137,1418.824772896815,11.576207858001226,16.46622710318502,bias,0.05
17,2.854071116737717,2.9902509,1435.291,1402.900408799722,1418.824772896815,15.924364097092848,16.46622710318502,bias,0.05
18,2.8555169308843684,2.9902509,1435.291,1403.0795943582937,1418.824772896815,15.745178538521259,16.46622710318502,bias,0.05
19,2.763359081491612,2.9902509,1435.291,1391.9490941369984,1418.824772896815,26.875678759816537,16.46622710318502,bias,0.05
