sample_index,healthy_sensor,faulty_sensor,healthy_ground_truth,healthy_prediction,faulty_prediction,residual,prediction_error,fault_type,severity
0,21.272990100500028,0.0,1435.291,1402.6911071604388,1404.0039997175452,1.3128925571063519,31.287000282454756,dropout,0.05
1,21.22319440852711,0.0,1435.291,1402.854605360894,1404.0039997175452,1.1493943566511007,31.287000282454756,dropout,0.05
2,21.304430332856672,0.0,1435.291,1402.5878769168469,1404.0039997175452,1.4161228006983038,31.287000282454756,dropout,0.05
3,21.86667013684852,0.0,1435.291,1400.7418297482097,1404.0039997175452,3.262169969335446,31.287000282454756,dropout,0.05
4,20.982300902979578,0.0,1435.291,1403.6662859909588,1404.0039997175452,0.3377137265863439,31.287000282454756,dropout,0.05
5,20.965072898018906,0.0,1435.291,1403.7305962713551,1404.0039997175452,0.2734034461900592,31.287000282454756,dropout,0.05
6,21.705767577998287,0.0,1435.291,1401.270134060859,1404.0039997175452,2.7338656566862483,31.287000282454756,dropout,0.05
7,21.711221236465914,0.0,1435.291,1401.252227625382,1404.0039997175452,2.7517720921632645,31.287000282454756,dropout,0.05
8,21.09937710416923,0.0,1435.291,1403.2611446747514,1404.0039997175452,0.7428550427937353,31.287000282454756,dropout,0.05
9,21.251539892928538,0.0,1435.291,1402.7615363521697,1404.0039997175452,1.2424633653754427,31.287000282454756,dropout,0.05
10,21.721841506014396,0.0,1435.291,1401.2173572401994,1404.0039997175452,2.786642477345822,31.287000282454756,dropout,0.05
11,21.54743995810429,0.0,1435.291,1401.7899838693343,1404.0039997175452,2.21401584821092,31.287000282454756,dropout,0.05
12,21.16379439461293,0.0,1435.291,1403.0496382040415,1404.0039997175452,0.9543615135037271,31.287000282454756,dropout,0.05
13,21.886691505999035,0.0,1435.291,1400.6760919765861,1404.0039997175452,3.3279077409590627,31.287000282454756,dropout,0.05
14,21.11660010723278,0.0,1435.291,1403.2045950035695,1404.0039997175452,0.7994047139757186,31.287000282454756,dropout,0.05
15,21.70982148204184,0.0,1435.291,1401.2568235516628,1404.0039997175452,2.7471761658823652,31.287000282454756,dropout,0.05
16,21.75568849849938,0.0,1435.291,1401.1062246875053,1404.0039997175452,2.8977750300398384,31.287000282454756,dropout,0.05
17,21.490547204798478,0.0,1435.291,1401.9767844220708,1404.0039997175452,2.0272152954744342,31.287000282454756,dropout,0.05
18,21.50143387716826,0.0,1435.291,1401.9410393350786,1404.0039997175452,2.062960382466599,31.287000282454756,dropout,0.05
19,20.8075049133618,0.0,1435.291,1404.3191961359712,1404.0039997175452,-0.3151964184260123,31.287000282454756,dropout,0.05
20,21.226354567751883,0.0,1435.291,1402.844229355944,1404.0039997175452,1.159770361601204,31.287000282454756,dropout,0.05
21,21.486126156300543,0.0,1435.291,1401.991300406183,1404.0039997175452,2.012699311362212,31.287000282454756,dropout,0.05
22,21.534986723307387,0.0,1435.291,1401.8308725767397,1404.0039997175452,2.173127140805491,31.287000282454756,dropout,0.05
23,20.887016024177544,0.0,1435.291,1404.0219741444798,1404.0039997175452,-0.017974426934642906,31.287000282454756,dropout,0.05
24,21.208591615320685,0.0,1435.291,1402.9025518863118,1404.0039997175452,1.1014478312333722,31.287000282454756,dropout,0.05
25,21.02091441354337,0.0,1435.291,1403.5221459296386,1404.0039997175452,0.4818537879066298,31.287000282454756,dropout,0.05
26,21.160807516860856,0.0,1435.291,1403.0594452599958,1404.0039997175452,0.9445544575494296,31.287000282454756,dropout,0.05
27,21.694122191798723,0.0,1435.291,1401.3083702939912,1404.0039997175452,2.69562942355401,31.287000282454756,dropout,0.05
28,21.248196081415934,0.0,1435.291,1402.772515357447,1404.0039997175452,1.231484360098193,31.287000282454756,dropout,0.05
29,21.72853928852303,0.0,1435.291,1401.195365872195,1404.0039997175452,2.8086338453501867,31.287000282454756,dropout,0.05
30,21.43459415450213,0.0,1435.291,1402.1604995723374,1404.0039997175452,1.8435001452078268,31.287000282454756,dropout,0.05
31,21.518823568273284,0.0,1435.291,1401.883942363644,1404.0039997175452,2.1200573539010747,31.287000282454756,dropout,0.05
32,21.591786649150514,0.0,1435.291,1401.6443768118777,1404.0039997175452,2.359622905667493,31.287000282454756,dropout,0.05
33,20.962008657920165,0.0,1435.291,1403.7420347484394,1404.0039997175452,0.2619649691057475,31.287000282454756,dropout,0.05
34,20.919679177157963,0.0,1435.291,1403.9000461248625,1404.0039997175452,0.10395359268272841,31.287000282454756,dropout,0.05
35,21.177352492205454,0.0,1435.291,1403.0051218117565,1404.0039997175452,0.9988779057887314,31.287000282454756,dropout,0.05
36,21.308943865595438,0.0,1435.291,1402.573057271788,1404.0039997175452,1.4309424457571822,31.287000282454756,dropout,0.05
37,22.27912925706864,0.0,1435.291,1399.3845639764982,1404.0039997175452,4.6194357410470275,31.287000282454756,dropout,0.05
38,20.897150715651605,0.0,1435.291,1403.9841424366343,1404.0039997175452,0.01985728091085548,31.287000282454756,dropout,0.05
