sample_index,healthy_sensor,faulty_sensor,healthy_ground_truth,healthy_prediction,faulty_prediction,residual,prediction_error,fault_type,severity
0,2.825178253205575,0.0,1435.291,1399.3196000887742,1030.0460304609621,-369.2735696278121,405.2449695390378,dropout,0.05
1,2.8185650923193717,0.0,1435.291,1398.522836373968,1030.0460304609621,-368.4768059130058,405.2449695390378,dropout,0.05
2,2.829353701053296,0.0,1435.291,1399.8370801235446,1030.0460304609621,-369.7910496625825,405.2449695390378,dropout,0.05
3,2.904022455178603,0.0,1435.291,1408.983840241339,1030.0460304609621,-378.93780978037694,405.2449695390378,dropout,0.05
4,2.786573017392615,0.0,1435.291,1394.7867659424442,1030.0460304609621,-364.74073548148203,405.2449695390378,dropout,0.05
5,2.7842850369662124,0.0,1435.291,1394.5195730192418,1030.0460304609621,-364.47354255827963,405.2449695390378,dropout,0.05
6,2.882653648630899,0.0,1435.291,1406.4427568632914,1030.0460304609621,-376.39672640232925,405.2449695390378,dropout,0.05
7,2.8833779265641075,0.0,1435.291,1406.5325195387527,1030.0460304609621,-376.48648907779057,405.2449695390378,dropout,0.05
8,2.80212142577368,0.0,1435.291,1396.6025265313633,1030.0460304609621,-366.5564960704012,405.2449695390378,dropout,0.05
9,2.8223295394294943,0.0,1435.291,1398.966547540243,1030.0460304609621,-368.9205170792809,405.2449695390378,dropout,0.05
10,2.8847883608486065,0.0,1435.291,1406.7073203288,1030.0460304609621,-376.6612898678379,405.2449695390378,dropout,0.05
11,2.861626809127232,0.0,1435.291,1403.83681612728,1030.0460304609621,-373.7907856663178,405.2449695390378,dropout,0.05
12,2.810676420968629,0.0,1435.291,1397.6015884760122,1030.0460304609621,-367.5555580150501,405.2449695390378,dropout,0.05
13,2.906681410805255,0.0,1435.291,1409.296888290767,1030.0460304609621,-379.2508578298048,405.2449695390378,dropout,0.05
14,2.804408741918715,0.0,1435.291,1396.8696418790419,1030.0460304609621,-366.82361141807974,405.2449695390378,dropout,0.05
15,2.8831920309405943,0.0,1435.291,1406.5094807469327,1030.0460304609621,-376.46345028597057,405.2449695390378,dropout,0.05
16,2.8892834406024743,0.0,1435.291,1407.2485650388137,1030.0460304609621,-377.20253457785157,405.2449695390378,dropout,0.05
17,2.854071116737717,0.0,1435.291,1402.900408799722,1030.0460304609621,-372.85437833875994,405.2449695390378,dropout,0.05
18,2.8555169308843684,0.0,1435.291,1403.0795943582937,1030.0460304609621,-373.03356389733153,405.2449695390378,dropout,0.05
19,2.763359081491612,0.0,1435.291,1391.9490941369984,1030.0460304609621,-361.90306367603625,405.2449695390378,dropout,0.05
20,2.8189847800584396,0.0,1435.291,1398.5718479793732,1030.0460304609621,-368.52581751841103,405.2449695390378,dropout,0.05
21,2.853483975484244,0.0,1435.291,1402.8276420241946,1030.0460304609621,-372.78161156323245,405.2449695390378,dropout,0.05
22,2.8599729462727828,0.0,1435.291,1403.6318462561094,1030.0460304609621,-373.58581579514725,405.2449695390378,dropout,0.05
23,2.7739186248422936,0.0,1435.291,1393.2699849044757,1030.0460304609621,-363.22395444351355,405.2449695390378,dropout,0.05
24,2.816625755460381,0.0,1435.291,1398.296358438035,1030.0460304609621,-368.25032797707286,405.2449695390378,dropout,0.05
25,2.7917011187930005,0.0,1435.291,1395.3856313819538,1030.0460304609621,-365.33960092099164,405.2449695390378,dropout,0.05
26,2.810279746028704,0.0,1435.291,1397.5552643311303,1030.0460304609621,-367.50923387016815,405.2449695390378,dropout,0.05
27,2.8811070728234665,0.0,1435.291,1406.2510835070925,1030.0460304609621,-376.2050530461304,405.2449695390378,dropout,0.05
28,2.821885461586013,0.0,1435.291,1398.911511188152,1030.0460304609621,-368.86548072718983,405.2449695390378,dropout,0.05
29,2.885677865774745,0.0,1435.291,1406.8175602496167,1030.0460304609621,-376.77152978865456,405.2449695390378,dropout,0.05
30,2.846640222436965,0.0,1435.291,1401.9794682009247,1030.0460304609621,-371.9334377399625,405.2449695390378,dropout,0.05
31,2.8578263841820846,0.0,1435.291,1403.365814188211,1030.0460304609621,-373.31978372724893,405.2449695390378,dropout,0.05
32,2.8675163106290666,0.0,1435.291,1404.5667257209568,1030.0460304609621,-374.5206952599947,405.2449695390378,dropout,0.05
33,2.7838780878514586,0.0,1435.291,1394.4720490446875,1030.0460304609621,-364.4260185837254,405.2449695390378,dropout,0.05
34,2.7782564837443777,0.0,1435.291,1393.8070035430694,1030.0460304609621,-363.7609730821073,405.2449695390378,dropout,0.05
35,2.8124770161032235,0.0,1435.291,1397.8118639975876,1030.0460304609621,-367.76583353662545,405.2449695390378,dropout,0.05
36,2.829953124758118,0.0,1435.291,1399.9113691126367,1030.0460304609621,-369.8653386516746,405.2449695390378,dropout,0.05
37,2.958799453206482,0.0,1435.291,1415.250355356407,1030.0460304609621,-385.20432489544487,405.2449695390378,dropout,0.05
38,2.775264571501423,0.0,1435.291,1393.4366105275815,1030.0460304609621,-363.39058006661935,405.2449695390378,dropout,0.05
39,2.917729770156863,0.0,1435.291,1410.5915344350383,1030.0460304609621,-380.54550397407615,405.2449695390378,dropout,0.05
40,2.8568342031468337,0.0,1435.291,1403.2428492044905,1030.0460304609621,-373.1968187435284,405.2449695390378,dropout,0.05
41,2.8942949523887522,0.0,1435.291,1407.838587667869,1030.0460304609621,-377.79255720690685,405.2449695390378,dropout,0.05
42,2.8883231267275464,0.0,1435.291,1407.1355039623627,1030.0460304609621,-377.08947350140056,405.2449695390378,dropout,0.05
43,2.9384774733656087,0.0,1435.291,1412.944186013421,1030.0460304609621,-382.8981555524588,405.2449695390378,dropout,0.05
44,2.802931995261638,0.0,1435.291,1396.6971857462968,1030.0460304609621,-366.65115528533465,405.2449695390378,dropout,0.05
45,2.8338380571801394,0.0,1435.291,1400.392844402988,1030.0460304609621,-370.34681394202585,405.2449695390378,dropout,0.05
46,2.853435477874459,0.0,1435.291,1402.8216315204802,1030.0460304609621,-372.77560105951807,405.2449695390378,dropout,0.05
47,2.910767112249257,0.0,1435.291,1409.777912063698,1030.0460304609621,-379.73188160273594,405.2449695390378,dropout,0.05
48,2.7916336071321486,0.0,1435.291,1395.3777472943957,1030.0460304609621,-365.3317168334336,405.2449695390378,dropout,0.05
49,2.8142228366316138,0.0,1435.291,1398.015742879148,1030.0460304609621,-367.96971241818596,405.2449695390378,dropout,0.05
50,2.795196224152307,0.0,1435.291,1395.7937937102138,1030.0460304609621,-365.74776324925165,405.2449695390378,dropout,0.05
51,2.783316295540258,0.0,1435.291,1394.4064423077898,1030.0460304609621,-364.3604118468277,405.2449695390378,dropout,0.05
52,2.7997555717569376,0.0,1435.291,1396.3262394428425,1030.0460304609621,-366.2802089818804,405.2449695390378,dropout,0.05
53,2.876180763578969,0.0,1435.291,1405.6405462013704,1030.0460304609621,-375.59451574040827,405.2449695390378,dropout,0.05
54,2.8398821205475278,0.0,1435.291,1401.1419094699165,1030.0460304609621,-371.0958790089544,405.2449695390378,dropout,0.05
55,2.8020004202820696,0.0,1435.291,1396.588395374185,1030.0460304609621,-366.54236491322285,405.2449695390378,dropout,0.05
56,2.893009667556808,0.0,1435.291,1407.6872666358195,1030.0460304609621,-377.64123617485734,405.2449695390378,dropout,0.05
57,2.8208604973728297,0.0,1435.291,1398.7908963534546,1030.0460304609621,-368.7448658924925,405.2449695390378,dropout,0.05
58,2.8965230398251376,0.0,1435.291,1408.1009081138832,1030.0460304609621,-378.05487765292105,405.2449695390378,dropout,0.05
59,2.807243138646748,0.0,1435.291,1397.2006459114796,1030.0460304609621,-367.15461545051744,405.2449695390378,dropout,0.05
60,2.8022062134488595,0.0,1435.291,1396.6124281312727,1030.0460304609621,-366.5663976703106,405.2449695390378,dropout,0.05
61,2.811774601511119,0.0,1435.291,1397.7298352328316,1030.0460304609621,-367.6838047718695,405.2449695390378,dropout,0.05
62,2.8924510572437785,0.0,1435.291,1407.6214995101361,1030.0460304609621,-377.575469049174,405.2449695390378,dropout,0.05
63,2.8068477609719564,0.0,1435.291,1397.1544732626767,1030.0460304609621,-367.10844280171455,405.2449695390378,dropout,0.05
64,2.7408774674299616,0.0,1435.291,1389.113272413795,1030.0460304609621,-359.0672419528328,405.2449695390378,dropout,0.05
65,2.8459601844455813,0.0,1435.291,1401.895188359274,1030.0460304609621,-371.8491578983119,405.2449695390378,dropout,0.05
66,2.8876144802888106,0.0,1435.291,1407.0520725642768,1030.0460304609621,-377.0060421033147,405.2449695390378,dropout,0.05
67,2.885245930395501,0.0,1435.291,1406.7640287619247,1030.0460304609621,-376.71799830096256,405.2449695390378,dropout,0.05
68,2.900568983974208,0.0,1435.291,1408.5772511228693,1030.0460304609621,-378.5312206619071,405.2449695390378,dropout,0.05
69,2.868214622134413,0.0,1435.291,1404.6532702726422,1030.0460304609621,-374.6072398116801,405.2449695390378,dropout,0.05
70,2.8203862928822208,0.0,1435.291,1398.7355182205913,1030.0460304609621,-368.6894877596292,405.2449695390378,dropout,0.05
71,2.849902219557815,0.0,1435.291,1402.3837406155446,1030.0460304609621,-372.3377101545825,405.2449695390378,dropout,0.05
72,2.7810694538990672,0.0,1435.291,1394.144053618116,1030.0460304609621,-364.0980231571539,405.2449695390378,dropout,0.05
73,2.905194139094986,0.0,1435.291,1409.1217866443903,1030.0460304609621,-379.0757561834282,405.2449695390378,dropout,0.05
74,2.8643343168293542,0.0,1435.291,1404.1723684394947,1030.0460304609621,-374.12633797853255,405.2449695390378,dropout,0.05
75,2.9767310648135212,0.0,1435.291,1417.288260559203,1030.0460304609621,-387.24223009824095,405.2449695390378,dropout,0.05
76,2.8016444975384824,0.0,1435.291,1396.546830316549,1030.0460304609621,-366.5007998555868,405.2449695390378,dropout,0.05
77,2.925265477188498,0.0,1435.291,1411.446033502421,1030.0460304609621,-381.40000304145883,405.2449695390378,dropout,0.05
78,2.8242872143919646,0.0,1435.291,1399.209170067118,1030.0460304609621,-369.16313960615594,405.2449695390378,dropout,0.05
79,2.874016868952244,0.0,1435.291,1405.3723660426149,1030.0460304609621,-375.32633558165276,405.2449695390378,dropout,0.05
80,2.824294615512009,0.0,1435.291,1399.2100873176732,1030.0460304609621,-369.1640568567111,405.2449695390378,dropout,0.05
81,2.790190808158995,0.0,1435.291,1395.2092556102966,1030.0460304609621,-365.1632251493345,405.2449695390378,dropout,0.05
82,2.8170992548194764,0.0,1435.291,1398.3516542248478,1030.0460304609621,-368.3056237638857,405.2449695390378,dropout,0.05
83,2.920735207778438,0.0,1435.291,1410.9323310761406,1030.0460304609621,-380.88630061517847,405.2449695390378,dropout,0.05
84,2.810262167625598,0.0,1435.291,1397.5532115054782,1030.0460304609621,-367.5071810445161,405.2449695390378,dropout,0.05
85,2.8092102351330803,0.0,1435.291,1397.4303656478633,1030.0460304609621,-367.3843351869011,405.2449695390378,dropout,0.05
86,2.8459112789163177,0.0,1435.291,1401.8891273004588,1030.0460304609621,-371.84309683949664,405.2449695390378,dropout,0.05
87,2.882120846901663,0.0,1435.291,1406.3767246034174,1030.0460304609621,-376.3306941424553,405.2449695390378,dropout,0.05
88,2.8181522673147175,0.0,1435.291,1398.4746262063932,1030.0460304609621,-368.42859574543104,405.2449695390378,dropout,0.05
89,2.8508198746543245,0.0,1435.291,1402.4974693001236,1030.0460304609621,-372.4514388391615,405.2449695390378,dropout,0.05
90,2.868892119030133,0.0,1435.291,1404.7372351860934,1030.0460304609621,-374.69120472513123,405.2449695390378,dropout,0.05
91,2.6828373840372186,0.0,1435.291,1381.6070340636377,1030.0460304609621,-351.56100360267556,405.2449695390378,dropout,0.05
92,2.8765652654747482,0.0,1435.291,1405.6881990668003,1030.0460304609621,-375.64216860583815,405.2449695390378,dropout,0.05
93,2.9612807871670492,0.0,1435.291,1415.5323558535697,1030.0460304609621,-385.48632539260757,405.2449695390378,dropout,0.05
94,2.8552156343759303,0.0,1435.291,1403.042253470957,1030.0460304609621,-372.99622300999476,405.2449695390378,dropout,0.05
95,2.931128461634673,0.0,1435.291,1412.1108569516746,1030.0460304609621,-382.06482649071245,405.2449695390378,dropout,0.05
96,2.985544275842726,0.0,1435.291,1418.2898709555998,1030.0460304609621,-388.24384049463765,405.2449695390378,dropout,0.05
97,2.839709472145188,0.0,1435.291,1401.120512459463,1030.0460304609621,-371.0744819985009,405.2449695390378,dropout,0.05
98,2.930835333419671,0.0,1435.291,1412.077618161301,1030.0460304609621,-382.03158770033883,405.2449695390378,dropout,0.05
99,2.8770539263288155,0.0,1435.291,1405.7487607705925,1030.0460304609621,-375.7027303096304,405.2449695390378,dropout,0.05
100,2.887741957454396,0.0,1435.291,1407.0670808922207,1030.0460304609621,-377.0210504312586,405.2449695390378,dropout,0.05
101,2.9052504858702646,0.0,1435.291,1409.128420545278,1030.0460304609621,-379.0823900843159,405.2449695390378,dropout,0.05
102,2.858248784397234,0.0,1435.291,1403.4181639446906,1030.0460304609621,-373.3721334837285,405.2449695390378,dropout,0.05
103,2.7680977672620544,0.0,1435.291,1392.5468300473472,1030.0460304609621,-362.500799586385,405.2449695390378,dropout,0.05
104,2.8178377075903893,0.0,1435.291,1398.4378915685902,1030.0460304609621,-368.3918611076281,405.2449695390378,dropout,0.05
105,2.8835983416386095,0.0,1435.291,1406.559836464883,1030.0460304609621,-376.51380600392076,405.2449695390378,dropout,0.05
106,2.816978102426379,0.0,1435.291,1398.3375059123487,1030.0460304609621,-368.29147545138653,405.2449695390378,dropout,0.05
107,2.804011959472599,0.0,1435.291,1396.8233051794664,1030.0460304609621,-366.77727471850426,405.2449695390378,dropout,0.05
108,2.835770003205729,0.0,1435.291,1400.632278239299,1030.0460304609621,-370.5862477783369,405.2449695390378,dropout,0.05
109,2.909581794123923,0.0,1435.291,1409.6383604580346,1030.0460304609621,-379.5923299970725,405.2449695390378,dropout,0.05
