window_start,window_end,mean,standard_deviation,rms,maximum_error,slope,skewness,kurtosis,autocorrelation_lag1,dominant_frequency_energy,wavelet_detail_energy,dropout_ratio,spike_count
0,30,-0.6942978109146225,1.0556228724275671,1.2634829239182714,2.7990374736741614,-0.034971304035457826,-0.05040769837887151,2.1680848814855977,0.0015913883378003597,80.87175557314808,15.542247572148087,0.0,0
10,40,-0.9144089002502294,1.2158916889195528,1.5213599955436174,2.968438244187155,-0.035385636478157664,0.04930260642412902,2.147774027188503,-0.0953376364904865,86.46387140497148,27.763498123010447,0.0,0
20,50,-1.1161234692585746,1.1825283602360064,1.6260703925083484,2.968438244187155,0.005314660441189061,0.33695504174252394,2.3731041700945954,-0.13115268259637475,138.0116610517772,22.23825591653644,0.0,0
30,60,-1.3531090509024808,1.2682700862042933,1.8545654788102948,3.0359152490621,-0.03204570873796704,0.5129167007581698,2.3065883133577083,-0.052805908748013095,159.66410132524544,22.908530343564188,0.0,0
40,70,-1.5591801414497999,1.2020596180079293,1.9687534225333518,4.4889640728879385,-0.029572427735957228,-0.06268828501127749,2.5711867114745792,0.19692144831607292,129.579803990609,15.353901751963011,0.0,1
50,80,-1.7224043687119093,1.2350187462947577,2.119421645887704,4.4889640728879385,0.03433952098128297,0.20545146349039425,2.8470633557627445,-0.1435441632017649,184.9647450777937,27.158492967930233,0.0,1
60,90,-1.8529763343874188,1.2501826936115747,2.235280309761111,4.4889640728879385,-0.008044259901610966,0.37675390761441124,2.905643161711298,-0.10461863031021083,199.57993009414628,25.110327406402565,0.0,1
70,100,-1.7053218313977596,1.5754953331280293,2.32170370490078,6.34994786894822,0.022739132817384138,-0.26319429963354274,3.975407232916393,-0.11330801005519396,197.09186489946285,41.88990314005727,0.0,1
80,110,-1.964833840948313,1.5056073362892402,2.475363705321641,6.34994786894822,0.01014430443361571,-0.3128964150746446,4.030059366617089,0.08374486151386178,183.3192840567989,33.333884335961244,0.0,1
90,120,-1.9804393126599886,1.6049621304699226,2.5491259897015133,6.34994786894822,-0.03944756830583743,-0.6992249839607251,4.14572210425971,0.014923752692234742,222.4985398475029,40.107361526677586,0.0,2
100,130,-2.264856812171676,1.170358342564202,2.5493754195194698,5.8348735750860214,-0.0074329114255442955,-0.7766114584176715,3.9216705280851802,-0.058206894070059745,122.93440013429316,20.91209161056587,0.0,1
110,140,-2.857496914738969,1.63092998271414,3.290170394714941,6.5246280616474905,-0.0756220122830604,-0.8671501679963457,2.923878229174712,0.08473739631618026,296.71099394202474,35.169664649245405,0.0,2
120,150,-2.9755287279857083,1.5879489394183066,3.3727367293146338,6.5246280616474905,-0.025209445833711045,-0.5626393367887487,2.981959605930235,0.16309694440045525,231.91980729855263,29.35113876200929,0.0,1
130,160,-3.1116989054315733,1.6560945662837379,3.524956636689106,6.5246280616474905,0.05866670121832192,-0.5580808286550977,2.5205448192952575,0.09566294587642138,225.9047229081475,35.79542398470829,0.0,0
140,170,-2.83033588924327,1.4527469024814836,3.1813951041340394,6.076149192113462,-0.02919742949967462,-0.3898907027493404,2.923975711117485,0.021566257255946953,220.09587240214032,33.78342465074545,0.0,2
150,180,-2.927524040084836,1.4325003357341384,3.2592106739443927,6.076149192113462,-0.02239486721465,-0.2731720484166425,2.5537792638240404,0.02964273938970539,292.938689395126,35.974491315079156,0.0,2
160,190,-3.1607794641547042,1.3690174494961087,3.4445225500854146,6.076149192113462,-0.008452027023045866,-0.11193590329359973,2.588651761019092,-0.109885132366678,147.3172990238908,39.364478983440144,0.0,1
170,200,-2.9977462647654267,1.281206159329418,3.2600570379394753,5.776991021920367,-0.0003712646445371649,-0.1843645935214449,2.260047931906819,0.09744313636194765,127.40875377964272,25.937505233296697,0.0,1
180,210,-3.1681462964116918,1.3439594361152443,3.4414209160447555,5.776991021920367,-0.018751782752718216,-0.23113693451805692,2.1338424689686444,-0.06026431581489209,161.06135681068648,27.992142908980984,0.0,0
190,220,-3.172701941031945,1.226935394161055,3.4016772433717186,5.451290586461937,-0.03284289146601078,0.23436817423478373,2.351933984626116,-0.14253682171475632,153.63254274866645,21.51624931318545,0.0,0
