sample_index,healthy_sensor,faulty_sensor,healthy_ground_truth,healthy_prediction,faulty_prediction,residual,prediction_error,fault_type,severity
0,21.272990100500028,21.44376376,1435.291,1402.6911071604388,1402.1303922691072,-0.5607148913315996,33.16060773089271,exp_drift,0.05
1,21.22319440852711,21.454452561435783,1435.291,1402.854605360894,1402.0952968676672,-0.7593084932268539,33.19570313233271,exp_drift,0.05
2,21.304430332856672,21.465034804641014,1435.291,1402.5878769168469,1402.0605513374358,-0.5273255794111265,33.230448662564186,exp_drift,0.05
3,21.86667013684852,21.475511551910337,1435.291,1400.7418297482097,1402.0261521904956,1.2843224422858839,33.26484780950432,exp_drift,0.05
4,20.982300902979578,21.485883854948217,1435.291,1403.6662859909588,1401.9920959737012,-1.6741900172576152,33.298904026298715,exp_drift,0.05
5,20.965072898018906,21.49615275497453,1435.291,1403.7305962713551,1401.9583792683309,-1.7722170030242523,33.33262073166907,exp_drift,0.05
6,21.705767577998287,21.506319282829082,1435.291,1401.270134060859,1401.9249986897457,0.6548646288867985,33.366001310254205,exp_drift,0.05
7,21.711221236465914,21.516384459075077,1435.291,1401.252227625382,1401.891950887049,0.6397232616670863,33.399049112950934,exp_drift,0.05
8,21.09937710416923,21.52634929410158,1435.291,1403.2611446747514,1401.859232542748,-1.4019121320034174,33.43176745725191,exp_drift,0.05
9,21.251539892928538,21.536214788224935,1435.291,1402.7615363521697,1401.8268403724244,-0.9346959797453565,33.464159627575555,exp_drift,0.05
10,21.721841506014396,21.54598193178919,1435.291,1401.2173572401994,1401.794771124402,0.5774138842025422,33.496228875598035,exp_drift,0.05
11,21.54743995810429,21.555651705265507,1435.291,1401.7899838693343,1401.76302157942,-0.026962289914308712,33.527978420579984,exp_drift,0.05
12,21.16379439461293,21.565225079350583,1435.291,1403.0496382040415,1401.731588550313,-1.3180496537283943,33.55941144968688,exp_drift,0.05
13,21.886691505999035,21.574703015064102,1435.291,1400.6760919765861,1401.7004688816874,1.024376905101235,33.59053111831258,exp_drift,0.05
14,21.11660010723278,21.584086463845203,1435.291,1403.2045950035695,1401.6696594496061,-1.5349355539633507,33.621340550393825,exp_drift,0.05
15,21.70982148204184,21.593376367647977,1435.291,1401.2568235516628,1401.6391571612758,0.3823336096129424,33.65184283872418,exp_drift,0.05
16,21.75568849849938,21.60257365903605,1435.291,1401.1062246875053,1401.608958954736,0.5027342672306077,33.682041045263986,exp_drift,0.05
17,21.490547204798478,21.61167926127618,1435.291,1401.9767844220708,1401.5790617985494,-0.39772262352130383,33.711938201450494,exp_drift,0.05
18,21.50143387716826,21.620694088430938,1435.291,1401.9410393350786,1401.5494626915017,-0.3915766435768546,33.74153730849821,exp_drift,0.05
19,20.8075049133618,21.62961904545048,1435.291,1404.3191961359712,1401.520158662297,-2.7990374736741614,33.770841337702905,exp_drift,0.05
20,21.226354567751883,21.638455028263373,1435.291,1402.844229355944,1401.4911467692614,-1.3530825866826035,33.79985323073856,exp_drift,0.05
