sample_index,healthy_sensor,faulty_sensor,healthy_ground_truth,healthy_prediction,faulty_prediction,residual,prediction_error,fault_type,severity
0,21.272990100500028,21.770477813594553,1435.291,1402.6911071604388,1401.0576657397687,-1.633441420670124,34.23333426023123,gaussian,0.05
1,21.22319440852711,20.328705085581202,1435.291,1402.854605360894,1405.9733616202352,3.1187562593411258,29.31763837976473,gaussian,0.05
2,21.304430332856672,22.248388667814158,1435.291,1402.5878769168469,1399.4885025943827,-3.0993743224642003,35.80249740561726,gaussian,0.05
3,21.86667013684852,22.452226138964228,1435.291,1400.7418297482097,1398.7336243799577,-2.0082053682519927,36.557375620042194,gaussian,0.05
4,20.982300902979578,19.351886876353007,1435.291,1403.6662859909588,1409.046453936157,5.380167945198082,26.244546063843018,gaussian,0.05
5,20.965072898018906,20.047582274086558,1435.291,1403.7305962713551,1406.857780382778,3.127184111422821,28.433219617221994,gaussian,0.05
6,21.705767577998287,21.580832730225122,1435.291,1401.270134060859,1401.680342694894,0.4102086340351434,33.61065730510586,gaussian,0.05
7,21.711221236465914,21.10469218794671,1435.291,1401.252227625382,1403.2436932326996,1.9914656073176502,32.04730676730037,gaussian,0.05
8,21.09937710416923,21.425749757379172,1435.291,1403.2611446747514,1402.189539092754,-1.0716055819973462,33.10146090724584,gaussian,0.05
9,21.251539892928538,20.52914013701048,1435.291,1402.7615363521697,1405.3427883870897,2.5812520349199986,29.9482116129102,gaussian,0.05
10,21.721841506014396,22.386643881199046,1435.291,1401.2173572401994,1399.000414703972,-2.216942536227407,36.290585296027984,gaussian,0.05
11,21.54743995810429,22.277703085888575,1435.291,1401.7899838693343,1399.3895159496954,-2.4004679196389134,35.90148405030459,gaussian,0.05
12,21.16379439461293,21.514561093970535,1435.291,1403.0496382040415,1401.8979376883474,-1.151700515694074,33.39306231165256,gaussian,0.05
13,21.886691505999035,22.652378467137986,1435.291,1400.6760919765861,1397.8334245369265,-2.8426674396596354,37.457575463073454,gaussian,0.05
14,21.11660010723278,21.945021754542292,1435.291,1403.2045950035695,1400.4845715801207,-2.7200234234487652,34.80642841987924,gaussian,0.05
15,21.70982148204184,20.522440531259164,1435.291,1401.2568235516628,1405.3638654992478,4.107041947585003,29.927134500752118,gaussian,0.05
16,21.75568849849938,21.839133995008993,1435.291,1401.1062246875053,1400.8322413774063,-0.2739833100990836,34.45875862259368,gaussian,0.05
17,21.490547204798478,20.41566116171243,1435.291,1401.9767844220708,1405.6997958258462,3.7230114037754447,29.591204174153745,gaussian,0.05
18,21.50143387716826,22.3856277968067,1435.291,1401.9410393350786,1399.004404060052,-2.936635275026674,36.28659593994803,gaussian,0.05
19,20.8075049133618,21.3902337879654,1435.291,1404.3191961359712,1402.3061515316317,-2.013044604339484,32.98484846836823,gaussian,0.05
20,21.226354567751883,21.24555651740101,1435.291,1402.844229355944,1402.7811820502739,-0.06304730567012484,32.509817949726084,gaussian,0.05
21,21.486126156300543,20.71367914562987,1435.291,1401.991300406183,1404.6704645763507,2.6791641701677236,30.620535423649244,gaussian,0.05
22,21.534986723307387,22.754558142668003,1435.291,1401.8308725767397,1397.3738639177107,-4.457008659029043,37.91713608228929,gaussian,0.05
23,20.887016024177544,21.27807907462807,1435.291,1404.0219741444798,1402.674398122385,-1.3475760220949269,32.61660187761504,gaussian,0.05
24,21.208591615320685,20.98451572848495,1435.291,1402.9025518863118,1403.6580182867408,0.7554664004289862,31.63298171325914,gaussian,0.05
25,21.02091441354337,21.06621032656802,1435.291,1403.5221459296386,1403.3700438232088,-0.15210210642976563,31.92095617679115,gaussian,0.05
26,21.160807516860856,22.0144993811142,1435.291,1403.0594452599958,1400.2564501008053,-2.802995159190459,35.034549899194644,gaussian,0.05
27,21.694122191798723,21.835588569185877,1435.291,1401.3083702939912,1400.8438823591653,-0.464487934825911,34.447117640834676,gaussian,0.05
28,21.248196081415934,21.88629079095561,1435.291,1402.772515357447,1400.6774076765173,-2.0951076809296865,34.613592323482635,gaussian,0.05
29,21.72853928852303,21.905684950567363,1435.291,1401.195365872195,1400.613729272418,-0.5816365997770845,34.67727072758203,gaussian,0.05
30,21.43459415450213,23.740013020511846,1435.291,1402.1604995723374,1392.7848546339515,-9.375644938385904,42.506145366048486,gaussian,0.05
31,21.518823568273284,21.00801038000659,1435.291,1401.883942363644,1403.5703152920746,1.686372928430501,31.72068470792533,gaussian,0.05
32,21.591786649150514,20.894543156500614,1435.291,1401.6443768118777,1403.9938761731019,2.3494993612241615,31.297123826898087,gaussian,0.05
33,20.962008657920165,20.571246253056092,1435.291,1403.7420347484394,1405.203710200049,1.461675451609608,30.087289799950895,gaussian,0.05
34,20.919679177157963,22.104209620936505,1435.291,1403.9000461248625,1399.961897255123,-3.938148869739507,35.32910274487699,gaussian,0.05
35,21.177352492205454,22.654234516834617,1435.291,1403.0051218117565,1397.825076816664,-5.18004499509243,37.46592318333592,gaussian,0.05
36,21.308943865595438,21.321590641849813,1435.291,1402.573057271788,1402.5315330941492,-0.041524177638848414,32.759466905850786,gaussian,0.05
37,22.27912925706864,20.542957909329083,1435.291,1399.3845639764982,1405.2993173609211,5.914753384422966,29.991682639078817,gaussian,0.05
38,20.897150715651605,20.559764739307973,1435.291,1403.9841424366343,1405.2464426913302,1.2623002546959015,30.04455730866971,gaussian,0.05
39,21.96988329711765,22.141321662303636,1435.291,1400.4029416778028,1399.8400443048308,-0.5628973729719746,35.450955695169114,gaussian,0.05
40,21.511352656546972,22.24067210304606,1435.291,1401.9084722089906,1399.513839012119,-2.3946331968716095,35.77716098788096,gaussian,0.05
