window_start,window_end,mean,standard_deviation,rms,maximum_error,slope,skewness,kurtosis,autocorrelation_lag1,dominant_frequency_energy,wavelet_detail_energy,dropout_ratio,spike_count
0,30,1.0548140467256872,12.093781188163087,12.139694234219293,30.278767485817752,0.33352675100098267,-0.7647584606503741,2.703183674639287,-0.059926409517668165,16470.998764201537,1557.2591672970498,0.0,1
10,40,3.3104430460827414,13.201175530642532,13.60992536908975,34.9980113144627,-0.16933366935523045,-0.12726392512601295,3.1242517922218602,0.01189204368851778,20467.51744065305,2380.3272758394323,0.0,2
20,50,3.2767486470418286,12.668811480765932,13.085712285965833,34.9980113144627,-0.009559897845189973,0.07558528957087376,3.3573710686021894,0.04772745237353614,15559.722268144043,1960.454971946147,0.0,2
30,60,2.1425630357437817,15.264644274682173,15.414277186904446,34.9980113144627,-0.0923318126313559,0.1625094127122394,2.329963534369051,-0.10217360090110664,30115.650285862535,3419.0397508456845,0.0,0
40,70,1.5258341688210293,14.157865466026271,14.239849875080884,28.04340030333401,-0.08869380056432401,-0.03259044863160192,2.110306027913183,-0.17066585732943776,19755.954210656495,2670.7248964327864,0.0,0
50,80,-1.5156630184405913,14.22848064666669,14.308979554742436,28.04340030333401,-0.14658120651277454,0.36516415193278445,2.3033243830426136,-0.12593052829053247,16846.192299205057,2662.326508232728,0.0,1
60,90,-1.9365617895960061,11.93773891598947,12.093795185600454,26.28376715994591,0.08406398573707241,0.14495855316090606,2.501778242215946,0.22301580590160933,9035.044180187762,1601.6560471510081,0.0,1
70,100,-6.888816212492566,14.498720415106717,16.05206162724691,40.14427617752244,-0.4306195529499687,-0.39609950177409786,2.7701316986308906,0.5170586399347169,24656.411964142524,1455.86168196437,0.0,1
80,110,-6.498238459735247,16.753312641250236,17.969434814012857,40.252810552557094,-0.30433483427345803,-0.3072450407214836,2.4967176041941155,0.2743003394847639,33779.10095038501,3560.8126110222647,0.0,1
90,120,-6.608530512382306,17.578390322815235,18.7795761899552,40.252810552557094,0.47081754598520964,-0.24744220885575893,2.3084792594127186,0.23291424918297451,42377.55172645742,3533.535699444304,0.0,0
100,130,-1.9725370569943077,15.566391685956496,15.69087163167908,40.252810552557094,0.1091597519908371,-0.0775865785122519,2.8857328658125336,-0.09785309334933523,23950.644587357892,4401.8271507069985,0.0,1
110,140,2.529496804904276,18.109223545951664,18.285030257652597,38.91627240827893,0.6558029019593448,0.16629363543019376,2.28865533556889,0.2573515823962741,42565.29632993444,3506.9005786329885,0.0,0
120,150,0.8328561826673194,19.878478848152707,19.89591844418,53.94369570740946,0.00880851899283234,-0.27993256850330567,3.3641031561818453,0.2239540210907246,44070.76162912017,4939.844350046742,0.0,1
130,160,-0.6984954828495271,20.781547191024053,20.79328255933442,53.94369570740946,-0.3044191237975576,-0.17262113649175495,2.993237027662065,0.2693872929939444,60585.612144257975,4968.492743046784,0.0,1
140,170,-3.028207723783756,19.326745787232106,19.56254443426717,53.94369570740946,0.5633251726283602,0.18020625688347744,4.267132647443285,-0.11415929561988077,42103.81308936235,7076.4915359838615,0.0,2
150,180,-1.6023253221081784,18.60918146561024,18.67803740380345,49.66483583172021,0.3195096769132415,0.7662860327382031,3.259333041934181,-0.0855684040620044,47282.94405290061,6112.720810036727,0.0,1
160,190,2.4292703686129093,19.738548062771205,19.887474302941275,49.66483583172021,0.24926283981942113,0.46874883515806237,2.4619287054025296,-0.20131028037595844,39340.10480712566,8510.749642377763,0.0,1
170,200,1.3806996053595033,18.539947002573804,18.591287374963716,38.377165306008465,0.051312725164358156,0.3562958975652735,2.131260289832213,0.14550850986520306,27243.213468868533,6147.267570495663,0.0,0
180,210,0.7282695981224909,19.689058053226088,19.702522265711476,47.7391496675325,-0.6653726269063513,-0.14731889790765557,2.8650234240036405,0.03810830305443638,33774.694015557245,6722.092034252389,0.0,1
190,220,-0.859439019605702,17.683969516677582,17.704841521324127,47.7391496675325,-0.019004073776301172,-0.36064990268705366,3.2182245991429754,-0.07692104667795935,15844.418427080553,4422.9528838810365,0.0,1
200,230,0.8708010585605356,18.64804546975776,18.66836613969587,47.7391496675325,0.3398203656876548,-0.15546117140861157,3.548698653501318,0.0049814940810955785,32610.84544640073,3784.7680815806343,0.0,2
210,240,-1.413322144734252,19.788543943275616,19.8389503472272,45.40513995079846,-0.5312564461460347,0.3371425490280647,2.5541667569321005,0.14164003230582803,34857.54770343847,3047.9943842532757,0.0,1
220,250,-2.410258934192128,24.385214465025282,24.504041149066236,50.15231759505377,-0.11942001099944273,0.6695292843741778,2.580824305199599,-0.00478642281182012,45119.30372726409,7384.7821619242995,0.0,2
230,260,-3.973031123494881,22.254019069959234,22.605891733669086,50.15231759505377,0.5068112292307001,0.6925444094952469,3.0355956246928035,-0.07174489097482467,61908.53450838909,7735.259909149271,0.0,2
240,270,0.3300980737020988,19.31297003919451,19.315790858079996,50.15231759505377,0.20495746316145969,0.6315508328861485,3.6457884327652796,-0.23763164227119987,46815.5144817006,7356.904212113077,0.0,2
250,280,2.488752705317021,13.748078750930302,13.97152673726118,38.23911623724666,0.25215504413657297,0.4060537830592843,2.8010950805189543,-0.10585166161158362,11256.455807848777,3521.1013131480495,0.0,1
260,290,0.19844280743379084,14.775713612099288,14.77704612886481,38.23911623724666,-0.37836444140383235,0.392452263096063,2.899543768950991,-0.014638481718109046,10790.480312214657,3514.1069959506726,0.0,2
270,300,-1.0201149312866997,18.890049913410632,18.917574374220898,53.86439812983963,-0.27299687367278397,-0.5068527799591074,3.555268126995512,-0.13529651786574892,41418.63067328435,7773.809936078082,0.0,2
