window_start,window_end,mean,standard_deviation,rms,maximum_error,slope,skewness,kurtosis,autocorrelation_lag1,dominant_frequency_energy,wavelet_detail_energy,dropout_ratio,spike_count
0,30,1.0626531122486766,4.925907652430816,5.039225916472515,10.18129813210885,0.01985206522641804,-0.017695862778160893,1.7996214673824769,-0.10474302582888487,1854.2119356817025,371.3910448498185,0.0,0
10,40,0.7066948501107314,5.66152293365451,5.7054587492566275,13.119963087299766,0.038416633395513385,-0.27432722814036886,2.4804902496640384,-0.17834917136721645,1878.2095316689408,651.1276324078198,0.0,1
20,50,0.4318684310277831,5.850593453667401,5.866511237679022,13.119963087299766,-0.1464659260109931,-0.47676530992441285,2.414764412969973,-0.06774785706458954,3489.2494343562753,522.6913966174766,0.0,1
30,60,0.4265913223337217,6.006016489511577,6.021147251859516,13.119963087299766,0.047578824126320196,-0.4867644732923551,2.1955707186566413,-0.08827965911841235,3580.7586773316166,540.3421449610487,0.0,1
40,70,0.3605738055137711,5.695841472710717,5.707243078008337,13.01711985531233,0.04009510867638109,0.0341426741163002,2.080491084774802,0.15792288242454544,3109.179652966475,360.4551121438913,0.0,1
50,80,0.22137589648400535,6.167254620142008,6.171226526162124,15.157868290095848,-0.2543252418343115,-0.27864755472140706,2.6308343640716365,-0.07458339105022156,4523.08732298618,633.3408760186578,0.0,2
60,90,0.013115587426076067,6.016190298438977,6.0162045947311995,15.157868290095848,-0.036984427068194846,-0.3300916049974185,2.8638115438853267,-0.11096986060867657,4759.890342121854,584.9610292159318,0.0,2
70,100,-1.4129303228402477,7.644188425245926,7.773672798482404,20.52335820546955,-0.18071621775462232,0.2550128963317543,3.6534653805624275,-0.09524011253738549,4736.678720778089,964.6256770464747,0.0,1
80,110,-0.8852484970440931,7.292629152844519,7.346162594337031,20.52335820546955,-0.11828744587811646,0.3653211790845362,3.908923526693777,0.08989240104238282,4092.520911560695,765.7074030513755,0.0,2
90,120,-1.4880837011679735,7.574319983088666,7.719113699635344,20.52335820546955,0.12304589661834771,0.8575392386545797,4.306982795496778,-0.010200823147491066,4998.353597674137,912.4552239793569,0.0,2
100,130,-0.708220599664575,5.641073108319599,5.685356825318512,15.868156592996911,-0.015066489700861328,0.6781911676544788,3.634239749736104,-0.0491142179737052,2950.7117725482262,484.43256128871707,0.0,1
110,140,1.5882185660201913,7.593832581331146,7.758139692396475,18.832068339579564,0.3118558956906568,0.8102269210176549,2.8891670852447073,0.05535487487347068,5767.314260222259,784.1842637254691,0.0,1
120,150,1.709393267671506,7.492505223014909,7.685028292756401,18.832068339579564,0.07570723931135044,0.5331094936572459,2.977001202514041,0.16481594170296757,4923.528645288182,647.5116723377599,0.0,1
130,160,1.8877425404996682,7.955503101959221,8.1764051700301,18.832068339579564,-0.3224617316563607,0.5313485071309072,2.5294545996771807,0.13590253623905066,5614.389549597263,782.8567893921664,0.0,0
140,170,0.1749935718592724,6.847000239974026,6.849236091448187,15.004720149055174,0.1012609105109915,0.32779150673899105,2.8130421909384253,0.01557637378723026,5206.270434732299,750.7406366235087,0.0,2
150,180,0.2921314621013456,6.806010726330357,6.812277357688348,15.004720149055174,0.07878448999884832,0.2374373093237934,2.5029259073888683,0.024606234608417484,6412.786360255467,813.8294131323336,0.0,2
160,190,1.0959700693525747,6.534557672716698,6.625827825334534,15.004720149055174,0.007934197496501308,0.058302800210169876,2.453356961022644,-0.10576284578072123,3318.174369749254,895.3876839059285,0.0,1
170,200,0.01733557993385754,6.168278175060409,6.16830253532187,12.933906702680133,-0.028616334890744756,0.11941174119886973,2.1200518095171135,0.09516957512780766,2746.250606528043,600.268475413753,0.0,1
180,210,0.5323492994603308,6.405174172296615,6.427258509978538,12.933906702680133,0.06318854811736253,0.16248346943443578,2.082618259989674,-0.06900005944054571,3580.8852536346476,638.1247298345862,0.0,0
190,220,0.3443983157057043,5.865155383818912,5.875258111453564,11.328469018099668,0.13556770604907492,-0.27237479400709697,2.317989824558697,-0.1638029103740316,3638.1643699929637,499.80732426438516,0.0,0
200,230,1.0213463819025492,5.735227239354148,5.825459631553137,11.328469018099668,-0.03181551963033677,-0.49872108329290016,2.6057362848276946,-0.38565926547548696,3758.213932389186,710.8812336332982,0.0,1
210,240,0.45462670085204687,6.350689722548409,6.3669416040364,13.062854752654403,-0.030671316012172125,-0.4359597928973369,2.4524572623859955,-0.09054002133116248,5280.929871410491,518.9426257755746,0.0,1
220,250,0.8913496324811149,7.221523344489438,7.276324867838855,15.480653254448498,0.0680725487065532,-0.06671227599610012,2.170851058133146,-0.34125197683258857,7754.714733168259,847.1775141057536,0.0,1
230,260,0.9046311584194352,7.7085899431883655,7.7614893187459915,15.480653254448498,0.02937524082515968,-0.10405307264201524,2.165393376032948,-0.13218140980405904,9873.062214722151,796.5595909278021,0.0,0
240,270,0.9189852098222976,7.242176758572288,7.3002505448975334,15.480653254448498,-0.11187149522956778,-0.13545805300807334,2.304072687080039,-0.3188511318011592,5484.378466079364,1053.2921503993211,0.0,1
250,280,0.36011260879824175,7.1938155117388405,7.202823245641243,13.731311542147068,0.03981026010481508,-0.1754499412632164,2.0705394708738125,-0.0018442992735157647,3793.0094541514572,727.2863130121796,0.0,0
260,290,-1.14369934408741,7.016748148672526,7.109346156403223,15.841173707359076,-0.18931597211649212,-0.01589728952283147,2.167752156426156,-0.06810153181461458,6214.877093441422,663.2502749169507,0.0,2
270,300,0.28798269711231417,7.559974076857383,7.565457162431873,15.841173707359076,0.23245556005605025,0.07852912892494898,2.3674686938607032,0.003422754897030467,5844.823757231602,702.5799083200219,0.0,1
