window_start,window_end,mean,standard_deviation,rms,maximum_error,slope,skewness,kurtosis,autocorrelation_lag1,dominant_frequency_energy,wavelet_detail_energy,dropout_ratio,spike_count
0,30,-0.4004578754222697,1.0218659319775671,1.097532000865624,2.4125083234994236,-0.01617429218055613,-0.04125151729262981,1.9826958774314591,-0.07397438768485554,75.75948252863203,15.615672196416657,0.0,0
10,40,-0.4469764842508842,1.1859739396307067,1.2674076546070172,2.4125083234994236,-0.01950313596871942,0.14964858184281848,2.344082987865034,-0.15427633763901025,82.2283427667477,27.862189214421633,0.0,1
20,50,-0.5028729791875776,1.193627152190313,1.295232416071705,2.3101932981085156,0.01856050756398533,0.4171554120571384,2.4416388578681,-0.10720807276246179,142.73287281355596,22.377869412828552,0.0,1
30,60,-0.6191669913808558,1.2519160028916467,1.396660818349186,2.3101932981085156,-0.021185146919385667,0.5077191398685351,2.2913350894814917,-0.07576347350641607,156.17721344662547,23.00414019693796,0.0,1
40,70,-0.7272775557470974,1.1854763159955242,1.39078637427888,3.5760981006196744,-0.02086974757573171,-0.08094738542868299,2.4380668540474577,0.17496502821759868,129.94732063686337,15.3792512629011,0.0,2
50,80,-0.8131052125361218,1.2504549449419151,1.4915688572717987,3.5760981006196744,0.04109004336682172,0.23487400057992586,2.8446094278120815,-0.11903721095513092,186.30342335679157,27.184976750386614,0.0,2
60,90,-0.8848840774229151,1.249971168088484,1.5314854721900215,3.5760981006196744,-0.0030597843066981923,0.3658763125786028,2.971072607414309,-0.10675266319867223,201.708728715568,25.174263301036056,0.0,2
70,100,-0.6952663622716955,1.5782802299747087,1.724634395701169,5.315549700290376,0.02612592952224087,-0.2487381780560577,3.9148882012062134,-0.11024020573042041,198.45710332631643,41.942466865011205,0.0,1
80,110,-0.9280405534182212,1.5079664945162141,1.7706558720915586,5.315549700290376,0.012085738620747006,-0.30812724078204495,4.015158246921274,0.08604444398571535,182.56855590666945,33.33243503185989,0.0,2
90,120,-0.9306820717946266,1.6041989632743618,1.8546221805344814,5.315549700290376,-0.03881370150327599,-0.7087729855482751,4.165873047188063,0.01407172279122991,222.96698695802039,40.10016556375817,0.0,3
100,130,-1.2145963373423987,1.1707457162822281,1.686976524696997,4.782188609138302,-0.007981953716179149,-0.7747210242249118,3.9070830348839936,-0.057813964397569355,122.8177253071301,20.919714902759864,0.0,1
110,140,-1.818005969725497,1.636787344857591,2.4462662402615765,5.491868998515656,-0.07724118980289466,-0.865248448692843,2.9194002100378986,0.09175531848303707,305.153904015637,35.17964980154425,0.0,2
120,150,-1.9567886944667179,1.5901541870943954,2.5214306124751085,5.491868998515656,-0.027758512844442043,-0.5532978001857568,2.967060049606109,0.16529688656966895,236.8655041393699,29.37723584718723,0.0,1
130,160,-2.1216031718262456,1.6484741069210063,2.686757692813439,5.491868998515656,0.05543551334632716,-0.5552103073109538,2.513074302419704,0.08725434454980016,220.2174842723646,35.839833226254704,0.0,0
140,170,-1.8758617423504877,1.4585858077895313,2.3762007143966706,5.149862516203257,-0.03305279597385692,-0.38960715182767885,2.9225427961171078,0.028634838004423294,216.80188257039413,33.7945598752029,0.0,2
150,180,-2.015200261323821,1.4381238126830058,2.4757286187798337,5.149862516203257,-0.02697589545995441,-0.2526373149497437,2.502251792051865,0.038428211151729785,304.3520958291823,35.97954896801769,0.0,2
160,190,-2.297648814699263,1.3729063312561114,2.676576520500029,5.149862516203257,-0.013718796939048771,-0.09750345893136446,2.612745175675182,-0.10529740026468291,149.1271219773649,39.3629088472563,0.0,1
170,200,-2.190025881679223,1.2818391404858709,2.5375825000394396,4.958597548305079,-0.006202364446330435,-0.18105206084085168,2.281301960361046,0.09645097056006259,132.20565536096373,25.947716268546582,0.0,1
180,210,-2.419804874794234,1.3513819833099134,2.771585989445858,4.958597548305079,-0.024861646533623664,-0.2354753561399702,2.112288152627418,-0.051035084703292,165.63124737723172,27.972198844038445,0.0,0
