sample_index,healthy_sensor,faulty_sensor,healthy_ground_truth,healthy_prediction,faulty_prediction,residual,prediction_error,fault_type,severity
0,21.272990100500028,21.44376376,1435.291,1402.6911071604388,1402.1303922691072,-0.5607148913315996,33.16060773089271,oscillation,0.05
1,21.22319440852711,21.556211395629727,1435.291,1402.854605360894,1401.761183903032,-1.0934214578621777,33.529816096968034,oscillation,0.05
2,21.304430332856672,21.66741878444557,1435.291,1402.5878769168469,1401.3960477390726,-1.1918291777742525,33.89495226092731,oscillation,0.05
3,21.86667013684852,21.77615935899783,1435.291,1400.7418297482097,1401.039011064787,0.2971813165772801,34.25198893521292,oscillation,0.05
4,20.982300902979578,21.881233759687944,1435.291,1403.6662859909588,1400.6940118340085,-2.972274156950334,34.596988165991434,oscillation,0.05
5,20.965072898018906,21.981483063165086,1435.291,1403.7305962713551,1400.3648552329857,-3.3657410383693787,34.92614476701419,oscillation,0.05
6,21.705767577998287,22.075801564729147,1435.291,1401.270134060859,1400.0551717108906,-1.2149623499683457,35.23582828910935,oscillation,0.05
7,21.711221236465914,22.16314897375597,1435.291,1401.252227625382,1399.768376937598,-1.4838506877838427,35.52262306240186,oscillation,0.05
8,21.09937710416923,22.24256188763472,1435.291,1403.2611446747514,1399.5076341303861,-3.7535105443653265,35.78336586961382,oscillation,0.05
9,21.251539892928538,22.31316441766515,1435.291,1402.7615363521697,1399.2663865757845,-3.495149776385233,36.02461342421543,oscillation,0.05
10,21.721841506014396,22.374177849715718,1435.291,1401.2173572401994,1399.0493589047346,-2.1679983354647447,36.24164109526532,oscillation,0.05
11,21.54743995810429,22.42492923309003,1435.291,1401.7899838693343,1398.8500985466826,-2.939885322651662,36.44090145331734,oscillation,0.05
12,21.16379439461293,22.464858802870157,1435.291,1403.0496382040415,1398.6768080432757,-4.372830160765716,36.6141919567242,oscillation,0.05
13,21.886691505999035,22.49352615387174,1435.291,1400.6760919765861,1398.5478745199578,-2.128217456628363,36.74312548004218,oscillation,0.05
14,21.11660010723278,22.510615098114997,1435.291,1403.2045950035695,1398.4710157341233,-4.733579269446182,36.819984265876656,oscillation,0.05
15,21.70982148204184,22.5159371522358,1435.291,1401.2568235516628,1398.4470794035904,-2.8097441480724683,36.84392059640959,oscillation,0.05
16,21.75568849849938,22.509433616372398,1435.291,1401.1062246875053,1398.4763295353114,-2.629895152193967,36.81467046468856,oscillation,0.05
17,21.490547204798478,22.491176221598444,1435.291,1401.9767844220708,1398.5584435134983,-3.418340908572418,36.73255648650161,oscillation,0.05
18,21.50143387716826,22.46136633876154,1435.291,1401.9410393350786,1398.6925156579266,-3.2485236771519794,36.598484342073334,oscillation,0.05
19,20.8075049133618,22.420332757453433,1435.291,1404.3191961359712,1398.8681452543824,-5.451050881588799,36.42285474561754,oscillation,0.05
20,21.226354567751883,22.36852805960876,1435.291,1402.844229355944,1399.0715411414496,-3.7726882144943374,36.2194588585503,oscillation,0.05
21,21.486126156300543,22.306523627730027,1435.291,1401.991300406183,1399.2894448272946,-2.7018555788883987,36.001555172705366,oscillation,0.05
22,21.534986723307387,22.23500334279572,1435.291,1401.8308725767397,1399.5324517085796,-2.298420868160065,35.75854829142031,oscillation,0.05
23,20.887016024177544,22.15475604136094,1435.291,1404.0219741444798,1399.7959341275628,-4.226040016917068,35.49506587243718,oscillation,0.05
24,21.208591615320685,22.066666815045167,1435.291,1402.9025518863118,1400.085164569223,-2.8173873170887873,35.205835430776915,oscillation,0.05
25,21.02091441354337,21.971707248370066,1435.291,1403.5221459296386,1400.3969529519577,-3.125192977680854,34.89404704804224,oscillation,0.05
26,21.160807516860856,21.870924702619465,1435.291,1403.0594452599958,1400.727860390225,-2.3315848697707224,34.56313960977491,oscillation,0.05
27,21.694122191798723,21.765430763915763,1435.291,1401.3083702939912,1401.0742371239064,-0.23413317008476042,34.216762876093526,oscillation,0.05
28,21.248196081415934,21.656388982925257,1435.291,1402.772515357447,1401.4322627735164,-1.3402525839305781,33.85873722648353,oscillation,0.05
29,21.72853928852303,21.54500204141797,1435.291,1401.195365872195,1401.797988477269,0.6026226050739751,33.49301152273097,oscillation,0.05
30,21.43459415450213,21.432498487228983,1435.291,1402.1604995723374,1402.1673804452466,0.006880872909277969,33.123619554753304,oscillation,0.05
31,21.518823568273284,21.320119183928718,1435.291,1401.883942363644,1402.5363644502886,0.6524220866444921,32.75463554971134,oscillation,0.05
32,21.591786649150514,21.209103624656215,1435.291,1401.6443768118777,1402.90087076488,1.2564939530022912,32.39012923511996,oscillation,0.05
33,20.962008657920165,21.10067626106765,1435.291,1403.7420347484394,1403.2568790484174,-0.4851557000220055,32.03412095158251,oscillation,0.05
34,20.919679177157963,20.996032998185612,1435.291,1403.9000461248625,1403.615025563814,-0.28502056104844087,31.675974436185925,oscillation,0.05
35,21.177352492205454,20.896328004104944,1435.291,1403.0051218117565,1403.9872135299138,0.982091718157335,31.303786470086152,oscillation,0.05
36,21.308943865595438,20.80266098003807,1435.291,1402.573057271788,1404.3373310358506,1.7642737640626365,30.9536689641493,oscillation,0.05
37,22.27912925706864,20.716065031105558,1435.291,1399.3845639764982,1404.661532208514,5.276968232015861,30.629467791485922,oscillation,0.05
38,20.897150715651605,20.637495271651588,1435.291,1403.9841424366343,1404.9556846309408,0.9715421943064939,30.335315369059117,oscillation,0.05
39,21.96988329711765,20.56781829076258,1435.291,1400.4029416778028,1405.2165439342955,4.813602256492686,30.074456065704453,oscillation,0.05
40,21.511352656546972,20.507802594179577,1435.291,1401.9084722089906,1405.4099167824193,3.501444573428671,29.88108321758068,oscillation,0.05
41,21.79342411411835,20.458110128025798,1435.291,1400.9823243057187,1405.5662504118027,4.583926106083936,29.724749588197255,oscillation,0.05
42,21.748457539698276,20.419288977838804,1435.291,1401.1299666761133,1405.6883826337535,4.558415957640136,29.602617366246477,oscillation,0.05
43,22.126109080204774,20.391767323433672,1435.291,1399.8899929991635,1405.7749663848288,5.884973385665262,29.51603361517118,oscillation,0.05
44,21.105480519652318,20.375848716272365,1435.291,1403.2411048398062,1405.8250466852219,2.5839418454156657,29.465953314778062,oscillation,0.05
45,21.33819657871575,20.37170873142769,1435.291,1402.4770094860437,1405.838071171758,3.361061685714276,29.452928828241966,oscillation,0.05
46,21.485760979635433,20.379393031069288,1435.291,1401.9924994200983,1405.8138961902123,3.8213967701140064,29.47710380978765,oscillation,0.05
47,21.91745596706383,20.398816860830426,1435.291,1400.575080547228,1405.7527883797507,5.1777078325226285,29.538211620249285,oscillation,0.05
48,21.0204060651263,20.42976598461055,1435.291,1403.524043539334,1405.6554217320218,2.131378192687862,29.63557826797819,oscillation,0.05
49,21.19049814868768,20.47189904750303,1435.291,1402.9619596205407,1405.5228701573296,2.560910536788924,29.768129842670305,oscillation,0.05
50,21.047231811967478,20.524751340786167,1435.291,1403.4323575066128,1405.3565956398884,1.924238133275594,29.934404360111557,oscillation,0.05
51,20.95777848155478,20.58773992745125,1435.291,1403.7578255395847,1405.141960561107,1.3841350215222974,30.14903943889294,oscillation,0.05
52,21.081562727670935,20.660170071735404,1435.291,1403.3196360498946,1404.8707938610182,1.5511578111236304,30.42020613898171,oscillation,0.05
53,21.65702813315967,20.7412429017444,1435.291,1401.4301642001456,1404.567270348844,3.1371061486984217,30.723729651155963,oscillation,0.05
54,21.383707087666952,20.830064220650105,1435.291,1402.3275811716553,1404.2347377523229,1.9071565806675608,31.05626224767707,oscillation,0.05
55,21.09846595860798,20.925654369279062,1435.291,1403.2641363122548,1403.8777413785144,0.6136050662596517,31.41325862148551,oscillation,0.05
56,21.783746193273796,21.02695903131229,1435.291,1401.0141006016102,1403.4995820248512,2.4854814232410263,31.79141797514876,oscillation,0.05
57,21.24047831934705,21.132860861919774,1435.291,1402.7978557063773,1403.1512047598753,0.3533490534980501,32.13979524012461,oscillation,0.05
58,21.810201137629516,21.242191811571086,1435.291,1400.927238955071,1402.7922296595443,1.8649907044732572,32.49877034045562,oscillation,0.05
59,21.137942510483946,21.353746009096014,1435.291,1403.1345197744345,1402.4259547906563,-0.7085649837781602,32.865045209343634,oscillation,0.05
60,21.100015537292055,21.466293061900878,1435.291,1403.2590484559307,1402.0564200001745,-1.2026284557562121,33.23457999982543,oscillation,0.05
61,21.17206346003648,21.5785916266451,1435.291,1403.0224877164667,1401.6877010905278,-1.334786625938932,33.60329890947219,oscillation,0.05
62,21.779539976676443,21.689403100699575,1435.291,1401.0279112108642,1401.3238648653469,0.2959536544826733,33.96713513465306,oscillation,0.05
63,21.134965400861834,21.797505283376235,1435.291,1403.1442947579017,1400.9689242744516,-2.175370483450024,34.3220757255483,oscillation,0.05
64,20.63822315111048,21.901705856251603,1435.291,1404.952959568429,1400.626794152818,-4.326165415610831,34.66420584718185,oscillation,0.05
65,21.429473613367335,22.000855533902374,1435.291,1402.1773122568834,1400.3012480417121,-1.8760642151712545,34.9897519582878,oscillation,0.05
66,21.743121583052396,22.093860740006424,1435.291,1401.1474866517326,1399.9958765682272,-1.1516100835053749,35.29512343177271,oscillation,0.05
67,21.725286907178138,22.179695668997464,1435.291,1401.2060446774494,1399.7140478422834,-1.4919968351659918,35.576952157716505,oscillation,0.05
68,21.840666234737178,22.257413600238774,1435.291,1400.8272104514708,1399.45887030789,-1.368340143580781,35.8321296921099,oscillation,0.05
69,21.59704478595071,22.326157339925754,1435.291,1401.6271123484166,1399.2212723540936,-2.4058399943230597,36.06972764590637,oscillation,0.05
70,21.23690766060264,22.38516867554781,1435.291,1402.809579537416,1399.0062066644412,-3.8033728729749328,36.28479333555879,oscillation,0.05
71,21.45915629757433,22.43379673863111,1435.291,1402.0798527124882,1398.8152828980897,-3.2645698143985555,36.47571710191028,oscillation,0.05
72,20.940860242878617,22.471505183524933,1435.291,1403.820979495923,1398.646915456581,-5.174064039342056,36.64408454341901,oscillation,0.05
73,21.875492667011297,22.497878103052795,1435.291,1400.7128620253422,1398.528301307868,-2.1845607174741417,36.762698692131835,oscillation,0.05
74,21.56782691403492,22.51262461578146,1435.291,1401.7230457372316,1398.4619777803591,-3.2610679568724663,36.82902221964082,oscillation,0.05
75,22.414150470604362,22.515582074312196,1435.291,1398.8924181827092,1398.4486763927137,-0.44374178999555625,36.84232360728629,oscillation,0.05
76,21.09578593620859,22.506717859208422,1435.291,1403.2729358453494,1398.4885438532515,-4.784391992097881,36.802456146748455,oscillation,0.05
