sample_index,healthy_sensor,faulty_sensor,healthy_ground_truth,healthy_prediction,faulty_prediction,residual,prediction_error,fault_type,severity
0,2.825178253205575,2.847858,1435.291,1399.3196000887742,1402.1303922691072,2.81079218033301,33.16060773089271,oscillation,0.05
1,2.8185650923193717,2.8627917076407523,1435.291,1398.522836373968,1403.981186682311,5.458350308343142,31.30981331768885,oscillation,0.05
2,2.829353701053296,2.8775607032071497,1435.291,1399.8370801235446,1405.8115676660884,5.974487542543784,29.479432333911518,oscillation,0.05
3,2.904022455178603,2.892002091324888,1435.291,1408.983840241339,1407.5686411984893,-1.4151990428497356,27.72235880151061,oscillation,0.05
4,2.786573017392615,2.9059565899823823,1435.291,1394.7867659424442,1409.2115526264515,14.424786684007358,26.07944737354842,oscillation,0.05
5,2.7842850369662124,2.91927028733967,1435.291,1394.5195730192418,1410.7662188396298,16.24664582038804,24.52478116037014,oscillation,0.05
6,2.882653648630899,2.931796339306735,1435.291,1406.4427568632914,1412.1865898385167,5.743832975225359,23.1044101614832,oscillation,0.05
7,2.8833779265641075,2.943396589167737,1435.291,1406.5325195387527,1413.5019810348595,6.96946149610676,21.789018965140485,oscillation,0.05
8,2.80212142577368,2.953943091387407,1435.291,1396.6025265313633,1414.6984359174498,18.095909386086532,20.592564082550098,oscillation,0.05
9,2.8223295394294943,2.963319522792721,1435.291,1398.966547540243,1415.764055604252,16.79750806400898,19.526944395747933,oscillation,0.05
10,2.8847883608486065,2.971422465565145,1435.291,1406.7073203288,1416.6849449027577,9.977624573957655,18.606055097242233,oscillation,0.05
11,2.861626809127232,2.9781625478926332,1435.291,1403.83681612728,1417.4509468184515,13.614130691171567,17.840053181548456,oscillation,0.05
12,2.810676420968629,2.98346542970049,1435.291,1397.6015884760122,1418.0536126949419,20.452024218929637,17.237387305058064,oscillation,0.05
13,2.906681410805255,2.9872726225889403,1435.291,1409.296888290767,1418.4862953988422,9.18940710807533,16.80470460115771,oscillation,0.05
14,2.804408741918715,2.9895421349338527,1435.291,1396.8696418790419,1418.7442226346568,21.874580755614943,16.546777365343132,oscillation,0.05
15,2.8831920309405943,2.9902489350354577,1435.291,1406.5094807469327,1418.8245495810552,12.315068834122485,16.46645041894476,oscillation,0.05
16,2.8892834406024743,2.989385227206731,1435.291,1407.2485650388137,1418.7263902679701,11.477825229156451,16.564609732029794,oscillation,0.05
17,2.854071116737717,2.9869605377563113,1435.291,1402.900408799722,1418.450827348448,15.55041854872593,16.84017265155194,oscillation,0.05
18,2.8555169308843684,2.9830016099176038,1435.291,1403.0795943582937,1418.0009001574736,14.92130579917989,17.290099842526388,oscillation,0.05
19,2.763359081491612,2.9775521088829517,1435.291,1391.9490941369984,1417.3815711894736,25.43247705247518,17.90942881052638,oscillation,0.05
20,2.8189847800584396,2.9706721401962177,1435.291,1398.5718479793732,1416.5996713642362,18.02782338486304,18.69132863576374,oscillation,0.05
21,2.853483975484244,2.9624375868156823,1435.291,1402.8276420241946,1415.6638246849388,12.83618266074427,19.627175315061095,oscillation,0.05
22,2.8599729462727828,2.952939272159168,1435.291,1403.6318462561094,1414.5843531192759,10.95250686316649,20.706646880724065,oscillation,0.05
23,2.7739186248422936,2.942281958362616,1435.291,1393.2699849044757,1413.3755893134917,20.105604409015996,21.915410686508267,oscillation,0.05
24,2.816625755460381,2.930583190800872,1435.291,1398.296358438035,1412.0490268649955,13.752668426960554,23.2419731350044,oscillation,0.05
25,2.7917011187930005,2.9179720016151065,1435.291,1395.3856313819538,1410.6190018716425,15.233370489688696,24.671998128357473,oscillation,0.05
26,2.810279746028704,2.904587486546367,1435.291,1397.5552643311303,1409.0503633400217,11.49509900889143,26.240636659978236,oscillation,0.05
27,2.8811070728234665,2.8905772707721535,1435.291,1406.2510835070925,1407.4008921430532,1.1498086359606532,27.89010785694677,oscillation,0.05
28,2.821885461586013,2.876095880667152,1435.291,1398.911511188152,1405.630026320926,6.718515132773973,29.660973679074004,oscillation,0.05
29,2.885677865774745,2.8613030394468635,1435.291,1406.8175602496167,1403.7966900494157,-3.0208702002009886,31.49430995058424,oscillation,0.05
30,2.846640222436965,2.8463619054924227,1435.291,1401.9794682009247,1401.9449752633066,-0.03449293761809713,33.34602473669338,oscillation,0.05
31,2.8578263841820846,2.8314372727870825,1435.291,1403.365814188211,1400.0953055433245,-3.270508644886604,35.19569445667548,oscillation,0.05
