sample_index,healthy_sensor,faulty_sensor,healthy_ground_truth,healthy_prediction,faulty_prediction,residual,prediction_error,fault_type,severity
0,21.272990100500028,20.371575571999998,1435.291,1402.6911071604388,1405.838490094348,3.147382933909057,29.45250990565205,saturation,0.05
1,21.22319440852711,20.371575571999998,1435.291,1402.854605360894,1405.838490094348,2.983884733453806,29.45250990565205,saturation,0.05
2,21.304430332856672,20.371575571999998,1435.291,1402.5878769168469,1405.838490094348,3.250613177501009,29.45250990565205,saturation,0.05
3,21.86667013684852,20.371575571999998,1435.291,1400.7418297482097,1405.838490094348,5.096660346138151,29.45250990565205,saturation,0.05
4,20.982300902979578,20.371575571999998,1435.291,1403.6662859909588,1405.838490094348,2.172204103389049,29.45250990565205,saturation,0.05
5,20.965072898018906,20.371575571999998,1435.291,1403.7305962713551,1405.838490094348,2.1078938229927644,29.45250990565205,saturation,0.05
6,21.705767577998287,20.371575571999998,1435.291,1401.270134060859,1405.838490094348,4.5683560334889535,29.45250990565205,saturation,0.05
7,21.711221236465914,20.371575571999998,1435.291,1401.252227625382,1405.838490094348,4.58626246896597,29.45250990565205,saturation,0.05
8,21.09937710416923,20.371575571999998,1435.291,1403.2611446747514,1405.838490094348,2.5773454195964405,29.45250990565205,saturation,0.05
9,21.251539892928538,20.371575571999998,1435.291,1402.7615363521697,1405.838490094348,3.076953742178148,29.45250990565205,saturation,0.05
10,21.721841506014396,20.371575571999998,1435.291,1401.2173572401994,1405.838490094348,4.621132854148527,29.45250990565205,saturation,0.05
11,21.54743995810429,20.371575571999998,1435.291,1401.7899838693343,1405.838490094348,4.048506225013625,29.45250990565205,saturation,0.05
12,21.16379439461293,20.371575571999998,1435.291,1403.0496382040415,1405.838490094348,2.7888518903064323,29.45250990565205,saturation,0.05
13,21.886691505999035,20.371575571999998,1435.291,1400.6760919765861,1405.838490094348,5.162398117761768,29.45250990565205,saturation,0.05
