window_start,window_end,mean,standard_deviation,rms,maximum_error,slope,skewness,kurtosis,autocorrelation_lag1,dominant_frequency_energy,wavelet_detail_energy,dropout_ratio,spike_count
0,30,-16.421368476745307,4.925907652430815,17.144267521516365,24.65051761065365,0.01985206522641856,-0.017695862778159828,1.7996214673824782,-0.10474302582888483,1854.2119356817025,371.3910448498185,0.0,0
10,40,-16.77732673888325,5.661522933654511,17.706821691979137,30.60398467629375,0.038416633395513856,-0.2743272281403694,2.480490249664038,-0.17834917136721648,1878.2095316689408,651.1276324078198,0.0,1
20,50,-17.0521531579662,5.850593453667401,18.027905343739533,30.60398467629375,-0.14646592601099284,-0.476765309924413,2.4147644129699724,-0.06774785706458954,3489.2494343562753,522.6913966174766,0.0,1
30,60,-17.057430266660262,6.006016489511577,18.083919967038742,30.60398467629375,0.047578824126320786,-0.4867644732923544,2.195570718656641,-0.08827965911841233,3580.758677331619,540.3421449610487,0.0,1
40,70,-17.123447783480213,5.695841472710717,18.04591571729805,28.297815333307653,0.0400951086763812,0.03414267411630093,2.0804910847748013,0.1579228824245455,3109.1796529664775,360.4551121438913,0.0,0
50,80,-17.262645692509977,6.167254620142008,18.331229251056683,32.64188987908983,-0.25432524183431116,-0.27864755472140706,2.6308343640716365,-0.07458339105022156,4523.08732298618,633.3408760186578,0.0,1
60,90,-17.470906001567908,6.016190298438977,18.477746134814517,32.64188987908983,-0.03698442706819429,-0.33009160499741774,2.8638115438853258,-0.11096986060867658,4759.890342121854,584.9610292159318,0.0,1
70,100,-18.89695191183423,7.644188425245926,20.384513931875816,33.64350027548653,-0.18071621775462182,0.25501289633175384,3.6534653805624284,-0.09524011253738546,4736.678720778089,964.6256770464747,0.0,0
80,110,-18.369270086038075,7.292629152844519,19.76391973912895,33.64350027548653,-0.11828744587811608,0.3653211790845357,3.908923526693778,0.08989240104238279,4092.520911560695,765.7074030513755,0.0,1
90,120,-18.972105290161956,7.574319983088666,20.42819381020279,33.64350027548653,0.12304589661834821,0.8575392386545797,4.306982795496778,-0.010200823147491052,4998.353597674137,912.4552239793569,0.0,0
100,130,-18.192242188658557,5.641073108319599,19.046768273494976,27.892725209964738,-0.015066489700860788,0.6781911676544788,3.634239749736104,-0.049114217973705195,2950.7117725482262,484.43256128871707,0.0,0
110,140,-15.89580302297379,7.593832581331146,17.616550372262704,27.892725209964738,0.31185589569065736,0.8102269210176549,2.8891670852447078,0.05535487487347067,5767.314260222259,784.1842637254691,0.0,0
120,150,-15.774628321322476,7.492505223014909,17.463577330912898,29.819551904001855,0.07570723931135087,0.5331094936572457,2.9770012025140407,0.16481594170296754,4923.528645288182,647.5116723377599,0.0,0
130,160,-15.596279048494315,7.955503101959221,17.508110970741118,29.819551904001855,-0.32246173165636033,0.5313485071309073,2.529454599677181,0.13590253623905066,5614.389549597266,782.8567893921664,0.0,0
140,170,-17.30902801713471,6.847000239974026,18.614077016713956,29.819551904001855,0.10126091051099184,0.32779150673899105,2.8130421909384253,0.015576373787230277,5206.270434732299,750.7406366235087,0.0,0
150,180,-17.191890126892638,6.806010726330357,18.490074854961307,29.342729133185458,0.0787844899988489,0.23743730932379353,2.502925907388868,0.024606234608417467,6412.786360255467,813.8294131323336,0.0,0
160,190,-16.388051519641408,6.534557672716698,17.64280806981932,29.342729133185458,0.007934197496501628,0.058302800210169876,2.453356961022644,-0.10576284578072123,3318.174369749254,895.3876839059285,0.0,0
170,200,-17.466686009060126,6.168278175060409,18.523843439848633,27.680343627516322,-0.028616334890744513,0.11941174119887034,2.1200518095171135,0.09516957512780766,2746.2506065280436,600.268475413753,0.0,0
180,210,-16.95167228953365,6.405174172296615,18.121408598373325,27.680343627516322,0.06318854811736287,0.162483469434435,2.0826182599896734,-0.06900005944054571,3580.8852536346476,638.1247298345862,0.0,0
190,220,-17.13962327328828,5.865155383818912,18.115372853645198,28.81249060709365,0.1355677060490751,-0.27237479400709635,2.3179898245586967,-0.16380291037403152,3638.1643699929637,499.80732426438516,0.0,0
200,230,-16.462675207091433,5.735227239354147,17.43308654430456,28.81249060709365,-0.03181551963033655,-0.49872108329290044,2.6057362848276964,-0.38565926547548696,3758.213932389186,710.8812336332982,0.0,1
210,240,-17.029394888141937,6.350689722548409,18.175025452756778,30.546876341648385,-0.030671316012172063,-0.435959792897336,2.4524572623859937,-0.09054002133116247,5280.929871410491,518.9426257755746,0.0,1
220,250,-16.592671956512866,7.221523344489437,18.09605377068311,30.546876341648385,0.0680725487065536,-0.06671227599610098,2.170851058133147,-0.34125197683258857,7754.714733168259,847.1775141057536,0.0,0
230,260,-16.57939043057455,7.708589943188366,18.283832912211043,30.546876341648385,0.02937524082516013,-0.10405307264201459,2.165393376032947,-0.13218140980405904,9873.062214722151,796.5595909278021,0.0,0
240,270,-16.565036379171683,7.242176758572287,18.07898101237141,30.541258377606027,-0.11187149522956763,-0.13545805300807406,2.304072687080041,-0.3188511318011592,5484.378466079364,1053.2921503993211,0.0,0
250,280,-17.12390898019574,7.1938155117388405,18.573616782386857,30.541258377606027,0.03981026010481552,-0.17544994126321706,2.0705394708738125,-0.0018442992735157398,3793.0094541514572,727.2863130121796,0.0,0
260,290,-18.62772093308139,7.016748148672526,19.90544502749582,33.32519529635306,-0.18931597211649148,-0.015897289522831558,2.1677521564261557,-0.06810153181461455,6214.877093441421,663.2502749169507,0.0,1
270,300,-17.196038891881667,7.559974076857383,18.784487259807296,33.32519529635306,0.23245556005605048,0.07852912892494844,2.3674686938607032,0.003422754897030466,5844.8237572316,702.5799083200219,0.0,1
