sample_index,healthy_sensor,faulty_sensor,healthy_ground_truth,healthy_prediction,faulty_prediction,residual,prediction_error,fault_type,severity
0,10.971767545722408,11.612838142500001,221.6221,227.14640468638362,228.6489603175189,1.5025556311352943,-7.026860317518924,bias,0.05
1,10.946084895821095,11.612838142500001,221.6221,227.08620911599598,228.6489603175189,1.5627512015229286,-7.026860317518924,bias,0.05
2,10.987983174995536,11.612838142500001,221.6221,227.18441124166668,228.6489603175189,1.4645490758522328,-7.026860317518924,bias,0.05
3,11.277964245132267,11.612838142500001,221.6221,227.86407537233595,228.6489603175189,0.7848849451829665,-7.026860317518924,bias,0.05
4,10.82184154621884,11.612838142500001,221.6221,226.79500476890183,228.6489603175189,1.8539555486170798,-7.026860317518924,bias,0.05
5,10.81295602214291,11.612838142500001,221.6221,226.77417867844787,228.6489603175189,1.8747816390710454,-7.026860317518924,bias,0.05
6,11.194977064445562,11.612838142500001,221.6221,227.6695681584976,228.6489603175189,0.9793921590213017,-7.026860317518924,bias,0.05
7,11.197789845944442,11.612838142500001,221.6221,227.6761608188093,228.6489603175189,0.9727994987096054,-7.026860317518924,bias,0.05
8,10.882224823723346,11.612838142500001,221.6221,226.93653244790772,228.6489603175189,1.71242786961119,-7.026860317518924,bias,0.05
9,10.960704376409113,11.612838142500001,221.6221,227.12047458222116,228.6489603175189,1.5284857352977497,-7.026860317518924,bias,0.05
10,11.203267361244755,11.612838142500001,221.6221,227.6889991419215,228.6489603175189,0.9599611755974138,-7.026860317518924,bias,0.05
11,11.11331793550611,11.612838142500001,221.6221,227.47817366210643,228.6489603175189,1.1707866554124848,-7.026860317518924,bias,0.05
12,10.915448716243136,11.612838142500001,221.6221,227.01440335174374,228.6489603175189,1.6345569657751753,-7.026860317518924,bias,0.05
13,11.288290476058373,11.612838142500001,221.6221,227.8882782237917,228.6489603175189,0.7606820937272118,-7.026860317518924,bias,0.05
14,10.891107768018427,11.612838142500001,221.6221,226.9573524918133,228.6489603175189,1.6916078257056029,-7.026860317518924,bias,0.05
15,11.197067907933402,11.612838142500001,221.6221,227.67446872432032,228.6489603175189,0.9744915931985929,-7.026860317518924,bias,0.05
16,11.220724302272444,11.612838142500001,221.6221,227.72991511151258,228.6489603175189,0.9190452060063308,-7.026860317518924,bias,0.05
17,11.083974901858346,11.612838142500001,221.6221,227.4093988022645,228.6489603175189,1.2395615152544224,-7.026860317518924,bias,0.05
18,11.089589817205148,11.612838142500001,221.6221,227.4225591666849,228.6489603175189,1.2264011508340218,-7.026860317518924,bias,0.05
19,10.731688683036449,11.612838142500001,221.6221,226.5837024678471,228.6489603175189,2.0652578496718093,-7.026860317518924,bias,0.05
20,10.947714781053865,11.612838142500001,221.6221,227.09002927753028,228.6489603175189,1.5589310399886358,-7.026860317518924,bias,0.05
21,11.081694699771166,11.612838142500001,221.6221,227.40405441351322,228.6489603175189,1.244905904005691,-7.026860317518924,bias,0.05
22,11.106895049172856,11.612838142500001,221.6221,227.46311955718147,228.6489603175189,1.1858407603374417,-7.026860317518924,bias,0.05
23,10.772697371568299,11.612838142500001,221.6221,226.67981955103363,228.6489603175189,1.9691407664852818,-7.026860317518924,bias,0.05
24,10.938553352214756,11.612838142500001,221.6221,227.06855651530952,228.6489603175189,1.5804038022093891,-7.026860317518924,bias,0.05
25,10.841756868889926,11.612838142500001,221.6221,226.84168274848122,228.6489603175189,1.8072775690376943,-7.026860317518924,bias,0.05
26,10.913908202745578,11.612838142500001,221.6221,227.01079266168517,228.6489603175189,1.6381676558337404,-7.026860317518924,bias,0.05
27,11.188970834491139,11.612838142500001,221.6221,227.6554906221308,228.6489603175189,0.9934696953881144,-7.026860317518924,bias,0.05
28,10.958979770584559,11.612838142500001,221.6221,227.11643241244104,228.6489603175189,1.5325279050778704,-7.026860317518924,bias,0.05
29,11.206721812753893,11.612838142500001,221.6221,227.6970957627828,228.6489603175189,0.9518645547361189,-7.026860317518924,bias,0.05
30,11.055116529884055,11.612838142500001,221.6221,227.34175990331448,228.6489603175189,1.3072004142044307,-7.026860317518924,bias,0.05
31,11.0985587326042,11.612838142500001,221.6221,227.4435807115907,228.6489603175189,1.205379605928215,-7.026860317518924,bias,0.05
32,11.136190206084079,11.612838142500001,221.6221,227.53178220245496,228.6489603175189,1.1171781150639504,-7.026860317518924,bias,0.05
33,10.811375608204443,11.612838142500001,221.6221,226.77047446884154,228.6489603175189,1.8784858486773715,-7.026860317518924,bias,0.05
34,10.78954373496707,11.612838142500001,221.6221,226.71930443509507,228.6489603175189,1.9296558824238446,-7.026860317518924,bias,0.05
35,10.922441447140137,11.612838142500001,221.6221,227.0307930711274,228.6489603175189,1.618167246391522,-7.026860317518924,bias,0.05
36,10.990311076798985,11.612838142500001,221.6221,227.18986743008162,228.6489603175189,1.4590928874372935,-7.026860317518924,bias,0.05
37,11.490694358190606,11.612838142500001,221.6221,228.36267697860927,228.6489603175189,0.28628333890964086,-7.026860317518924,bias,0.05
38,10.777924444888772,11.612838142500001,221.6221,226.69207088262107,228.6489603175189,1.956889434897846,-7.026860317518924,bias,0.05
39,11.331197514023115,11.612838142500001,221.6221,227.98884470092128,228.6489603175189,0.6601156165976363,-7.026860317518924,bias,0.05
40,11.09470553160009,11.612838142500001,221.6221,227.43454949272694,228.6489603175189,1.214410824791969,-7.026860317518924,bias,0.05
41,11.240186841427027,11.612838142500001,221.6221,227.7755318469391,228.6489603175189,0.8734284705798245,-7.026860317518924,bias,0.05
42,11.216994859503767,11.612838142500001,221.6221,227.72117395997452,228.6489603175189,0.9277863575443916,-7.026860317518924,bias,0.05
43,11.41177259860608,11.612838142500001,221.6221,228.1776983898564,228.6489603175189,0.4712619276625105,-7.026860317518924,bias,0.05
44,10.885372724211196,11.612838142500001,221.6221,226.94391056761555,228.6489603175189,1.7050497499033668,-7.026860317518924,bias,0.05
45,11.00539847010484,11.612838142500001,221.6221,227.225229600621,228.6489603175189,1.4237307168979214,-7.026860317518924,bias,0.05
46,11.081506356079764,11.612838142500001,221.6221,227.40361296934861,228.6489603175189,1.2453473481702986,-7.026860317518924,bias,0.05
47,11.304157569206902,11.612838142500001,221.6221,227.92546787229531,228.6489603175189,0.7234924452235987,-7.026860317518924,bias,0.05
48,10.841494682867273,11.612838142500001,221.6221,226.84106823100586,228.6489603175189,1.80789208651305,-7.026860317518924,bias,0.05
49,10.92922145721289,11.612838142500001,221.6221,227.04668421067606,228.6489603175189,1.6022761068428508,-7.026860317518924,bias,0.05
50,10.85533034288457,11.612838142500001,221.6221,226.87349656101162,228.6489603175189,1.7754637565072926,-7.026860317518924,bias,0.05
51,10.809193850419613,11.612838142500001,221.6221,226.76536081605224,228.6489603175189,1.8835995014666764,-7.026860317518924,bias,0.05
52,10.873036872382803,11.612838142500001,221.6221,226.9149975216535,228.6489603175189,1.7339627958654091,-7.026860317518924,bias,0.05
53,11.16983918507127,11.612838142500001,221.6221,227.61064943347986,228.6489603175189,1.0383108840390491,-7.026860317518924,bias,0.05
54,11.02887099196195,11.612838142500001,221.6221,227.28024502336933,228.6489603175189,1.368715294149581,-7.026860317518924,bias,0.05
55,10.881754890853022,11.612838142500001,221.6221,226.935431008715,228.6489603175189,1.7135293088039134,-7.026860317518924,bias,0.05
56,11.235195352344832,11.612838142500001,221.6221,227.76383268296894,228.6489603175189,0.8851276345499741,-7.026860317518924,bias,0.05
57,10.954999253929735,11.612838142500001,221.6221,227.1071027883021,228.6489603175189,1.541857529216827,-7.026860317518924,bias,0.05
58,11.24883976709493,11.612838142500001,221.6221,227.79581276803174,228.6489603175189,0.8531475494871756,-7.026860317518924,bias,0.05
59,10.902115336123925,11.612838142500001,221.6221,226.98315227661885,228.6489603175189,1.6658080409000604,-7.026860317518924,bias,0.05
60,10.882554102296035,11.612838142500001,221.6221,226.93730421840513,228.6489603175189,1.7116560991137817,-7.026860317518924,bias,0.05
61,10.919713573379765,11.612838142500001,221.6221,227.02439941947608,228.6489603175189,1.62456089804283,-7.026860317518924,bias,0.05
62,11.233025952061414,11.612838142500001,221.6221,227.75874799396826,228.6489603175189,0.8902123235506565,-7.026860317518924,bias,0.05
63,10.900579860641749,11.612838142500001,221.6221,226.97955339477363,228.6489603175189,1.6694069227452815,-7.026860317518924,bias,0.05
64,10.64437984039716,11.612838142500001,221.6221,226.37906604587585,228.6489603175189,2.269894271643068,-7.026860317518924,bias,0.05
65,11.052475557140031,11.612838142500001,221.6221,227.33556993221265,228.6489603175189,1.3133903853062634,-7.026860317518924,bias,0.05
66,11.214242783952749,11.612838142500001,221.6221,227.71472358362394,228.6489603175189,0.9342367338949771,-7.026860317518924,bias,0.05
67,11.205044362996354,11.612838142500001,221.6221,227.69316411844954,228.6489603175189,0.9557961990693684,-7.026860317518924,bias,0.05
68,11.264552460145788,11.612838142500001,221.6221,227.83264053012618,228.6489603175189,0.8163197873927288,-7.026860317518924,bias,0.05
69,11.13890214523428,11.612838142500001,221.6221,227.53813850620998,228.6489603175189,1.1108218113089379,-7.026860317518924,bias,0.05
70,10.953157649268437,11.612838142500001,221.6221,227.10278639402645,228.6489603175189,1.5461739234924607,-7.026860317518924,bias,0.05
