sample_index,healthy_sensor,faulty_sensor,healthy_ground_truth,healthy_prediction,faulty_prediction,residual,prediction_error,fault_type,severity
0,1.1652754918127464,0.0,221.6221,226.8665046984803,163.11070635078534,-63.75579834769496,58.511393649214654,dropout,0.05
1,1.1625478216930423,0.0,221.6221,226.72469341743994,163.11070635078534,-63.6139870666546,58.511393649214654,dropout,0.05
2,1.1669977006817873,0.0,221.6221,226.9560421554379,163.11070635078534,-63.845335804652564,58.511393649214654,dropout,0.05
3,1.1977956402764613,0.0,221.6221,228.557223777721,163.11070635078534,-65.44651742693566,58.511393649214654,dropout,0.05
4,1.1493523425043972,0.0,221.6221,226.03866184999936,163.11070635078534,-62.92795549921402,58.511393649214654,dropout,0.05
5,1.1484086400977938,0.0,221.6221,225.98959886168768,163.11070635078534,-62.87889251090235,58.511393649214654,dropout,0.05
6,1.1889818436492665,0.0,221.6221,228.0989954232357,163.11070635078534,-64.98828907245036,58.511393649214654,dropout,0.05
7,1.189280579958691,0.0,221.6221,228.1145266923678,163.11070635078534,-65.00382034158247,58.511393649214654,dropout,0.05
8,1.155765452616155,0.0,221.6221,226.37207876644794,163.11070635078534,-63.261372415662606,58.511393649214654,dropout,0.05
9,1.1641005088385963,0.0,221.6221,226.80541745792226,163.11070635078534,-63.694711107136925,58.511393649214654,dropout,0.05
10,1.1898623289165398,0.0,221.6221,228.14477175915937,163.11070635078534,-65.03406540837403,58.511393649214654,dropout,0.05
11,1.1803090950479698,0.0,221.6221,227.64810014069934,163.11070635078534,-64.537393789914,58.511393649214654,dropout,0.05
12,1.159294053412207,0.0,221.6221,226.55553034864346,163.11070635078534,-63.44482399785812,58.511393649214654,dropout,0.05
13,1.1988923554384303,0.0,221.6221,228.61424188300106,163.11070635078534,-65.50353553221572,58.511393649214654,dropout,0.05
14,1.156708881032685,0.0,221.6221,226.42112751004453,163.11070635078534,-63.31042115925919,58.511393649214654,dropout,0.05
15,1.189203905287325,0.0,221.6221,228.11054038431257,163.11070635078534,-64.99983403352724,58.511393649214654,dropout,0.05
16,1.1917163734409808,0.0,221.6221,228.24116333789823,163.11070635078534,-65.1304569871129,58.511393649214654,dropout,0.05
17,1.1771926675605402,0.0,221.6221,227.48607740522675,163.11070635078534,-64.37537105444142,58.511393649214654,dropout,0.05
18,1.1777890093272578,0.0,221.6221,227.51708115060802,163.11070635078534,-64.40637479982269,58.511393649214654,dropout,0.05
19,1.1397775022113084,0.0,221.6221,225.54086691581358,163.11070635078534,-62.430160565028245,58.511393649214654,dropout,0.05
20,1.1627209264647482,0.0,221.6221,226.73369311621315,163.11070635078534,-63.62298676542781,58.511393649214654,dropout,0.05
21,1.1769504947659108,0.0,221.6221,227.47348686724655,163.11070635078534,-64.36278051646121,58.511393649214654,dropout,0.05
22,1.1796269413293778,0.0,221.6221,227.61263504101538,163.11070635078534,-64.50192869023005,58.511393649214654,dropout,0.05
23,1.1441329006918546,0.0,221.6221,225.76730362218245,163.11070635078534,-62.65659727139712,58.511393649214654,dropout,0.05
