sample_index,healthy_sensor,faulty_sensor,healthy_ground_truth,healthy_prediction,faulty_prediction,residual,prediction_error,fault_type,severity
0,1.1652754918127464,1.17463,221.6221,226.8665046984803,227.35284458978634,0.48633989130604505,-5.7307445897863545,exp_drift,0.05
1,1.1625478216930423,1.1752155029448672,221.6221,226.72469341743994,227.3832848259662,0.658591408526263,-5.761184825966211,exp_drift,0.05
2,1.1669977006817873,1.1757951689249293,221.6221,226.9560421554379,227.413421598963,0.45737944352509885,-5.791321598963009,exp_drift,0.05
3,1.1977956402764613,1.1763690561297453,221.6221,228.557223777721,227.44325793404607,-1.1139658436749187,-5.821157934046084,exp_drift,0.05
4,1.1493523425043972,1.176937222168774,221.6221,226.03866184999936,227.47279682632507,1.4341349763257085,-5.850696826325077,exp_drift,0.05
5,1.1484086400977938,1.1774997240771568,221.6221,225.98959886168768,227.50204124105062,1.5124423793629376,-5.879941241050631,exp_drift,0.05
6,1.1889818436492665,1.1780566183214436,221.6221,228.0989954232357,227.53099411391298,-0.5680013093227103,-5.908894113912993,exp_drift,0.05
7,1.189280579958691,1.178607960805261,221.6221,228.1145266923678,227.55965835133583,-0.5548683410319768,-5.937558351335838,exp_drift,0.05
8,1.155765452616155,1.1791538068749243,221.6221,226.37207876644794,227.58803683076792,1.2159580643199774,-5.96593683076793,exp_drift,0.05
9,1.1641005088385963,1.1796942113249926,221.6221,226.80541745792226,227.61613240097296,0.8107149430506979,-5.994032400972969,exp_drift,0.05
10,1.1898623289165398,1.1802292284037705,221.6221,228.14477175915937,227.6439478823142,-0.5008238768451747,-6.021847882314205,exp_drift,0.05
11,1.1803090950479698,1.1807589118187536,221.6221,227.64810014069934,227.67148606703887,0.02338592633952885,-6.049386067038881,exp_drift,0.05
12,1.159294053412207,1.181283314742019,221.6221,226.55553034864346,227.69874971955755,1.143219370914096,-6.076649719557565,exp_drift,0.05
13,1.1988923554384303,1.1818024898155635,221.6221,228.61424188300106,227.7257415767225,-0.8885003062785586,-6.103641576722509,exp_drift,0.05
14,1.156708881032685,1.1823164891565887,221.6221,226.42112751004453,227.75246434810083,1.331336838056302,-6.130364348100841,exp_drift,0.05
15,1.189203905287325,1.1828253643627318,221.6221,228.11054038431257,227.77892071624865,-0.3316196680639223,-6.15682071624866,exp_drift,0.05
16,1.1917163734409808,1.1833291665172456,221.6221,228.24116333789823,227.80511333697888,-0.43605000091935153,-6.183013336978888,exp_drift,0.05
17,1.1771926675605402,1.1838279461941266,221.6221,227.48607740522675,227.83104483962813,0.3449674344013829,-6.2089448396281455,exp_drift,0.05
18,1.1777890093272578,1.1843217534631914,221.6221,227.51708115060802,227.85671782732072,0.3396366767127006,-6.234617827320733,exp_drift,0.05
19,1.1397775022113084,1.1848106378951033,221.6221,225.54086691581358,227.88213487723078,2.341267961417202,-6.260034877230794,exp_drift,0.05
20,1.1627209264647482,1.1852946485663487,221.6221,226.73369311621315,227.90729854083878,1.1736054246256344,-6.285198540838792,exp_drift,0.05
21,1.1769504947659108,1.1857738340641633,221.6221,227.47348686724655,227.93221134419082,0.4587244769442691,-6.31011134419083,exp_drift,0.05
22,1.1796269413293778,1.1862482424914091,221.6221,227.61263504101538,227.95687578814898,0.34424074713359687,-6.334775788148988,exp_drift,0.05
23,1.1441329006918546,1.1867179214714039,221.6221,225.76730362218245,227.9812943486449,2.213990726462441,-6.359194348644905,exp_drift,0.05
