window_start,window_end,mean,standard_deviation,rms,maximum_error,slope,skewness,kurtosis,autocorrelation_lag1,dominant_frequency_energy,wavelet_detail_energy,dropout_ratio,spike_count
0,30,0.2454605757111968,2.0846118955871447,2.099013494347261,4.610251791986627,0.05417023443947072,-0.6203065555550953,2.328868557420233,-0.07903419984151945,531.9300586392659,47.31463832494207,0.0,1
10,40,0.6261111229504385,2.3854143366931644,2.4662150546908004,6.565515806086125,-0.030388088135353413,-0.04841529730263735,3.225384402272418,0.009066068013499401,653.5201700607978,77.88252306401883,0.0,2
20,50,0.6091314044117079,2.2951250843908677,2.3745821149921866,6.565515806086125,-0.0027531394014613233,0.15882624631986683,3.4776593287181274,0.0394701227350686,514.9616232035037,65.23620146835405,0.0,2
30,60,0.4250281082161109,2.740165581234193,2.7729327985644168,6.565515806086125,-0.016634872796169962,0.23402759832792322,2.410480086052983,-0.10599872901691501,947.6839941644397,111.67126709980965,0.0,0
40,70,0.32029162547489703,2.4836876671739305,2.5042546103424135,5.1436492567637515,-0.013872039831104082,0.06218767896333199,2.036078823027001,-0.17315790299089093,614.0145581616771,83.07064833888008,0.0,0
50,80,-0.2138730988525784,2.4906036019901876,2.499769590314136,5.1436492567637515,-0.029042353910188477,0.46545784603112605,2.3128317912144896,-0.12590725193671673,520.9317009429808,82.44871590959396,0.0,1
60,90,-0.3085369421636794,2.071765214141454,2.0946136033183542,4.465759716576088,0.010651312556686459,0.24818698094508604,2.4261747695852507,0.2220914764976017,276.7089653387564,47.56018625446076,0.0,1
70,100,-1.1805086991204974,2.494436010628105,2.7596760316778894,6.991306400807446,-0.07384318327321998,-0.34361012801763763,2.735205352994593,0.5072995034705543,723.6754484331908,44.38902640733618,0.0,1
80,110,-1.0898094331134132,2.8863602398237704,3.0852487800076207,6.991306400807446,-0.04909532224305805,-0.21969601305400566,2.4278297806492457,0.26436689648598527,995.5071490495375,106.8445170435671,0.0,1
90,120,-1.0954606172324817,3.0346824639186676,3.2263495812950653,6.991306400807446,0.08284045288200215,-0.15478108436838087,2.265923280657948,0.23445917565032448,1261.2757628169652,106.31220895495754,0.0,0
100,130,-0.2854615646916348,2.728842551654917,2.743732854459179,6.5978695250464625,0.018817535314574935,0.07670966296399866,2.7007046597484083,-0.09170503391601166,774.888996642452,135.1657811557804,0.0,1
110,140,0.5463256824297692,3.2674246740278865,3.312783686226523,7.976251880326629,0.12521257688708942,0.3476748541178611,2.445779875999447,0.28971398807282883,1412.312236685139,108.7857566568541,0.0,0
120,150,0.265280031995898,3.5161277739463026,3.52612081728524,8.64844124300322,0.005400361430121174,0.007291642965199895,3.1383208593482745,0.24816887336140267,1405.387283392901,145.80142187398388,0.0,2
130,160,0.008782947137886292,3.6562266570773025,3.6562372062112014,8.64844124300322,-0.05705307667069568,0.08513398725502024,2.886958469836243,0.28928467773433764,1848.9596569595394,144.95684952003631,0.0,2
140,170,-0.44840369633777566,3.369360855362923,3.3990672909698847,9.131126075957809,0.09610567858972455,0.4236811445848077,4.18414377085654,-0.13855480944128032,1322.4885967829844,218.2274386298375,0.0,2
150,180,-0.21500778073749036,3.3144230919626714,3.3213895854465876,9.131126075957809,0.053755632381253415,0.859427925458579,3.3938772432499418,-0.1042076892258517,1548.4178938453015,195.91683139418646,0.0,1
160,190,0.5005960614685383,3.53636790738206,3.5716234954316763,9.131126075957809,0.046347880772580986,0.5301286947150157,2.5375629562881987,-0.21129410710431965,1302.053171613568,272.7127917337476,0.0,1
170,200,0.31412503062806346,3.3143251114009615,3.3291778983602067,7.017498243381681,0.009626655989635214,0.41354418500862816,2.1673346369743456,0.14175291283827887,880.3477882908999,195.88857991098197,0.0,1
180,210,0.2240991938169922,3.4509798466161006,3.458248451227863,7.595604050984093,-0.11693419011424948,0.013323284587118255,2.6628690575428036,0.04681378599812146,1028.3698209617817,207.88671735340182,0.0,1
190,220,-0.07462941986097651,3.0854298957019095,3.0863323203439847,7.595604050984093,-0.004636362669396535,-0.17435061263794704,2.9271434604932716,-0.06970821350457387,466.98349354280106,134.63134790141027,0.0,1
200,230,0.2463112703459444,3.304963266051018,3.3141290608312235,8.740696553513033,0.05951503543055117,0.11722862837571292,3.4647310455348137,0.02541112966511525,1027.6175462971662,112.99996490107056,0.0,2
210,240,-0.1529599069453089,3.517358647711407,3.520682972061378,8.740696553513033,-0.08933194954485106,0.5166739324942504,2.722170083630635,0.15365892374141896,1056.408223983869,90.04467445598121,0.0,1
220,250,-0.25019006806254346,4.388795514331492,4.395920965710526,9.423073568876475,-0.010676753209943683,0.8272034409099928,2.7699697303050845,0.0048720287912298954,1520.4625411898692,240.56075514755216,0.0,3
230,260,-0.5444360289340371,3.967693247012768,4.0048720693665345,9.423073568876475,0.08724471372754185,0.8854271254894592,3.346895331745131,-0.06621668582042857,2106.7997344456785,250.2558048406896,0.0,2
240,270,0.1728908231467358,3.4881841668735274,3.492466180044629,9.423073568876475,0.025123584705233102,0.857058108124566,3.9734443319726918,-0.2305553222357089,1504.1323405178568,244.6862697925237,0.0,2
250,280,0.4826135591249302,2.478209117603627,2.524764598536858,7.110579463598867,0.045712816625222565,0.5006058824829024,2.9297974647301768,-0.09048326131846005,374.3871863594758,113.86136257056572,0.0,1
260,290,0.08066178928286452,2.634625922145607,2.6358604048568095,7.110579463598867,-0.06560354995764522,0.5301942228053163,2.9812657145517103,0.00417862722088931,373.7746870875142,111.27066601746849,0.0,1
270,300,-0.0629443202003453,3.1967376512821697,3.1973572835344073,7.9896856761864115,-0.042884856752018065,-0.1742375194342652,3.0383955372566684,-0.11681727187441551,1168.9002220913555,221.39089952141018,0.0,2
