sample_index,healthy_sensor,faulty_sensor,healthy_ground_truth,healthy_prediction,faulty_prediction,residual,prediction_error,fault_type,severity
0,10.971767545722408,11.05984585,221.6221,227.14640468638362,227.35284458978634,0.20643990340272467,-5.7307445897863545,lag,0.05
1,10.946084895821095,11.05984585,221.6221,227.08620911599598,227.35284458978634,0.2666354737903589,-5.7307445897863545,lag,0.05
2,10.987983174995536,11.05984585,221.6221,227.18441124166668,227.35284458978634,0.16843334811966315,-5.7307445897863545,lag,0.05
3,11.277964245132267,11.05984585,221.6221,227.86407537233595,227.35284458978634,-0.5112307825496032,-5.7307445897863545,lag,0.05
4,10.82184154621884,11.05984585,221.6221,226.79500476890183,227.35284458978634,0.5578398208845101,-5.7307445897863545,lag,0.05
5,10.81295602214291,11.05984585,221.6221,226.77417867844787,227.35284458978634,0.5786659113384758,-5.7307445897863545,lag,0.05
6,11.194977064445562,11.05984585,221.6221,227.6695681584976,227.35284458978634,-0.31672356871126794,-5.7307445897863545,lag,0.05
7,11.197789845944442,11.05984585,221.6221,227.6761608188093,227.35284458978634,-0.3233162290229643,-5.7307445897863545,lag,0.05
8,10.882224823723346,11.05984585,221.6221,226.93653244790772,227.35284458978634,0.4163121418786204,-5.7307445897863545,lag,0.05
9,10.960704376409113,11.05984585,221.6221,227.12047458222116,227.35284458978634,0.23237000756518,-5.7307445897863545,lag,0.05
10,11.203267361244755,11.05984585,221.6221,227.6889991419215,227.35284458978634,-0.3361545521351559,-5.7307445897863545,lag,0.05
11,11.11331793550611,11.05984585,221.6221,227.47817366210643,227.35284458978634,-0.12532907232008483,-5.7307445897863545,lag,0.05
12,10.915448716243136,11.05984585,221.6221,227.01440335174374,227.35284458978634,0.3384412380426056,-5.7307445897863545,lag,0.05
13,11.288290476058373,11.05984585,221.6221,227.8882782237917,227.35284458978634,-0.5354336340053578,-5.7307445897863545,lag,0.05
14,10.891107768018427,11.05984585,221.6221,226.9573524918133,227.35284458978634,0.3954920979730332,-5.7307445897863545,lag,0.05
15,11.197067907933402,11.05984585,221.6221,227.67446872432032,227.35284458978634,-0.32162413453397676,-5.7307445897863545,lag,0.05
16,11.220724302272444,11.05984585,221.6221,227.72991511151258,227.35284458978634,-0.3770705217262389,-5.7307445897863545,lag,0.05
17,11.083974901858346,11.05984585,221.6221,227.4093988022645,227.35284458978634,-0.05655421247814729,-5.7307445897863545,lag,0.05
18,11.089589817205148,11.05984585,221.6221,227.4225591666849,227.35284458978634,-0.06971457689854788,-5.7307445897863545,lag,0.05
