sample_index,healthy_sensor,faulty_sensor,healthy_ground_truth,healthy_prediction,faulty_prediction,residual,prediction_error,fault_type,severity
0,1.1652754918127464,1.17463,221.6221,226.8665046984803,227.35284458978634,0.48633989130604505,-5.7307445897863545,lag,0.05
1,1.1625478216930423,1.17463,221.6221,226.72469341743994,227.35284458978634,0.6281511723464064,-5.7307445897863545,lag,0.05
2,1.1669977006817873,1.17463,221.6221,226.9560421554379,227.35284458978634,0.3968024343484444,-5.7307445897863545,lag,0.05
3,1.1977956402764613,1.17463,221.6221,228.557223777721,227.35284458978634,-1.2043791879346486,-5.7307445897863545,lag,0.05
4,1.1493523425043972,1.17463,221.6221,226.03866184999936,227.35284458978634,1.314182739786986,-5.7307445897863545,lag,0.05
5,1.1484086400977938,1.17463,221.6221,225.98959886168768,227.35284458978634,1.3632457280986614,-5.7307445897863545,lag,0.05
6,1.1889818436492665,1.17463,221.6221,228.0989954232357,227.35284458978634,-0.7461508334493487,-5.7307445897863545,lag,0.05
7,1.189280579958691,1.17463,221.6221,228.1145266923678,227.35284458978634,-0.7616821025814602,-5.7307445897863545,lag,0.05
8,1.155765452616155,1.17463,221.6221,226.37207876644794,227.35284458978634,0.9807658233384018,-5.7307445897863545,lag,0.05
9,1.1641005088385963,1.17463,221.6221,226.80541745792226,227.35284458978634,0.5474271318640831,-5.7307445897863545,lag,0.05
10,1.1898623289165398,1.17463,221.6221,228.14477175915937,227.35284458978634,-0.7919271693730252,-5.7307445897863545,lag,0.05
11,1.1803090950479698,1.17463,221.6221,227.64810014069934,227.35284458978634,-0.29525555091299793,-5.7307445897863545,lag,0.05
12,1.159294053412207,1.17463,221.6221,226.55553034864346,227.35284458978634,0.7973142411428853,-5.7307445897863545,lag,0.05
13,1.1988923554384303,1.17463,221.6221,228.61424188300106,227.35284458978634,-1.2613972932147135,-5.7307445897863545,lag,0.05
14,1.156708881032685,1.17463,221.6221,226.42112751004453,227.35284458978634,0.9317170797418157,-5.7307445897863545,lag,0.05
15,1.189203905287325,1.17463,221.6221,228.11054038431257,227.35284458978634,-0.7576957945262279,-5.7307445897863545,lag,0.05
16,1.1917163734409808,1.17463,221.6221,228.24116333789823,227.35284458978634,-0.8883187481118853,-5.7307445897863545,lag,0.05
17,1.1771926675605402,1.17463,221.6221,227.48607740522675,227.35284458978634,-0.1332328154404081,-5.7307445897863545,lag,0.05
18,1.1777890093272578,1.17463,221.6221,227.51708115060802,227.35284458978634,-0.1642365608216778,-5.7307445897863545,lag,0.05
19,1.1397775022113084,1.17463,221.6221,225.54086691581358,227.35284458978634,1.8119776739727627,-5.7307445897863545,lag,0.05
20,1.1627209264647482,1.17463,221.6221,226.73369311621315,227.35284458978634,0.6191514735731971,-5.7307445897863545,lag,0.05
21,1.1769504947659108,1.17463,221.6221,227.47348686724655,227.35284458978634,-0.12064227746020606,-5.7307445897863545,lag,0.05
22,1.1796269413293778,1.17463,221.6221,227.61263504101538,227.35284458978634,-0.259790451229037,-5.7307445897863545,lag,0.05
23,1.1441329006918546,1.17463,221.6221,225.76730362218245,227.35284458978634,1.5855409676038903,-5.7307445897863545,lag,0.05
24,1.1617479211170036,1.17463,221.6221,226.68310667109068,227.35284458978634,0.6697379186956596,-5.7307445897863545,lag,0.05
25,1.1514674836904868,1.17463,221.6221,226.1486278165633,227.35284458978634,1.2042167732230382,-5.7307445897863545,lag,0.05
26,1.159130440519751,1.17463,221.6221,226.547024131669,227.35284458978634,0.8058204581173527,-5.7307445897863545,lag,0.05
27,1.1883439416398671,1.17463,221.6221,228.06583096523258,227.35284458978634,-0.7129863754462349,-5.7307445897863545,lag,0.05
28,1.1639173441031043,1.17463,221.6221,226.79589474269602,227.35284458978634,0.5569498470903227,-5.7307445897863545,lag,0.05
29,1.1902292148958933,1.17463,221.6221,228.16384612242348,227.35284458978634,-0.8110015326371354,-5.7307445897863545,lag,0.05
30,1.1741277144018882,1.17463,221.6221,227.32673081466322,227.35284458978634,0.02611377512312174,-5.7307445897863545,lag,0.05
31,1.1787415684531328,1.17463,221.6221,227.566604598818,227.35284458978634,-0.2137600090316596,-5.7307445897863545,lag,0.05
32,1.1827382839854448,1.17463,221.6221,227.77439341664336,227.35284458978634,-0.4215488268570198,-5.7307445897863545,lag,0.05
33,1.148240789510207,1.17463,221.6221,225.9808723273913,227.35284458978634,1.3719722623950474,-5.7307445897863545,lag,0.05
34,1.1459220977663418,1.17463,221.6221,225.86032378885653,227.35284458978634,1.4925208009298103,-5.7307445897863545,lag,0.05
35,1.1600367284553266,1.17463,221.6221,226.59414194558894,227.35284458978634,0.758702644197399,-5.7307445897863545,lag,0.05
36,1.167244939507036,1.17463,221.6221,226.96889607581414,227.35284458978634,0.3839485139722001,-5.7307445897863545,lag,0.05
37,1.2203890087637552,1.17463,221.6221,229.73185061586082,227.35284458978634,-2.379006026074478,-5.7307445897863545,lag,0.05
38,1.1446880510273747,1.17463,221.6221,225.7961658294126,227.35284458978634,1.5566787603737566,-5.7307445897863545,lag,0.05
39,1.203449371393994,1.17463,221.6221,228.85116066057287,227.35284458978634,-1.4983160707865295,-5.7307445897863545,lag,0.05
40,1.1783323325960653,1.17463,221.6221,227.5453284698906,227.35284458978634,-0.19248388010424833,-5.7307445897863545,lag,0.05
