sample_index,healthy_sensor,faulty_sensor,healthy_ground_truth,healthy_prediction,faulty_prediction,residual,prediction_error,fault_type,severity
0,10.971767545722408,11.05984585,221.6221,227.14640468638362,227.35284458978634,0.20643990340272467,-5.7307445897863545,linear_drift,0.05
1,10.946084895821095,11.061695322550168,221.6221,227.08620911599598,227.35717942499616,0.2709703090001767,-5.735079424996172,linear_drift,0.05
2,10.987983174995536,11.063544795100334,221.6221,227.18441124166668,227.36151426020604,0.17710301853935562,-5.739414260206047,linear_drift,0.05
3,11.277964245132267,11.065394267650502,221.6221,227.86407537233595,227.3658490954158,-0.49822627692014976,-5.743749095415808,linear_drift,0.05
4,10.82184154621884,11.06724374020067,221.6221,226.79500476890183,227.3701839306255,0.5751791617236677,-5.748083930625512,linear_drift,0.05
5,10.81295602214291,11.069093212750836,221.6221,226.77417867844787,227.37451876583555,0.6003400873876785,-5.752418765835557,linear_drift,0.05
6,11.194977064445562,11.070942685301004,221.6221,227.6695681584976,227.3788536010452,-0.2907145574524179,-5.7567536010452045,linear_drift,0.05
7,11.197789845944442,11.07279215785117,221.6221,227.6761608188093,227.383188436255,-0.2929723825542965,-5.761088436255022,linear_drift,0.05
8,10.882224823723346,11.074641630401338,221.6221,226.93653244790772,227.38752327146472,0.4509908235569924,-5.765423271464726,linear_drift,0.05
9,10.960704376409113,11.076491102951506,221.6221,227.12047458222116,227.3918581066747,0.2713835244535403,-5.769758106674715,linear_drift,0.05
10,11.203267361244755,11.078340575501672,221.6221,227.6889991419215,227.3961929418844,-0.29280620003709146,-5.774092941884419,linear_drift,0.05
11,11.11331793550611,11.08019004805184,221.6221,227.47817366210643,227.40052777709428,-0.07764588501214575,-5.778427777094294,linear_drift,0.05
12,10.915448716243136,11.082039520602008,221.6221,227.01440335174374,227.40486261230404,0.39045926056030567,-5.7827626123040545,linear_drift,0.05
13,11.288290476058373,11.083888993152174,221.6221,227.8882782237917,227.40919744751398,-0.4790807762777263,-5.787097447513986,linear_drift,0.05
14,10.891107768018427,11.085738465702342,221.6221,226.9573524918133,227.41353228272362,0.456179790910312,-5.791432282723633,linear_drift,0.05
15,11.197067907933402,11.08758793825251,221.6221,227.67446872432032,227.41786711793333,-0.2566016063869938,-5.795767117933337,linear_drift,0.05
16,11.220724302272444,11.089437410802676,221.6221,227.72991511151258,227.42220195314343,-0.3077131583691539,-5.8001019531434395,linear_drift,0.05
17,11.083974901858346,11.091286883352844,221.6221,227.4093988022645,227.42653678835313,0.01713798608864181,-5.804436788353144,linear_drift,0.05
18,11.089589817205148,11.09313635590301,221.6221,227.4225591666849,227.4308716235629,0.008312456878002195,-5.8087716235629046,linear_drift,0.05
19,10.731688683036449,11.094985828453177,221.6221,226.5837024678471,227.43520645877277,0.8515039909256643,-5.813106458772779,linear_drift,0.05
20,10.947714781053865,11.096835301003345,221.6221,227.09002927753028,227.43954129398242,0.34951201645213814,-5.8174412939824265,linear_drift,0.05
21,11.081694699771166,11.098684773553511,221.6221,227.40405441351322,227.44387612919235,0.039821715679124736,-5.821776129192358,linear_drift,0.05
22,11.106895049172856,11.10053424610368,221.6221,227.46311955718147,227.44821096440194,-0.014908592779534047,-5.826110964401948,linear_drift,0.05
23,10.772697371568299,11.102383718653847,221.6221,226.67981955103363,227.45254579961204,0.7727262485784081,-5.8304457996120505,linear_drift,0.05
24,10.938553352214756,11.104233191204013,221.6221,227.06855651530952,227.45688063482174,0.38832411951221957,-5.834780634821755,linear_drift,0.05
25,10.841756868889926,11.106082663754181,221.6221,226.84168274848122,227.4612154700315,0.6195327215502857,-5.8391154700315155,linear_drift,0.05
26,10.913908202745578,11.107932136304347,221.6221,227.01079266168517,227.46555030524144,0.45475764355626325,-5.843450305241447,linear_drift,0.05
27,11.188970834491139,11.109781608854515,221.6221,227.6554906221308,227.46988514045103,-0.1856054816797723,-5.8477851404510375,linear_drift,0.05
28,10.958979770584559,11.111631081404683,221.6221,227.11643241244104,227.47421997566084,0.35778756321980154,-5.852119975660855,linear_drift,0.05
29,11.206721812753893,11.11348055395485,221.6221,227.6970957627828,227.4785548108709,-0.2185409519119048,-5.8564548108709005,linear_drift,0.05
30,11.055116529884055,11.115330026505017,221.6221,227.34175990331448,227.48288964608065,0.14112974276616796,-5.860789646080661,linear_drift,0.05
31,11.0985587326042,11.117179499055185,221.6221,227.4435807115907,227.48722448129035,0.04364376969965633,-5.865124481290366,linear_drift,0.05
32,11.136190206084079,11.119028971605351,221.6221,227.53178220245496,227.49155931650023,-0.040222885954733556,-5.86945931650024,linear_drift,0.05
33,10.811375608204443,11.120878444155519,221.6221,226.77047446884154,227.49589415171005,0.7254196828685053,-5.873794151710058,linear_drift,0.05
34,10.78954373496707,11.122727916705687,221.6221,226.71930443509507,227.50022898691975,0.7809245518246826,-5.878128986919762,linear_drift,0.05
35,10.922441447140137,11.124577389255853,221.6221,227.0307930711274,227.50456382212957,0.4737707510021778,-5.88246382212958,linear_drift,0.05
36,10.990311076798985,11.12642686180602,221.6221,227.18986743008162,227.5088986573395,0.3190312272578808,-5.8867986573395115,linear_drift,0.05
37,11.490694358190606,11.128276334356187,221.6221,228.36267697860927,227.51323349254926,-0.8494434860600109,-5.891133492549272,linear_drift,0.05
38,10.777924444888772,11.130125806906355,221.6221,226.69207088262107,227.51756832775908,0.8254974451380122,-5.89546832775909,linear_drift,0.05
39,11.331197514023115,11.131975279456523,221.6221,227.98884470092128,227.52190316296873,-0.46694153795255033,-5.8998031629687375,linear_drift,0.05
40,11.09470553160009,11.133824752006689,221.6221,227.43454949272694,227.52623799817866,0.09168850545171381,-5.904137998178669,linear_drift,0.05
41,11.240186841427027,11.135674224556857,221.6221,227.7755318469391,227.5305728333886,-0.2449590135504991,-5.9084728333886005,linear_drift,0.05
42,11.216994859503767,11.137523697107024,221.6221,227.72117395997452,227.53490766859835,-0.186266291376171,-5.9128076685983615,linear_drift,0.05
43,11.41177259860608,11.13937316965719,221.6221,228.1776983898564,227.5392425038081,-0.6384558860482912,-5.9171425038081225,linear_drift,0.05
44,10.885372724211196,11.141222642207358,221.6221,226.94391056761555,227.54357733901793,0.5996667714023829,-5.92147733901794,linear_drift,0.05
45,11.00539847010484,11.143072114757526,221.6221,227.225229600621,227.54791217422775,0.32268257360675534,-5.925812174227758,linear_drift,0.05
46,11.081506356079764,11.144921587307692,221.6221,227.40361296934861,227.5522470094375,0.14863404008889347,-5.930147009437519,linear_drift,0.05
47,11.304157569206902,11.14677105985786,221.6221,227.92546787229531,227.55658184464727,-0.36888602764804546,-5.93448184464728,linear_drift,0.05
48,10.841494682867273,11.148620532408026,221.6221,226.84106823100586,227.56091667985703,0.7198484488511667,-5.938816679857041,linear_drift,0.05
49,10.92922145721289,11.150470004958194,221.6221,227.04668421067606,227.56525151506696,0.5185673043908992,-5.9431515150669725,linear_drift,0.05
50,10.85533034288457,11.152319477508362,221.6221,226.87349656101162,227.56958635027678,0.6960897892651587,-5.94748635027679,linear_drift,0.05
51,10.809193850419613,11.154168950058528,221.6221,226.76536081605224,227.5739211854866,0.8085603694343604,-5.951821185486608,linear_drift,0.05
52,10.873036872382803,11.156018422608696,221.6221,226.9149975216535,227.57825602069636,0.663258499042854,-5.956156020696369,linear_drift,0.05
53,11.16983918507127,11.157867895158864,221.6221,227.61064943347986,227.58259085590612,-0.02805857757374497,-5.96049085590613,linear_drift,0.05
54,11.02887099196195,11.15971736770903,221.6221,227.28024502336933,227.58692569111582,0.30668066774649105,-5.964825691115834,linear_drift,0.05
55,10.881754890853022,11.161566840259198,221.6221,226.935431008715,227.59126052632564,0.6558295176106412,-5.969160526325652,linear_drift,0.05
56,11.235195352344832,11.163416312809366,221.6221,227.76383268296894,227.59559536153557,-0.16823732143336656,-5.9734953615355835,linear_drift,0.05
57,10.954999253929735,11.165265785359532,221.6221,227.1071027883021,227.59993019674533,0.49282740844324735,-5.977830196745344,linear_drift,0.05
58,11.24883976709493,11.1671152579097,221.6221,227.79581276803174,227.6042650319551,-0.1915477360766431,-5.982165031955105,linear_drift,0.05
59,10.902115336123925,11.168964730459866,221.6221,226.98315227661885,227.60859986716497,0.6254475905461163,-5.98649986716498,linear_drift,0.05
60,10.882554102296035,11.170814203010034,221.6221,226.93730421840513,227.6129347023749,0.6756304839697691,-5.990834702374912,linear_drift,0.05
61,10.919713573379765,11.172663675560202,221.6221,227.02439941947608,227.61726953758466,0.5928701181085785,-5.9951695375846725,linear_drift,0.05
62,11.233025952061414,11.174513148110368,221.6221,227.75874799396826,227.62160437279442,-0.13714362117383416,-5.9995043727944335,linear_drift,0.05
63,10.900579860641749,11.176362620660536,221.6221,226.97955339477363,227.62593920800424,0.6463858132306086,-6.003839208004251,linear_drift,0.05
64,10.64437984039716,11.178212093210703,221.6221,226.37906604587585,227.630274043214,1.251207997338156,-6.008174043214012,linear_drift,0.05
65,11.052475557140031,11.18006156576087,221.6221,227.33556993221265,227.63460887842382,0.29903894621116933,-6.01250887842383,linear_drift,0.05
66,11.214242783952749,11.181911038311037,221.6221,227.71472358362394,227.63894371363375,-0.07577986999018549,-6.016843713633762,linear_drift,0.05
67,11.205044362996354,11.183760510861203,221.6221,227.69316411844954,227.6432785488435,-0.04988556960603319,-6.0211785488435225,linear_drift,0.05
68,11.264552460145788,11.185609983411371,221.6221,227.83264053012618,227.6476133840531,-0.18502714607308235,-6.025513384053113,linear_drift,0.05
69,11.13890214523428,11.18745945596154,221.6221,227.53813850620998,227.6519482192632,0.11380971305322873,-6.029848219263215,linear_drift,0.05
70,10.953157649268437,11.189308928511705,221.6221,227.10278639402645,227.65628305447285,0.5534966604463989,-6.034183054472862,linear_drift,0.05
71,11.06778471253914,11.191158401061873,221.6221,227.3714518737156,227.66061788968273,0.2891660159671119,-6.038517889682737,linear_drift,0.05
72,10.800468091550691,11.193007873612041,221.6221,226.74490918687093,227.66495272489237,0.9200435380214458,-6.042852724892384,linear_drift,0.05
73,11.282514557507435,11.194857346162207,221.6221,227.87474049645346,227.6692875601022,-0.20545293635126427,-6.047187560102202,linear_drift,0.05
74,11.12383272164473,11.196706818712375,221.6221,227.50281845349468,227.67362239531207,0.17080394181738257,-6.051522395312077,linear_drift,0.05
75,11.560332963842967,11.198556291262543,221.6221,228.52589750314002,227.67795723052188,-0.847940272618132,-6.0558572305218945,linear_drift,0.05
76,10.880372641218882,11.200405763812709,221.6221,226.93219126104617,227.68229206573182,0.7501008046856441,-6.060192065731826,linear_drift,0.05
77,11.360462933205055,11.202255236362877,221.6221,228.05743764623872,227.68662690094158,-0.37081074529714897,-6.064526900941587,linear_drift,0.05
78,10.968307137259313,11.204104708913043,221.6221,227.13829410348,227.6909617361514,0.5526676326713869,-6.068861736151405,linear_drift,0.05
79,11.161435556446799,11.20595418146321,221.6221,227.59095282038413,227.69529657136104,0.10434375097690918,-6.073196571361052,linear_drift,0.05
80,10.968335880000984,11.207803654013379,221.6221,227.13836147136192,227.69963140657114,0.561269935209225,-6.077531406571154,linear_drift,0.05
81,10.835891477147177,11.209653126563545,221.6221,226.82793531187087,227.70396624178073,0.8760309299098594,-6.0818662417807445,linear_drift,0.05
82,10.940392218450949,11.211502599113713,221.6221,227.0728664912029,227.7083010769905,0.6354345857876069,-6.0862010769905055,linear_drift,0.05
83,11.342869330808364,11.21335207166388,221.6221,228.0162013666682,227.71263591220043,-0.3035654544677868,-6.090535912200437,linear_drift,0.05
84,10.913839935848618,11.215201544214047,221.6221,227.01063265620218,227.7169707474102,0.7063380912080106,-6.094870747410198,linear_drift,0.05
85,10.909754686088323,11.217051016764215,221.6221,227.0010575562635,227.72130558261995,0.7202480263564439,-6.099205582619959,linear_drift,0.05
86,11.052285629266217,11.218900489314382,221.6221,227.33512477500585,227.72564041782982,0.39051564282397067,-6.103540417829834,linear_drift,0.05
87,11.192907893512894,11.220749961864549,221.6221,227.66471838929556,227.72997525303958,0.0652568637440254,-6.1078752530395946,linear_drift,0.05
88,10.94448166247361,11.222599434414716,221.6221,227.08245142174775,227.73431008824934,0.651858666501596,-6.1122100882493555,linear_drift,0.05
89,11.071348487106151,11.224448906964883,221.6221,227.37980472841014,227.73864492345916,0.35884019504902653,-6.116544923459173,linear_drift,0.05
90,11.141533249464377,11.22629837951505,221.6221,227.5443053472677,227.74297975866904,0.1986744114013277,-6.120879758669048,linear_drift,0.05
91,10.418977318415767,11.228147852065218,221.6221,226.00788761772827,227.7473145938788,1.7394269761505257,-6.125214593878809,linear_drift,0.05
92,11.171332423742703,11.229997324615384,221.6221,227.61414931974133,227.75164942908862,0.13750010934728607,-6.129549429088627,linear_drift,0.05
93,11.500330783569344,11.231846797165552,221.6221,228.3852630483645,227.75598426429843,-0.6292787840660594,-6.133884264298445,linear_drift,0.05
94,11.088419712186406,11.23369626971572,221.6221,227.41981664831968,227.7603190995082,0.3405024511885131,-6.1382190995082055,linear_drift,0.05
95,11.383232223034687,11.235545742265886,221.6221,228.1108048180016,227.76465393471813,-0.3461508832834852,-6.142553934718137,linear_drift,0.05
96,11.594559654719593,11.237395214816054,221.6221,228.60611878823778,227.76898876992794,-0.8371300183098356,-6.146888769927955,linear_drift,0.05
97,11.028200500414926,11.23924468736622,221.6221,227.27867351025566,227.77332360513782,0.49465009488216083,-6.1512236051378295,linear_drift,0.05
98,11.38209384012648,11.241094159916388,221.6221,228.10813665063017,227.77765844034775,-0.33047821028242197,-6.155558440347761,linear_drift,0.05
99,11.173230170652454,11.242943632466556,221.6221,227.61859730147705,227.7819932755574,0.16339597408034479,-6.159893275557408,linear_drift,0.05
100,11.21473784999915,11.244793105016722,221.6221,227.71588393051798,227.78632811076716,0.07044418024918286,-6.164228110767169,linear_drift,0.05
101,11.282733383954794,11.24664257756689,221.6221,227.87525338678466,227.7906629459771,-0.08459044080757394,-6.168562945977101,linear_drift,0.05
102,11.10019915191814,11.248492050117058,221.6221,227.44742556314054,227.79499778118674,0.34757221804619576,-6.172897781186748,linear_drift,0.05
103,10.750091684222843,11.250341522667224,221.6221,226.62683583443936,227.79933261639655,1.172496781957193,-6.177232616396566,linear_drift,0.05
104,10.943260048874304,11.252190995217392,221.6221,227.0795881764173,227.80366745160643,0.7240792751891263,-6.1815674516064405,linear_drift,0.05
105,11.198645842538026,11.25404046776756,221.6221,227.67816712280825,227.80800228681602,0.12983516400777262,-6.185902286816031,linear_drift,0.05
106,10.939921715078935,11.255889940317726,221.6221,227.07176371485554,227.812337122026,0.7405734071704728,-6.190237122026019,linear_drift,0.05
107,10.889566837013431,11.257739412867894,221.6221,226.9537408231916,227.81667195723566,0.8629311340440609,-6.194571957235667,linear_drift,0.05
108,11.012901310918371,11.25958888541806,221.6221,227.24281492705842,227.8210067924456,0.5781918653871685,-6.198906792445598,linear_drift,0.05
109,11.299554307474958,11.261438357968228,221.6221,227.91467864428859,227.82534162765552,-0.08933701663306692,-6.2032416276555296,linear_drift,0.05
110,11.038105552402076,11.263287830518395,221.6221,227.3018891930758,227.82967646286517,0.5277872697893713,-6.207576462865177,linear_drift,0.05
111,11.053778034575785,11.265137303068562,221.6221,227.33862270801535,227.83401129807487,0.49538859005951963,-6.211911298074881,linear_drift,0.05
112,11.045425652808545,11.26698677561873,221.6221,227.31904620845205,227.83834613328463,0.5192999248325805,-6.216246133284642,linear_drift,0.05
113,11.183168270666302,11.268836248168897,221.6221,227.64189044300258,227.84268096849445,0.20079052549186827,-6.22058096849446,linear_drift,0.05
114,11.202526852789806,11.270685720719063,221.6221,227.68726352160996,227.84701580370438,0.1597522820944164,-6.224915803704391,linear_drift,0.05
115,11.240674309036542,11.272535193269231,221.6221,227.77667438444644,227.8513506389143,0.07467625446787451,-6.229250638914323,linear_drift,0.05
116,11.17967322916248,11.2743846658194,221.6221,227.63369868640183,227.85568547412396,0.22198678772213043,-6.23358547412397,linear_drift,0.05
117,10.556602560234372,11.276234138369565,221.6221,226.21013810488046,227.8600203093339,1.6498822044534336,-6.2379203093339015,linear_drift,0.05
118,11.277072931790602,11.278083610919733,221.6221,227.86198629215136,227.86435514454348,0.0023688523921236992,-6.242255144543492,linear_drift,0.05
119,10.967704744199448,11.2799330834699,221.6221,227.1368822011267,227.8686899797534,0.7318077786267168,-6.2465899797534234,linear_drift,0.05
120,11.009617708245399,11.281782556020067,221.6221,227.2351187455281,227.8730248149633,0.6379060694351892,-6.250924814963298,linear_drift,0.05
121,11.337413546718748,11.283632028570235,221.6221,228.00341397765465,227.87735965017305,-0.12605432748159728,-6.255259650173059,linear_drift,0.05
122,11.209074315571542,11.285481501120401,221.6221,227.70260961160653,227.88169448538298,0.17908487377644633,-6.259594485382991,linear_drift,0.05
123,10.989489259182909,11.287330973670569,221.6221,227.18794123553636,227.88602932059263,0.6980880850562698,-6.263929320592638,linear_drift,0.05
124,11.39789881837785,11.289180446220737,221.6221,228.14518071284573,227.8903641558025,-0.2548165570432275,-6.2682641558025125,linear_drift,0.05
125,11.220653407530275,11.291029918770903,221.6221,227.72974894682716,227.89469899101226,0.16495004418510462,-6.2725989910122735,linear_drift,0.05
126,10.963258353353549,11.29287939132107,221.6221,227.12646065061824,227.89903382622225,0.7725731756040091,-6.276933826222262,linear_drift,0.05
127,10.911159631317654,11.294728863871239,221.6221,227.00435049837682,227.90336866143207,0.8990181630552456,-6.28126866143208,linear_drift,0.05
128,11.072507617870363,11.296578336421405,221.6221,227.38252152507152,227.90770349664166,0.5251819715701345,-6.28560349664167,linear_drift,0.05
129,10.981803397279613,11.298427808971573,221.6221,227.169926940167,227.91203833185136,0.7421113916843751,-6.289938331851374,linear_drift,0.05
130,10.465350101674735,11.300277281521739,221.6221,226.07603585769346,227.91637316706118,1.840337309367726,-6.294273167061192,linear_drift,0.05
131,10.974426834742383,11.302126754071907,221.6221,227.15263758758346,227.92070800227117,0.7680704146877133,-6.29860800227118,linear_drift,0.05
132,10.601909494453293,11.303976226622074,221.6221,226.2795230972909,227.92504283748104,1.6455197401901387,-6.302942837481055,linear_drift,0.05
133,10.910036864362345,11.30582569917224,221.6221,227.00171893202577,227.92937767269092,0.9276587406651515,-6.30727767269093,linear_drift,0.05
134,11.144586452211893,11.307675171722408,221.6221,227.55146151228968,227.9337125079005,0.382250995610832,-6.31161250790052,linear_drift,0.05
135,10.577086128219905,11.309524644272576,221.6221,226.24024022531233,227.93804734311044,1.6978071177981064,-6.315947343110452,linear_drift,0.05
136,10.953767685254135,11.311374116822742,221.6221,227.10421621004082,227.9423821783202,0.8381659682793838,-6.3202821783202126,linear_drift,0.05
137,10.54115744575613,11.31322358937291,221.6221,226.18744036509042,227.9467170135298,1.7592766484393678,-6.324617013529803,linear_drift,0.05
138,11.059395761700355,11.315073061923076,221.6221,227.35178966274316,227.95105184873972,0.5992621859965652,-6.3289518487397345,linear_drift,0.05
139,11.226654858974822,11.316922534473244,221.6221,227.7438152832155,227.95538668394965,0.21157140073415803,-6.333286683949666,linear_drift,0.05
140,11.161102011098457,11.318772007023412,221.6221,227.59017104932207,227.95972151915936,0.3695504698372929,-6.33762151915937,linear_drift,0.05
141,11.079982257412905,11.320621479573578,221.6221,227.40004075273822,227.9640563543693,0.5640156016310698,-6.341956354369302,linear_drift,0.05
142,11.463888987452336,11.322470952123746,221.6221,228.2998499499638,227.96839118957905,-0.33145876038474853,-6.346291189579063,linear_drift,0.05
143,11.177910152743465,11.324320424673914,221.6221,227.62956634838037,227.97272602478887,0.3431596764085043,-6.35062602478888,linear_drift,0.05
144,10.999487318759671,11.32616989722408,221.6221,227.21137491162898,227.97706085999857,0.7656859483695939,-6.3549608599985845,linear_drift,0.05
145,10.690189062235415,11.328019369774248,221.6221,226.48643472660598,227.9813956952085,1.494960968602527,-6.359295695208516,linear_drift,0.05
146,11.085066008096021,11.329868842324416,221.6221,227.4119561615163,227.98573053041827,0.5737743689019794,-6.363630530418277,linear_drift,0.05
147,10.860654247773043,11.331718314874582,221.6221,226.88597484859827,227.99006536562797,1.1040905170297037,-6.367965365627981,linear_drift,0.05
148,11.1074026505504,11.33356778742475,221.6221,227.46430928466538,227.9944002008379,0.5300909161725258,-6.372300200837913,linear_drift,0.05
149,11.0098023150562,11.335417259974916,221.6221,227.2355514311082,227.99873503604766,0.7631836049394565,-6.376635036047674,linear_drift,0.05
150,11.099717968261132,11.337266732525084,221.6221,227.44629775410198,228.00306987125742,0.5567721171554467,-6.3809698712574345,linear_drift,0.05
151,11.212829010300112,11.339116205075252,221.6221,227.71140994925423,228.00740470646718,0.2959947572129522,-6.3853047064671955,linear_drift,0.05
152,11.079295398228378,11.340965677625418,221.6221,227.39843087678884,228.01173954167712,0.6133086648882795,-6.389639541677127,linear_drift,0.05
153,11.070504432372735,11.342815150175586,221.6221,227.37782641401066,228.01607437688693,0.638247962876278,-6.393974376886945,linear_drift,0.05
154,11.341967113925417,11.344664622725753,221.6221,228.01408673051918,228.02040921209675,0.006322481577569761,-6.398309212096763,linear_drift,0.05
