sample_index,healthy_sensor,faulty_sensor,healthy_ground_truth,healthy_prediction,faulty_prediction,residual,prediction_error,fault_type,severity
0,1.1652754918127464,1.17463,221.6221,226.8665046984803,227.35284458978634,0.48633989130604505,-5.7307445897863545,linear_drift,0.05
1,1.1625478216930423,1.1748264264214048,221.6221,226.72469341743994,227.3630567786608,0.6383633612208541,-5.740956778660802,linear_drift,0.05
2,1.1669977006817873,1.1750228528428095,221.6221,226.9560421554379,227.37326896753513,0.41722681209722623,-5.751168967535136,linear_drift,0.05
3,1.1977956402764613,1.1752192792642142,221.6221,228.557223777721,227.38348115640957,-1.173742621311419,-5.761381156409584,linear_drift,0.05
4,1.1493523425043972,1.1754157056856187,221.6221,226.03866184999936,227.39369334528396,1.3550314952846065,-5.771593345283975,linear_drift,0.05
5,1.1484086400977938,1.1756121321070234,221.6221,225.98959886168768,227.4039055341584,1.4143066724707296,-5.781805534158423,linear_drift,0.05
6,1.1889818436492665,1.1758085585284281,221.6221,228.0989954232357,227.41411772303292,-0.6848777002027759,-5.792017723032927,linear_drift,0.05
7,1.189280579958691,1.1760049849498329,221.6221,228.1145266923678,227.42432991190736,-0.6901967804604396,-5.802229911907375,linear_drift,0.05
8,1.155765452616155,1.1762014113712376,221.6221,226.37207876644794,227.43454210078158,1.0624633343336427,-5.812442100781595,linear_drift,0.05
9,1.1641005088385963,1.1763978377926423,221.6221,226.80541745792226,227.4447542896562,0.6393368317339423,-5.822654289656214,linear_drift,0.05
10,1.1898623289165398,1.1765942642140468,221.6221,228.14477175915937,227.45496647853054,-0.689805280628832,-5.832866478530548,linear_drift,0.05
11,1.1803090950479698,1.1767906906354515,221.6221,227.64810014069934,227.46517866740498,-0.18292147329435693,-5.8430786674049955,linear_drift,0.05
12,1.159294053412207,1.1769871170568562,221.6221,226.55553034864346,227.4753908562796,0.9198605076361446,-5.853290856279614,linear_drift,0.05
13,1.1988923554384303,1.177183543478261,221.6221,228.61424188300106,227.48560304515382,-1.1286388378472338,-5.863503045153834,linear_drift,0.05
14,1.156708881032685,1.1773799698996656,221.6221,226.42112751004453,227.49581523402844,1.0746877239839137,-5.873715234028452,linear_drift,0.05
15,1.189203905287325,1.1775763963210704,221.6221,228.11054038431257,227.5060274229029,-0.6045129614096822,-5.8839274229029,linear_drift,0.05
16,1.1917163734409808,1.177772822742475,221.6221,228.24116333789823,227.51623961177705,-0.7249237261211761,-5.894139611777064,linear_drift,0.05
17,1.1771926675605402,1.1779692491638796,221.6221,227.48607740522675,227.52645180065167,0.040374395424919385,-5.904351800651682,linear_drift,0.05
18,1.1777890093272578,1.1781656755852843,221.6221,227.51708115060802,227.53666398952612,0.019582838918097423,-5.91456398952613,linear_drift,0.05
19,1.1397775022113084,1.178362102006689,221.6221,225.54086691581358,227.54687617840045,2.006009262586872,-5.924776178400464,linear_drift,0.05
20,1.1627209264647482,1.1785585284280937,221.6221,226.73369311621315,227.55708836727484,0.8233952510616973,-5.934988367274855,linear_drift,0.05
21,1.1769504947659108,1.1787549548494984,221.6221,227.47348686724655,227.56730055614918,0.0938136889026282,-5.945200556149189,linear_drift,0.05
22,1.1796269413293778,1.1789513812709032,221.6221,227.61263504101538,227.57751274502363,-0.03512229599175498,-5.9554127450236365,linear_drift,0.05
23,1.1441329006918546,1.1791478076923076,221.6221,225.76730362218245,227.58772493389807,1.82042131171562,-5.965624933898084,linear_drift,0.05
24,1.1617479211170036,1.1793442341137124,221.6221,226.68310667109068,227.59793712277263,0.9148304516819508,-5.975837122772646,linear_drift,0.05
25,1.1514674836904868,1.179540660535117,221.6221,226.1486278165633,227.60814931164708,1.4595214950837772,-5.986049311647093,linear_drift,0.05
26,1.159130440519751,1.1797370869565218,221.6221,226.547024131669,227.61836150052142,1.0713373688524257,-5.9962615005214275,linear_drift,0.05
27,1.1883439416398671,1.1799335133779265,221.6221,228.06583096523258,227.62857368939586,-0.43725727583671414,-6.006473689395875,linear_drift,0.05
28,1.1639173441031043,1.1801299397993312,221.6221,226.79589474269602,227.63878587827014,0.8428911355741207,-6.016685878270152,linear_drift,0.05
29,1.1902292148958933,1.180326366220736,221.6221,228.16384612242348,227.64899806714476,-0.5148480552787191,-6.026898067144771,linear_drift,0.05
