sample_index,healthy_sensor,faulty_sensor,healthy_ground_truth,healthy_prediction,faulty_prediction,residual,prediction_error,fault_type,severity
0,10.971767545722408,11.05984585,221.6221,227.14640468638362,227.35284458978634,0.20643990340272467,-5.7307445897863545,oscillation,0.05
1,10.946084895821095,11.117841896318211,221.6221,227.08620911599598,227.48877702283983,0.40256790684384214,-5.866677022839838,oscillation,0.05
2,10.987983174995536,11.175198272346682,221.6221,227.18441124166668,227.6232101823329,0.4387989406662314,-6.001110182332923,oscillation,0.05
3,11.277964245132267,11.231282363071081,221.6221,227.86407537233595,227.75466133101884,-0.10941404131710897,-6.132561331018849,oscillation,0.05
4,10.82184154621884,11.285475586211392,221.6221,226.79500476890183,227.88168062188674,1.0866758529849108,-6.259580621886755,oscillation,0.05
5,10.81295602214291,11.337180214906065,221.6221,226.77417867844787,228.0028670893231,1.228688410875236,-6.380767089323115,oscillation,0.05
6,11.194977064445562,11.385825970370288,221.6221,227.6695681584976,228.1168841011327,0.4473159426351003,-6.494784101132723,oscillation,0.05
7,11.197789845944442,11.430876311814336,221.6221,227.6761608188093,228.2224741009885,0.5463132821791987,-6.6003741009885175,oscillation,0.05
8,10.882224823723346,11.471834354247012,221.6221,226.93653244790772,228.3184724787131,1.3819400308053673,-6.696372478713101,oscillation,0.05
9,10.960704376409113,11.508248348893469,221.6221,227.12047458222116,228.4038204154039,1.28334583318275,-6.781720415403925,oscillation,0.05
10,11.203267361244755,11.539716665780892,221.6221,227.6889991419215,228.47757656173047,0.7885774198089734,-6.855476561730484,oscillation,0.05
11,11.11331793550611,11.565892223536345,221.6221,227.47817366210643,228.5389274205926,1.0607537584861575,-6.916827420592597,oscillation,0.05
12,10.915448716243136,11.586486317538105,221.6221,227.01440335174374,228.58719631962805,1.572792967884311,-6.96509631962806,oscillation,0.05
13,11.288290476058373,11.601271804197719,221.6221,227.8882782237917,228.62185087460398,0.7335726508122775,-6.99975087460399,oscillation,0.05
14,10.891107768018427,11.610085606251545,221.6221,226.9573524918133,228.64250886137535,1.685156369562037,-7.020408861375358,oscillation,0.05
15,11.197067907933402,11.612830511429582,221.6221,227.67446872432032,228.64894243164497,0.9744737073246483,-7.02684243164498,oscillation,0.05
16,11.220724302272444,11.609476244663067,221.6221,227.72991511151258,228.6410806260285,0.9111655145159148,-7.018980626028508,oscillation,0.05
17,11.083974901858346,11.600059802004843,221.6221,227.4093988022645,228.61901015670327,1.2096113544387777,-6.996910156703279,oscillation,0.05
18,11.089589817205148,11.584685042579556,221.6221,227.4225591666849,228.58297445101363,1.1604152843287352,-6.9608744510136376,oscillation,0.05
19,10.731688683036449,11.56352154306425,221.6221,226.5837024678471,228.53337096657503,1.949668498727931,-6.911270966575046,oscillation,0.05
20,10.947714781053865,11.536802727333932,221.6221,227.09002927753028,228.47074680749716,1.380717529966887,-6.848646807497175,oscillation,0.05
21,11.081694699771166,11.504823291901294,221.6221,227.40405441351322,228.39579269007004,0.9917382765568163,-6.77369269007005,oscillation,0.05
22,11.106895049172856,11.4679359555468,221.6221,227.46311955718147,228.30933532447636,0.8462157672948933,-6.687235324476376,oscillation,0.05
23,10.772697371568299,11.426547568989271,221.6221,226.67981955103363,228.21232829654798,1.532508745514349,-6.590228296547991,oscillation,0.05
24,10.938553352214756,11.381114627505578,221.6221,227.06855651530952,228.1058415501451,1.0372850348355769,-6.483741550145112,oscillation,0.05
25,10.841756868889926,11.332138235993167,221.6221,226.84168274848122,227.99104958615618,1.149366837674961,-6.368949586156191,oscillation,0.05
26,10.913908202745578,11.280158582008571,221.6221,227.01079266168517,227.86921850828173,0.8584258465965604,-6.247118508281744,oscillation,0.05
27,11.188970834491139,11.225748977741773,221.6221,227.6554906221308,227.74169205848062,0.08620143634982469,-6.1195920584806345,oscillation,0.05
28,10.958979770584559,11.169509536640765,221.6221,227.11643241244104,227.60987679610076,0.4934443836597211,-5.987776796100775,oscillation,0.05
29,11.206721812753893,11.112060554430306,221.6221,227.6970957627828,227.47522658416295,-0.22186917861984057,-5.853126584162965,oscillation,0.05
30,11.055116529884055,11.054035667529233,221.6221,227.34175990331448,227.339226553905,-0.0025333494094752496,-5.717126553905018,oscillation,0.05
31,11.0985587326042,10.996074864325935,221.6221,227.4435807115907,227.20337672445407,-0.24020398713662416,-5.581276724454085,oscillation,0.05
32,11.136190206084079,10.938817426394461,221.6221,227.53178220245496,227.0691754582897,-0.4626067441652708,-5.447075458289703,oscillation,0.05
33,10.811375608204443,10.882894877506455,221.6221,226.77047446884154,226.9381029349804,0.16762846613886495,-5.316002934980418,oscillation,0.05
34,10.78954373496707,10.828924018208184,221.6221,226.71930443509507,226.8116048254688,0.09230039037373672,-5.189504825468816,oscillation,0.05
35,10.922441447140137,10.777500122788092,221.6221,227.0307930711274,226.6910763469724,-0.33971672415498233,-5.06897634697242,oscillation,0.05
36,10.990311076798985,10.729190373669319,221.6221,227.18986743008162,226.5778468743651,-0.6120205557165264,-4.955746874365104,oscillation,0.05
37,11.490694358190606,10.684527605642813,221.6221,228.36267697860927,226.47316527777087,-1.8895117008383977,-4.851065277770886,oscillation,0.05
38,10.777924444888772,10.644004428939413,221.6221,226.69207088262107,226.378186148088,-0.31388473453307597,-4.756086148088002,oscillation,0.05
39,11.331197514023115,10.608067795960677,221.6221,227.98884470092128,226.29395706237153,-1.6948876385497442,-4.671857062371544,oscillation,0.05
40,11.09470553160009,10.577114071595062,221.6221,227.43454949272694,226.24028129017188,-1.1942682025550653,-4.61818129017189,oscillation,0.05
41,11.240186841427027,10.551484661491585,221.6221,227.7755318469391,226.20261697358023,-1.5729148733588545,-4.580516973580245,oscillation,0.05
42,11.216994859503767,10.531462246509156,221.6221,227.72117395997452,226.17319255164546,-1.5479814083290648,-4.551092551645468,oscillation,0.05
43,11.41177259860608,10.517267664873936,221.6221,228.1776983898564,226.1523325624987,-2.025365827357689,-4.530232562498725,oscillation,0.05
44,10.885372724211196,10.509057476433082,221.6221,226.94391056761555,226.1402670824325,-0.803643485183045,-4.518167082432512,oscillation,0.05
45,11.00539847010484,10.506922235870096,221.6221,227.225229600621,226.13712918826178,-1.0881004123592106,-4.515029188261792,oscillation,0.05
46,11.081506356079764,10.510885493927423,221.6221,227.40361296934861,226.14295348954698,-1.2606594798016317,-4.520853489546994,oscillation,0.05
47,11.304157569206902,10.520903537652359,221.6221,227.92546787229531,226.15767574686623,-1.7677921254290823,-4.535575746866243,oscillation,0.05
