window_start,window_end,mean,standard_deviation,rms,maximum_error,slope,skewness,kurtosis,autocorrelation_lag1,dominant_frequency_energy,wavelet_detail_energy,dropout_ratio,spike_count
0,30,2.1291235906001322,1.2187837136492459,2.45328371875465,4.593111845747785,0.015333597848963897,-0.2997200882201705,2.6161614090086394,0.3609899671646188,295.85120602816926,11.424642386888673,0.0,1
10,40,1.1704442314117898,2.1639852869527467,2.460238204116239,4.593111845747785,-0.2028031116535159,-0.8196934093770604,3.278888149699959,0.7325362755516325,1282.498019079546,21.971802360400115,0.0,1
20,50,-0.8228439939922093,2.4591730602075437,2.5931842160748215,4.939166754084965,-0.24572357837514713,0.10152877183298935,1.9262570941750872,0.7964131239137227,1851.6225656032527,18.52968489053512,0.0,0
30,60,-1.8592797552727802,1.5050099904963163,2.392065275000022,4.939166754084965,-0.0005716183110739284,-0.34949439506293284,2.177827021545567,0.39608423919348595,547.086416728491,19.56704204852602,0.0,1
40,70,-0.9563521649858066,2.109719676883919,2.3163606322212065,4.939166754084965,0.2178637917800198,0.11715604729348807,2.185084398853681,0.7984670892669967,1160.9199594106528,12.654608510132604,0.0,1
50,80,0.9596122198960718,1.8834150294119247,2.113789910466172,4.35906624149078,0.17285902501654904,-0.10073201070744861,2.073576613004629,0.6286409621019875,900.0247742739358,21.289439895050037,0.0,0
60,90,1.9392797803530433,1.2252558488349197,2.2939176013079297,4.35906624149078,-0.0002966960678631643,0.13875467831572377,2.0760904445175186,0.1169357455267575,180.40891797594796,19.71405362803736,0.0,0
70,100,0.7462287289066448,2.600124979734423,2.7050891345914203,4.829313212520162,-0.24465945169332706,-0.6255343686508931,2.224522642968679,0.6860222986584508,1559.9100147471547,30.46220898537048,0.0,1
80,110,-1.1004783634912105,2.551528197325094,2.7787315038084075,4.829313212520162,-0.23780398799396713,0.440517262386406,1.877398786655211,0.7556457038401531,1843.9027181081367,23.71504115494242,0.0,0
90,120,-2.207278929694032,1.6805175503629652,2.77420610455481,4.829313212520162,0.01905623938499499,1.3777127634808364,5.2559093517681195,0.3187523662832446,391.52805855454017,28.62487415869743,0.0,2
100,130,-1.1136623209055756,2.122017770379287,2.3964981082425822,4.063620098743911,0.21016901771720553,0.572520917032065,2.12417024244023,0.7537264297420125,1028.797212233279,16.624182239713583,0.0,0
110,140,1.2311085216203064,2.719856646812614,2.9855063843872274,5.993721337886711,0.2704840720290442,0.10945317311034343,1.8775177153567015,0.7652275917168064,2228.1654329892244,25.479714427883465,0.0,0
120,150,2.235057877929976,1.8597583430294031,2.907608091226243,5.993721337886711,0.014895796007464717,0.40139668799383227,2.552275743590965,0.5563854478146885,923.9050088042378,18.688511320470376,0.0,1
130,160,1.3022156698993115,2.6512936166749483,2.953832001443657,5.993721337886711,-0.2708682075946495,0.03799117385877602,2.191297818875259,0.7672285373714359,1714.906375148652,21.75615782409402,0.0,0
