sample_index,healthy_sensor,faulty_sensor,healthy_ground_truth,healthy_prediction,faulty_prediction,residual,prediction_error,fault_type,severity
0,1.1652754918127464,1.17463,221.6221,226.8665046984803,227.35284458978634,0.48633989130604505,-5.7307445897863545,oscillation,0.05
1,1.1625478216930423,1.180789570107097,221.6221,226.72469341743994,227.67307998820746,0.948386570767525,-6.050979988207473,oscillation,0.05
2,1.1669977006817873,1.1868812029280302,221.6221,226.9560421554379,227.9897833343059,1.0337411788680129,-6.367683334305923,oscillation,0.05
3,1.1977956402764613,1.192837710494327,221.6221,228.557223777721,228.29946153270708,-0.25776224501390743,-6.677361532707096,oscillation,0.05
4,1.1493523425043972,1.1985933952082604,221.6221,226.03866184999936,228.5986989722532,2.5600371222538456,-6.976598972253214,oscillation,0.05
5,1.1484086400977938,1.2040847744577843,221.6221,225.98959886168768,228.88419519865784,2.894596336970153,-7.262095198657846,oscillation,0.05
6,1.1889818436492665,1.2092512808011742,221.6221,228.0989954232357,229.15280131703202,1.0538058937963228,-7.530701317032026,oscillation,0.05
7,1.189280579958691,1.2140359299986514,221.6221,228.1145266923678,229.40155472277598,1.2870280304081803,-7.779454722775995,oscillation,0.05
8,1.155765452616155,1.2183859495229012,221.6221,226.37207876644794,229.62771177777603,3.2556330113280865,-8.00561177777604,oscillation,0.05
9,1.1641005088385963,1.2222533606162997,221.6221,226.80541745792226,229.8287780714977,3.0233606135754485,-8.20667807149772,oscillation,0.05
10,1.1898623289165398,1.2255955074750169,221.6221,228.14477175915937,230.00253593321094,1.8577641740515674,-8.380435933210947,oscillation,0.05
11,1.1803090950479698,1.228375527723336,221.6221,227.64810014069934,230.14706889190143,2.498968751202085,-8.524968891901437,oscillation,0.05
12,1.159294053412207,1.2305627589890673,221.6221,226.55553034864346,230.26078281408127,3.705252465437809,-8.638682814081278,oscillation,0.05
13,1.1988923554384303,1.2321330770957144,221.6221,228.61424188300106,230.34242348636622,1.728181603365158,-8.720323486366226,oscillation,0.05
14,1.156708881032685,1.2330691621412835,221.6221,226.42112751004453,230.39109044888346,3.9699629388389326,-8.768990448883471,oscillation,0.05
15,1.189203905287325,1.2333606895290075,221.6221,228.11054038431257,230.40624692693882,2.295706542626249,-8.784146926938831,oscillation,0.05
16,1.1917163734409808,1.2330044438430017,221.6221,228.24116333789823,230.3877257514004,2.1465624135021812,-8.765625751400421,oscillation,0.05
17,1.1771926675605402,1.232004354312854,221.6221,227.48607740522675,230.3357312024994,2.8496537972726514,-8.713631202499414,oscillation,0.05
