sample_index,healthy_sensor,faulty_sensor,healthy_ground_truth,healthy_prediction,faulty_prediction,residual,prediction_error,fault_type,severity
0,10.971767545722408,10.5068535575,221.6221,227.14640468638362,226.13702826030965,-1.0093764260739704,-4.514928260309659,saturation,0.05
1,10.946084895821095,10.5068535575,221.6221,227.08620911599598,226.13702826030965,-0.9491808556863361,-4.514928260309659,saturation,0.05
2,10.987983174995536,10.5068535575,221.6221,227.18441124166668,226.13702826030965,-1.047382981357032,-4.514928260309659,saturation,0.05
3,11.277964245132267,10.5068535575,221.6221,227.86407537233595,226.13702826030965,-1.7270471120262982,-4.514928260309659,saturation,0.05
4,10.82184154621884,10.5068535575,221.6221,226.79500476890183,226.13702826030965,-0.6579765085921849,-4.514928260309659,saturation,0.05
5,10.81295602214291,10.5068535575,221.6221,226.77417867844787,226.13702826030965,-0.6371504181382193,-4.514928260309659,saturation,0.05
6,11.194977064445562,10.5068535575,221.6221,227.6695681584976,226.13702826030965,-1.532539898187963,-4.514928260309659,saturation,0.05
7,11.197789845944442,10.5068535575,221.6221,227.6761608188093,226.13702826030965,-1.5391325584996594,-4.514928260309659,saturation,0.05
8,10.882224823723346,10.5068535575,221.6221,226.93653244790772,226.13702826030965,-0.7995041875980746,-4.514928260309659,saturation,0.05
9,10.960704376409113,10.5068535575,221.6221,227.12047458222116,226.13702826030965,-0.983446321911515,-4.514928260309659,saturation,0.05
10,11.203267361244755,10.5068535575,221.6221,227.6889991419215,226.13702826030965,-1.551970881611851,-4.514928260309659,saturation,0.05
11,11.11331793550611,10.5068535575,221.6221,227.47817366210643,226.13702826030965,-1.3411454017967799,-4.514928260309659,saturation,0.05
12,10.915448716243136,10.5068535575,221.6221,227.01440335174374,226.13702826030965,-0.8773750914340894,-4.514928260309659,saturation,0.05
13,11.288290476058373,10.5068535575,221.6221,227.8882782237917,226.13702826030965,-1.7512499634820529,-4.514928260309659,saturation,0.05
14,10.891107768018427,10.5068535575,221.6221,226.9573524918133,226.13702826030965,-0.8203242315036618,-4.514928260309659,saturation,0.05
15,11.197067907933402,10.5068535575,221.6221,227.67446872432032,226.13702826030965,-1.5374404640106718,-4.514928260309659,saturation,0.05
16,11.220724302272444,10.5068535575,221.6221,227.72991511151258,226.13702826030965,-1.592886851202934,-4.514928260309659,saturation,0.05
17,11.083974901858346,10.5068535575,221.6221,227.4093988022645,226.13702826030965,-1.2723705419548423,-4.514928260309659,saturation,0.05
18,11.089589817205148,10.5068535575,221.6221,227.4225591666849,226.13702826030965,-1.285530906375243,-4.514928260309659,saturation,0.05
19,10.731688683036449,10.5068535575,221.6221,226.5837024678471,226.13702826030965,-0.44667420753745546,-4.514928260309659,saturation,0.05
20,10.947714781053865,10.5068535575,221.6221,227.09002927753028,226.13702826030965,-0.9530010172206289,-4.514928260309659,saturation,0.05
21,11.081694699771166,10.5068535575,221.6221,227.40405441351322,226.13702826030965,-1.2670261532035738,-4.514928260309659,saturation,0.05
22,11.106895049172856,10.5068535575,221.6221,227.46311955718147,226.13702826030965,-1.326091296871823,-4.514928260309659,saturation,0.05
23,10.772697371568299,10.5068535575,221.6221,226.67981955103363,226.13702826030965,-0.5427912907239829,-4.514928260309659,saturation,0.05
