sample_index,healthy_sensor,faulty_sensor,healthy_ground_truth,healthy_prediction,faulty_prediction,residual,prediction_error,fault_type,severity
0,1.1652754918127464,1.1158985000000001,221.6221,226.8665046984803,224.29940011633278,-2.567104582147522,-2.6773001163327876,saturation,0.05
1,1.1625478216930423,1.1158985000000001,221.6221,226.72469341743994,224.29940011633278,-2.4252933011071605,-2.6773001163327876,saturation,0.05
2,1.1669977006817873,1.1158985000000001,221.6221,226.9560421554379,224.29940011633278,-2.6566420391051224,-2.6773001163327876,saturation,0.05
3,1.1977956402764613,1.1158985000000001,221.6221,228.557223777721,224.29940011633278,-4.257823661388215,-2.6773001163327876,saturation,0.05
4,1.1493523425043972,1.1158985000000001,221.6221,226.03866184999936,224.29940011633278,-1.7392617336665808,-2.6773001163327876,saturation,0.05
5,1.1484086400977938,1.1158985000000001,221.6221,225.98959886168768,224.29940011633278,-1.6901987453549054,-2.6773001163327876,saturation,0.05
6,1.1889818436492665,1.1158985000000001,221.6221,228.0989954232357,224.29940011633278,-3.7995953069029156,-2.6773001163327876,saturation,0.05
7,1.189280579958691,1.1158985000000001,221.6221,228.1145266923678,224.29940011633278,-3.815126576035027,-2.6773001163327876,saturation,0.05
8,1.155765452616155,1.1158985000000001,221.6221,226.37207876644794,224.29940011633278,-2.072678650115165,-2.6773001163327876,saturation,0.05
9,1.1641005088385963,1.1158985000000001,221.6221,226.80541745792226,224.29940011633278,-2.5060173415894837,-2.6773001163327876,saturation,0.05
10,1.1898623289165398,1.1158985000000001,221.6221,228.14477175915937,224.29940011633278,-3.845371642826592,-2.6773001163327876,saturation,0.05
11,1.1803090950479698,1.1158985000000001,221.6221,227.64810014069934,224.29940011633278,-3.3487000243665648,-2.6773001163327876,saturation,0.05
12,1.159294053412207,1.1158985000000001,221.6221,226.55553034864346,224.29940011633278,-2.2561302323106815,-2.6773001163327876,saturation,0.05
13,1.1988923554384303,1.1158985000000001,221.6221,228.61424188300106,224.29940011633278,-4.31484176666828,-2.6773001163327876,saturation,0.05
14,1.156708881032685,1.1158985000000001,221.6221,226.42112751004453,224.29940011633278,-2.121727393711751,-2.6773001163327876,saturation,0.05
15,1.189203905287325,1.1158985000000001,221.6221,228.11054038431257,224.29940011633278,-3.8111402679797948,-2.6773001163327876,saturation,0.05
16,1.1917163734409808,1.1158985000000001,221.6221,228.24116333789823,224.29940011633278,-3.941763221565452,-2.6773001163327876,saturation,0.05
17,1.1771926675605402,1.1158985000000001,221.6221,227.48607740522675,224.29940011633278,-3.186677288893975,-2.6773001163327876,saturation,0.05
18,1.1777890093272578,1.1158985000000001,221.6221,227.51708115060802,224.29940011633278,-3.2176810342752447,-2.6773001163327876,saturation,0.05
19,1.1397775022113084,1.1158985000000001,221.6221,225.54086691581358,224.29940011633278,-1.2414667994808042,-2.6773001163327876,saturation,0.05
20,1.1627209264647482,1.1158985000000001,221.6221,226.73369311621315,224.29940011633278,-2.4342929998803697,-2.6773001163327876,saturation,0.05
21,1.1769504947659108,1.1158985000000001,221.6221,227.47348686724655,224.29940011633278,-3.174086750913773,-2.6773001163327876,saturation,0.05
22,1.1796269413293778,1.1158985000000001,221.6221,227.61263504101538,224.29940011633278,-3.313234924682604,-2.6773001163327876,saturation,0.05
23,1.1441329006918546,1.1158985000000001,221.6221,225.76730362218245,224.29940011633278,-1.4679035058496765,-2.6773001163327876,saturation,0.05
24,1.1617479211170036,1.1158985000000001,221.6221,226.68310667109068,224.29940011633278,-2.3837065547579073,-2.6773001163327876,saturation,0.05
25,1.1514674836904868,1.1158985000000001,221.6221,226.1486278165633,224.29940011633278,-1.8492277002305286,-2.6773001163327876,saturation,0.05
26,1.159130440519751,1.1158985000000001,221.6221,226.547024131669,224.29940011633278,-2.247624015336214,-2.6773001163327876,saturation,0.05
27,1.1883439416398671,1.1158985000000001,221.6221,228.06583096523258,224.29940011633278,-3.7664308488998017,-2.6773001163327876,saturation,0.05
28,1.1639173441031043,1.1158985000000001,221.6221,226.79589474269602,224.29940011633278,-2.496494626363244,-2.6773001163327876,saturation,0.05
29,1.1902292148958933,1.1158985000000001,221.6221,228.16384612242348,224.29940011633278,-3.864446006090702,-2.6773001163327876,saturation,0.05
30,1.1741277144018882,1.1158985000000001,221.6221,227.32673081466322,224.29940011633278,-3.027330698330445,-2.6773001163327876,saturation,0.05
31,1.1787415684531328,1.1158985000000001,221.6221,227.566604598818,224.29940011633278,-3.2672044824852264,-2.6773001163327876,saturation,0.05
32,1.1827382839854448,1.1158985000000001,221.6221,227.77439341664336,224.29940011633278,-3.4749933003105866,-2.6773001163327876,saturation,0.05
33,1.148240789510207,1.1158985000000001,221.6221,225.9808723273913,224.29940011633278,-1.6814722110585194,-2.6773001163327876,saturation,0.05
34,1.1459220977663418,1.1158985000000001,221.6221,225.86032378885653,224.29940011633278,-1.5609236725237565,-2.6773001163327876,saturation,0.05
35,1.1600367284553266,1.1158985000000001,221.6221,226.59414194558894,224.29940011633278,-2.294741829256168,-2.6773001163327876,saturation,0.05
36,1.167244939507036,1.1158985000000001,221.6221,226.96889607581414,224.29940011633278,-2.6694959594813668,-2.6773001163327876,saturation,0.05
37,1.2203890087637552,1.1158985000000001,221.6221,229.73185061586082,224.29940011633278,-5.432450499528045,-2.6773001163327876,saturation,0.05
38,1.1446880510273747,1.1158985000000001,221.6221,225.7961658294126,224.29940011633278,-1.4967657130798102,-2.6773001163327876,saturation,0.05
39,1.203449371393994,1.1158985000000001,221.6221,228.85116066057287,224.29940011633278,-4.551760544240096,-2.6773001163327876,saturation,0.05
40,1.1783323325960653,1.1158985000000001,221.6221,227.5453284698906,224.29940011633278,-3.245928353557815,-2.6773001163327876,saturation,0.05
41,1.1937834259729243,1.1158985000000001,221.6221,228.34862918041858,224.29940011633278,-4.049229064085807,-2.6773001163327876,saturation,0.05
42,1.1913202815407151,1.1158985000000001,221.6221,228.22057056189465,224.29940011633278,-3.92117044556187,-2.6773001163327876,saturation,0.05
43,1.2120069871950936,1.1158985000000001,221.6221,229.29607020100343,224.29940011633278,-4.996670084670654,-2.6773001163327876,saturation,0.05
44,1.156099780815679,1.1158985000000001,221.6221,226.38946045418203,224.29940011633278,-2.090060337849252,-2.6773001163327876,saturation,0.05
45,1.1688473221296523,1.1158985000000001,221.6221,227.05220377889322,224.29940011633278,-2.7528036625604386,-2.6773001163327876,saturation,0.05
46,1.1769304913993872,1.1158985000000001,221.6221,227.4724468943367,224.29940011633278,-3.173046778003936,-2.6773001163327876,saturation,0.05
47,1.2005775474273452,1.1158985000000001,221.6221,228.70185483627603,224.29940011633278,-4.40245471994325,-2.6773001163327876,saturation,0.05
48,1.1514396377718397,1.1158985000000001,221.6221,226.14718011019778,224.29940011633278,-1.8477799938650037,-2.6773001163327876,saturation,0.05
49,1.1607568111164928,1.1158985000000001,221.6221,226.6315789669855,224.29940011633278,-2.332178850652724,-2.6773001163327876,saturation,0.05
50,1.152909077902067,1.1158985000000001,221.6221,226.2235761471576,224.29940011633278,-1.9241760308248104,-2.6773001163327876,saturation,0.05
51,1.148009072162465,1.1158985000000001,221.6221,225.96882536698882,224.29940011633278,-1.6694252506560474,-2.6773001163327876,saturation,0.05
52,1.1547896304004104,1.1158985000000001,221.6221,226.3213458726559,224.29940011633278,-2.0219457563231344,-2.6773001163327876,saturation,0.05
53,1.1863120318227822,1.1158985000000001,221.6221,227.96019218874062,224.29940011633278,-3.660792072407844,-2.6773001163327876,saturation,0.05
54,1.1713402617892967,1.1158985000000001,221.6221,227.1818114481403,224.29940011633278,-2.882411331807532,-2.6773001163327876,saturation,0.05
55,1.1557155425853143,1.1158985000000001,221.6221,226.36948394922308,224.29940011633278,-2.0700838328903046,-2.6773001163327876,saturation,0.05
56,1.1932532962676698,1.1158985000000001,221.6221,228.32106779311,224.29940011633278,-4.021667676777213,-2.6773001163327876,saturation,0.05
57,1.163494586467811,1.1158985000000001,221.6221,226.77391561794883,224.29940011633278,-2.474515501616054,-2.6773001163327876,saturation,0.05
58,1.1947024248645126,1.1158985000000001,221.6221,228.39640783559759,224.29940011633278,-4.097007719264809,-2.6773001163327876,saturation,0.05
59,1.157877958784683,1.1158985000000001,221.6221,226.4819077387274,224.29940011633278,-2.18250762239461,-2.6773001163327876,saturation,0.05
60,1.1558004242147726,1.1158985000000001,221.6221,226.37389693616143,224.29940011633278,-2.074496819828653,-2.6773001163327876,saturation,0.05
61,1.1597470099186848,1.1158985000000001,221.6221,226.57907950950994,224.29940011633278,-2.2796793931771617,-2.6773001163327876,saturation,0.05
62,1.193022891369675,1.1158985000000001,221.6221,228.30908906683135,224.29940011633278,-4.009688950498571,-2.6773001163327876,saturation,0.05
63,1.157714880963338,1.1158985000000001,221.6221,226.47342934004297,224.29940011633278,-2.1740292237101926,-2.6773001163327876,saturation,0.05
64,1.1305047160242034,1.1158985000000001,221.6221,225.05877574265213,224.29940011633278,-0.7593756263193541,-2.6773001163327876,saturation,0.05
65,1.1738472253375392,1.1158985000000001,221.6221,227.31214821787256,224.29940011633278,-3.012748101539785,-2.6773001163327876,saturation,0.05
66,1.1910279926111644,1.1158985000000001,221.6221,228.20537449136037,224.29940011633278,-3.905974375027597,-2.6773001163327876,saturation,0.05
67,1.1900510584518145,1.1158985000000001,221.6221,228.15458378773792,224.29940011633278,-3.8551836714051433,-2.6773001163327876,saturation,0.05
68,1.1963712185248085,1.1158985000000001,221.6221,228.48316824150174,224.29940011633278,-4.183768125168967,-2.6773001163327876,saturation,0.05
69,1.183026310159336,1.1158985000000001,221.6221,227.7893678669617,224.29940011633278,-3.489967750628921,-2.6773001163327876,saturation,0.05
70,1.1632989956691109,1.1158985000000001,221.6221,226.7637468730103,224.29940011633278,-2.4643467566775143,-2.6773001163327876,saturation,0.05
71,1.175473160585674,1.1158985000000001,221.6221,227.3966804194614,224.29940011633278,-3.0972803031286276,-2.6773001163327876,saturation,0.05
72,1.1470823378951696,1.1158985000000001,221.6221,225.92064455044533,224.29940011633278,-1.6212444341125547,-2.6773001163327876,saturation,0.05
73,1.1982789140487846,1.1158985000000001,221.6221,228.58234913003207,224.29940011633278,-4.2829490136992945,-2.6773001163327876,saturation,0.05
74,1.1814258360414265,1.1158985000000001,221.6221,227.7061593868405,224.29940011633278,-3.4067592705077345,-2.6773001163327876,saturation,0.05
75,1.2277850969612625,1.1158985000000001,221.6221,230.1163724590262,224.29940011633278,-5.816972342693418,-2.6773001163327876,saturation,0.05
76,1.1555687383793813,1.1158985000000001,221.6221,226.3618516140827,224.29940011633278,-2.062451497749919,-2.6773001163327876,saturation,0.05
77,1.2065575557032426,1.1158985000000001,221.6221,229.0127548340837,224.29940011633278,-4.713354717750917,-2.6773001163327876,saturation,0.05
78,1.1649079731648255,1.1158985000000001,221.6221,226.84739744284423,224.29940011633278,-2.5479973265114495,-2.6773001163327876,saturation,0.05
79,1.1854195099535771,1.1158985000000001,221.6221,227.91379007115557,224.29940011633278,-3.614389954822798,-2.6773001163327876,saturation,0.05
80,1.1649110258372684,1.1158985000000001,221.6221,226.84755615096174,224.29940011633278,-2.54815603462896,-2.6773001163327876,saturation,0.05
81,1.1508445396462184,1.1158985000000001,221.6221,226.11624102158538,224.29940011633278,-1.8168409052526044,-2.6773001163327876,saturation,0.05
82,1.161943221076543,1.1158985000000001,221.6221,226.69326029533187,224.29940011633278,-2.393860178999091,-2.6773001163327876,saturation,0.05
83,1.2046889968224495,1.1158985000000001,221.6221,228.91560865549332,224.29940011633278,-4.616208539160539,-2.6773001163327876,saturation,0.05
84,1.1591231901162404,1.1158985000000001,221.6221,226.54664718395713,224.29940011633278,-2.2472470676243574,-2.6773001163327876,saturation,0.05
85,1.1586893091208796,1.1158985000000001,221.6221,226.52408975689627,224.29940011633278,-2.224689640563497,-2.6773001163327876,saturation,0.05
86,1.1738270537201905,1.1158985000000001,221.6221,227.3110994976201,224.29940011633278,-3.0116993812873147,-2.6773001163327876,saturation,0.05
87,1.1887620837823025,1.1158985000000001,221.6221,228.08757013099438,224.29940011633278,-3.7881700146616026,-2.6773001163327876,saturation,0.05
88,1.162377547530771,1.1158985000000001,221.6221,226.71584088175206,224.29940011633278,-2.4164407654192814,-2.6773001163327876,saturation,0.05
89,1.1758516574089048,1.1158985000000001,221.6221,227.4163584292707,224.29940011633278,-3.116958312937925,-2.6773001163327876,saturation,0.05
90,1.1833057511211462,1.1158985000000001,221.6221,227.80389597301217,224.29940011633278,-3.504495856679398,-2.6773001163327876,saturation,0.05
91,1.1065654524950466,1.1158985000000001,221.6221,223.8141759636298,224.29940011633278,0.48522415270298325,-2.6773001163327876,saturation,0.05
92,1.1864706238108094,1.1158985000000001,221.6221,227.9684373694252,224.29940011633278,-3.6690372530924265,-2.6773001163327876,saturation,0.05
93,1.221412461938071,1.1158985000000001,221.6221,229.7850598381516,224.29940011633278,-5.48565972181882,-2.6773001163327876,saturation,0.05
94,1.1776647363060235,1.1158985000000001,221.6221,227.51062020937746,224.29940011633278,-3.2112200930446875,-2.6773001163327876,saturation,0.05
95,1.208975807392762,1.1158985000000001,221.6221,229.13847948366333,224.29940011633278,-4.839079367330555,-2.6773001163327876,saturation,0.05
96,1.2314202016860185,1.1158985000000001,221.6221,230.3053611692111,224.29940011633278,-6.00596105287832,-2.6773001163327876,saturation,0.05
97,1.1712690510783552,1.1158985000000001,221.6221,227.17810921080985,224.29940011633278,-2.878709094477074,-2.6773001163327876,saturation,0.05
98,1.208854903472978,1.1158985000000001,221.6221,229.13219370166064,224.29940011633278,-4.832793585327863,-2.6773001163327876,saturation,0.05
99,1.1866721772938176,1.1158985000000001,221.6221,227.97891611369,224.29940011633278,-3.679515997357214,-2.6773001163327876,saturation,0.05
100,1.19108057195431,1.1158985000000001,221.6221,228.2081080858497,224.29940011633278,-3.908707969516911,-2.6773001163327876,saturation,0.05
101,1.1983021548889687,1.1158985000000001,221.6221,228.58355741885532,224.29940011633278,-4.284157302522544,-2.6773001163327876,saturation,0.05
102,1.1789157920150946,1.1158985000000001,221.6221,227.57566246337825,224.29940011633278,-3.276262347045474,-2.6773001163327876,saturation,0.05
103,1.1417320246862825,1.1158985000000001,221.6221,225.64248233257382,224.29940011633278,-1.3430822162410436,-2.6773001163327876,saturation,0.05
104,1.1622478039519173,1.1158985000000001,221.6221,226.70909552680928,224.29940011633278,-2.409695410476502,-2.6773001163327876,saturation,0.05
105,1.1893714925529855,1.1158985000000001,221.6221,228.11925322853,224.29940011633278,-3.8198531121972223,-2.6773001163327876,saturation,0.05
106,1.1618932504545867,1.1158985000000001,221.6221,226.69066232798139,224.29940011633278,-2.391262211648609,-2.6773001163327876,saturation,0.05
107,1.1565452237981315,1.1158985000000001,221.6221,226.41261898772888,224.29940011633278,-2.1132188713961,-2.6773001163327876,saturation,0.05
108,1.1696441742760861,1.1158985000000001,221.6221,227.0936320377097,224.29940011633278,-2.7942319213769338,-2.6773001163327876,saturation,0.05
109,1.2000886500772803,1.1158985000000001,221.6221,228.67643711475273,224.29940011633278,-4.377036998419953,-2.6773001163327876,saturation,0.05
110,1.1723210342048347,1.1158985000000001,221.6221,227.23280170229611,224.29940011633278,-2.933401585963338,-2.6773001163327876,saturation,0.05
